ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.033516,,,,,,,,,,,,,69dbe26a-5358-40ce-ab36-e45833e88f92,61,,"[13.5, 19.5]",267077,0,,,,,2.0323253,,Right Foot,,,,"[4.1, 38.4]",,Ground Pass,,21.108528,,,,Diego López Rodríguez,6768.0,,,,,,,1,Regular Play,Diego Antonio Reyes Rosales,16539.0,Left Center Back,5,Espanyol,214,['4395a7f2-8cf2-4ad9-914a-fed30f42ea44'],42,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:42.818,Pass,,2016/2017
,,,,,,,,,,,,,,,2.9739,,,,,,,,,,,,,f86d0435-6728-4a0f-9a24-1bb9e9878496,64,,"[10.7, 42.8]",267077,0,,,,,0.17364042,,Right Foot,,,,"[66.0, 52.5]",,High Pass,,56.14428,,,,Gerard Moreno Balaguero,6766.0,,,,,,,1,Regular Play,Diego López Rodríguez,6768.0,Goalkeeper,5,Espanyol,214,['14d6fa1b-4022-4c3f-a0d2-08902a09bb8b'],50,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:50.344,Pass,,2016/2017
,,,,,,,,,,,,,,,0.9706,,,,,,,,,,,,,d7913727-c029-4713-8a7e-05af46991cdd,66,,"[66.4, 52.0]",267077,0,,,,,0.52728707,,Head,,,,"[74.3, 56.6]",,Low Pass,,9.141663,,,,José Manuel Jurado Marín,6870.0,,,,,,,1,Regular Play,Gerard Moreno Balaguero,6766.0,Right Center Forward,5,Espanyol,214,['ba86fc6c-1d2e-45e4-8bcc-5c87943c0b77'],53,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:53.358,Pass,,2016/2017
,,,,,,,,,,,,,,,1.2355,,,,,,,,,,,,,b62ff61c-e7a2-4b2d-9de1-4dcd7fff320c,72,,"[45.8, 40.8]",267077,0,,,,,1.5534068,,Right Foot,,,,"[46.0, 52.3]",,Low Pass,,11.501739,,,,Ivan Rakitić,5470.0,,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,['0db980e9-57af-4f1e-9a85-6e381e071c85'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.849,Pass,,2016/2017
,,,,,,,,,,,,,,,1.7084,,,,,,,,,,,,,81f3f7c1-49c5-4ccd-8f63-e9205b3bce9c,75,,"[46.0, 54.1]",267077,0,,,,,2.227092,,Right Foot,,,,"[33.6, 70.2]",,Ground Pass,,20.321663,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,6,Barcelona,217,['4b64092b-330f-4219-b869-a9be0dcb8402'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.164,Pass,,2016/2017
,,,,,,,,,,,,,,,0.101,,,,,,,,,,,,,30c29fd2-31d2-4b42-a977-a552c2e84f2e,79,,"[34.3, 70.9]",267077,0,,,,,-0.11379201,,Right Foot,,,,"[37.8, 70.5]",,High Pass,,3.522783,,Incomplete,,,,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,6,Barcelona,217,['a0e4f530-6818-4201-a77b-1978be0ff325'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.953,Pass,,2016/2017
,,,,,,,,,,,,,,,0.7656,,,,,,,,,,,,,4908e5bf-6ef9-48af-812a-ca120540db9e,82,,"[37.6, 80.0]",267077,1,,,,,-0.39810455,,,,,,"[48.3, 75.5]",,Low Pass,,11.607756,,,,Ivan Rakitić,5470.0,,,,,,Throw-in,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,7,Barcelona,217,"['e3f65b0e-8331-4bc4-bdc4-abb3cca1ded8', 'fe8da811-6522-4091-8a4f-2b155d02a0a3']",20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.240,Pass,True,2016/2017
,,,,,,,,,,,,,,,0.8578,,,,,,,,,,,,,a50647f7-ed19-4324-90e4-bd93ffd4491d,85,,"[47.4, 75.5]",267077,1,,,,,2.9279237,,Right Foot,,,,"[36.8, 77.8]",,Ground Pass,,10.846659,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,7,Barcelona,217,"['17ff6a23-9cdf-4e53-abdb-2e236abf1b8a', 'e3f65b0e-8331-4bc4-bdc4-abb3cca1ded8']",21,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.126,Pass,True,2016/2017
,,,,,,,,,,,,,,,1.6231,,,,,,,,,,,,,dba2a6d3-5a8d-4a21-a674-3531b998c1b3,88,,"[36.4, 77.8]",267077,1,,,,,-2.930839,,Right Foot,,,,"[16.3, 73.5]",,Ground Pass,,20.554804,,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,7,Barcelona,217,['82b04c3f-8f86-4b3d-8038-6a0f0cb5211f'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.764,Pass,,2016/2017
,,,,,,,,,,,,,,,0.8132,,,,,,,,,,,,,faebe0d8-ac29-4e22-a03b-9ff83e3b1c66,92,,"[14.1, 73.2]",267077,1,,,,,-2.101405,,Right Foot,,,,"[2.6, 53.6]",,Ground Pass,,22.724657,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['80424acd-d6f1-4790-baec-21aa75623195'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.176,Pass,,2016/2017
