ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.939769,,,,,,,,,,,,,,,bd3a107a-1708-42ed-a53e-e6aad9c0c0fd,17,,,"[28.7, 57.7]",3825627,0,,,,,-1.893756,,Right Foot,,,"[20.4, 32.9]",,Ground Pass,,26.152056,,,,José Eduardo Rosa Vale de Castro,26222.0,,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Right Center Back,2,Rayo Vallecano,360,['4d1278f1-de38-44de-9900-431ccbe9f1d1'],8,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:08.049,Pass,,2015/2016
,,,,,,,,,,,,,,,1.478738,,,,,,,,,,,,,,,7f7bb1b1-913c-484c-a76f-5e64a1b19015,20,,,"[20.4, 37.8]",3825627,0,,,,,1.3715523,,Right Foot,,,"[24.6, 58.6]",,Ground Pass,,21.219803,,,,Diego Javier Llorente Ríos,6713.0,,,,,,1,From Kick Off,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,2,Rayo Vallecano,360,['be7a936f-e779-43cb-a182-e7186788429c'],11,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:11.466,Pass,,2015/2016
,,,,,,,,,,,,,,,1.086021,,,,,,,,,,,,,,,63c79cda-b548-4e55-b7cd-f4406686b4bc,23,,,"[25.1, 64.3]",3825627,0,,,,,0.88847977,,Right Foot,,,"[36.8, 78.7]",,Ground Pass,,18.553976,,,,José Ignacio Martínez García,11298.0,,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Right Center Back,2,Rayo Vallecano,360,['b1f2a6b5-f86b-449b-bed2-bb00a33fc08d'],14,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:14.681,Pass,,2015/2016
,,,,,,,,,,,,,,,1.357601,,,,,,,,,,,,,,,94e83463-4f8e-4fbb-b62c-32c5aa3de39f,27,,,"[34.5, 77.6]",3825627,0,,,,,-2.5551097,,Left Foot,,,"[19.3, 67.5]",,Ground Pass,,18.249657,,,,Diego Javier Llorente Ríos,6713.0,,,,,,1,From Kick Off,José Ignacio Martínez García,11298.0,Right Back,2,Rayo Vallecano,360,"['21b63ee8-b91b-4900-a629-678a0e518bb9', 'd35b46cf-e13d-42db-8fd2-576cbe57fb6e']",16,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:16.466,Pass,True,2015/2016
,,,,,,,,,,,,,,,2.585888,,,,,,,,,,,,,,,6a2a088e-a77f-4d6c-bd67-4318cb167d9f,31,,,"[16.5, 65.0]",3825627,0,,,,,-0.5891442,,Left Foot,,,"[56.9, 38.0]",,High Pass,,48.59177,,Incomplete,,Javier Guerra Rodríguez,11542.0,,,,,,1,From Kick Off,Diego Javier Llorente Ríos,6713.0,Right Center Back,2,Rayo Vallecano,360,"['218a8ee9-ec48-4082-a2a5-a9469f21d573', 'ad8518dc-382c-4729-8ab8-8678522380cb', 'b88e90b5-e5a3-4442-bbee-2730a7eb7c37']",18,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:18.887,Pass,True,2015/2016
,,,,,,,,,,,,,,,0.703036,,,,,,,,,,,,,,,ae726556-8ea7-489f-925b-b1eca964ee5d,35,,,"[62.9, 42.3]",3825627,0,,,,,2.7109,,Right Foot,,,"[55.5, 45.7]",,Ground Pass,,8.143709,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['dbe59c82-96c2-400c-be41-e7fd52236702'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.395,Pass,,2015/2016
,,,,,,,,,,,,,,,2.712442,,,,,,,,,,,,,,,19ee82b4-152c-4fdd-be85-2d11c613620c,39,,,"[54.4, 48.9]",3825627,0,,,,,-2.7445133,,Left Foot,,,"[23.4, 35.9]",,Ground Pass,,33.61547,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['85133710-3d62-4c11-8586-b3b697cc6f5d', '9552b3fd-96c1-4eb1-ba7b-868a82f25e12']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.006,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.506113,,,,,,,,,,,,,,,5612dc2b-3f40-4b09-8838-0c1de96d0385,42,,,"[24.4, 36.5]",3825627,0,,,,,-1.2601978,,Right Foot,,,"[29.6, 20.3]",,Ground Pass,,17.014112,,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Barcelona,217,['1f97505c-13c2-4ebd-b49e-aa0941e78e34'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.981,Pass,,2015/2016
,,,,,,,,,,,,,,,1.152685,,,,,,,,,,,,,,,f5c1eba1-535e-4fd9-b9b5-0b9341105fdd,45,,,"[32.4, 16.6]",3825627,0,,,,,-1.0524483,,Left Foot,,,"[40.1, 3.1]",,Ground Pass,,15.541557,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,3,Barcelona,217,['ee34f1c5-d78d-4062-b2e8-44931f29fcdf'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.501,Pass,,2015/2016
,,,,,,,,,,,,,,,0.901566,,,,,,,,,,,,,,,7fd32a44-6f86-4ef3-bfbb-8a6b3b64996e,48,,,"[40.1, 3.1]",3825627,0,,,,,0.9017533,,Left Foot,,,"[46.9, 11.7]",,Ground Pass,,10.963576,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['5be2e063-c060-4a28-85c4-b14c6664c61b'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.367,Pass,,2015/2016
,,,,,,,,,,,,,,,1.067405,,,,,,,,,,,,,,,e1fea0aa-2bc1-451d-a3c9-a0135b70dad4,51,,,"[46.9, 11.7]",3825627,0,,,,,-2.9304993,,Right Foot,,,"[37.1, 9.6]",,Ground Pass,,10.022474,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Left Center Midfield,3,Barcelona,217,['007ef815-c3e9-4b7a-a335-6e6068a8bf92'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.308,Pass,,2015/2016
,,,,,,,,,,,,,,,2.037992,,,,,,,,,,,,,,,c974f6e7-7978-44a6-a27d-2a8d2125715c,55,,,"[37.1, 9.8]",3825627,0,,,,,2.9029834,,Left Foot,,,"[22.3, 13.4]",,Ground Pass,,15.231546,,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,"['c45aa6a1-20be-4d45-b781-a1cff32f4a46', 'c6950732-16a5-48a8-8e86-1e2a36a4b70c']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.456,Pass,True,2015/2016
,,,,,,,,,,,,,,,2.79002,,,,,,,,,,,,,,,dc1b404f-107f-4ebe-bda1-5e714b2f8e9a,58,,,"[22.3, 13.4]",3825627,0,,,,,1.7562995,,Left Foot,,,"[15.0, 52.3]",,Ground Pass,,39.579037,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Center Back,3,Barcelona,217,['84d359eb-030d-4f92-b739-5b350cce9cac'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.574,Pass,,2015/2016
,,,,,,,,,,,,,,,1.492657,,,,,,,,,,,,,,,f6dea031-b503-4003-9553-bdf8c43136ec,61,,,"[12.0, 56.6]",3825627,0,,,,,0.9023227,,Right Foot,,,"[25.9, 74.2]",,Ground Pass,,22.426992,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['0a92c271-ad27-4bb4-8263-5be1076d8870'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.890,Pass,,2015/2016
,,,,,,,,,,,,,,,0.177209,,,,,,,,,,,,,,,bcb8ef49-c525-4514-a2cf-b7300ee468f3,65,,,"[25.1, 75.2]",3825627,0,,,,,-0.18534794,,Right Foot,,,"[28.3, 74.6]",,Ground Pass,,3.255764,,Incomplete,,Sandro Ramírez Castillo,3508.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['5644d060-8f7a-4eea-812b-c783bfbfd222', 'e66bebc6-74d8-40b1-92bf-9623206ab366']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.781,Pass,,2015/2016
,,,,,,,,,,,,,,,1.696238,,,,,,,,,,,,,,,f0ab325b-74e6-4ea4-823a-bf00d5d2edbe,70,,,"[20.8, 75.7]",3825627,0,,,,,-2.2090018,,Right Foot,,,"[7.3, 57.5]",,Low Pass,,22.660318,,,,Gerard Piqué Bernabéu,5213.0,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['12e1b459-4a1d-435a-91a3-530edb17d135', '370b516a-6aef-4b19-8880-2cc3cfc46ca3']",44,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.749,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.7089,,,,,,,,,,,,,,,75509a01-b578-4fce-b476-f2f144d59938,73,,,"[6.9, 54.5]",3825627,0,,,,,-1.9202476,,Right Foot,,,"[2.6, 42.7]",,Ground Pass,,12.55906,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['b3089722-8113-4174-9b85-08a4f23d69c3'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.949,Pass,,2015/2016
,,,,,,,,,,,,,,,1.064425,,,,,,,,,,,,,,,998b74a4-86d6-4bc7-be0b-9b19ec9c5c56,76,,,"[2.6, 42.7]",3825627,0,,,,,0.38561708,,Right Foot,,,"[12.7, 46.8]",,Ground Pass,,10.900458,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Barcelona,217,['d8d220ce-ee89-42d4-a945-6e09eebaa1f7'],49,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.698,Pass,,2015/2016
,,,,,,,,,,,,,,,1.365834,,,,,,,,,,,,,,,7239bfc2-3b97-4e61-9156-50ac51c2ba8f,79,,,"[12.7, 46.8]",3825627,0,,,,,1.82364,,Right Foot,,,"[7.3, 67.7]",,Ground Pass,,21.586338,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['afd63931-17aa-4b33-a6c7-88bf36e3505f'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.803,Pass,,2015/2016
,,,,,,,,,,,,,,,2.660258,,,,,,,,,,,,,,,fb82487e-e626-4ac5-89c2-55fb922a1258,82,,,"[14.4, 74.6]",3825627,0,,,,,-0.13040331,,Right Foot,,,"[63.2, 68.2]",,High Pass,,49.217884,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['e3763307-4f91-4888-b0d4-fa215b4f3447'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.665,Pass,,2015/2016
,,,,,,,,,,,,,,,0.216067,,,,,,,,,,,,,,,d483105f-6502-4c94-a996-ea82bdea96e9,84,,,"[63.2, 68.2]",3825627,0,,,,,-0.16514868,,Head,,,"[67.4, 67.5]",,Low Pass,,4.2579336,,Incomplete,,Sandro Ramírez Castillo,3508.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,3,Barcelona,217,"['7a2de175-d78c-4e6b-bcf9-ea2f90f1dbf1', 'caae1ac6-b95d-4ee3-9dfe-69f8f87a7cbd']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.366,Pass,,2015/2016
,,,,,,,,,,,,,,,2.537842,,,,,,,,,,,,,,,dbf4608d-087b-4693-ac0b-5b4403871b4a,88,,,"[56.9, 11.3]",3825627,0,,,,,-0.36066532,,Right Foot,,,"[85.8, 0.4]",,High Pass,,30.887215,,Out,,,,,,,,,1,Regular Play,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,3,Barcelona,217,,59,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:59.917,Pass,,2015/2016
,,,,,,,,,,,,,,,0.805579,,,,,,,,,,,,,,,4774e086-4798-4492-9762-171c130a1033,89,,,"[38.6, 80.0]",3825627,1,,,,,-1.8692952,,,,,"[36.2, 72.2]",,Low Pass,,8.160882,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['e8bb3843-674c-4142-b40f-b877fdc52d8f'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.357,Pass,,2015/2016
,,,,,,,,,,,,,,,0.711374,,,,,,,,,,,,,,,df9c639a-b281-4a2a-bf70-a682625b3e36,92,,,"[36.2, 72.2]",3825627,1,,,,,1.4735432,,Right Foot,,,"[36.6, 76.3]",,Low Pass,,4.119466,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['e5a458fd-0cc0-4b7c-9ae0-8dda7794effa'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.203,Pass,,2015/2016
,,,,,,,,,,,,,,,1.624744,,,,,,,,,,,,,,,9c5d5f49-aba6-4ca5-962f-a1e817a37e12,94,,,"[36.6, 76.3]",3825627,1,,,,,-0.40047875,,Left Foot,,,"[50.3, 70.5]",,High Pass,,14.877164,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['34cb6bf6-2465-4bf4-b123-56274a384eb9'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.914,Pass,,2015/2016
,,,,,,,,,,,,,,,0.780946,,,,,,,,,,,,,,,ab0d4192-66a6-4189-9c3a-798358768dbf,96,,,"[50.3, 70.5]",3825627,1,,,,,0.6278366,,Head,,,"[56.5, 75.0]",,High Pass,,7.6609397,,,,Sandro Ramírez Castillo,3508.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,['f92ce871-3353-446c-9a08-0c6fd1010050'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.539,Pass,,2015/2016
,,,,,,,,,,,,,,,1.30364,,,,,,,,,,,,,,,bbc40941-4229-4c39-96cc-d62e79178c13,98,,,"[56.5, 75.0]",3825627,1,,,,True,0.043450896,,,,,"[65.7, 75.4]",,High Pass,,9.208692,,Incomplete,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Sandro Ramírez Castillo,3508.0,Right Wing,4,Barcelona,217,"['10062036-1ff1-483b-9a33-91e9ed0406fd', '30dc07b4-e540-40de-acbb-591253985f63', '8888924a-f98b-4730-baf9-42036561ac77']",23,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.360,Pass,True,2015/2016
,,,,,,,,,,,,,,,1.487128,,,,,,,,,,,,,,,30dc07b4-e540-40de-acbb-591253985f63,101,,,"[54.4, 4.7]",3825627,1,,,,,0.3060703,,Left Foot,,,"[79.4, 12.6]",,High Pass,,26.218506,,,,Javier Guerra Rodríguez,11542.0,,,,,Recovery,1,From Throw In,José Eduardo Rosa Vale de Castro,26222.0,Left Center Back,4,Barcelona,217,"['3618f13d-6629-44c9-a7bc-226fb7a75417', 'bbc40941-4229-4c39-96cc-d62e79178c13']",24,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:24.664,Pass,,2015/2016
,,,,,,,,,,,,,,,1.345581,,,,,,,,,,,,,,,3f7804d1-9e3a-448d-8aee-cfcfcd2c8d72,104,,,"[79.4, 12.6]",3825627,1,,,,,3.0216887,,Other,,,"[71.1, 13.6]",,High Pass,,8.3600235,,Incomplete,,Patrick Ebert,9246.0,,,,,,1,From Throw In,Javier Guerra Rodríguez,11542.0,Center Forward,4,Barcelona,217,"['2b3fb2d4-586f-4db6-bc53-fb494693d6ff', '4d6f906b-3025-40bd-82d0-a6f320616622']",26,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:01:26.176,Pass,,2015/2016
,,,,,,,,,,,,,,,4.063827,,,,,,,,,,,,,,,8a066413-ba32-432f-938e-76bd9f4dbcec,107,,,"[42.2, 43.4]",3825627,1,,,,,-2.0550697,,Right Foot,,,"[21.0, 3.1]",,Ground Pass,,45.53603,,,,Jordi Alba Ramos,5211.0,,True,,,Recovery,1,From Throw In,Sergi Roberto Carnicer,6379.0,Left Center Midfield,4,Barcelona,217,['c59a52de-71dc-4ac3-8f9f-e8b6db93f420'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.542,Pass,,2015/2016
