50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,1.785261,,,,,,,,,,,,,3ea64e08-2133-493a-8c2b-8c64330fbfe2,18,,,"[40.9, 31.7]",70275,0,,,,,1.5310822,,Right Foot,,,,"[42.1, 61.9]",,Ground Pass,,30.223831,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,"['70028eee-e863-41ee-a9e3-cac9489955d3', 'f0dfdb8a-9fe5-4595-8103-43bce2d511b6']",12,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.915,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,,1.497529,,,,,,,,,,,,,ac715555-514e-4d14-a9c9-eddc167de576,21,,,"[45.7, 62.6]",70275,0,,,,,-2.567926,,Right Foot,,,,"[32.7, 54.2]",,Ground Pass,,15.477726,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['6e9264ad-a2c2-4a80-ba83-d6d4b539f50e'],16,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.906,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,0.819407,,,,,,,,,,,,,8a793bd6-2bb3-45ba-94e4-6b3a788010d8,24,,,"[32.5, 53.3]",70275,0,,,,,-1.0153025,,Right Foot,,,,"[41.5, 38.8]",,Ground Pass,,17.066048,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,2,Barcelona,217,['2e921692-886a-46d8-a31b-3d9a2f27982b'],19,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.616,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.338585,,,,,,,,,,,,,6d2f6c81-87dd-447f-9b2d-9c78416a2f06,27,,,"[40.5, 38.6]",70275,0,,,,,1.6814536,,Right Foot,,,,"[38.8, 53.9]",,Ground Pass,,15.394155,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['335e08ff-5b5e-4089-b6dd-6d8c5431ae0d'],22,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.177,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.797685,,,,,,,,,,,,,388f076a-c6eb-4111-bed2-beed7b417b17,30,,,"[43.2, 55.4]",70275,0,,,,,-1.5842184,,Right Foot,,,,"[42.8, 25.6]",,Ground Pass,,29.802685,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,2,Barcelona,217,['3bbeebc0-e71b-4018-a1b5-5534717e3535'],25,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.767,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.077068,,,,,,,,,,,,,d0e35b6b-0636-4fce-8259-89d684b76486,33,,,"[66.1, 23.5]",70275,0,,,,,-0.520651,,Right Foot,,,,"[80.4, 15.3]",,Ground Pass,,16.484236,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['ed4bcee1-73f5-482a-8cc2-8e7e7dbcfb19'],30,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.851,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.21933,,,,,,,,,,,,,2c269c62-c32e-4ebf-8334-886449ad2d3a,36,,,"[82.5, 14.2]",70275,0,,,,,-0.70172304,,Right Foot,,,,"[90.9, 7.1]",,Ground Pass,,10.998636,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,['271a7b61-3b56-480f-b7bf-b4a1cbcb2b24'],32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.823,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,0.970135,,,,,,,,,,,,,1d078cdd-a755-46f0-8a1c-80b496223fbc,39,,,"[93.0, 4.1]",70275,0,,,,,-3.1049118,,Right Foot,,,,"[82.1, 3.7]",,Ground Pass,,10.907337,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,2,Barcelona,217,['f2795bb3-1cfd-4e19-9b65-fe69c5e955e4'],35,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.494,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.2423,,,,,,,,,,,,,724e0b52-d45c-4942-ba16-b61b0b51b8f7,42,,,"[78.3, 4.3]",70275,0,,,,,1.3179022,,Left Foot,,,,"[80.6, 13.2]",,Ground Pass,,9.192389,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['677206e6-4485-4c09-98f2-d8d5ecc9388d'],37,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.021,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.420985,,,,,,,,,,,,,254902bf-61ff-4bc0-a336-69a6e0b61f5b,47,,,"[80.8, 19.7]",70275,0,,,,,0.7221219,,Right Foot,,,,"[100.1, 36.7]",,Ground Pass,,25.719448,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,Through Ball,True,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,2,Barcelona,217,"['1003596f-6e11-43e8-8da1-d91095090fda', '74a5181c-2f95-4364-882e-96bf04bec74e', 'd96f2845-7b28-4e4c-995d-1b848e49651f']",39,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.207,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,,1.165336,,,,,,,,,,,,,1003596f-6e11-43e8-8da1-d91095090fda,49,,,"[20.9, 44.3]",70275,0,,,,,0.61253756,,Right Foot,,,,"[32.0, 52.1]",,Low Pass,,13.566503,,,,,Hedwiges Maduro,26396.0,,,,,Interception,1,From Kick Off,Alberto Botía Rabasco,26638.0,Right Center Back,2,Barcelona,217,"['254902bf-61ff-4bc0-a336-69a6e0b61f5b', 'e4426906-0a24-4a73-a199-90acba4b6ded']",40,,,,,,,,,,,,,,,,Sevilla,213,00:00:40.628,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,3.280534,,,,,,,,,,,,,b0dd2974-2924-4e9b-b5ee-a7efcf1a35f4,53,,,"[32.6, 56.7]",70275,0,,,,,0.5144513,,Right Foot,,,,"[67.1, 76.2]",,Low Pass,,39.629536,,,Unknown,,Jesús Navas González,6821.0,,,,,,1,From Kick Off,Hedwiges Maduro,26396.0,Left Defensive Midfield,2,Barcelona,217,"['1ce24b71-5458-4815-8bf1-7ff3dec77069', '4047f812-69c2-4ce7-9e81-1b57013387bd']",42,,,,,,,,,,,,,,,,Sevilla,213,00:00:42.613,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,,0.294357,,,,,,,,,,,,,9d96504a-6b07-4957-9a2c-3cff5ee6f3e4,57,,,"[56.8, 3.9]",70275,1,,True,,,2.768605,,Right Foot,,,,"[47.6, 7.5]",,Ground Pass,,9.8792715,,,,,Javier Alejandro Mascherano,5506.0,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['bbebe18b-db96-481d-8e7a-580c5ed9fd87'],4,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.236,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,2.389593,,,,,,,,,,,,,0ac2b21e-d727-4ba1-b828-95d1ab44ee11,59,,,"[38.8, 8.6]",70275,1,,,,,1.5763673,,Right Foot,,,,"[38.6, 44.5]",,Ground Pass,,35.90056,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['05893ad3-1d4e-40d4-b895-4d17b8c02678'],6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.290,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.593475,,,,,,,,,,,,,7cf191d7-3e5d-4563-897d-fcd74537508d,62,,,"[40.5, 44.3]",70275,1,,,,,1.2700217,,Right Foot,,,,"[47.2, 65.9]",,Ground Pass,,22.615261,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,3,Barcelona,217,['7e0d7a37-b5e3-4c0e-90a8-d9795304e42d'],9,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.603,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.406546,,,,,,,,,,,,,36d3333e-a4f9-475a-a53e-db399c0de9ba,66,,,"[52.2, 66.3]",70275,1,,,,,-2.2876,,Right Foot,,,,"[40.0, 52.3]",,Ground Pass,,18.569868,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['09285d0e-3d7e-4569-a49f-ab572af9abee', '360a7275-6408-4dd6-98e6-807250a66bb2']",12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.145,Pass,True,2012/2013
,,,,,,,,,,,,,,,,,,,1.0763,,,,,,,,,,,,,f89558ef-a984-4efe-8ee1-db0bea3540f6,69,,,"[38.8, 50.6]",70275,1,,,,,-0.31445143,,Right Foot,,,,"[59.4, 43.9]",,Ground Pass,,21.66218,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,3,Barcelona,217,['f23f0a4d-594a-4d0b-b475-b0861a72848a'],14,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.808,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.3057,,,,,,,,,,,,,065e96ae-4058-4bdb-8634-be5b4d399b8e,71,,,"[59.4, 43.9]",70275,1,,,,,2.7698836,,Left Foot,,,,"[47.6, 48.5]",,Ground Pass,,12.664912,,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['27135e08-560f-4cef-9321-ae4714629fd5'],15,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.885,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,2.101469,,,,,,,,,,,,,49039fdd-8e3f-402c-b448-8ff9844a144a,73,,,"[47.4, 48.1]",70275,1,,,,,-1.3833672,,Right Foot,,,,"[51.8, 24.9]",,Ground Pass,,23.613556,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Alexandre Dimitri Song-Billong,27053.0,Right Center Back,3,Barcelona,217,['c6c2fda7-06be-41cb-9d0b-3d0eb8753c91'],17,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.190,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,0.7984,,,,,,,,,,,,,2eb3c8e7-8f73-4e8a-aa2c-e4cb14e099f2,76,,,"[52.2, 22.6]",70275,1,,,,,0.28805545,,Right Foot,,,,"[65.7, 26.6]",,Ground Pass,,14.080128,,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['396d8f26-b400-4d96-a874-9092fb75b297'],20,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.605,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.208005,,,,,,,,,,,,,46e41ca0-e44e-4e28-8303-28ecb1009ef9,79,,,"[65.7, 26.6]",70275,1,,,,,-2.6677413,,Right Foot,,,,"[50.1, 18.6]",,Ground Pass,,17.531685,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,['1cd0379f-b601-4283-b1e5-f711dc0b993e'],21,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.443,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.3846,,,,,,,,,,,,,508aa3a8-a7a0-48ec-878f-199f2384f586,82,,,"[52.4, 18.2]",70275,1,,,,,-0.38495737,,Right Foot,,,,"[75.6, 8.8]",,Ground Pass,,25.031979,,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['b5771978-97b0-4c44-9434-d512f5290fc0'],23,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.899,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,0.677,,,,,,,,,,,,,d365924b-6180-4816-999c-f324e3f5f9ea,86,,,"[77.4, 6.9]",70275,1,,,,,-2.7201734,,Right Foot,,,,"[71.6, 4.3]",,Ground Pass,,6.3560996,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,3,Barcelona,217,['90e85c16-d24c-4685-8fc8-91e6f289a3ab'],25,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.943,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.6408,,,,,,,,,,,,,0869d62e-9e21-4428-a2a8-0a7e9d045130,88,,,"[71.6, 4.3]",70275,1,,,,,0.7719461,,Left Foot,,,,"[82.9, 15.3]",,Low Pass,,15.769908,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['430dbd9c-1aaf-4062-a103-4e676b030a79'],26,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.620,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,2.286479,,,,,,,,,,,,,21f6fcbe-75f7-4101-8128-87efb25f5f4f,91,,,"[82.9, 15.3]",70275,1,,,,,-0.92467743,,Right Foot,,,,"[87.5, 9.2]",,Ground Pass,,7.640026,,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,3,Barcelona,217,"['359f9720-bcfa-4063-8dca-3a7ab9902a44', 'ca4a878b-0f46-458e-8001-c8b5c4b122ed']",28,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.301,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.8457,,,,,,,,,,,,,691dbcd1-bac0-41a6-948b-e9aa44153f84,99,,,"[28.8, 77.1]",70275,1,,,,,-0.8304804,,Right Foot,,,,"[41.5, 63.2]",,Ground Pass,,18.82817,,,Incomplete,,,,,,,,,1,From Free Kick,Alberto Botía Rabasco,26638.0,Right Center Back,3,Barcelona,217,['4e34593f-ca1e-4f34-b011-63d7da91c193'],31,,,,,,,,,,,,,,,,Sevilla,213,00:01:31.814,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,0.9452,,,,,,,,,,,,,4e34593f-ca1e-4f34-b011-63d7da91c193,100,,,"[79.5, 17.8]",70275,1,,,,,0.1746722,31b5c900-3972-4d97-b78b-1aa122d09b35,Right Foot,,,,"[99.9, 21.4]",,Ground Pass,,20.715212,,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,True,,,,Recovery,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,3,Barcelona,217,"['691dbcd1-bac0-41a6-948b-e9aa44153f84', '9cacbf08-23dd-4f53-a471-d001cbfc2af5']",33,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.659,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,2.5519,,,,,,,,,,,,,14f97198-4a0f-4a7a-8706-7f2d97e08180,107,,,"[7.0, 45.0]",70275,1,,True,,,1.4308089,,Right Foot,,,,"[10.1, 67.0]",,Ground Pass,,22.217335,,,,,Alex Sandro Mendonça Dos Santos,27119.0,,,,,Goal Kick,1,From Goal Kick,Andrés Palop Cervera,25946.0,Goalkeeper,4,Sevilla,213,['5366c392-bf00-4047-ada6-bda9590f44da'],54,,,,,,,,,,,,,,,,Sevilla,213,00:01:54.230,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,1.821497,,,,,,,,,,,,,f84e3ad6-10a0-4fcd-9b63-7e7d4a0345bd,109,,,"[10.1, 67.0]",70275,1,,True,,,-1.7573762,,Right Foot,,,,"[6.4, 47.4]",,Ground Pass,,19.946178,,,,,Andrés Palop Cervera,25946.0,,,,,,1,From Goal Kick,Alex Sandro Mendonça Dos Santos,27119.0,Right Back,4,Sevilla,213,['a43b6f4b-d763-47fd-8ba1-eec6f77338f6'],56,,,,,,,,,,,,,,,,Sevilla,213,00:01:56.806,Pass,,2012/2013
,,,,,,,,,,,,,,,,,,,2.314166,,,,,,,,,,,,,bd91fddb-2a25-4b5e-b1bf-79c8c3909873,112,,,"[14.6, 45.8]",70275,2,,,,,-0.42645967,,Right Foot,,,,"[59.5, 25.4]",,High Pass,,49.317036,,,,,Álvaro Negredo Sánchez,20542.0,,,,,,1,From Goal Kick,Andrés Palop Cervera,25946.0,Goalkeeper,4,Sevilla,213,"['43ce8dcd-65de-47ab-ac33-09489dec2b45', 'c05dd2f7-e719-44dc-85fc-1b2a9566466e']",2,,,,,,,,,,,,,,,,Sevilla,213,00:02:02.724,Pass,True,2012/2013
