50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.3049,,,,,,,,,,,,10cbaee8-32b5-41b0-b4f1-46812939a840,53,,"[64.1, 3.9]",266528,0,,,,0.77131456,,Right Foot,,,"[74.9, 14.4]",,High Pass,,15.062868,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,"['99061d83-7f03-4db6-b970-70cd63c1b8f0', 'e69e13f8-bee0-466f-aa42-5aae0988b8fb']",51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.763,Pass,True,2016/2017
,,,,,,,,,,,,,,4.127646,,,,,,,,,,,,f94fa2bb-acee-4788-87ce-9a790098dad7,55,,"[74.9, 14.4]",266528,0,,,,2.9390159,,Right Foot,,,"[26.7, 24.3]",,High Pass,,49.2062,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['7f033197-70f8-4815-87a2-1534097a001c'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.068,Pass,,2016/2017
,,,,,,,,,,,,,,1.491366,,,,,,,,,,,,3ad24bde-341d-456c-8e95-4450bb0fe5bd,58,,"[25.5, 25.8]",266528,0,,,,1.1564285,,Right Foot,,,"[36.1, 49.9]",,Ground Pass,,26.328121,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['508eda75-3431-4b71-85e3-573edb214cd3'],57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.747,Pass,,2016/2017
,,,,,,,,,,,,,,1.028021,,,,,,,,,,,,e898482d-6b80-4097-9fa0-9f82563308d1,62,,"[48.9, 57.6]",266528,1,,,,1.1537471,,Right Foot,,,"[55.9, 73.4]",,Ground Pass,,17.281204,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['b20b65f3-b79f-4669-ba8f-0e1180bd57b6'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.834,Pass,,2016/2017
,,,,,,,,,,,,,,0.7186,,,,,,,,,,,,c094f9f7-a93f-4503-b1e7-981d26aba3ad,66,,"[57.3, 73.1]",266528,1,,,,0.7551044,,Right Foot,,,"[62.4, 77.9]",,Ground Pass,,7.0035706,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['0f7fd1c6-0908-43ca-bbd2-f0e905e8578d'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.507,Pass,,2016/2017
,,,,,,,,,,,,,,0.721778,,,,,,,,,,,,21861e33-3b62-4f58-b22b-f68a67a4297c,69,,"[63.1, 77.7]",266528,1,,,,-2.756729,,Left Foot,,,"[55.2, 74.5]",,Ground Pass,,8.523497,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['8649215d-89ed-40f2-ba12-966bcb1ba1b3', 'b9bc1056-6b7a-4d11-aef6-b0e2cea000a1']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.226,Pass,True,2016/2017
,,,,,,,,,,,,,,1.265384,,,,,,,,,,,,fa78252f-954e-4584-8fe3-f4e31a23c0c9,73,,"[42.1, 62.3]",266528,1,,,,0.55928516,,Right Foot,,,"[55.2, 70.5]",,Ground Pass,,15.454773,,,,Denis Suárez Fernández,6609.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['42d59400-9579-4fe2-8d63-4771c2ee763e'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.621,Pass,,2016/2017
,,,,,,,,,,,,,,6.355274,,,,,,,,,,,,510aecf5-32b1-49ca-87f3-0b6befef16d0,76,,"[63.4, 72.9]",266528,1,,,,-0.17954032,,Right Foot,,,"[119.6, 62.7]",,Ground Pass,,57.118122,,Out,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Denis Suárez Fernández,6609.0,Right Center Midfield,2,Barcelona,217,['85a34107-e001-4d21-8479-b58588027120'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.130,Pass,,2016/2017
,,,,,,,,,,,,,,3.2656,,,,,,,,,,,,21786034-c1c4-472f-85d9-a473cdc9e5ed,80,,"[7.0, 36.1]",266528,1,,,,-0.37983793,,Right Foot,,,"[58.6, 15.5]",,High Pass,,55.56006,,Incomplete,,Gerard Moreno Balaguero,6766.0,,,,,Goal Kick,1,From Goal Kick,Diego López Rodríguez,6768.0,Goalkeeper,3,Espanyol,214,"['a634c456-4df0-4473-9529-06bfc28a0fe6', 'f9ca901c-da96-43f4-8e4f-f0efe27d8501']",47,,,,,,,,,,,,,,,,,Espanyol,214,00:01:47.705,Pass,,2016/2017
,,,,,,,,,,,,,,1.24693,,,,,,,,,,,,a634c456-4df0-4473-9529-06bfc28a0fe6,82,,"[61.5, 64.6]",266528,1,,,True,-1.318841,,,,,"[64.1, 54.5]",,Low Pass,,10.429286,,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Denis Suárez Fernández,6609.0,Right Center Midfield,3,Espanyol,214,"['21786034-c1c4-472f-85d9-a473cdc9e5ed', '9ef52f4f-8cb2-4506-b58d-df4cc03d0c41', 'f8434501-cbb6-4577-92a9-5df7257c3427']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.970,Pass,True,2016/2017
,,,,,,,,,,,,,,1.126853,,,,,,,,,,,,0452c031-ec02-49da-a9c1-e854b376280f,86,,"[50.4, 18.8]",266528,1,,,,-2.220197,,Right Foot,,,"[42.2, 8.0]",,Ground Pass,,13.560236,,,,Aarón Martín Caricol,6757.0,,,,,,1,From Goal Kick,Papa Kouly Diop,6867.0,Left Defensive Midfield,3,Espanyol,214,['118b5938-f142-4d39-b433-d1d4bf258bab'],53,,,,,,,,,,,,,,,,,Espanyol,214,00:01:53.098,Pass,,2016/2017
,,,,,,,,,,,,,,0.2066,,,,,,,,,,,,29061998-af66-4558-a539-e33708641605,90,,"[41.5, 5.6]",266528,1,,,,0.20749623,,Left Foot,,,"[43.4, 6.0]",,High Pass,,1.9416488,,Incomplete,,,,,,,,,1,From Goal Kick,Aarón Martín Caricol,6757.0,Left Back,3,Espanyol,214,"['609c4665-22f7-491d-9673-d76a52001997', 'e0e3b3c5-a41f-484c-8551-33ddf6b92147']",55,,,,,,,,,,,,,,,,,Espanyol,214,00:01:55.297,Pass,True,2016/2017
,,,,,,,,,,,,,,1.8083,,,,,,,,,,,,877929af-faf0-46aa-864f-8a58d7ce1b93,93,,"[63.8, 74.1]",266528,1,,,,-1.049362,,Head,,,"[69.2, 64.7]",,High Pass,,10.840664,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,Recovery,1,From Goal Kick,Sergi Roberto Carnicer,6379.0,Right Back,3,Espanyol,214,"['20c5fb8d-d188-4e6b-801d-9d3aec8d3da2', '3f187a2f-4f4c-43b3-91d9-70168ba74cce', 'fa8bff7c-2ae2-48b5-bfe2-3f8dc6e16f15']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.782,Pass,True,2016/2017
,,,,,,,,,,,,,,1.2491,,,,,,,,,,,,3f187a2f-4f4c-43b3-91d9-70168ba74cce,96,,"[50.9, 15.4]",266528,1,,,True,1.4056476,,,,,"[52.6, 25.6]",,Low Pass,,10.340696,,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Papa Kouly Diop,6867.0,Left Defensive Midfield,3,Espanyol,214,"['6e48f416-ec7f-4cde-9496-3758a95f9755', '82fcf1dc-b43a-4436-b9ab-d3ee57c321fc', '877929af-faf0-46aa-864f-8a58d7ce1b93']",59,,,,,,,,,,,,,,,,,Espanyol,214,00:01:59.590,Pass,True,2016/2017
,,,,,,,,,,,,,,0.7713,,,,,,,,,,,,82fcf1dc-b43a-4436-b9ab-d3ee57c321fc,97,,"[67.5, 54.5]",266528,2,,,,2.861986,,Head,,,"[57.4, 57.4]",,Low Pass,,10.508092,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,"['0b88a548-1f46-42a1-8bf5-09856fda7db1', '3f187a2f-4f4c-43b3-91d9-70168ba74cce']",0,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.839,Pass,,2016/2017
,,,,,,,,,,,,,,1.0313,,,,,,,,,,,,d90fc73e-6bd9-48dd-a1a6-f5fe85d7241d,99,,"[57.4, 57.4]",266528,2,,,,-2.391474,,Right Foot,,,"[53.0, 53.3]",,Low Pass,,6.01415,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['f1fd48b5-d6d7-48f5-835e-d531ce270691'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.610,Pass,,2016/2017
,,,,,,,,,,,,,,3.338414,,,,,,,,,,,,8e278dae-40fc-44d8-88e1-6c675d2443df,103,,"[53.0, 53.1]",266528,2,,,,0.33119413,,Right Foot,,,"[81.5, 62.9]",,High Pass,,30.13785,,Pass Offside,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['f4a7d348-b31e-47b9-b152-ade3b8d7e971'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.740,Pass,,2016/2017
,,,,,,,,,,,,,,1.099468,,,,,,,,,,,,23bdc660-721c-4acc-b50f-a0382f7cdd9e,105,,"[27.8, 4.4]",266528,2,,,,2.5743418,,Left Foot,,,"[15.4, 12.3]",,Ground Pass,,14.702721,,,,Diego Antonio Reyes Rosales,16539.0,,,,,Free Kick,1,From Free Kick,Aarón Martín Caricol,6757.0,Left Back,5,Espanyol,214,['7fd95763-0325-4444-b7be-006ae4b62538'],11,,,,,,,,,,,,,,,,,Espanyol,214,00:02:11.364,Pass,,2016/2017
