50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.4436,,,,,,,,,,,,f8ff3b5d-4dd3-4900-a505-403e03da53cc,54,,"[111.2, 70.3]",69229,1,,,,,-2.672405,,Left Foot,,,"[96.8, 63.0]",,Ground Pass,,16.144659,,,,Zlatan Ibrahimović,3672.0,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,5,Barcelona,217,['d9502c97-561f-4737-8500-f436837580ad'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.666,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.454644,,,,,,,,,,,,346e80b0-1cf4-4cdd-890d-005c54ca2dfa,58,,"[97.1, 66.1]",69229,1,,,,,-1.7561443,,Right Foot,,,"[93.5, 46.9]",,Ground Pass,,19.534584,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Zlatan Ibrahimović,3672.0,Center Forward,5,Barcelona,217,"['14481253-9b60-4fac-ac61-e8c07a1726c8', 'aa306a89-260c-4d64-b6d0-81fa39e70ae5']",26,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.344,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.462155,,,,,,,,,,,,1408221f-259a-4dc7-89d2-93d1627a7847,62,,"[29.2, 33.2]",69229,1,,,,,-1.0829599,,Right Foot,,,"[37.0, 18.5]",,Ground Pass,,16.641214,,,,Adrián González Morales,6557.0,,,,,,1,Regular Play,Daniel Parejo Muñoz,6595.0,Right Defensive Midfield,6,Getafe,216,['d84a8ca5-2b78-422c-9a67-7373f0df596c'],28,,,,,,,,,,,,,,,,,Getafe,216,00:01:28.805,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.264374,,,,,,,,,,,,3fa9f85c-3307-4ad6-9acd-41c42fc9ba63,66,,"[41.3, 19.6]",69229,1,,,,,0.7853982,,Left Foot,,,"[56.8, 35.1]",,High Pass,,21.920311,,Unknown,,Juan Ángel Albín Leites,26425.0,,,,,,1,Regular Play,Adrián González Morales,6557.0,Center Attacking Midfield,6,Getafe,216,"['ebe058df-5da7-4578-a717-0beed3b66ead', 'f9597225-3be8-4724-817c-030f81caa2dd']",30,,,,,,,,,,,,,,,,,Getafe,216,00:01:30.975,Pass,True,2009/2010
,,,,,,,,,,,,,,,,1.327126,,,,,,,,,,,,dc357fc5-ba4e-453d-9135-6a01b04dd4aa,71,,"[62.7, 35.5]",69229,2,,,,,2.1269627,,Left Foot,,,"[55.8, 46.6]",,Ground Pass,,13.069813,,,,Daniel Alberto Díaz,26496.0,,,,,Free Kick,1,From Free Kick,Fabio Celestini,20321.0,Left Defensive Midfield,7,Getafe,216,['dfd3c1a4-13f9-428b-8a5c-22cef010538a'],10,,,,,,,,,,,,,,,,,Getafe,216,00:02:10.697,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.9407,,,,,,,,,,,,f978aa68-b68c-4189-aa0e-97b2424efa66,75,,"[56.8, 48.2]",69229,2,,,,,0.90569365,,Right Foot,,,"[80.8, 78.8]",,Low Pass,,38.889072,,,,Pedro León Sánchez Gil,6907.0,,,,,,1,From Free Kick,Daniel Alberto Díaz,26496.0,Right Center Back,7,Getafe,216,"['0f009253-ad91-4ef4-9b49-d7c0b0ad7e1b', 'a5794e5e-b8ee-476b-960d-56f5bde7043b']",13,,,,,,,,,,,,,,,,,Getafe,216,00:02:13.322,Pass,True,2009/2010
,,,,,,,,,,,,,,,,1.1281,,,,,,,,,,,,ee0df6d8-dd12-411f-a741-32857c6fff23,80,,"[41.6, 3.1]",69229,2,,,,,0.25289407,,Left Foot,,,"[50.5, 5.4]",,Low Pass,,9.192389,,,,Jeffren Isaac Suárez Bermúdez,26624.0,,,,,Recovery,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,8,Barcelona,217,['cd734953-039f-43e9-a5c2-1e626decd1eb'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:02:16.485,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.1275,,,,,,,,,,,,b30f1f58-d533-40fb-bf2c-a678283e6830,83,,"[50.5, 5.4]",69229,2,,,,,2.2555258,,Right Foot,,,"[41.6, 16.3]",,Ground Pass,,14.071958,,,,Seydou Kéita,20169.0,,,,,,1,Regular Play,Jeffren Isaac Suárez Bermúdez,26624.0,Left Wing,8,Barcelona,217,['771b80b0-ff87-458e-b2ff-59bda4019740'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.653,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.033681,,,,,,,,,,,,f5688aad-eb26-4f50-b8f5-5a43b0b24b2e,87,,"[54.7, 18.6]",69229,2,,,,,1.8347601,,Left Foot,,,"[53.7, 22.3]",,Ground Pass,,3.8327537,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,8,Barcelona,217,['c1429766-364a-48e4-84cd-81a591239869'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:02:24.151,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.527507,,,,,,,,,,,,29e7c559-9fda-4016-8b88-88d7ee3b175d,90,,"[55.7, 34.2]",69229,2,,,,,1.5999143,,Right Foot,,,"[55.1, 54.8]",,Ground Pass,,20.608736,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,8,Barcelona,217,['5898b498-f8a9-4348-9184-2c25da1b561e'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:02:27.702,Pass,,2009/2010
