50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.472218,,,,,,,,,,,,,3712d085-2831-403e-b835-5255d1836bff,59,,"[33.7, 54.3]",69207,0,,,,-0.70466787,,Right Foot,,,,"[50.4, 40.1]",,Ground Pass,,21.920994,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,"['9af93159-0180-42d0-9b1b-5816234589b5', 'd53b8eaf-f7ee-4545-ae2f-f9dff64ae2a1']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.447,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.167,,,,,,,,,,,,,b0fa7c8c-806b-44b9-a51a-1b1f75845870,63,,"[45.7, 38.3]",69207,0,,,,-0.8866136,,Right Foot,,,,"[57.2, 24.2]",,Ground Pass,,18.195055,,,,,Seydou Kéita,20169.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,['4ab3753c-3b7b-4d11-a4f8-cf0180a19555'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.396,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.48661,,,,,,,,,,,,,a23c5df0-4f78-4422-a154-c9fdbbf46dfb,67,,"[54.8, 24.5]",69207,0,,,,-2.2703526,,Left Foot,,,,"[39.4, 6.2]",,Ground Pass,,23.917566,,,,,José Martín Cáceres Silva,5248.0,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,4,Barcelona,217,"['5572149d-48a7-4f94-a517-dcf345eb3dac', '6daff3de-b138-4a26-b528-499457ea3b7f']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.792,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.529761,,,,,,,,,,,,,c95fe0fe-5446-43bd-8f8a-920512df850b,70,,"[39.2, 7.5]",69207,0,,,,-0.15865526,,Right Foot,,,,"[64.2, 3.5]",,Ground Pass,,25.317978,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,José Martín Cáceres Silva,5248.0,Left Center Back,4,Barcelona,217,['17782649-062e-4d6a-8354-36a1fbace7af'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.904,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.614691,,,,,,,,,,,,,6cad33c3-c4e8-4bfc-9876-fe78d95ef193,73,,"[68.0, 3.7]",69207,1,,,,0.8550527,,Left Foot,,,,"[72.0, 8.3]",,Ground Pass,,6.0959,,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,"['46ea274c-c26f-4018-a8d9-45271cdfde67', 'e141c9b2-445f-4117-af2a-8705d88d682d']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.597,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.18882,,,,,,,,,,,,,820d1720-68e7-4c09-a3b6-20cb4b90f522,80,,"[64.4, 18.8]",69207,1,,,,2.278573,,Left Foot,,,,"[56.1, 28.5]",,Ground Pass,,12.766362,,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['b64caed2-722c-408d-85ca-9f97899c9b55'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.480,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.4652,,,,,,,,,,,,,ceb12ef5-b810-4706-9b30-bead1ac16584,84,,"[55.0, 28.7]",69207,1,,,,2.4318075,,Right Foot,,,,"[40.8, 40.9]",,Ground Pass,,18.721111,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,4,Barcelona,217,"['36cc9a9d-3783-4d19-a888-60557726b97b', 'a1a0c516-44c1-4fb0-bd28-1d8cee4929d5']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.927,Pass,True,2008/2009
,,,,,,,,,,,,,,,,0.8831,,,,,,,,,,,,,d72272e4-9c9a-43e7-aa80-66732b233f79,87,,"[45.0, 44.9]",69207,1,,,,-0.4275385,,Right Foot,,,,"[69.8, 33.6]",,Low Pass,,27.253073,,,Incomplete,,Seydou Kéita,20169.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,"['18ac57d3-9ae3-4abf-a7ed-da32d113821c', 'c80ba18e-c9a6-4da0-b1d6-c67786f94443']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.423,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.286235,,,,,,,,,,,,,c80ba18e-c9a6-4da0-b1d6-c67786f94443,89,,"[50.3, 46.5]",69207,1,,,,-0.0540015,,Right Foot,,,,"[65.1, 45.7]",,Low Pass,,14.821606,,,,,Sergio García De La Fuente,6767.0,,,,,Recovery,1,Regular Play,Marco Aurélio Brito Dos Prazeres,20023.0,Right Center Midfield,5,Real Betis,218,"['23d28167-585a-4acb-acb0-ead349f04ea1', 'd72272e4-9c9a-43e7-aa80-66732b233f79']",13,,,,,,,,,,,,,,,,,Real Betis,218,00:01:13.306,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.889887,,,,,,,,,,,,,5b6de6ae-39da-4cc9-a111-b757e604cf48,92,,"[65.1, 45.7]",69207,1,,,,3.1302295,,Right Foot,,,,"[56.3, 45.8]",,Ground Pass,,8.800569,,,,,Marco Aurélio Brito Dos Prazeres,20023.0,,,,,,1,Regular Play,Sergio García De La Fuente,6767.0,Center Forward,5,Real Betis,218,['85963205-2684-4560-b8df-f8b3961a28bb'],14,,,,,,,,,,,,,,,,,Real Betis,218,00:01:14.668,Pass,,2008/2009
