ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.619505,,,,,,,,,,,,af2402b2-9879-437b-b2b0-b69711d94de2,2341,,,"[46.5, 9.6]",69185,61,,,,,1.327063,,Right Foot,,"[51.2, 28.5]",,Ground Pass,,19.475626,,,,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Thierry Henry,15516.0,Left Wing,156,Barcelona,217,['b809461e-22ae-4fcf-a7e5-22d1911dd4f5'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:33.460,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.870927,,,,,,,,,,,,16d2cc46-94fc-40e7-ab8c-315607b40549,2344,,,"[51.2, 28.5]",69185,61,,,,,-0.38050637,,Right Foot,,"[63.2, 23.7]",,Ground Pass,,12.924396,,,,,Samuel Eto''o Fils,19298.0,,,,,,,2,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,156,Barcelona,217,['da42c5be-c804-4012-a9b2-ea4c5513ffaa'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:35.119,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.479856,,,,,,,,,,,,facd367f-661a-402b-a8e2-dd724a9ab4cf,2348,,,"[72.0, 21.8]",69185,61,,,,,-0.29645342,,Right Foot,,"[99.5, 13.4]",,Ground Pass,,28.754305,,,,,Thierry Henry,15516.0,,,,,,,2,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,156,Barcelona,217,['4c6bd917-370a-41c6-8aa9-1714b40afef3'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:37.416,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.8273,,,,,,,,,,,,e66356aa-6c35-4db1-ac02-59b4b98517fe,2354,,,"[106.0, 21.8]",69185,61,,,,,1.0020221,,Left Foot,,"[116.1, 37.6]",,High Pass,,18.752333,,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,,2,Regular Play,Thierry Henry,15516.0,Left Wing,156,Barcelona,217,"['4ffe3fc1-ed12-42db-96ee-ee4b15e7fdcf', 'fe44ed83-a6bc-4cf1-b12a-ea3942ddf845']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:43.146,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.933243,,,,,,,,,,,,1550437b-ebf5-4bbf-890f-411fbd693d77,2358,,,"[16.7, 42.0]",69185,61,,,,,0.93175447,,Keeper Arm,,"[38.1, 70.8]",,Low Pass,,35.880356,,,,,Johnny Heitinga,19728.0,,,,,,,2,Regular Play,Leonardo Neoren Franco,26119.0,Goalkeeper,157,Atlético Madrid,212,['19a5dbec-26d7-4aea-bb45-1b9f37916204'],46,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:16:46.833,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.1383,,,,,,,,,,,,96cd5122-503c-4368-a8c1-eb2dd7d523ca,2361,,,"[38.1, 70.8]",69185,61,,,,,-0.114254326,,Right Foot,,"[44.2, 70.1]",,Low Pass,,6.140033,,,Incomplete,,,,,,,,,,2,Regular Play,Johnny Heitinga,19728.0,Right Back,157,Atlético Madrid,212,['4377d576-93a7-414e-b42f-699115ff5e44'],50,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:16:50.081,Pass,,2008/2009
,,,,,,,,,,,,,,,,,0.887292,,,,,,,,,,,,d64c3646-26e7-4e73-a4d3-d246df333881,2363,,,"[42.1, 80.0]",69185,62,,True,,,-0.29944187,,,,"[57.0, 75.4]",,Low Pass,,15.593909,,,,,Maximiliano Rubén Rodríguez,26124.0,,,,,,Throw-in,2,From Throw In,Johnny Heitinga,19728.0,Right Back,158,Atlético Madrid,212,['e2912d70-4141-4ceb-8408-5353120a2841'],1,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:17:01.529,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.782381,,,,,,,,,,,,49b1f27f-e6f0-4318-9e48-ddea09b6f0bf,2365,,,"[57.0, 75.4]",69185,62,,True,,,-3.01841,,Right Foot,,"[46.5, 74.1]",,Ground Pass,,10.58017,,,,,Johnny Heitinga,19728.0,,,,,,,2,From Throw In,Maximiliano Rubén Rodríguez,26124.0,Right Midfield,158,Atlético Madrid,212,['9b9b88dc-afbf-40d8-8193-96906aab9ca2'],2,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:17:02.416,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.559277,,,,,,,,,,,,6c17c01f-009e-44e8-b46a-460bdb15efef,2367,,,"[46.5, 74.1]",69185,62,,,,,-2.4195244,,Right Foot,,"[35.6, 64.5]",,Ground Pass,,14.524806,,,,,Pablo Ibáñez Tébar,26117.0,,,,,,,2,From Throw In,Johnny Heitinga,19728.0,Right Back,158,Atlético Madrid,212,['d1a1f0ca-a925-4a5b-bacf-3536fd3d9d9f'],4,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:17:04.911,Pass,,2008/2009
,,,,,,,,,,,,,,,,,4.930379,,,,,,,,,,,,1eda9784-1358-417a-9bdb-0821f406b0f6,2370,,,"[36.2, 72.2]",69185,62,,,,,-0.03250887,,Right Foot,,"[85.4, 70.6]",,High Pass,,49.22601,,,Incomplete,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,,2,From Throw In,Pablo Ibáñez Tébar,26117.0,Right Center Back,158,Atlético Madrid,212,"['b5ae7042-fa4e-4de0-b2d9-e2ae019595fc', 'be9786e3-b645-4f83-9339-0ac450f80421']",8,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:17:08.142,Pass,,2008/2009
