ball_receipt_outcome,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,2.2192,,,,,,,,,,,,,b11fe3f2-c312-4c2d-8e53-120403218470,15,,"[29.6, 59.3]",267085,0,,,,-1.6131439,,Right Foot,,,,"[28.1, 23.9]",,Ground Pass,,35.431767,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['894f99f0-480f-49e3-9d77-0a922f0ef137'],7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.827,Pass,,2014/2015
,,,,,,,,,,,,,,1.0874,,,,,,,,,,,,,f259d91b-773a-497a-881b-27d33803943a,17,,"[28.7, 22.6]",267085,0,True,,,2.340811,,Left Foot,,,,"[12.7, 39.1]",,Ground Pass,,22.98369,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['dc11e318-e057-4f5e-9371-29fd21dbb178'],10,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.128,Pass,,2014/2015
,,,,,,,,,,,,,,1.332,,,,,,,,,,,,,f83fd9cb-979b-424b-acdc-b56999ac350c,19,,"[19.8, 40.4]",267085,0,,,,0.096193425,,Right Foot,,,,"[42.6, 42.6]",,Ground Pass,,22.905895,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['3a136f65-a102-4a6f-9046-e258c28fecc9'],13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.498,Pass,,2014/2015
,,,,,,,,,,,,,,1.9074,,,,,,,,,,,,,f52f664e-54f1-4c01-8159-db5a465c2bc0,21,,"[43.5, 42.0]",267085,0,,,,-1.9506073,,Right Foot,,,,"[33.6, 17.2]",,Ground Pass,,26.702995,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['3e214f1d-b47f-4337-9be8-b2eca39bcbc6'],14,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.830,Pass,,2014/2015
,,,,,,,,,,,,,,1.4374,,,,,,,,,,,,,ec922e12-0266-46a9-90cb-1fe81936c7e3,24,,"[40.1, 12.8]",267085,0,,,,-0.5743048,,Right Foot,,,,"[53.7, 4.0]",,Ground Pass,,16.198765,,,,Jérémy Mathieu,10609.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['cb6638d0-c9f9-4761-95b3-d889fb8afc34'],17,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.935,Pass,,2014/2015
,,,,,,,,,,,,,,2.4556,,,,,,,,,,,,,1e7918b7-eb8f-4796-a179-72f1d7963768,27,,"[53.7, 4.0]",267085,0,,,,1.8870825,,Left Foot,,,,"[48.3, 20.5]",,Ground Pass,,17.361164,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Back,2,Barcelona,217,['e15dd85b-6ae9-49db-b1f8-ae501aac4e2d'],20,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.389,Pass,,2014/2015
,,,,,,,,,,,,,,0.9647,,,,,,,,,,,,,860def4c-78f0-4f3d-b5a3-62199181b08a,29,,"[49.1, 21.3]",267085,0,,,,0.12029548,,Right Foot,,,,"[58.2, 22.4]",,Ground Pass,,9.166243,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['3efb389a-7f74-4091-b8de-fc8139336791'],22,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.844,Pass,,2014/2015
,,,,,,,,,,,,,,0.9805,,,,,,,,,,,,,8227287b-2ff3-4b22-815a-45b1460faccc,31,,"[59.1, 22.1]",267085,0,,,,-2.4456983,,Right Foot,,,,"[50.6, 15.0]",,Ground Pass,,11.075197,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['d024ddeb-112d-43e2-85ed-533f50c4b7ae'],23,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.809,Pass,,2014/2015
,,,,,,,,,,,,,,3.03,,,,,,,,,,,,,0d8aec9f-87d2-4dbe-898d-bc6f0bafdc49,34,,"[52.0, 24.6]",267085,0,,,,1.3719248,,Right Foot,,,,"[62.5, 76.7]",,High Pass,,53.14753,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['285a052f-9de7-48c6-8d26-7acc9f3be77f'],28,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.012,Pass,,2014/2015
,,,,,,,,,,,,,,1.2283,,,,,,,,,,,,,57bcea73-40b6-4655-bf5a-a0a36d196c3e,37,,"[63.3, 76.7]",267085,0,,,,-0.9663246,,Right Foot,,,,"[76.7, 57.3]",,Ground Pass,,23.577955,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['78ea361f-c14d-4139-bbed-3f4803d5a79b'],33,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.452,Pass,,2014/2015
,,,,,,,,,,,,,,0.7469,,,,,,,,,,,,,6c963ea1-e0f5-4ecd-97e7-cb5bf0f9e40c,41,,"[82.7, 65.0]",267085,0,,,,3.0051901,,Left Foot,,,,"[77.6, 65.7]",,Ground Pass,,5.147815,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['8abf6033-b809-4c6f-a87f-465731f0ccc4'],38,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.806,Pass,,2014/2015
,,,,,,,,,,,,,,1.0089,,,,,,,,,,,,,3b4388e4-cbed-42b7-b1e1-75644e69297f,44,,"[77.8, 63.3]",267085,0,,,,-1.4586856,,Right Foot,,,,"[79.5, 48.2]",,Ground Pass,,15.195394,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['903f18a4-d45f-4c8f-a742-357a3a750eef'],41,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.268,Pass,,2014/2015
,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,1c6e2759-71b8-4b63-aa22-ee4e2d7cf173,52,,"[89.0, 47.8]",267085,0,,,,-0.551655,,Right Foot,,,,"[95.5, 43.8]",,Low Pass,,7.632169,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,"['571fc8ec-53d6-489f-bf83-c2c12f4a2a1c', 'f454d453-32c7-4db6-a55f-3b7209a74051']",43,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.951,Pass,,2014/2015
,,,,,,,,,,,,,,1.4656,,,,,,,,,,,,,571fc8ec-53d6-489f-bf83-c2c12f4a2a1c,54,,"[24.6, 36.3]",267085,0,,,,-0.48484585,,Right Foot,,,,"[47.0, 24.5]",,Low Pass,,25.317978,,,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,Recovery,1,Regular Play,Kléper Laveran Lima Ferreira,20016.0,Right Center Back,3,Real Madrid,220,"['1c6e2759-71b8-4b63-aa22-ee4e2d7cf173', 'e18f1b14-b840-4281-a835-010813ff281e']",45,,,,,,,,,,,,,,,,Real Madrid,220,00:00:45.341,Pass,,2014/2015
,,,,,,,,,,,,,,1.8286,,,,,,,,,,,,,f6628272-0200-4b55-bc9b-bd21bdf14b8d,58,,"[70.4, 56.3]",267085,0,,,,1.2113924,,Left Foot,,,,"[76.9, 73.6]",,Ground Pass,,18.4808,,,,James David Rodríguez Rubio,5695.0,,,,,,1,Regular Play,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Center Forward,3,Real Madrid,220,['846628bf-8df3-476e-bf01-bb939753d947'],52,,,,,,,,,,,,,,,,Real Madrid,220,00:00:52.620,Pass,,2014/2015
,,,,,,,,,,,,,,2.5611,,,,,,,,,,,,,33d44bea-864d-4677-85bd-4e969badc121,61,,"[84.9, 65.1]",267085,0,,,,-1.1192904,,Left Foot,True,,,"[107.4, 18.7]",,High Pass,,51.567528,,,,Francisco Román Alarcón Suárez,4926.0,,True,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Right Midfield,3,Real Madrid,220,['8a58cd5b-fe8e-427c-9b89-86584e32e357'],57,,,,,,,,,,,,,,,,Real Madrid,220,00:00:57.318,Pass,,2014/2015
,,,,,,,,,,,,,,0.1653,,,,,,,,,,,,,70674814-1179-4685-8a2f-716a548720e7,65,,"[115.0, 18.4]",267085,1,,,,1.8033533,,Left Foot,,,,"[114.1, 22.2]",,Low Pass,,3.905125,,Incomplete,,Karim Benzema,19677.0,,,,,,1,Regular Play,Francisco Román Alarcón Suárez,4926.0,Left Midfield,3,Real Madrid,220,"['3c3ca05e-afe1-4605-b4d9-b811030d7e1c', '88774025-7e15-41ce-9292-55f8520c036b', 'ad06799d-e914-419c-b1fc-3bdd4767564a']",1,,,,,,,,,,,,,,,,Real Madrid,220,00:01:01.357,Pass,True,2014/2015
,,,,,,,,,,,,,,1.0627,,,,,,,,,,,,,f1929e74-0b7f-45f8-9ef7-7ef9c35eb02d,74,,"[4.2, 70.4]",267085,1,,,,-0.7059199,,Right Foot,,,,"[16.4, 60.0]",,Ground Pass,,16.03122,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['d2029735-f01c-4e00-b5e3-425d52e497d5'],6,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.602,Pass,,2014/2015
,,,,,,,,,,,,,,1.0659,,,,,,,,,,,,,5c9dc31b-c9d8-47cd-b575-549388b8ffd9,76,,"[16.8, 59.9]",267085,1,,,,0.8906983,,Right Foot,,,,"[27.8, 73.5]",,Low Pass,,17.491713,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['d9f24a5b-a258-40a5-b325-e8816e69381b'],7,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.664,Pass,,2014/2015
,,,,,,,,,,,,,,1.7522,,,,,,,,,,,,,2476dc4a-1ce3-4cbb-8b64-1bd457a0a550,80,,"[26.4, 73.3]",267085,1,,,,-1.9115148,,Right Foot,,,,"[22.5, 62.3]",,Ground Pass,,11.670904,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Right Wing,4,Barcelona,217,['8fe34724-bf72-4801-89f9-58b8428fb949'],10,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.054,Pass,,2014/2015
,,,,,,,,,,,,,,1.1077,,,,,,,,,,,,,3b7a97ae-c9d9-4d99-b308-68ffe86bd014,83,,"[23.0, 61.1]",267085,1,,,,-0.86459726,,Right Foot,,,,"[34.6, 47.5]",,Ground Pass,,17.875122,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['1a297971-ed5b-49fc-9b32-1ec307fa49b8'],12,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.623,Pass,,2014/2015
,,,,,,,,,,,,,,1.782,,,,,,,,,,,,,0ac16526-2bfd-4d48-8dd4-a8e0f3a662e8,86,,"[35.0, 46.9]",267085,1,,,,-0.92574364,,Right Foot,,,,"[50.5, 26.3]",,Low Pass,,25.780031,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,"['ab5a84d9-8c02-425b-a654-e0a84d4622c3', 'ee86ffc3-1fcb-4931-94c5-9745f4df67e5']",13,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.794,Pass,,2014/2015
,,,,,,,,,,,,,,1.376,,,,,,,,,,,,,8f7ab2ec-08ba-4769-a909-a2c759610f67,89,,"[46.6, 14.7]",267085,1,,,,-2.9883325,,Right Foot,,,,"[34.3, 12.8]",,Ground Pass,,12.445883,,,,Jérémy Mathieu,10609.0,,,,,Recovery,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['b0758a21-468b-498a-beae-67329fe5c615'],17,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.404,Pass,,2014/2015
,,,,,,,,,,,,,,0.9878,,,,,,,,,,,,,c325db0c-4306-4144-88bb-50fae991c61f,92,,"[35.6, 14.2]",267085,1,,,,1.4472059,,Left Foot,,,,"[37.6, 30.3]",,Ground Pass,,16.223747,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,4,Barcelona,217,['bef2bf10-82b2-4f20-a2e4-59e217c934e4'],19,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.514,Pass,,2014/2015
,,,,,,,,,,,,,,1.8772,,,,,,,,,,,,,4078360a-e822-46b3-ab75-fe611c4ec60c,95,,"[58.2, 41.1]",267085,1,,,,-2.0421808,,Right Foot,,,,"[47.7, 20.5]",,Ground Pass,,23.121635,,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,['c394f00a-6efa-43c6-9a0c-e40bbb2742c9'],28,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.380,Pass,,2014/2015
,,,,,,,,,,,,,,1.2878,,,,,,,,,,,,,ea564a55-4d4a-4e58-9fdd-b32e172f47f8,98,,"[48.8, 18.5]",267085,1,,,,-0.8221463,,Left Foot,,,,"[61.9, 4.4]",,Ground Pass,,19.246298,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,4,Barcelona,217,['b63e5010-1d94-4368-906a-cbf4e7eea9d8'],31,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.522,Pass,,2014/2015
,,,,,,,,,,,,,,1.3489,,,,,,,,,,,,,5066aaae-8d03-4958-b282-f0bdb50e37da,101,,"[58.6, 3.7]",267085,1,,,,3.1283484,,Right Foot,,,,"[43.5, 3.9]",,Ground Pass,,15.101324,,,,Jérémy Mathieu,10609.0,,,,,,1,Regular Play,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,['874af1cb-f825-4c30-8d5b-52c63b3fd1a1'],34,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.419,Pass,,2014/2015
,,,,,,,,,,,,,,1.4553,,,,,,,,,,,,,d8a828af-3ac5-4834-b447-e10438b82e5e,104,,"[43.8, 7.3]",267085,1,,,,2.0678506,,Left Foot,,,,"[35.5, 22.6]",,Ground Pass,,17.40632,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,Regular Play,Jérémy Mathieu,10609.0,Left Back,4,Barcelona,217,['a758ea90-ca32-4af2-8cbe-a8a40258e03a'],36,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.674,Pass,,2014/2015
,,,,,,,,,,,,,,1.2096,,,,,,,,,,,,,d69dde5a-6822-41f6-b485-1c0e43c76183,107,,"[46.0, 39.2]",267085,1,,,,0.9857967,,Right Foot,,,,"[56.2, 54.6]",,Ground Pass,,18.4716,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['9666decd-7b00-4c6c-9416-8f228c2e10c6'],42,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.981,Pass,,2014/2015
,,,,,,,,,,,,,,0.677,,,,,,,,,,,,,59a4f7d9-dccc-4a2a-92bf-ef979921e0a5,109,,"[56.2, 54.6]",267085,1,,,,-1.1169523,,Right Foot,,,,"[58.2, 50.5]",,Ground Pass,,4.561798,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['cc4b4a43-f7df-48c5-80c6-bcf1cbe203bf'],44,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.190,Pass,,2014/2015
,,,,,,,,,,,,,,2.0783,,,,,,,,,,,,,64b10d75-b6fe-4ea5-bd26-9dc7b94816df,111,,"[59.4, 50.3]",267085,1,,,,1.1213322,,Right Foot,,,,"[73.1, 78.7]",,Ground Pass,,31.53173,,Out,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['a4d40164-fa3d-4376-9e9c-c8764a064d8a'],44,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.867,Pass,,2014/2015
,,,,,,,,,,,,,,1.1789,,,,,,,,,,,,,3bb45804-0c73-40e6-ac25-368ecd94ad97,113,,"[40.2, 0.1]",267085,1,,,,0.63213795,,,,,,"[47.3, 5.3]",,Low Pass,,8.800569,,,,Francisco Román Alarcón Suárez,4926.0,,,,,Throw-in,1,From Throw In,Marcelo Vieira da Silva Júnior,5552.0,Left Back,5,Real Madrid,220,['29906293-92b5-409a-8f0c-b2d54f5e6c13'],50,,,,,,,,,,,,,,,,Real Madrid,220,00:01:50.863,Pass,,2014/2015
