bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.391469,,,,,,,,,,,,e2d6f808-cceb-4d9e-8c51-71777c5de112,60,,"[25.7, 61.4]",68319,0,,,,-1.7144539,,Right Foot,,,"[23.4, 45.5]",,Ground Pass,,16.06549,,,Iván Helguera Bujía,15584.0,,,,,,1,From Throw In,Sergio Ramos García,5201.0,Right Center Back,5,Real Madrid,220,['2f2a7831-1695-499d-9d04-ee9f595c51f8'],45,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:45.019,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.581231,,,,,,,,,,,,843b70cc-f444-498b-9003-6e760b336ca1,64,,"[41.7, 37.5]",68319,0,,,,-0.18357734,,Right Foot,,,"[72.4, 31.8]",,Ground Pass,,31.22467,,,Ronaldo Luíz Nazário de Lima,25928.0,,,,,,1,From Throw In,Iván Helguera Bujía,15584.0,Left Center Back,5,Real Madrid,220,"['2ac1dd6f-b59e-4b84-acec-c131827258fa', 'b7cd8b6b-486d-43a6-9d9b-8e325eb40029']",50,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:50.783,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.560074,,,,,,,,,,,,ba458c42-2a96-471a-bd61-75854b55d424,70,,"[64.7, 25.2]",68319,1,True,,,-1.1630116,,Right Foot,,,"[70.1, 12.7]",,Ground Pass,,13.616534,,,Zinédine Zidane,15074.0,,,,,Free Kick,1,From Free Kick,David Beckham,15661.0,Left Defensive Midfield,6,Real Madrid,220,['b3e2b4e5-44af-484a-b697-8e0f29e82ed1'],13,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:13.608,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.388082,,,,,,,,,,,,b67e57ba-2ff3-411b-96a7-8700d5f3fab3,73,,"[72.7, 9.4]",68319,1,,,,-0.62548506,,Right Foot,,,"[81.7, 2.9]",,Ground Pass,,11.101802,,,Roberto Carlos da Silva,25926.0,,,,,,1,From Free Kick,Zinédine Zidane,15074.0,Center Attacking Midfield,6,Real Madrid,220,"['24977f73-106c-47d9-8cda-281b6295c829', 'be187353-2d73-47e4-b70e-cfbdaf6025aa']",15,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:15.558,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.464629,,,,,,,,,,,,642a7452-ebf4-4471-8b51-1fd68d60ad51,77,,"[84.3, 3.4]",68319,1,,,,1.5560915,,Left Foot,,,"[84.5, 17.0]",,Ground Pass,,13.601471,,,Zinédine Zidane,15074.0,,,,,,1,From Free Kick,Roberto Carlos da Silva,25926.0,Left Back,6,Real Madrid,220,"['50b593cf-e1bb-4ae6-981d-06b92532487a', '98ba27d9-bcf5-4e98-ae0c-d1152af4a600']",18,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:18.177,Pass,True,2005/2006
,,,,,,,,,,,,,,,,2.556318,,,,,,,,,,,,5bd8bbc4-06b2-474d-8ce9-8b1a31a469c4,83,,"[82.3, 18.7]",68319,1,,,,-1.3427873,,Right Foot,,,"[86.5, 0.6]",,Ground Pass,,18.580904,Out,,Roberto Carlos da Silva,25926.0,,,,,,1,From Free Kick,Zinédine Zidane,15074.0,Center Attacking Midfield,6,Real Madrid,220,['415988e9-ac7a-446b-a03e-a13a4a41022a'],21,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:21.320,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.288304,,,,,,,,,,,,255df3b6-2c9b-4551-b8e3-fb3aeb42b0d4,85,,"[32.8, 80.0]",68319,1,True,,,-2.3404477,,,,,"[20.3, 67.1]",,Low Pass,,17.96274,,,Carles Puyol i Saforcada,20125.0,,,,,Throw-in,1,From Throw In,Oleguer Presas Renom,25873.0,Right Back,7,Barcelona,217,['a0dd566d-dcb4-452b-a2ca-c4d7a9ab3030'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.225,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.3294,,,,,,,,,,,,cf3ce205-71f7-4f03-b397-901cf626cddb,87,,"[27.4, 61.4]",68319,1,,,,-0.7933503,,Right Foot,,,"[77.3, 10.7]",,High Pass,,71.13719,Incomplete,,Ronaldo de Assis Moreira,25879.0,,True,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,7,Barcelona,217,"['43a49ae1-07d0-4076-8286-862bdf23e01d', '48190dfd-0ff3-47cf-9a71-47af69557bb3']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.751,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.500138,,,,,,,,,,,,43a49ae1-07d0-4076-8286-862bdf23e01d,89,,"[43.7, 70.3]",68319,1,,,,-2.1338775,,Head,,,"[33.6, 54.3]",,Low Pass,,18.921152,,,Sergio Ramos García,5201.0,,,,,Recovery,1,Regular Play,Miguel Ángel Salgado Fernández,15601.0,Right Back,8,Real Madrid,220,"['cf3ce205-71f7-4f03-b397-901cf626cddb', 'f49b95dc-3f2f-4289-88b2-7dd162454c5f']",41,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:41.081,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.8406,,,,,,,,,,,,193510c4-77e3-41a6-be57-75e1d795974d,92,,"[33.4, 53.5]",68319,1,,,,-0.29994714,,Right Foot,,,"[43.1, 50.5]",,Ground Pass,,10.153324,,,Pablo Gabriel García Pérez,25932.0,,,,,,1,Regular Play,Sergio Ramos García,5201.0,Right Center Back,8,Real Madrid,220,['88726b94-e36a-415a-bf13-e29732dcc3b7'],43,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:43.997,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.476917,,,,,,,,,,,,9a3ba8e6-883c-4be3-b19c-a30ceb9f83fa,94,,"[40.6, 50.6]",68319,1,,,,1.7482212,,Right Foot,,,"[38.0, 65.1]",,Ground Pass,,14.731259,,,David Beckham,15661.0,,,,,,1,Regular Play,Pablo Gabriel García Pérez,25932.0,Right Defensive Midfield,8,Real Madrid,220,['a914db53-514f-407c-9d94-ab8f3d469624'],44,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:44.837,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.381296,,,,,,,,,,,,20ecc293-1913-4f2a-a6dd-019185e85068,97,,"[43.0, 65.9]",68319,1,,,,0.5840133,,Right Foot,,,"[60.4, 77.4]",,Ground Pass,,20.856894,,,Miguel Ángel Salgado Fernández,15601.0,,,,,,1,Regular Play,David Beckham,15661.0,Left Defensive Midfield,8,Real Madrid,220,['d9e31ab3-49a8-4725-8754-7d6a42050add'],46,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:46.754,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.89234,,,,,,,,,,,,ec7f2285-dc89-45d5-8adb-8e1e5728612b,101,,"[63.8, 77.8]",68319,1,,,,-0.01847365,,Left Foot,,,"[107.1, 77.0]",,Ground Pass,,43.30739,,,Róbson de Souza,25930.0,,,,,,1,Regular Play,Miguel Ángel Salgado Fernández,15601.0,Right Back,8,Real Madrid,220,['439afe25-cce1-4d6a-841b-73e0ad593a01'],50,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:50.392,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.821037,,,,,,,,,,,,692a7db1-643d-4295-8c66-0f8c52277cb7,108,,"[19.0, 16.2]",68319,1,,,,0.9374989,,Left Foot,,,"[24.8, 24.1]",,Ground Pass,,9.80051,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,9,Barcelona,217,['9fe56edd-7df8-4422-b2b9-9ba130eb69a6'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:01:59.824,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.470382,,,,,,,,,,,,b8db9c95-8b60-468b-8ddc-84394e3ed6e1,111,,"[35.8, 25.8]",68319,2,,,,-1.0745307,,Right Foot,,,"[46.9, 5.3]",,Ground Pass,,23.31223,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,Regular Play,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,9,Barcelona,217,['1dce48a8-fe8b-467f-8bff-a61ff0a12d18'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.366,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.654023,,,,,,,,,,,,c2d9abb4-e07c-420c-9ce3-8563cf77aeed,115,,"[71.3, 80.0]",68319,2,,,,-2.951787,,,,,"[51.0, 76.1]",,Low Pass,,20.671236,,,David Beckham,15661.0,,,,,Throw-in,1,From Throw In,Miguel Ángel Salgado Fernández,15601.0,Right Back,10,Real Madrid,220,['6a5580e3-606d-4ba7-8d1a-454bb068ffdf'],13,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:13.398,Pass,,2005/2006
