50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.081912,,,,,,,,,,,,b5127f6d-719f-411d-8053-d6913ae4f2f9,3637,,"[104.7, 31.5]",303473,91,,,,1.2716408,,Head,,,,"[108.0, 42.2]",,Low Pass,,11.197321,Incomplete,,,,,,,,,2,From Throw In,Javier Hernández Balcázar,3058.0,Center Forward,161,Sevilla,213,['61d283fc-d012-42e2-9ed1-4abcddbb0621'],48,,,,,,,,,,,,,,,,,Sevilla,213,00:46:48.956,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.055002,,,,,,,,,,,,a678c910-1988-4b24-ba7b-6f250c1991a8,3639,,"[81.3, 45.1]",303473,91,,,,0.100668654,,Head,,,,"[91.2, 46.1]",,Low Pass,,9.9503765,,,Joan Jordán Moreno,6701.0,,,,,Recovery,2,From Throw In,Éver Maximiliano David Banega,5504.0,Right Center Midfield,161,Sevilla,213,['9948ca06-5f03-4fa2-b0e2-5151b30d6246'],52,,,,,,,,,,,,,,,,,Sevilla,213,00:46:52.128,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.171818,,,,,,,,,,,,9845f79d-8f9d-4913-b68c-79ef2eff30f2,3642,,"[91.1, 47.2]",303473,91,,,,3.0681953,,Right Foot,,,,"[77.5, 48.2]",,Ground Pass,,13.636715,,,Éver Maximiliano David Banega,5504.0,,,,,,2,From Throw In,Joan Jordán Moreno,6701.0,Left Center Midfield,161,Sevilla,213,['25eb006e-c37e-4d4c-bedb-31b6dc72476d'],53,,,,,,,,,,,,,,,,,Sevilla,213,00:46:53.263,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.472031,,,,,,,,,,,,c0d9c6f5-b8f7-4d6a-9876-19745c5bb5d8,3645,,"[78.3, 48.4]",303473,91,,,,0.925577,,Right Foot,,,,"[92.3, 67.0]",,Ground Pass,,23.280035,,,Jesús Navas González,6821.0,,,,,,2,From Throw In,Éver Maximiliano David Banega,5504.0,Right Center Midfield,161,Sevilla,213,['e07a1ab7-341e-4e01-b82e-1a1e407164cb'],54,,,,,,,,,,,,,,,,,Sevilla,213,00:46:54.713,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.055293,,,,,,,,,,,,946667a6-0000-402d-948d-6a51dacf5c72,3648,,"[91.2, 70.5]",303473,91,,,,-1.1193433,,Right Foot,,,,"[97.6, 57.3]",,Ground Pass,,14.669697,,,Joan Jordán Moreno,6701.0,,,,,,2,From Throw In,Jesús Navas González,6821.0,Right Back,161,Sevilla,213,['219d6439-e769-478b-b96a-147fe5bd72b3'],57,,,,,,,,,,,,,,,,,Sevilla,213,00:46:57.455,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.598856,,,,,,,,,,,,f4ce7d61-db9b-4633-9c95-42b8cb71103b,3651,,"[98.8, 56.4]",303473,91,,,,1.9776489,,Right Foot,,,,"[93.5, 68.7]",,Ground Pass,,13.393282,,,Jesús Navas González,6821.0,,,,,,2,From Throw In,Joan Jordán Moreno,6701.0,Left Center Midfield,161,Sevilla,213,['c123eb4b-78c5-4352-a84c-fcf0093fed53'],58,,,,,,,,,,,,,,,,,Sevilla,213,00:46:58.619,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.797363,,,,,,,,,,,,7a3b9994-087b-4dac-a721-8b07292f8b65,3654,,"[106.2, 61.3]",303473,92,,,,-1.3771744,,Right Foot,True,,,"[109.2, 46.0]",,Ground Pass,,15.591344,Incomplete,,,,,,,,,2,From Throw In,Jesús Navas González,6821.0,Right Back,161,Sevilla,213,['c6acd058-e804-4796-ad22-d14ada7408d8'],1,,,,,,,,,,,,,,,,,Sevilla,213,00:47:01.940,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.508687,,,,,,,,,,,,576e7819-303c-4bfd-9bbd-3682d64576f0,3664,,"[54.7, 73.1]",303473,92,,,,-2.0195196,,Right Foot,,,,"[46.9, 56.9]",,Ground Pass,,17.979988,,,Diego Carlos Santos Silva,3366.0,,,,,,2,From Throw In,Éver Maximiliano David Banega,5504.0,Right Center Midfield,161,Sevilla,213,"['40709d0a-c726-4489-87de-94fafc61ea4e', '8198dd9c-5df3-40da-859d-391e3b3a2723']",11,,,,,,,,,,,,,,,,,Sevilla,213,00:47:11.024,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.380535,,,,,,,,,,,,8df8448f-3b5e-4d65-9488-338dde818d3e,3667,,"[46.9, 56.9]",303473,92,,,,0.73401487,,Right Foot,,,,"[56.1, 65.2]",,Ground Pass,,12.390722,,,Joan Jordán Moreno,6701.0,,,,,,2,From Throw In,Diego Carlos Santos Silva,3366.0,Right Center Back,161,Sevilla,213,['ddccb043-858d-4505-917c-1e45fb33112e'],12,,,,,,,,,,,,,,,,,Sevilla,213,00:47:12.573,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.677982,,,,,,,,,,,,94474cb0-c9ed-423d-9b57-d384e7a41a0b,3670,,"[57.0, 68.0]",303473,92,,,,0.21548569,,Right Foot,,,,"[80.3, 73.1]",,Ground Pass,,23.851625,,,Jesús Navas González,6821.0,,,,,,2,From Throw In,Joan Jordán Moreno,6701.0,Left Center Midfield,161,Sevilla,213,['c4f837e2-5c1e-4915-908f-446eb3b3e519'],14,,,,,,,,,,,,,,,,,Sevilla,213,00:47:14.594,Pass,,2019/2020
