bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.770104,,,,,,,,,,,,,1a5e7fea-f0a2-469a-b38c-05ab8ca2603a,15,,"[29.5, 13.5]",3764661,0,,,,-0.2914568,,Head,,,"[32.5, 12.6]",,High Pass,,3.132092,,Incomplete,,Antoine Griezmann,5487.0,,,,,,1,From Kick Off,Pedro González López,30486.0,Left Center Midfield,2,Athletic Club,215,"['4a8197d9-761f-4a65-8c4a-db48c2e7a19c', '93e5cfed-a538-4d16-adf2-b95420989f81']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.359,Pass,,2020/2021
,,,,,,,,,,,,,,1.53635,,,,,,,,,,,,,4a8197d9-761f-4a65-8c4a-db48c2e7a19c,17,,"[87.6, 67.5]",3764661,0,,,,-0.7467434,,Head,,,"[97.0, 58.8]",,Low Pass,,12.808201,,,,Iñaki Williams Arthuer,6393.0,,,,,Recovery,1,From Kick Off,Raúl García Escudero,6391.0,Left Center Forward,2,Athletic Club,215,"['1a5e7fea-f0a2-469a-b38c-05ab8ca2603a', 'fa011a18-42c4-4da3-9293-612909824f1b']",10,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:10.129,Pass,,2020/2021
,,,,,,,,,,,,,,0.296889,,,,,,,,,,,,,0cd79c60-5fea-4960-8c2d-ff6b92ab916a,21,,"[91.4, 54.0]",3764661,0,,,,-1.7467359,,Right Foot,,,"[89.8, 45.0]",,Ground Pass,,9.141116,,Incomplete,,Iker Muniain Goñi,6842.0,,,,,,1,From Kick Off,Iñaki Williams Arthuer,6393.0,Right Center Forward,2,Athletic Club,215,"['3a5e82ce-d390-4924-be50-c24bd3ebcbd4', 'b660f931-f458-4966-b275-802e71782521']",13,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:13.642,Pass,,2020/2021
,,,,,,,,,,,,,,1.912571,,,,,,,,,,,,,0829d269-313b-470a-a59d-fc74a9e09c91,28,,"[35.3, 49.4]",3764661,0,,,,2.296358,,Right Foot,,,"[25.1, 60.9]",,Ground Pass,,15.371727,,,,Sergino Dest,21881.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['34eec1ce-cf04-4a3f-8e10-432eea350583'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.916,Pass,,2020/2021
,,,,,,,,,,,,,,1.221853,,,,,,,,,,,,,96845ee7-9b5d-458b-bc65-1d176b86d89d,31,,"[24.9, 62.4]",3764661,0,,,,-2.5397341,,Right Foot,,,"[15.0, 55.6]",,Ground Pass,,12.010412,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Back,3,Barcelona,217,['b2067adf-df56-4799-928f-4cee301e888f'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.026,Pass,,2020/2021
,,,,,,,,,,,,,,1.541936,,,,,,,,,,,,,b89909db-89d2-4213-8c47-a3129b2d9959,34,,"[14.7, 54.2]",3764661,0,,,,-1.5805521,,Right Foot,,,"[14.5, 33.7]",,Ground Pass,,20.500975,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,3,Barcelona,217,['2acc6e02-a94f-427a-88dc-d3d84cae7bdd'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.231,Pass,,2020/2021
,,,,,,,,,,,,,,1.591095,,,,,,,,,,,,,c81477af-2514-4f6f-9f14-8b7989e59ace,37,,"[18.0, 27.1]",3764661,0,,,,-0.79498255,,Left Foot,,,"[33.5, 11.3]",,Ground Pass,,22.13346,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['3b4706e4-9c02-4c77-80a9-64ffd4db5e8f'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.963,Pass,,2020/2021
,,,,,,,,,,,,,,1.277771,,,,,,,,,,,,,9bfdbba4-4101-4467-a653-208807ec6ffe,40,,"[33.5, 11.5]",3764661,0,,,,-0.11065722,,Left Foot,,,"[49.7, 9.7]",,Ground Pass,,16.299694,,,,Pedro González López,30486.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['30e5d0ea-7d8b-463d-8be1-261db93e10dd'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.122,Pass,,2020/2021
,,,,,,,,,,,,,,1.796732,,,,,,,,,,,,,cc168127-581f-41b0-b2c5-5eeb178c5536,43,,"[45.4, 11.9]",3764661,0,,,,2.6127112,,Right Foot,,,"[30.0, 20.9]",,Ground Pass,,17.83704,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,3,Barcelona,217,['ef1648d6-7827-407e-b409-9b9a76c30df4'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.214,Pass,,2020/2021
,,,,,,,,,,,,,,3.183509,,,,,,,,,,,,,c9874dab-bdbc-4b85-9dee-93e4242a0064,46,,"[30.0, 20.9]",3764661,0,,,,1.1975219,,Left Foot,,,"[50.6, 73.5]",,High Pass,,56.489998,,,,Sergino Dest,21881.0,,True,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['9abda9ff-1e1a-43a4-b334-81381231ff14'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.303,Pass,,2020/2021
,,,,,,,,,,,,,,0.840333,,,,,,,,,,,,,2ad94e33-8579-40f4-b13a-dedc4be2eae6,48,,"[52.7, 73.5]",3764661,0,True,,,-2.3086114,,Right Foot,,,"[46.7, 66.9]",,Ground Pass,,8.9196415,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Back,3,Barcelona,217,['1af82a80-f8bb-48b2-9c79-123def940f4d'],36,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.185,Pass,,2020/2021
,,,,,,,,,,,,,,0.867303,,,,,,,,,,,,,bb6586d7-ee1c-4d6f-80f8-522ef25bd8c0,50,,"[55.8, 64.7]",3764661,0,,,,-0.45407853,,Right Foot,,,"[64.2, 60.6]",,Ground Pass,,9.347192,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['0f6a8a6a-5968-4ab3-9d83-c66d767e2394'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.785,Pass,,2020/2021
,,,,,,,,,,,,,,1.405368,,,,,,,,,,,,,7fede8de-f6d8-4d15-8909-2ffa9ea860d6,52,,"[65.0, 60.0]",3764661,0,,,,1.4981968,,Right Foot,,,"[65.8, 71.0]",,Ground Pass,,11.029053,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['a6aef75a-8cc0-4c8b-beca-5fab1b5d37a8'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.653,Pass,,2020/2021
,,,,,,,,,,,,,,1.248647,,,,,,,,,,,,,0bd3ab16-d694-4c89-b087-4fa4de83058e,54,,"[65.8, 71.0]",3764661,0,,,,0.71883,,Right Foot,,,"[73.0, 77.3]",,Ground Pass,,9.567131,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['a2c177a2-6a1d-4982-8d94-14e481020a46'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.058,Pass,,2020/2021
,,,,,,,,,,,,,,0.982338,,,,,,,,,,,,,cca5690d-13c0-4ef5-9746-66056d4f82f6,57,,"[73.9, 77.9]",3764661,0,,,,-1.6233793,,Left Foot,,,"[72.8, 57.0]",,Ground Pass,,20.928926,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,3,Barcelona,217,['a1552231-bef6-4787-b580-8fe39995e29c'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:00:46.118,Pass,,2020/2021
,,,,,,,,,,,,,,1.328192,,,,,,,,,,,,,c06c8936-295a-48cd-95cd-8051615ec3ff,59,,"[72.8, 57.0]",3764661,0,,,,1.7614353,,Right Foot,,,"[69.5, 74.1]",,Ground Pass,,17.41551,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['9d9f415d-b12e-40d3-85b4-b877614a3539'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.100,Pass,,2020/2021
,,,,,,,,,,,,,,0.865527,,,,,,,,,,,,,287fea8f-94f0-47fa-a552-aaa85ddc6d5c,62,,"[69.8, 74.1]",3764661,0,,,,0.4636476,,Right Foot,,,"[77.4, 77.9]",,Ground Pass,,8.497058,,,,Sergino Dest,21881.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['03e9ad72-df03-4d6a-84cb-7e2debdb58f8'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.242,Pass,,2020/2021
,,,,,,,,,,,,,,1.09371,,,,,,,,,,,,,00f2eac9-4ab3-4652-a165-8a5b6833c4b2,65,,"[77.6, 78.1]",3764661,0,,,,-3.1181595,,Right Foot,,,"[64.8, 77.8]",,Ground Pass,,12.803515,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Back,3,Barcelona,217,['af50ab96-eb65-4550-b02a-46ff75d1cc51'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.697,Pass,,2020/2021
,,,,,,,,,,,,,,1.645664,,,,,,,,,,,,,4785985d-190f-4f36-a021-a9c6d3186cff,68,,"[64.6, 77.8]",3764661,0,,,,-2.4874012,,Right Foot,,,"[45.3, 63.0]",,Ground Pass,,24.32139,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['910e6a17-905c-4ddf-bc88-76c05c6373d2'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.273,Pass,,2020/2021
,,,,,,,,,,,,,,1.791045,,,,,,,,,,,,,4927d535-c36b-48c2-8be3-4d23662b4dec,71,,"[45.3, 63.0]",3764661,0,,,,-1.5512549,,Right Foot,,,"[45.9, 32.3]",,Ground Pass,,30.705862,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,3,Barcelona,217,['8d30761a-eb8b-4fbf-a215-6d14b1c1e490'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.051,Pass,,2020/2021
,,,,,,,,,,,,,,1.121362,,,,,,,,,,,,,1fcaf371-e024-4ab1-a061-128d2240caf2,74,,"[47.3, 27.1]",3764661,0,,,,-0.8741135,,Left Foot,,,"[64.2, 6.9]",,Ground Pass,,26.337236,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['56d15f9d-187a-4235-9357-7f30bbfd5829'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.004,Pass,,2020/2021
,,,,,,,,,,,,,,1.280398,,,,,,,,,,,,,ee7a281a-63b2-4a40-b677-7054acc05934,77,,"[64.2, 6.9]",3764661,1,,,,2.750733,,Left Foot,,,"[44.3, 15.1]",,Ground Pass,,21.523243,,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['584cb261-296f-4e41-a5b4-346864065cf7'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.230,Pass,,2020/2021
,,,,,,,,,,,,,,1.720633,,,,,,,,,,,,,55995a4b-8a88-4d2e-b624-6444510a6196,80,,"[44.0, 14.8]",3764661,1,,,,1.9413164,,Left Foot,,,"[33.9, 40.8]",,Ground Pass,,27.89283,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['ba101452-1fc3-427c-ba4c-f6efa9a9e0c4'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.729,Pass,,2020/2021
,,,,,,,,,,,,,,1.830182,,,,,,,,,,,,,a7e3089a-2ead-4d88-a981-cd85588ff9d2,83,,"[33.9, 40.8]",3764661,1,,,,1.1123233,,Right Foot,,,"[49.2, 71.8]",,Ground Pass,,34.570072,,,,Sergino Dest,21881.0,,,,,,1,Regular Play,Ronald Federico Araújo da Silva,32480.0,Right Center Back,3,Barcelona,217,['846be1cf-848c-4c01-bf7c-845ba2f986a0'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.017,Pass,,2020/2021
,,,,,,,,,,,,,,0.817641,,,,,,,,,,,,,ab6f0cfc-e45f-422c-8a6e-9773c2b45d0c,86,,"[49.4, 71.2]",3764661,1,,,,-1.2283998,,Left Foot,,,"[53.0, 61.1]",,Ground Pass,,10.722406,,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Back,3,Barcelona,217,['9755f4d2-f44c-4e90-845c-3677ac2ce522'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.793,Pass,,2020/2021
,,,,,,,,,,,,,,0.882702,,,,,,,,,,,,,e0846f97-da95-421b-80b5-da4f852d73e2,89,,"[56.4, 60.9]",3764661,1,,,,0.14512633,,Right Foot,,,"[69.4, 62.8]",,Ground Pass,,13.138112,,,,Ousmane Dembélé,5477.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['58a930b8-5643-430e-ae01-54ad78bbfa45'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:01:12.241,Pass,,2020/2021
,,,,,,,,,,,,,,0.188507,,,,,,,,,,,,,a2c066a5-fa09-44d1-8bc1-660116bfce11,91,,"[69.4, 62.8]",3764661,1,,,,0.36520144,,Right Foot,,,"[72.8, 64.1]",,Ground Pass,,3.640055,,Incomplete,,Sergino Dest,21881.0,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,3,Barcelona,217,"['25fcf31e-fdc8-402e-bcae-d90fd24ab7f1', '54e7bb50-e8dd-47c3-946e-697e9b66bbcb']",13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.123,Pass,,2020/2021
,,,,,,,,,,,,,,0.583063,,,,,,,,,,,,,92197b5d-74c1-4e59-8bbd-3868dfa88d89,96,,"[53.1, 11.0]",3764661,1,,,,-2.7233684,,Right Foot,,,"[47.7, 8.6]",,Ground Pass,,5.9093146,,,,Yuri Berchiche Izeta,3023.0,,,,,,1,Regular Play,Iker Muniain Goñi,6842.0,Left Midfield,4,Athletic Club,215,['db902861-4abf-44e1-9904-a7a0fc49029e'],15,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:15.090,Pass,,2020/2021
,,,,,,,,,,,,,,0.855018,,,,,,,,,,,,,5ebcc94f-f88c-4231-aac0-9c2c535956f5,98,,"[47.3, 8.6]",3764661,1,,,,0.41157746,,Left Foot,,,"[59.9, 14.1]",,Ground Pass,,13.748091,,,,Iñaki Williams Arthuer,6393.0,,,,,,1,Regular Play,Yuri Berchiche Izeta,3023.0,Left Back,4,Athletic Club,215,['e6615a72-9591-45d3-acdd-80a83f597bd1'],15,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:15.673,Pass,,2020/2021
,,,,,,,,,,,,,,2.377802,,,,,,,,,,,,,0f4089c8-9a0f-4d96-8116-ec7e3605b2c8,104,,"[60.3, 14.3]",3764661,1,True,,,1.7923543,,Right Foot,,,"[53.7, 43.6]",,Ground Pass,,30.034147,,,,Unai Vencedor Paris,35473.0,,,,,Free Kick,1,From Free Kick,Íñigo Martínez Berridi,6665.0,Left Center Back,5,Athletic Club,215,['647c76e7-cd70-481e-9266-8c88f4ffea7c'],36,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:36.136,Pass,,2020/2021
,,,,,,,,,,,,,,1.052142,,,,,,,,,,,,,c677498a-0771-41cf-8a4e-9b247b64c221,106,,"[54.2, 43.1]",3764661,1,,,,1.7334101,,Right Foot,,,"[52.1, 55.9]",,Ground Pass,,12.971122,,,,Unai Núñez Gestoso,6397.0,,,,,,1,From Free Kick,Unai Vencedor Paris,35473.0,Right Defensive Midfield,5,Athletic Club,215,['8bf0352c-f60b-45e8-85ea-39d5e9bcb44e'],39,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:39.420,Pass,,2020/2021
,,,,,,,,,,,,,,2.556017,,,,,,,,,,,,,40cccb86-7ba6-43fa-aeb5-7dd636f577c5,109,,"[49.5, 51.3]",3764661,1,,,,-1.5097724,,Right Foot,,,"[52.5, 2.2]",,High Pass,,49.191563,,,,Yuri Berchiche Izeta,3023.0,,True,,,,1,From Free Kick,Unai Núñez Gestoso,6397.0,Right Center Back,5,Athletic Club,215,['e84cb065-5b29-4215-a475-4c28c9382468'],43,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:43.032,Pass,,2020/2021
,,,,,,,,,,,,,,0.98684,,,,,,,,,,,,,af8196ba-1ada-46e7-8989-2b19b1e7fa08,112,,"[52.0, 2.3]",3764661,1,,,,1.3342385,,Left Foot,,,"[54.7, 13.5]",,Ground Pass,,11.520851,,,,Mikel Vesga Arruti,6667.0,,,,,,1,From Free Kick,Yuri Berchiche Izeta,3023.0,Left Back,5,Athletic Club,215,['8dbe4370-75f9-40b5-b344-034b6c05bfd0'],47,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:47.989,Pass,,2020/2021
