ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459157b0-fc59-45ef-a92e-05accf2d150f,2236,,"[26.0, 11.1]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Íñigo Martínez Berridi,6665.0,Left Center Back,97,Real Sociedad,210,['0b6d1889-a513-4270-8c8f-00bb3c8d508a'],21,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:07:21.873,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4c6f62cb-4246-486b-bdc5-fe3de302dd5b,2238,,"[63.5, 12.4]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Willian José da Silva,6721.0,Center Forward,97,Real Sociedad,210,['e94c46ff-5b84-4e7d-b5a9-9c224424502b'],28,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:07:28.035,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec4dc53c-b1b0-477c-b21b-a7f9719a7f0f,2242,,"[41.5, 16.2]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Íñigo Martínez Berridi,6665.0,Left Center Back,97,Real Sociedad,210,['f381756b-0c01-420b-bf28-dfd43483ad19'],30,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:07:30.950,Ball Receipt*,,2016/2017
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dee44cca-cee6-4cdd-98e6-614e136a4d21,2246,,"[74.7, 27.0]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mikel Oyarzabal Ugarte,6685.0,Left Wing,97,Real Sociedad,210,['3d7a57e4-2020-4687-90b4-7300aa2f8bb2'],35,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:07:35.759,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e8c12fd1-1dd9-432d-bec4-5fbcbc88183c,2249,,"[88.5, 15.8]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mikel Oyarzabal Ugarte,6685.0,Left Wing,98,Real Sociedad,210,['e3923870-f755-4f7a-a58c-54a18781377a'],54,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:07:54.557,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27259abb-7f4e-48b1-a5b8-f79398346926,2252,,"[82.2, 3.9]",267373,52,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Yuri Berchiche Izeta,3023.0,Left Back,98,Real Sociedad,210,['377326e4-bc51-4773-b19d-4524df90c596'],56,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:07:56.700,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7049be18-cc7e-4520-a2ca-d22540178c48,2256,,"[44.6, 5.8]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Íñigo Martínez Berridi,6665.0,Left Center Back,98,Real Sociedad,210,['092eea67-d940-44f9-a0c5-7962396122e7'],0,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:08:00.018,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48927206-e73b-454e-8132-03116b5d73b2,2259,,"[20.9, 29.0]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gerónimo Rulli,6694.0,Goalkeeper,98,Real Sociedad,210,['c0d68f04-7865-457d-975e-34a43bb1a82a'],2,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:08:02.567,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260ad41-05d9-4570-af74-5b155b2bab69,2262,,"[29.8, 39.1]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Raúl Rodríguez Navas,6693.0,Right Center Back,98,Real Sociedad,210,['3f27a55e-d8d3-413d-bffe-9eaa7cd74fd9'],3,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:08:03.834,Ball Receipt*,,2016/2017
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e48bbf1e-7dc3-4ec1-b5c0-94790c5bf83e,2265,,"[85.8, 9.4]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mikel Oyarzabal Ugarte,6685.0,Left Wing,98,Real Sociedad,210,['e89a06bf-6c09-4f1d-9513-5cdfe8913e37'],11,,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:08:11.555,Ball Receipt*,,2016/2017
