50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.999021,,,,,,,,,,,,,,bc7fad6f-c82c-4a7a-87f0-07afc09734b4,73,,,"[40.4, 37.5]",69213,1,,,,,0.3838176,,Right Foot,,,"[45.6, 39.6]",Low Pass,,5.60803,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['d41983a0-a8a6-40bc-a443-3d16a63ceaee'],40,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.270,Pass,,2009/2010
,,,,,,,,,,,,,,,2.095519,,,,,,,,,,,,,,632b737f-0e7a-4183-90e0-cadba87bfbe6,77,,,"[46.5, 42.3]",69213,1,,,,,1.3965032,,Right Foot,,,"[51.8, 72.4]",Low Pass,,30.56305,,,Daniel Alves da Silva,4324.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,"['7797de74-ec9b-438f-87be-f12c63becfcf', '81cece2d-b362-461f-9911-6f10f78aadc0']",41,,,,,,,,,,,,,,,,Barcelona,217,00:01:41.309,Pass,True,2009/2010
,,,,,,,,,,,,,,,0.85327,,,,,,,,,,,,,,b6bca848-015a-4535-85ad-d8d41106481c,81,,,"[84.4, 67.0]",69213,1,,,,,2.2794225,,Right Foot,,,"[76.6, 76.1]",Ground Pass,,11.985408,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,1,From Free Kick,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['7811798f-ee19-4338-b899-08419c1a18d4'],47,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.458,Pass,,2009/2010
,,,,,,,,,,,,,,,0.501321,,,,,,,,,,,,,,5355e54b-3a14-45d0-9e9e-3894f1b03605,84,,,"[76.6, 76.1]",69213,1,,,,,-2.1894407,,Left Foot,,,"[68.2, 64.3]",Ground Pass,,14.484474,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,6,Barcelona,217,['c132b4f7-091e-4184-a6fa-fc2174427fb2'],48,,,,,,,,,,,,,,,,Barcelona,217,00:01:48.351,Pass,,2009/2010
,,,,,,,,,,,,,,,0.606029,,,,,,,,,,,,,,d42c0868-0ec9-4421-83fd-f5c0f88cc56d,88,,,"[77.8, 63.5]",69213,1,,,,,-0.9874233,,Right Foot,,,"[84.4, 53.5]",Ground Pass,,11.981652,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['f9001110-d94a-4cba-9b66-fa57ff324a50'],51,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.650,Pass,,2009/2010
,,,,,,,,,,,,,,,1.502563,,,,,,,,,,,,,,2bf5dd3e-e73e-4d30-9c00-194b00b241da,97,,,"[31.4, 38.1]",69213,2,,,,,-1.408494,,Right Foot,,,"[34.2, 21.0]",Ground Pass,,17.327723,,,Víctor Ruíz Torre,6752.0,,,,,Free Kick,1,From Free Kick,Nicolás Martín Pareja,7909.0,Right Center Back,7,Espanyol,214,['571c9894-0354-48df-9912-6c1651315021'],11,,,,,,,,,,,,,,,,Espanyol,214,00:02:11.309,Pass,,2009/2010
,,,,,,,,,,,,,,,3.4841,,,,,,,,,,,,,,2f11425c-0386-4797-9ec8-9f62c14486eb,100,,,"[36.6, 19.1]",69213,2,,,,,-0.38798007,,Left Foot,,,"[82.6, 0.3]",High Pass,,49.69346,Out,,,,,,,,,1,From Free Kick,Víctor Ruíz Torre,6752.0,Left Center Back,7,Espanyol,214,,14,,,,,,,,,,,,,,,,Espanyol,214,00:02:14.847,Pass,,2009/2010
,,,,,,,,,,,,,,,1.45285,,,,,,,,,,,,,,c2b3e04c-9d07-42e0-912a-af665fa35d12,101,,,"[38.5, 80.0]",69213,2,,True,,,-0.8257802,,,,,"[48.0, 69.7]",Low Pass,,14.012137,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,8,Barcelona,217,['c3c34489-1f8b-43fd-bac3-12a7109e20a8'],21,,,,,,,,,,,,,,,,Barcelona,217,00:02:21.321,Pass,,2009/2010
,,,,,,,,,,,,,,,1.00121,,,,,,,,,,,,,,c5e0d5a7-6572-41b8-8034-d93c345ecf83,103,,,"[48.5, 69.6]",69213,2,,True,,,2.2421088,,Right Foot,,,"[40.0, 80.3]",Ground Pass,,13.665284,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,8,Barcelona,217,['be1c7e83-28ec-46a0-bf56-d02063cefb67'],23,,,,,,,,,,,,,,,,Barcelona,217,00:02:23.529,Pass,,2009/2010
,,,,,,,,,,,,,,,0.7423,,,,,,,,,,,,,,291f65e0-b573-4582-a602-bdf2e740b725,105,,,"[40.0, 79.1]",69213,2,,,,,-0.5747344,,Right Foot,,,"[59.3, 66.6]",Ground Pass,,22.994347,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,8,Barcelona,217,['f7d1ff63-d9f5-42c8-9faf-cfe481ba3ade'],24,,,,,,,,,,,,,,,,Barcelona,217,00:02:24.569,Pass,,2009/2010
