50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.934961,,,,,,,,,,,,,12fe94f3-c04b-4016-aa94-7290eae05744,1569,,"[92.2, 14.4]",69292,42,,,,,0.58531445,,Right Foot,,,,"[109.4, 25.8]",,Ground Pass,,20.634922,,Incomplete,,Zlatan Ibrahimović,3672.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,91,Barcelona,217,"['1842375a-3564-4090-be0c-7a1955295e8a', '75bbd85c-7878-4994-8f28-cb1fee20abbc']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:42:36.559,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.363,,,,,,,,,,,,,40f7fe3d-84fe-407e-8f8c-0f0da9be21f9,1573,,"[120.0, 1.0]",69292,43,,,,,1.9374475,,Right Foot,,,,"[100.3, 52.3]",,High Pass,,54.952526,,,,Sergio Busquets i Burgos,5203.0,,True,True,Straight,,Corner,1,From Corner,Xavier Hernández Creus,20131.0,Right Center Midfield,92,Barcelona,217,['7888933a-78e1-4835-b2e5-b87c0ef35e29'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:43:15.101,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.420664,,,,,,,,,,,,,791ab4e4-776d-47be-a5f2-b8a3be926ff5,1576,,"[100.1, 52.5]",69292,43,,,,,-0.13876717,,Right Foot,,,,"[118.0, 50.0]",,High Pass,,18.073738,,Incomplete,,,,,,,,,,1,From Corner,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,92,Barcelona,217,['6707b084-56a7-4df5-9057-4131d639f870'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:43:17.490,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.213959,,,,,,,,,,,,,8a62da92-c7d9-4f2b-8fdf-8021fc724ca5,1579,,"[9.7, 24.7]",69292,43,,,,,-0.53006613,,Keeper Arm,,,,"[44.0, 4.6]",,Low Pass,,39.755505,,Incomplete,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,,1,Regular Play,Roberto Jiménez Gago,6571.0,Goalkeeper,93,Atlético Madrid,212,"['c1b6285a-0daf-4045-994c-238b13250b36', 'e22d7d54-c292-4a8d-bf27-0fd723ea1494']",21,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:43:21.503,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.486397,,,,,,,,,,,,,95a27e76-cd91-4380-8cad-673be16ac8ca,1583,,"[42.7, 1.0]",69292,43,,True,,,1.9547809,,,,,,"[38.7, 10.9]",,High Pass,,10.6775465,,,,Tomáš Ujfaluši,19731.0,,,,,,Throw-in,1,From Throw In,Antonio López Guerrero,26118.0,Left Back,94,Atlético Madrid,212,['1bbef2c0-4993-403b-9b16-cfa24b20d904'],32,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:43:32.844,Pass,,2009/2010
,,,,,,,,,,,,,,,,0.913617,,,,,,,,,,,,,a46c92b3-d4ba-44c1-990a-b46fe3d6729f,1585,,"[37.9, 10.7]",69292,43,,True,,,-0.73855746,,Right Foot,,,,"[44.6, 4.6]",,Ground Pass,,9.060905,,,,Antonio López Guerrero,26118.0,,,,,,,1,From Throw In,Tomáš Ujfaluši,19731.0,Left Center Back,94,Atlético Madrid,212,['83d88f9a-773b-4fd7-8748-df43066b655c'],33,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:43:33.566,Pass,,2009/2010
,,,,,,,,,,,,,,,,2.4724,,,,,,,,,,,,,267d9264-09b6-4f1f-a7c5-52bb6119df2c,1587,,"[42.7, 4.1]",69292,43,,,,,0.37320012,,Left Foot,,,,"[78.2, 18.0]",,High Pass,,38.12427,,,,Simão Pedro Fonseca Sabrosa,19765.0,,,,,,,1,From Throw In,Antonio López Guerrero,26118.0,Left Back,94,Atlético Madrid,212,['d7a2d3a6-33b5-45bf-8fe2-731d2518bf93'],35,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:43:35.355,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.636658,,,,,,,,,,,,,eda56f8b-5885-465c-8a81-c95dea76f894,1593,,"[26.6, 57.7]",69292,43,,,,,-2.6513665,,Left Foot,,,,"[7.3, 47.4]",,Ground Pass,,21.87647,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,95,Barcelona,217,['49e93e19-6faa-4cf7-b219-3f2129bd318c'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:43:39.480,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.0892,,,,,,,,,,,,,058d7d55-d995-43af-afbf-b824da8e4a8e,1596,,"[8.5, 46.0]",69292,43,,,,,-0.66037065,,Right Foot,,,,"[18.8, 38.0]",,Ground Pass,,13.041856,,,,Dmytro Chygrynskiy,18608.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,95,Barcelona,217,['3fa560ec-e1ee-422d-82fd-d40e0ca75db6'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:43:44.200,Pass,,2009/2010
,,,,,,,,,,,,,,,,1.170395,,,,,,,,,,,,,27559a86-f417-4e54-a7c1-9501888f3575,1599,,"[18.8, 38.0]",69292,43,,,,,0.4444192,,Right Foot,,,,"[35.6, 46.0]",,Ground Pass,,18.607525,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Dmytro Chygrynskiy,18608.0,Left Center Back,95,Barcelona,217,['b886737c-5d77-42cf-96b9-f262dbca60f6'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:43:45.970,Pass,,2009/2010
