bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,f64a8e04-8ce5-4fde-8098-1775945b879a,52,,"[73.0, 34.0]",9889,1,,,,-2.6779451,,Right Foot,,,,"[65.0, 30.0]",,Ground Pass,,8.944272,,,,Jonathan Castro Otto,6802.0,,,,,,,1,Regular Play,Pione Sisto Ifolo Emirmija,5516.0,Left Wing Back,4,Celta Vigo,209,['9d8c1347-ef7f-4f19-b9af-489a80c500f4'],7,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:07.854,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,e88a3ddb-90e9-4cb7-ac2c-673cc63a265c,56,,"[54.0, 24.0]",9889,1,,,,-0.67474097,,Left Foot,,,,"[64.0, 16.0]",,Ground Pass,,12.806249,,,,Pione Sisto Ifolo Emirmija,5516.0,,,,,,,1,Regular Play,Jonathan Castro Otto,6802.0,Left Center Back,4,Celta Vigo,209,['cc186de1-1677-4012-9846-0965cc2c7556'],11,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:11.964,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.225,,,,,,,,,,,,37c8185c-3267-4b06-b0d8-427ca3dfd982,59,,"[64.0, 16.0]",9889,1,,,,-2.5127964,,Right Foot,,,,"[53.0, 8.0]",,Ground Pass,,13.601471,,,,Jonathan Castro Otto,6802.0,,,,,,,1,Regular Play,Pione Sisto Ifolo Emirmija,5516.0,Left Wing Back,4,Celta Vigo,209,['81400d38-1a5b-474c-843f-0e46205324f0'],13,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:13.111,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.065,,,,,,,,,,,,4a113993-f8c7-4760-9687-c2de86e6d7bf,62,,"[54.0, 8.0]",9889,1,,,,-0.16514868,,Left Foot,,,,"[78.0, 4.0]",,Ground Pass,,24.33105,,,,Jozabed Sánchez Ruiz,6852.0,,,,,,,1,Regular Play,Jonathan Castro Otto,6802.0,Left Center Back,4,Celta Vigo,209,['81095361-a67e-4a43-a14e-3d0b4e1fa612'],14,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:14.605,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.837,,,,,,,,,,,,e845a9a2-876e-488b-9635-e6319d1f3c45,65,,"[82.0, 4.0]",9889,1,,,,1.0427219,,Right Foot,,,,"[89.0, 16.0]",,Ground Pass,,13.892444,,,,Iago Aspas Juncal,5217.0,,,,,,,1,Regular Play,Jozabed Sánchez Ruiz,6852.0,Left Center Midfield,4,Celta Vigo,209,['f991f670-5be9-478f-9c03-7eea92c1164d'],18,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:18.455,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.508,,,,,,,,,,,,160fd8f2-a3c8-4571-806f-716331649520,69,,"[87.0, 14.0]",9889,1,,,,-1.2793396,,Left Foot,,,,"[90.0, 4.0]",,Ground Pass,,10.440307,,,,Pione Sisto Ifolo Emirmija,5516.0,,,,,,,1,Regular Play,Iago Aspas Juncal,5217.0,Left Center Forward,4,Celta Vigo,209,"['1c3e38df-22d0-4bee-832d-ac9d77e3ffed', '2062e590-25f0-4c05-be54-4b17c6f29e1c']",20,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:20.400,Pass,True,2017/2018
,,,,,,,,,,,,,,,,0.969,,,,,,,,,,,,3431e4a4-5863-4b6f-9223-712c2d693840,77,,"[5.0, 78.0]",9889,1,,,,-0.98279375,,Left Foot,,,,"[9.0, 72.0]",,Ground Pass,,7.2111025,,,,Yerry Fernando Mina González,6196.0,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,"['a1ddad41-90f6-4470-89b7-3cb62505f4df', 'ef8232be-2a21-453b-94f0-20ef37d3a55f']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.351,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.588,,,,,,,,,,,,e7de588a-31db-443a-9e43-601a3abdb06a,80,,"[6.0, 70.0]",9889,1,,,,1.5707964,,Right Foot,,,,"[6.0, 79.0]",,Ground Pass,,9.0,,,,Nélson Cabral Semedo,6374.0,,,,,,,1,Regular Play,Yerry Fernando Mina González,6196.0,Right Center Back,5,Barcelona,217,['661f883e-3ab1-440f-94c3-4096896e1b06'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.560,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.546,,,,,,,,,,,,06249ff3-a145-4238-96df-d51a9025a796,83,,"[7.0, 77.0]",9889,1,,,,-0.06885649,,Right Foot,,,,"[36.0, 75.0]",,High Pass,,29.068884,,Incomplete,,,,,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,5,Barcelona,217,['9cfa061d-5ef7-4e3f-a8be-f7771810eb23'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.152,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.962,,,,,,,,,,,,f532d2c1-9ca0-4190-8e2f-3eca084a3665,87,,"[83.0, 16.0]",9889,1,,,,1.418147,,Right Foot,,,,"[85.0, 29.0]",,Ground Pass,,13.152946,,,,Brais Méndez Portela,6799.0,,,,,,,1,Regular Play,Stanislav Lobotka,6798.0,Center Defensive Midfield,6,Celta Vigo,209,"['a07ec9d5-35e4-4ce0-bb77-3fed30f796ec', 'ad7e31f8-dbbb-4092-a28a-6e828160a27b']",32,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:32.268,Pass,True,2017/2018
