50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.893667,,,,,,,,,,,,5cbb30e5-4bd9-4a33-aea2-74a450f7d62f,2709,,"[33.5, 7.2]",3773552,57,,,,0.482876,,Left Foot,,,,"[43.8, 12.6]",,Ground Pass,,11.6297035,,,Pedro Mosquera Parada,6733.0,,,,,,,2,Regular Play,Javier Galán Gil,23322.0,Left Back,98,Huesca,902,"['7c0ea6e7-43f4-4619-9f4b-2f450ff692b4', 'ad2315f1-7b49-41bb-bc67-64b87570b9be']",0,,,,,,,,,,,,,,,,Huesca,902,00:12:00.810,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.535489,,,,,,,,,,,,f017de30-23df-408f-bb70-53dd6cf325b8,2712,,"[43.8, 12.6]",3773552,57,,,,-1.3532422,,Left Foot,,,,"[45.9, 3.1]",,Ground Pass,,9.729337,,,Javier Galán Gil,23322.0,,,,,,,2,Regular Play,Pedro Mosquera Parada,6733.0,Right Center Midfield,98,Huesca,902,['d69e68f8-08d5-4a6f-959f-dd2d3528f250'],1,,,,,,,,,,,,,,,,Huesca,902,00:12:01.815,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.868905,,,,,,,,,,,,451ff5c9-5af0-4297-93d1-0e99826c9e48,2716,,"[55.6, 3.1]",3773552,57,,,,-0.042398818,,Left Foot,,,,"[72.1, 2.4]",,Ground Pass,,16.514841,,,Jaime Seoane Valenciano,30483.0,,,,,,,2,Regular Play,Javier Galán Gil,23322.0,Left Back,98,Huesca,902,['7c892280-9a0c-4e94-b28a-1fbfc32b00f7'],10,,,,,,,,,,,,,,,,Huesca,902,00:12:10.077,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.804328,,,,,,,,,,,,32720e89-bff3-4786-8798-91f7c5e377df,2728,,"[81.3, 3.6]",3773552,57,,,,-2.8414214,,Right Foot,,,,"[77.1, 2.3]",,Ground Pass,,4.3965898,,,Javier Galán Gil,23322.0,,,,,,,2,Regular Play,Jaime Seoane Valenciano,30483.0,Left Center Midfield,98,Huesca,902,['221e9625-e501-4676-a511-902ee8b29363'],16,,,,,,,,,,,,,,,,Huesca,902,00:12:16.199,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.740078,,,,,,,,,,,,778bb8d6-a62c-4a0d-89ad-f961f0f0a5c4,2731,,"[77.1, 2.3]",3773552,57,,,,1.7454685,,Left Foot,,,,"[75.6, 10.8]",,Ground Pass,,8.631338,,,Javier Ontiveros Parra,20063.0,,,,,,,2,Regular Play,Javier Galán Gil,23322.0,Left Back,98,Huesca,902,['eb419bfc-eacc-42cb-9ed0-33648cc7941f'],18,,,,,,,,,,,,,,,,Huesca,902,00:12:18.526,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.118289,,,,,,,,,,,,99727154-dc9b-42a6-b991-f7d4ebb0a1fc,2735,,"[78.8, 12.3]",3773552,57,,,,1.9917146,,Right Foot,,,,"[71.1, 29.5]",,Ground Pass,,18.844893,,,Mikel Rico Moreno,6656.0,,,,,,,2,Regular Play,Javier Ontiveros Parra,20063.0,Left Wing,98,Huesca,902,['f6f9c69f-86f0-4122-9a4d-2b49f5393c73'],23,,,,,,,,,,,,,,,,Huesca,902,00:12:23.541,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.528612,,,,,,,,,,,,bb96af4e-9a82-48cf-9eee-6c632db38337,2738,,"[72.1, 39.3]",3773552,57,,,,1.371459,,Right Foot,,,,"[78.1, 69.0]",,Ground Pass,,30.3,,,Jorge Pulido Mayoral,11677.0,,,,,,,2,Regular Play,Mikel Rico Moreno,6656.0,Center Defensive Midfield,98,Huesca,902,['09eb5801-14e3-4d26-908c-2572899025f5'],26,,,,,,,,,,,,,,,,Huesca,902,00:12:26.779,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.053623,,,,,,,,,,,,9b2d782a-ccc7-404f-bd4f-29cc4c004697,2741,,"[86.3, 67.1]",3773552,57,,,,0.99602044,,Right Foot,,,,"[92.0, 75.9]",,Ground Pass,,10.484751,,,Sergio Gómez Martín,22199.0,,,,,,,2,Regular Play,Jorge Pulido Mayoral,11677.0,Right Back,98,Huesca,902,['5a85b76e-d1e9-4e34-9f49-39c4fbb8e61f'],31,,,,,,,,,,,,,,,,Huesca,902,00:12:31.971,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.260913,,,,,,,,,,,,5ff3d122-f975-4ece-8418-a0224e560c24,2744,,"[83.7, 73.3]",3773552,57,,,,0.20365852,,Left Foot,,,,"[92.9, 75.2]",,Ground Pass,,9.394147,,,Mikel Rico Moreno,6656.0,,,,,,,2,Regular Play,Sergio Gómez Martín,22199.0,Right Wing,98,Huesca,902,['2617b2b4-bf04-4b7b-8673-dfbff74258f2'],37,,,,,,,,,,,,,,,,Huesca,902,00:12:37.211,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.407416,,,,,,,,,,,,d4a329be-4010-40cf-8ee4-f74af3fc24a3,2747,,"[90.5, 75.2]",3773552,57,,,,-2.881303,,Right Foot,,,,"[70.6, 69.9]",,Ground Pass,,20.593689,,,Pedro Mosquera Parada,6733.0,,,,,,,2,Regular Play,Mikel Rico Moreno,6656.0,Center Defensive Midfield,98,Huesca,902,['14d1afe3-de3d-4d5e-b6ea-60401a3d62de'],39,,,,,,,,,,,,,,,,Huesca,902,00:12:39.998,Pass,,2020/2021
