50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50871d73-5317-4266-8c32-7073f46c513f,239,,"[58.5, 35.9]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Left Center Back,11,Barcelona,217,['ea5d7742-8815-41ff-8fbd-767f45e2373b'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:05:10.422,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16d624bc-90ae-4dfb-8e90-c427d9edbdbd,242,,"[81.2, 6.7]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,11,Barcelona,217,['0c71e98d-fe55-4a15-a3f4-fb5d49ce855e'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:05:13.448,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ed9c6db-975c-49a5-b37d-74a1cd1bafd5,245,,"[75.3, 14.4]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,11,Barcelona,217,['a479f471-56c8-4049-aaab-1517f6bfab35'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:05:17.677,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fc37a538-b833-46c2-8acb-23e21393428c,248,,"[68.8, 39.5]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,11,Barcelona,217,['0a7a8459-b4b2-4c99-b789-367193e46a0f'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:05:19.704,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6330e9b9-da83-437a-9cfe-e96d2fd8dd13,251,,"[65.0, 26.2]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marc Bartra Aregall,7068.0,Left Center Back,11,Barcelona,217,['06446581-afb4-469f-aec3-aa47165c1b4c'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:05:21.263,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3c4597dd-831f-4ae6-bbbc-1adb616988ab,254,,"[82.2, 19.1]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,11,Barcelona,217,['8c1b9032-fa4c-4229-a354-476877652461'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:05:22.450,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30090ac7-96e8-44ba-8a96-9e4e0b184114,257,,"[95.3, 8.4]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,11,Barcelona,217,['9cec12c8-19d6-41f8-a513-cff3ac649b24'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:05:25.274,Ball Receipt*,,2014/2015
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0176920e-92c0-4ac5-ad11-ea176da05b67,261,,"[94.8, 25.8]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,11,Barcelona,217,['e9cf5d29-98e3-47ea-93a7-ce963526de10'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:05:26.904,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637362a0-b98f-41b3-82a2-e0badc271f57,265,,"[12.7, 64.2]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto José Rosales Altuve,6569.0,Right Back,12,Málaga,223,['7e657f18-2d83-4fbc-9098-e44b2311934b'],29,,,,,,,,,,,,,,,,,Málaga,223,00:05:29.039,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bae9f2d3-7caa-4217-9f23-f4fc323fc9ec,268,,"[43.6, 60.5]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sérgio Paulo Barbosa Valente,25859.0,Center Attacking Midfield,12,Málaga,223,['a2451820-2387-490b-b673-3aa2c378e06a'],31,,,,,,,,,,,,,,,,,Málaga,223,00:05:31.434,Ball Receipt*,,2014/2015
