ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.0925,,,,,,,,,,,,,3e84bf6a-2794-484e-97bf-c375255a505b,17,,"[32.9, 20.6]",69171,0,,,,-1.4254863,,Right Foot,,,,"[35.3, 4.2]",,Ground Pass,,16.57468,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Left Center Back,2,Barcelona,217,['a3a42391-d017-4a58-8935-556d391298c6'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.358,Pass,,2008/2009
,,,,,,,,,,,,,,,0.5357,,,,,,,,,,,,,b8587d5c-938e-4715-845e-3c8c685c7ca8,21,,"[34.8, 3.6]",69171,0,,,,0.23109066,,Right Foot,,,,"[38.2, 4.4]",,Low Pass,,3.4928498,,,Incomplete,,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Back,2,Barcelona,217,"['11a167f8-1e1b-42a8-839f-227f3d148b2e', '8a41bd2e-d89d-4ee9-97a5-49a84555d173']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.480,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.2025,,,,,,,,,,,,,a6738142-ab0a-44e3-bae0-7b5a321e5f88,26,,"[26.2, 7.7]",69171,0,,,,0.25904572,,Right Foot,,,,"[46.2, 13.0]",,Ground Pass,,20.690336,,,,Gnégnéri Yaya Touré,3087.0,,,,,Free Kick,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Left Center Back,3,Barcelona,217,['20df79e0-d021-403c-99ef-694d00a00ced'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.410,Pass,,2008/2009
,,,,,,,,,,,,,,,1.9398,,,,,,,,,,,,,76167800-461a-49eb-a74f-99b9b1deb5b1,29,,"[46.2, 13.0]",69171,0,,,,-2.9586887,,Right Foot,,,,"[28.9, 9.8]",,Ground Pass,,17.593464,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,3,Barcelona,217,['77599a8d-d62d-4a66-b372-a958185ba768'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.653,Pass,,2008/2009
,,,,,,,,,,,,,,,2.6595,,,,,,,,,,,,,ae54393c-24d4-40ee-965d-86b2fddad6f1,32,,"[30.6, 16.2]",69171,0,,,,1.5756625,,Right Foot,,,,"[30.4, 57.3]",,Low Pass,,41.100487,,,,Gerard Piqué Bernabéu,5213.0,,True,,,,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Left Center Back,3,Barcelona,217,['6a7963c4-ca9f-461a-a276-0ef2a5de159f'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.984,Pass,,2008/2009
,,,,,,,,,,,,,,,1.5886,,,,,,,,,,,,,7c04dbd5-eace-420a-90aa-011520dadab9,35,,"[43.9, 67.3]",69171,0,,,,-0.3507958,,Right Foot,,,,"[75.6, 55.7]",,Ground Pass,,33.75574,,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['75af898e-4188-4c8d-8673-58a2dd36b8a0'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:38.864,Pass,,2008/2009
,,,,,,,,,,,,,,,1.0044,,,,,,,,,,,,,7412c41a-ea41-4f1c-8a22-35ec76d30b3f,44,,"[50.0, 27.2]",69171,0,,,,0.17390119,,Left Foot,,,,"[57.4, 28.5]",,Ground Pass,,7.5133214,,,,Enzo Maresca,25954.0,,,,,Free Kick,1,From Free Kick,Julien Escudé,26018.0,Left Center Back,5,Sevilla,213,['804f6126-4019-4d68-95b8-6854a909e68d'],58,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:58.218,Pass,,2008/2009
,,,,,,,,,,,,,,,0.8913,,,,,,,,,,,,,ae602851-95f6-4820-be67-e25a67827994,47,,"[58.2, 27.5]",69171,0,,,,-2.4610715,,Right Foot,,,,"[49.8, 20.7]",,Ground Pass,,10.8074045,,,,Julien Escudé,26018.0,,,,,,1,From Free Kick,Enzo Maresca,25954.0,Left Defensive Midfield,5,Sevilla,213,['cff21b68-2ac0-46f4-bae3-7b69e19aabb3'],59,,,,,,,,,,,,,,,,,,Sevilla,213,00:00:59.308,Pass,,2008/2009
,,,,,,,,,,,,,,,0.2282,,,,,,,,,,,,,4cb001c8-ca1b-424d-b7a8-592086ecd967,51,,"[47.5, 13.8]",69171,1,,,,0.4636476,,Left Foot,,,,"[50.9, 15.5]",,High Pass,,3.8013155,,,Incomplete,,,,,,,,1,From Free Kick,Julien Escudé,26018.0,Left Center Back,5,Sevilla,213,"['964a8c5f-58e2-420b-b85a-165dca56e8fa', 'c79f18a9-df14-475f-8a2e-73b7a7d00dc9']",1,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:01.509,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.624202,,,,,,,,,,,,,cf5ee9a4-7b46-4461-94ce-b737d8934543,53,,"[44.3, 1.0]",69171,1,,,,0.38215518,,,,,,"[65.2, 9.4]",,High Pass,,22.524876,,,,Frédéric Oumar Kanouté,25960.0,,,,,Throw-in,1,From Throw In,Fernando Navarro i Corbacho,6913.0,Left Back,6,Sevilla,213,['58b4e66b-12cd-4d1d-a39c-b2274612f536'],13,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:13.741,Pass,,2008/2009
,,,,,,,,,,,,,,,1.070599,,,,,,,,,,,,,b15367c2-4227-43d3-89b3-768d293898ce,55,,"[65.2, 9.4]",69171,1,,,,0.10768987,,Head,,,,"[76.3, 10.6]",,Low Pass,,11.164677,,,Incomplete,,,,,,,,1,From Throw In,Frédéric Oumar Kanouté,25960.0,Center Attacking Midfield,6,Sevilla,213,['412ec826-c06b-40a0-aadb-11610f85f0c1'],15,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:15.406,Pass,,2008/2009
,,,,,,,,,,,,,,,1.2231,,,,,,,,,,,,,dcab99be-6bff-44d8-b9de-69cf30251acc,58,,"[37.8, 73.1]",69171,1,,,,-2.138334,,Left Foot,,,,"[32.7, 65.1]",,Low Pass,,9.48736,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,7,Barcelona,217,['421f69b8-c65a-4768-b2bd-7af2679f74e5'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.749,Pass,,2008/2009
,,,,,,,,,,,,,,,2.5068,,,,,,,,,,,,,482e88c6-b1d5-4ae2-8c10-de8c0bd7b0af,61,,"[34.0, 64.7]",69171,1,,,,-2.5594232,,Left Foot,,,,"[6.2, 46.4]",,Ground Pass,,33.282578,,,,Víctor Valdés Arribas,20176.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,"['67f2eeb8-65f2-4e74-91ef-5f57ce091c9f', '833629ea-2c62-490e-9e4a-1d5f0bfd4489']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.973,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.292574,,,,,,,,,,,,,5ac5435b-2225-4823-ae31-47da013896f5,64,,"[7.7, 46.6]",69171,1,,,,0.7630377,,Right Foot,,,,"[23.7, 61.9]",,Ground Pass,,22.137976,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,7,Barcelona,217,['48a21230-9c7e-4406-89b2-60cf3f727aa3'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.009,Pass,,2008/2009
,,,,,,,,,,,,,,,4.716919,,,,,,,,,,,,,84f8d312-3b18-4a5c-9883-bcc46db7e8be,67,,"[31.9, 65.3]",69171,1,,,,-1.0846738,,Right Foot,,,,"[66.3, 0.2]",,High Pass,,73.62995,,,Out,Thierry Henry,15516.0,,True,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['e7eeb4fc-39ee-4fb4-8c84-a9f7666ffb1f'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.184,Pass,,2008/2009
,,,,,,,,,,,,,,,0.6772,,,,,,,,,,,,,acce93bf-b723-47db-a2e7-e665716e6ffd,69,,"[52.6, 80.0]",69171,1,,,,-1.4083072,,,,,,"[53.6, 73.9]",,Low Pass,,6.1814237,,,,Federico Julián Fazio,6349.0,,,,,Throw-in,1,From Throw In,Aquivaldo Mosquera Romaña,26482.0,Right Back,8,Sevilla,213,['0bd54e12-ccfb-467a-8751-bc4a0a85e9f4'],35,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:35.828,Pass,,2008/2009
,,,,,,,,,,,,,,,1.1061,,,,,,,,,,,,,95bcfe47-3816-445a-8d0b-b5de090dfcad,72,,"[53.8, 73.9]",69171,1,,,,0.24497867,,Left Foot,,,,"[65.4, 76.8]",,Ground Pass,,11.957006,,,,Tom De Mul,26483.0,,,,,,1,From Throw In,Federico Julián Fazio,6349.0,Right Defensive Midfield,8,Sevilla,213,['c95a9ec1-f946-4397-bf0e-ed78cd359f76'],37,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:37.588,Pass,,2008/2009
,,,,,,,,,,,,,,,1.0706,,,,,,,,,,,,,3ecd78f0-8fc2-4bda-83cc-5bd680435f7d,75,,"[65.4, 76.8]",69171,1,,,,3.070285,,Right Foot,,,,"[54.2, 77.6]",,Ground Pass,,11.228535,,,,Aquivaldo Mosquera Romaña,26482.0,,,,,,1,From Throw In,Tom De Mul,26483.0,Right Wing,8,Sevilla,213,['b9b46ed2-f70c-489d-9ceb-c1af511ef6c1'],38,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:38.734,Pass,,2008/2009
,,,,,,,,,,,,,,,1.6696,,,,,,,,,,,,,cc3b69d5-c98d-4150-bfdc-ddc78daa1983,78,,"[54.2, 77.6]",69171,1,,,,-0.44599497,,Right Foot,,,,"[86.2, 62.3]",,High Pass,,35.469563,,,Incomplete,Luís Fabiano Clemente,25943.0,,,,,,1,From Throw In,Aquivaldo Mosquera Romaña,26482.0,Right Back,8,Sevilla,213,"['3e2d8193-1345-4e48-acb7-95d6c99e2b21', '9089664d-7199-4e3c-9f70-68f0102390cc']",41,,,,,,,,,,,,,,,,,,Sevilla,213,00:01:41.268,Pass,,2008/2009
,,,,,,,,,,,,,,,1.2733,,,,,,,,,,,,,3e2d8193-1345-4e48-acb7-95d6c99e2b21,80,,"[34.8, 18.7]",69171,1,,,,0.3042085,,Right Foot,,,,"[43.4, 21.4]",,Low Pass,,9.013878,,,,Gnégnéri Yaya Touré,3087.0,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,9,Barcelona,217,"['a8b7ef19-3e8a-407b-b40a-69465e8ec416', 'cc3b69d5-c98d-4150-bfdc-ddc78daa1983']",42,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.938,Pass,,2008/2009
,,,,,,,,,,,,,,,1.9135,,,,,,,,,,,,,68e0d613-fe2c-4365-9ead-59f909507b3d,84,,"[42.8, 22.6]",69171,1,,,,-0.08145204,,Left Foot,,,,"[62.4, 21.0]",,Ground Pass,,19.665197,,,,Seydou Kéita,20169.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,9,Barcelona,217,['a6c816f2-213e-4b6c-b28d-e84c9fdfbb63'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.371,Pass,,2008/2009
,,,,,,,,,,,,,,,1.630717,,,,,,,,,,,,,2ae06060-09df-4f08-b337-0f2f26b8eb17,91,,"[63.6, 16.8]",69171,1,,,,-0.64759105,,Left Foot,,,,"[79.2, 5.0]",,Ground Pass,,19.560163,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,9,Barcelona,217,['d40118ce-5521-4895-8a44-540f9db1db60'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:51.600,Pass,,2008/2009
,,,,,,,,,,,,,,,1.3947,,,,,,,,,,,,,8409929f-e751-41ca-8f7e-e34c78a30d51,94,,"[79.2, 5.0]",69171,1,,,,-3.00314,,Right Foot,,,,"[67.0, 3.3]",,Ground Pass,,12.317873,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,9,Barcelona,217,['9e41ba2d-f2fb-449b-a85c-f3dd4b99afee'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:53.271,Pass,,2008/2009
,,,,,,,,,,,,,,,1.3372,,,,,,,,,,,,,6b7c8d62-b9fd-40a2-ba8a-89a2cc895caa,97,,"[67.0, 3.3]",69171,1,,,,1.670465,,Right Foot,,,,"[66.3, 10.3]",,Ground Pass,,7.034913,,,,Seydou Kéita,20169.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Left Back,9,Barcelona,217,['ead532ee-b7b4-4a39-97a8-f49472fb43b8'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:55.138,Pass,,2008/2009
,,,,,,,,,,,,,,,3.2592,,,,,,,,,,,,,1030c9d9-dcd1-4de5-897d-4f29581690c0,100,,"[66.8, 10.3]",69171,1,,,,1.4825904,,Left Foot,,,,"[72.0, 69.1]",,Ground Pass,,59.029484,,,,Daniel Alves da Silva,4324.0,,True,,,,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,9,Barcelona,217,['92b8ab38-038d-4620-ba5b-ce810b47000c'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.679,Pass,,2008/2009
,,,,,,,,,,,,,,,1.6116,,,,,,,,,,,,,80440098-3271-4b57-b911-d7d4735a61e4,102,,"[71.0, 68.7]",69171,2,,,,-2.0718098,,Right Foot,,,,"[66.4, 60.3]",,Ground Pass,,9.577056,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,9,Barcelona,217,['7774d071-3e4d-42e6-9f20-6ec6973c33ab'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.938,Pass,,2008/2009
,,,,,,,,,,,,,,,0.5612,,,,,,,,,,,,,360c94b7-1edc-467e-90bb-8be6b96867f5,105,,"[67.6, 60.1]",69171,2,,,,1.2519612,,Right Foot,,,,"[71.0, 70.4]",,Ground Pass,,10.846659,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,9,Barcelona,217,['60e1020c-f35e-4e12-b771-990e1175d22d'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:02.764,Pass,,2008/2009
,,,,,,,,,,,,,,,2.0931,,,,,,,,,,,,,703f6a68-0a6e-4cdc-b26a-d28cd83dd7f5,108,,"[70.7, 71.0]",69171,2,,,,-3.061595,,Right Foot,,,,"[47.0, 69.1]",,Ground Pass,,23.77604,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,9,Barcelona,217,"['5dac5365-6966-49be-8a92-f18c935c921a', '8ddc6a6c-fd34-4524-89df-539058926b3a']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:03.325,Pass,True,2008/2009
,,,,,,,,,,,,,,,3.196524,,,,,,,,,,,,,747146a6-33b4-4b3e-91a4-c0526bcfbe56,111,,"[74.9, 70.4]",69171,2,,,,0.09306373,,Right Foot,,,,"[119.9, 74.6]",,Low Pass,,45.195576,,,Out,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,9,Barcelona,217,['50e1e68e-e102-4d97-9ecd-e97f1d17732c'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:11.900,Pass,,2008/2009
,,,,,,,,,,,,,,,3.9255,,,,,,,,,,,,,4def1d6b-c2a0-4e47-bead-07b08546075e,113,,"[7.0, 37.0]",69171,2,,,,-0.0038960841,,Right Foot,,,,"[84.0, 36.7]",,High Pass,,77.00059,,,Incomplete,Luís Fabiano Clemente,25943.0,,,,,Goal Kick,1,From Goal Kick,Andrés Palop Cervera,25946.0,Goalkeeper,10,Sevilla,213,"['0fe678f9-e0e9-4a9f-80ae-57b2d823c2db', '308dcb12-81a4-4acc-ab02-aa768d21d54d']",39,,,,,,,,,,,,,,,,,,Sevilla,213,00:02:39.339,Pass,,2008/2009
,,,,,,,,,,,,,,,1.7735,,,,,,,,,,,,,0fe678f9-e0e9-4a9f-80ae-57b2d823c2db,116,,"[37.0, 44.3]",69171,2,,,True,-1.5832957,,,,,,"[36.9, 36.3]",,High Pass,,8.000625,,,,Gnégnéri Yaya Touré,3087.0,,,,,Recovery,1,Regular Play,Seydou Kéita,20169.0,Left Center Midfield,11,Barcelona,217,"['40508379-bc8d-4fbe-8260-c96a5b66fcce', '4def1d6b-c2a0-4e47-bead-07b08546075e', 'cedc5038-befc-47f8-86d6-032db04a960a']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:43.265,Pass,True,2008/2009
,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,8c74bbe3-3645-4783-84a7-9d6ca86575e6,120,,"[39.2, 47.7]",69171,2,,,,-1.8717166,,Right Foot,,,,"[36.5, 39.0]",,High Pass,,9.109336,,,,Seydou Kéita,20169.0,,,,,Recovery,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,11,Barcelona,217,['1f0d07bf-3ddd-40a3-a0c5-1a6647eb224a'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:47.624,Pass,,2008/2009
