bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.492883,,,,,,,,,,,,,,,f003c4f5-b4f0-4323-be38-0b943e893284,56,,"[2.9, 66.3]",267212,1,,,,,-1.5800984,,Right Foot,,,"[2.7, 44.8]",,Ground Pass,,21.50093,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,4,Barcelona,217,['f6d76477-bb85-46c2-a535-cc884713ac96'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.975,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.435733,,,,,,,,,,,,,,,969d1841-7140-468d-baea-fa3a908f531f,59,,"[2.7, 44.4]",267212,1,,,,,-1.4732347,,Right Foot,,,"[5.0, 20.9]",,Ground Pass,,23.612286,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,4,Barcelona,217,['25428302-f20e-43b1-a729-bd49a5fc7d6e'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.571,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.717358,,,,,,,,,,,,,,,919ddc2a-38da-4c5d-a0bd-3a676ee9a9d7,63,,"[9.9, 20.9]",267212,1,,,,,2.428532,,Left Foot,,,"[2.5, 27.3]",,Ground Pass,,9.78366,,,,Marc-André ter Stegen,20055.0,,,,,,1,From Throw In,Samuel Yves Umtiti,5492.0,Left Center Back,4,Barcelona,217,"['34febd97-8cc2-46d6-859c-986ba60738ea', '4040ed7a-d813-496c-bb4e-d354d9a0ae0c']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.246,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,3.4991,,,,,,,,,,,,,,,f816a1da-7d30-4f9d-b044-eedcbed861de,67,,"[2.5, 28.9]",267212,1,,,,,-0.3045109,,Left Foot,,,"[55.0, 12.4]",,High Pass,,55.03181,,,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Marc-André ter Stegen,20055.0,Goalkeeper,4,Barcelona,217,"['78407417-3e46-4b13-a780-dc8fefdeb6b2', 'bf593ca4-8ba6-41f3-b76e-42a7933eab7c']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.003,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.4944,,,,,,,,,,,,,,,790fcd4e-6fc8-4b8f-980e-6e6d2c4b716e,71,,"[50.9, 48.4]",267212,1,,,,,3.1281254,,Right Foot,,,"[21.2, 48.8]",,Ground Pass,,29.702694,,,,Jon Ander Serantes Simon,9879.0,,,,,Recovery,1,From Throw In,Pablo Ínsua Blanco,21399.0,Left Center Back,4,Barcelona,217,['c1659e31-dea0-4329-a639-0f379aafd43e'],19,,,,,,,,,,,,,,,,,,Leganés,205,00:01:19.713,Pass,,2016/2017
,,,,,,,,,,,,,,,,,4.065838,,,,,,,,,,,,,,,b0b82bb2-4728-4284-b50c-a0b1ad6443f6,74,,"[21.2, 48.8]",267212,1,,,,,-0.0035714135,,Right Foot,,,"[77.2, 48.6]",,High Pass,,56.00036,,Incomplete,,,,,,,,,1,From Throw In,Jon Ander Serantes Simon,9879.0,Goalkeeper,4,Barcelona,217,['0dcc6e7c-3387-4ebe-9060-133e295c1671'],22,,,,,,,,,,,,,,,,,,Leganés,205,00:01:22.247,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.519062,,,,,,,,,,,,,,,0dcc6e7c-3387-4ebe-9060-133e295c1671,75,,"[42.9, 31.5]",267212,1,,,,,0.045630403,,Head,,,"[64.8, 32.5]",,High Pass,,21.92282,,Incomplete,,,,,,,,Recovery,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,4,Barcelona,217,"['b0b82bb2-4728-4284-b50c-a0b1ad6443f6', 'dc8a1e72-2b37-4491-90c2-b18ac26ca9b0']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.313,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.4899,,,,,,,,,,,,,,,dc8a1e72-2b37-4491-90c2-b18ac26ca9b0,76,,"[55.3, 47.6]",267212,1,,,,,0.31855568,,Right Foot,,,"[64.7, 50.7]",,Low Pass,,9.89798,,Incomplete,,,,,,,,Recovery,1,From Throw In,Pablo Ínsua Blanco,21399.0,Left Center Back,4,Barcelona,217,"['0dcc6e7c-3387-4ebe-9060-133e295c1671', '1088dc0d-11c1-4434-b76a-2d7e0736893c']",27,,,,,,,,,,,,,,,,,,Leganés,205,00:01:27.832,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.966276,,,,,,,,,,,,,,,847a8fb7-44da-46ff-8b29-ed18fdb89905,82,,"[63.9, 25.8]",267212,1,,,,,-0.0344691,,Left Foot,,,"[69.7, 25.6]",,Ground Pass,,5.8034472,,Incomplete,,,,,,,,,1,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,4,Barcelona,217,"['0b352c60-aa53-4999-902f-0447f420e795', 'fd054616-2c98-4b81-9471-353b7bad4f99']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.035,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,3.1989,,,,,,,,,,,,,,,0e9b5cdf-a742-4e63-9e5e-406129c0c8da,86,,"[52.2, 49.2]",267212,1,,,,,-2.5995934,,Right Foot,,,"[15.0, 26.8]",,Ground Pass,,43.423496,,,,Jon Ander Serantes Simon,9879.0,,,,,,1,Regular Play,Unai Bustinza Martínez,6598.0,Right Center Back,5,Leganés,205,['333cf994-8fc0-47f5-b931-a1819c329ec5'],32,,,,,,,,,,,,,,,,,,Leganés,205,00:01:32.932,Pass,,2016/2017
