50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.820722,,,,,,,,,,,,,,08fb1599-bac4-4b77-9330-4a5e0f41f477,54,,"[56.2, 33.0]",267101,0,,,,-0.9558589,,Right Foot,,,,"[76.4, 4.4]",,Ground Pass,,35.014282,,,Arda Turan,11094.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['d7e1609b-109a-4fb4-bf72-7c4b486a8462'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.807,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.70919,,,,,,,,,,,,,,94dcfb1c-b3c9-49a2-a0e8-b5f9882a9825,57,,"[92.1, 15.7]",267101,0,,,,1.0847964,,Right Foot,True,,,"[116.4, 61.7]",,High Pass,,52.023937,,,André Filipe Tavares Gomes,10802.0,,True,,,,1,From Kick Off,Arda Turan,11094.0,Left Wing Back,2,Barcelona,217,['c1d42638-ba92-459b-97b0-bb28f1e54f45'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.028,Pass,,2016/2017
,,,,,,,,,,,,,,,,,3.1097,,,,,,,,,,,,,,5afcb953-46af-4019-8d87-d8e867488e0d,61,,"[7.0, 36.1]",267101,1,,,,0.32330415,,Right Foot,,,,"[64.9, 55.5]",,High Pass,,61.063656,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Salvatore Sirigu,7469.0,Goalkeeper,3,Osasuna,422,['afe46e04-9a14-49c3-a65e-a37463f65ec2'],21,,,,,,,,,,,,,,,,,,Osasuna,422,00:01:21.830,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.6926,,,,,,,,,,,,,,afe46e04-9a14-49c3-a65e-a37463f65ec2,62,,"[55.2, 24.6]",267101,1,,,,0.28212374,,Head,,,,"[75.9, 30.6]",,High Pass,,21.55203,Incomplete,,Francisco Alcácer García,6402.0,,,,,Recovery,1,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Osasuna,422,"['37ffd2e3-9c6a-46ec-9584-981db89d8cd9', '5afcb953-46af-4019-8d87-d8e867488e0d', '5d906bb9-e4f4-4408-b169-515e44716f7e']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.940,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.5342,,,,,,,,,,,,,,5d906bb9-e4f4-4408-b169-515e44716f7e,64,,"[44.2, 49.5]",267101,1,,,,0.94390845,,Head,,,,"[55.5, 65.1]",,High Pass,,19.26266,Incomplete,,,,,,,,Recovery,1,From Goal Kick,Jhon Stiven Mondragón Dosman,27564.0,Left Center Back,3,Osasuna,422,"['afe46e04-9a14-49c3-a65e-a37463f65ec2', 'c299078a-05a3-4c47-afb3-f21d612569cb']",26,,,,,,,,,,,,,,,,,,Osasuna,422,00:01:26.632,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.831878,,,,,,,,,,,,,,c299078a-05a3-4c47-afb3-f21d612569cb,65,,"[64.6, 15.0]",267101,1,,,,1.4738787,,Right Foot,,,,"[65.3, 22.2]",,Ground Pass,,7.2339478,,,Denis Suárez Fernández,6609.0,,,,,Recovery,1,Regular Play,Arda Turan,11094.0,Left Wing Back,4,Barcelona,217,"['5d906bb9-e4f4-4408-b169-515e44716f7e', 'a4771bec-3e9a-449a-9d42-8349c067a722']",28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.167,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.670876,,,,,,,,,,,,,,f2142704-870b-4596-8dae-ba620d586fd6,69,,"[63.8, 21.9]",267101,1,,,,-2.3855977,,Left Foot,,,,"[53.3, 12.0]",,Ground Pass,,14.431216,,,Lucas Digne,6849.0,,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,Left Center Midfield,4,Barcelona,217,"['66496145-fb55-48bd-99b2-8817c54e8a89', '71efe112-879e-4541-981e-7a84a282b958']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.039,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,2.124934,,,,,,,,,,,,,,501e4b52-ef5b-48d8-94ce-8afa49838dcb,74,,"[32.8, 6.5]",267101,1,,,,2.3954353,,Left Foot,,,,"[10.3, 27.3]",,Ground Pass,,30.641312,,,Marc-André ter Stegen,20055.0,,,,,,1,Regular Play,Lucas Digne,6849.0,Left Center Back,4,Barcelona,217,"['be989227-80db-4485-beeb-40beb8938454', 'c57c2328-e0d8-4d02-b320-08b1a8e2b046']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.111,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.258153,,,,,,,,,,,,,,088babe5-57a8-4cd6-99d6-55ec062d51c4,78,,"[10.1, 27.7]",267101,1,,,,0.63625485,,Right Foot,,,,"[21.2, 35.9]",,Ground Pass,,13.800363,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,4,Barcelona,217,"['6d923782-12d4-45f5-96b5-2ce53adbdfa3', '7ed43489-3ebb-4c39-a819-7862fdcde21a']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.785,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,1.334094,,,,,,,,,,,,,,1a5516d7-f8f3-40b5-88db-bacd3bf765e9,81,,"[58.1, 38.3]",267101,1,,,,-0.9972645,,Right Foot,,,,"[68.5, 22.2]",,Ground Pass,,19.166899,,,Denis Suárez Fernández,6609.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,4,Barcelona,217,['8f43b124-9a8f-408f-9fd9-04e42a122d8b'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.401,Pass,,2016/2017
