ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.6324,,,,,,,,,,,,e8e9dba9-d7c0-4862-97c1-6f10e7e5e932,48,,"[48.0, 68.5]",266961,1,,,,-0.061650172,,Right Foot,,,"[56.1, 68.0]",,Low Pass,,8.1154175,,,,Ivan Rakitić,5470.0,,,,,Recovery,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['2e872a19-5987-4f38-9b70-64e478cd514a', 'd5e30588-1345-415e-847f-c5b6eedcfa10']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.203,Pass,,2015/2016
,,,,,,,,,,,,,,,2.1208,,,,,,,,,,,,04527c00-9a54-47a8-a1bd-81db7c6603e6,52,,"[56.3, 69.0]",266961,1,,,,-1.9671301,,Right Foot,,,"[48.6, 50.6]",,Low Pass,,19.946178,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,"['76121b54-f7ca-4814-a3d3-f34762f27dec', 'ef404aae-a170-41a3-b1f1-3245faf72a6e']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.875,Pass,True,2015/2016
,,,,,,,,,,,,,,,0.8638,,,,,,,,,,,,19511822-c1ce-4803-95ab-00d478adf534,55,,"[48.3, 50.9]",266961,1,,,,1.6124389,,Right Foot,,,"[47.8, 62.9]",,Ground Pass,,12.010412,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['5633cee3-895c-49f2-8b9a-172eb0b8c4c6'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.036,Pass,,2015/2016
,,,,,,,,,,,,,,,2.4629,,,,,,,,,,,,1fff79bf-2fd1-4f56-b717-7addda473b71,58,,"[47.8, 62.4]",266961,1,,,,-1.7689719,,Right Foot,,,"[37.9, 13.1]",,High Pass,,50.28419,,,,Jordi Alba Ramos,5211.0,,True,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['ef510f74-2e6f-4a2f-bc8a-8ac205825e08'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.245,Pass,,2015/2016
,,,,,,,,,,,,,,,1.0762,,,,,,,,,,,,c6ef1d73-a7cf-42ed-a215-b36475178def,61,,"[58.8, 9.9]",266961,1,,,,-0.53921324,,Right Foot,,,"[71.0, 2.6]",,Ground Pass,,14.217243,,,,Sandro Ramírez Castillo,3508.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['b480e65a-6f68-46da-bdb0-743bbc10e582'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.984,Pass,,2015/2016
,,,,,,,,,,,,,,,0.902,,,,,,,,,,,,a6b6750d-9001-4448-807d-8044f6a8bfc1,64,,"[71.9, 5.0]",266961,1,,,,1.9445231,,Left Foot,,,"[67.9, 15.2]",,Ground Pass,,10.956277,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Sandro Ramírez Castillo,3508.0,Left Wing,4,Barcelona,217,['3b3f53c7-a3f6-4dc5-8298-03ade4c33003'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.406,Pass,,2015/2016
,,,,,,,,,,,,,,,2.6643,,,,,,,,,,,,dcb2dfd7-ba5b-48f5-b1b6-8fca9568c1ab,67,,"[66.2, 17.1]",266961,1,,,,1.5960435,,Right Foot,,,"[65.2, 56.7]",,High Pass,,39.612625,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,['ea3cb5c1-3525-4a50-b54e-352c7083a082'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.485,Pass,,2015/2016
,,,,,,,,,,,,,,,1.3735,,,,,,,,,,,,6e604f82-3eb1-4189-bf0a-4194f0354d6a,70,,"[66.0, 58.9]",266961,1,,,,1.0303768,,Left Foot,,,"[75.6, 74.9]",,Ground Pass,,18.659046,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['0db2686c-e512-4e56-bfbc-9722e47d404e'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.727,Pass,,2015/2016
,,,,,,,,,,,,,,,3.1906,,,,,,,,,,,,63f277dc-9894-4107-af2c-b3d3386d95f3,73,,"[77.4, 71.8]",266961,1,,,,-0.5150309,,Left Foot,,,"[111.5, 52.5]",,High Pass,,39.182903,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,4,Barcelona,217,['ec24f863-b081-4332-bcea-ae26f782b86b'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.578,Pass,,2015/2016
,,,,,,,,,,,,,,,0.6784,,,,,,,,,,,,4915a70c-701b-4121-a4ea-06adac56340d,75,,"[117.6, 53.8]",266961,1,,,,-1.6326642,,Right Foot,True,,"[116.9, 42.5]",,Ground Pass,,11.321661,,Incomplete,,Sandro Ramírez Castillo,3508.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,4,Barcelona,217,"['ce457495-fa24-46e2-8d07-fbbd73080167', 'e876e953-95d5-44cc-8157-f271d85b1f58']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.769,Pass,,2015/2016
,,,,,,,,,,,,,,,0.9709,,,,,,,,,,,,97f222ba-3164-4e90-9ece-9ee09aec2a1b,79,,"[10.1, 44.7]",266961,1,,,,1.0433258,,Keeper Arm,,,"[22.1, 65.3]",,High Pass,,23.840302,,,,Laureano Sanabria Ruiz,23800.0,,,,,,1,From Keeper,Germán Darío Lux,27305.0,Goalkeeper,5,RC Deportivo La Coruña,219,['026d284a-3533-4768-8212-63cc8a97fa87'],38,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:38.862,Pass,,2015/2016
,,,,,,,,,,,,,,,1.9136,,,,,,,,,,,,94bc903f-c08e-4b1d-a5f7-9355cce9a440,82,,"[24.0, 66.0]",266961,1,,,,0.11567842,,Right Foot,,,"[52.4, 69.3]",,Ground Pass,,28.591082,,,,Alejandro Bergantiños García,23806.0,,,,,,1,From Keeper,Laureano Sanabria Ruiz,23800.0,Right Back,5,RC Deportivo La Coruña,219,['0f31078a-dffd-4e45-b3de-6e77f4155921'],49,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:49.976,Pass,,2015/2016
,,,,,,,,,,,,,,,2.661166,,,,,,,,,,,,6f004d53-485c-4dc5-bffa-2387c678d5b4,84,,"[52.4, 69.3]",266961,1,True,,,-1.9768944,,Right Foot,,,"[48.1, 59.3]",,Ground Pass,,10.885311,,,,Laureano Sanabria Ruiz,23800.0,,,,,,1,From Keeper,Alejandro Bergantiños García,23806.0,Center Defensive Midfield,5,RC Deportivo La Coruña,219,['b37a6e93-f3f2-481b-a485-9c89de380dc7'],51,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:51.930,Pass,,2015/2016
,,,,,,,,,,,,,,,1.3721,,,,,,,,,,,,e8928b29-94a4-4d8c-b39e-2aca4a9ec769,86,,"[48.9, 60.5]",266961,1,True,,,2.5976582,,Right Foot,,,"[32.2, 70.6]",,Low Pass,,19.516659,,,,Alejandro Bergantiños García,23806.0,,,,,,1,From Keeper,Laureano Sanabria Ruiz,23800.0,Right Back,5,RC Deportivo La Coruña,219,['6713b0e7-03f9-4a89-89c7-4f1fe05cc24d'],56,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:56.486,Pass,,2015/2016
,,,,,,,,,,,,,,,3.2228,,,,,,,,,,,,277f7150-c8e5-49f7-9a27-2322d0fe3056,88,,"[32.2, 70.6]",266961,1,,,,-0.6878365,,Right Foot,,,"[58.0, 49.4]",,High Pass,,33.392815,,Incomplete,,,,,,,,,1,From Keeper,Alejandro Bergantiños García,23806.0,Center Defensive Midfield,5,RC Deportivo La Coruña,219,['d2bc144e-af63-4ca6-8620-b8d46b82e54d'],58,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:01:58.113,Pass,,2015/2016
