50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.9419,,,,,,,,,,,,f94ada62-62e3-4c39-a543-a7adc87b29b8,58,,"[48.3, 53.8]",267220,0,,,,,-1.5783434,,Right Foot,,,"[48.1, 27.3]",,Ground Pass,,26.500755,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['5993b04a-7e0f-4b50-9180-c54acb82ec7b'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.926,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.7213,,,,,,,,,,,,7db1aae4-878a-4aec-b2fa-289864d56303,61,,"[52.0, 24.9]",267220,0,,,,,-0.7809929,,Right Foot,,,"[74.8, 2.3]",,Ground Pass,,32.10296,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,['05d1f1f4-4bf7-42fb-bf4c-b5244909fa1e'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.070,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.7931,,,,,,,,,,,,85833bfb-c35e-45be-8dd1-0d1b78067ecf,64,,"[74.8, 2.3]",267220,0,,,,,2.5332677,,Left Foot,,,"[69.2, 6.2]",,Ground Pass,,6.8242216,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['0b377d85-d876-417d-a7b1-ddf4a75fc0f6'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.243,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.195307,,,,,,,,,,,,9275e431-f5f8-4899-a105-5f740b3ab76a,66,,"[69.2, 6.2]",267220,0,,,,,0.35563588,,Left Foot,,,"[72.7, 7.5]",,Ground Pass,,3.733631,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Center Midfield,3,Barcelona,217,"['29997050-2f45-4e49-879c-c8682b3b0cf2', 'ee295007-33af-48aa-b43c-c6db579dfb57']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.036,Pass,,2016/2017
,,,,,,,,,,,,,,,,,1.0582,,,,,,,,,,,,e1220485-18a8-4abf-b77b-370b0d32f843,69,,"[70.7, 0.1]",267220,1,,,,,2.6011732,,,,,"[64.7, 3.7]",,High Pass,,6.9971423,,,Javier Alejandro Mascherano,5506.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['a1749e47-c58f-4689-8d44-a09f734110c9'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.125,Pass,,2016/2017
,,,,,,,,,,,,,,,,,2.8224,,,,,,,,,,,,66800882-3a6b-4faa-a437-94c5479082a6,73,,"[63.6, 12.6]",267220,1,,,,,1.186561,,Right Foot,,,"[86.0, 68.0]",,High Pass,,59.757175,,,Lionel Andrés Messi Cuccittini,5503.0,,,True,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['0a54737b-c740-4ff6-9b7b-1ef808f378fd'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.496,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.658328,,,,,,,,,,,,702cc7fa-4e61-4360-8a4e-e51bbc6dbb21,80,,"[35.6, 23.1]",267220,1,,,,,1.1372149,,Right Foot,,,"[38.1, 28.5]",,Ground Pass,,5.95063,,,Jorge Resurrección Merodio,5199.0,,,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Wing,5,Atlético Madrid,212,"['7a91da64-c445-4ff9-9337-699ef1599f39', '9cd841e0-e048-4d72-8776-6c2b611c44c5']",10,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:10.572,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.524194,,,,,,,,,,,,3436dd3c-92f3-4f78-afe2-43081f4e61c0,83,,"[38.1, 28.5]",267220,1,,,,,-0.4216875,,Left Foot,,,"[48.8, 23.7]",,Ground Pass,,11.727319,,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Center Attacking Midfield,5,Atlético Madrid,212,['314dabb3-7071-4f4f-a4ec-c9b00b0f452c'],11,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:11.270,Pass,,2016/2017
,,,,,,,,,,,,,,,,,0.925036,,,,,,,,,,,,f9d08622-4ab9-4f8d-8ad1-537ff4f027d0,88,,"[45.5, 27.1]",267220,1,,,,,2.0074234,,Left Foot,,,"[43.4, 31.6]",,Ground Pass,,4.9658837,,,Jorge Resurrección Merodio,5199.0,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Right Wing,5,Atlético Madrid,212,"['b7426661-c925-4d2b-8ee3-6137d82ecfe0', 'cabc0f2e-fdeb-400b-b433-d085dcf4b5c4']",12,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:12.890,Pass,True,2016/2017
,,,,,,,,,,,,,,,,,0.811717,,,,,,,,,,,,e204a78b-5762-4458-a22f-e920f8456f2f,91,,"[43.4, 31.6]",267220,1,,,,,-1.8925469,,Right Foot,,,"[41.9, 27.1]",,Ground Pass,,4.7434163,,,Antoine Griezmann,5487.0,,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Center Attacking Midfield,5,Atlético Madrid,212,['99aca829-9511-4a82-96fa-cc560a862aff'],13,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:13.929,Pass,,2016/2017
