bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.3955,,,,,,,,,,,,,e377bd4d-6119-48b8-ad89-51ed7641e3bf,77,,"[56.3, 23.9]",69142,1,,,,0.26625204,,Right Foot,,"[71.7, 28.1]",,Ground Pass,,15.962456,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,5,Barcelona,217,['a2b7f3dc-47e2-4ab2-82e1-3225e2c25eb7'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.776,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.7785,,,,,,,,,,,,,640df2c7-3235-4f1f-8fc5-e9f7c4d5a19f,81,,"[68.8, 30.4]",69142,1,,,,0.9011574,,Right Foot,,"[76.4, 40.0]",,Ground Pass,,12.244183,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,5,Barcelona,217,['3241ebed-9eda-4b5c-9405-3bb45c80d63b'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.293,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0056,,,,,,,,,,,,,9dbcc046-e3c7-4a13-8bd5-28d3d52c6bb1,89,,"[45.6, 54.4]",69142,1,,,,-0.3997811,,Right Foot,,"[52.7, 51.4]",,Ground Pass,,7.7077885,,,,Antonio Galdeano Benítez,26234.0,,,,,,,1,Regular Play,Albert Luque Martos,20518.0,Right Wing,5,Barcelona,217,"['3693c0c9-8537-4c3b-87c5-f31be62ef394', 'fee98a09-ec8b-4ac5-9b29-546d3902ecc6']",13,,,,,,,,,,,,,,,,,Málaga,223,00:01:13.375,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.49728,,,,,,,,,,,,,4d4beec9-bc60-4ce3-aab7-6efe25d2ea5b,93,,"[54.3, 53.2]",69142,1,,,,0.24244702,,Right Foot,,"[63.6, 55.5]",,Ground Pass,,9.580188,,Incomplete,,,,,,,,,,1,Regular Play,Antonio Galdeano Benítez,26234.0,Right Defensive Midfield,5,Barcelona,217,"['0917b2a0-5fc4-4ac8-b78e-dd4564672ac8', '95d98db6-18e1-4ecd-a069-72c6b1006408']",14,,,,,,,,,,,,,,,,,Málaga,223,00:01:14.708,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.7737,,,,,,,,,,,,,95d98db6-18e1-4ecd-a069-72c6b1006408,94,,"[56.5, 24.6]",69142,1,,,,2.7727306,,Left Foot,,"[44.6, 29.2]",,Ground Pass,,12.758135,,,,José Martín Cáceres Silva,5248.0,,,,,,Recovery,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,5,Barcelona,217,"['1013c4c7-ace2-4d90-8bc0-94e3fc7856d9', '4d4beec9-bc60-4ce3-aab7-6efe25d2ea5b']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.205,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0733,,,,,,,,,,,,,f8171f3d-eaf5-4df3-8603-b58c84770ab2,97,,"[44.6, 29.2]",69142,1,,,,-0.37883133,,Right Foot,,"[54.9, 25.1]",,Ground Pass,,11.086027,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,José Martín Cáceres Silva,5248.0,Left Center Back,5,Barcelona,217,['0a33d666-132c-47a6-80c2-0fe2a33129de'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.980,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.1745,,,,,,,,,,,,,a6336c9a-d527-47b1-bbb3-5605a1da47c7,100,,"[54.9, 25.1]",69142,1,,,,-0.16090061,,Right Foot,,"[74.0, 22.0]",,Ground Pass,,19.349936,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,5,Barcelona,217,['27b1d762-107b-4693-b2ac-1b0faf13f3b5'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.688,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.1587,,,,,,,,,,,,,12b86aae-fe5e-485d-9d8b-9f2e8db29383,104,,"[78.0, 11.3]",69142,1,,,,-1.7834413,,Left Foot,,"[76.1, 2.5]",,Ground Pass,,9.002777,,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,5,Barcelona,217,['78c7d128-96f8-4293-b0b7-7a2cc4c1a3d3'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.741,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.736,,,,,,,,,,,,,e0261af8-640a-4c99-813d-48800277228e,107,,"[66.0, 2.7]",69142,1,,,,2.777185,,Right Foot,,"[56.3, 6.4]",,Ground Pass,,10.381715,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,5,Barcelona,217,['18fb2577-1ead-454a-9aeb-a05e56759c40'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.020,Pass,,2008/2009
,,,,,,,,,,,,,,,,3.4513,,,,,,,,,,,,,1ea21d5e-d33d-46bd-b630-f1c2ba0740be,110,,"[56.5, 7.6]",69142,1,,,,1.8469857,,Left Foot,,"[42.3, 57.7]",,Ground Pass,,52.073505,,,,Rafael Márquez Álvarez,5558.0,,,True,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,5,Barcelona,217,['302b782d-b294-4174-9869-86b639464a96'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.956,Pass,,2008/2009
