bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.0672,,,,,,,,,,,,,,,ef9dc8e8-5b92-411f-bb37-2e0e21a308ac,49,,"[63.7, 69.7]",69212,0,,,,,0.7505864,,Right Foot,,,,"[74.1, 79.4]",,Ground Pass,,14.221462,,,Sergio Leonel Agüero del Castillo,3237.0,,,,,,,1,Regular Play,Raúl García Escudero,6391.0,Left Center Midfield,3,Atlético Madrid,212,['7e94350d-d762-4bc8-8dbf-ed9e7868cfd1'],37,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:37.601,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.492533,,,,,,,,,,,,,,,b90afd00-0951-437a-9858-2faacc3338b5,53,,"[47.0, 1.0]",69212,0,,,,,2.2960262,,,,,,"[39.2, 9.8]",,Low Pass,,11.759252,,,Rafael Márquez Álvarez,5558.0,,,,,,Throw-in,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['f1522351-9ab7-4195-9979-3b3d31fa801d'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.565,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.951435,,,,,,,,,,,,,,,49bf4eba-cb8e-4ca6-844e-35c290cb020c,56,,"[29.0, 14.2]",69212,0,,,,,2.2082324,,Right Foot,,,,"[13.3, 35.4]",,Ground Pass,,26.380486,,,Víctor Valdés Arribas,20176.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['0de31527-87c6-4b22-af35-1b8d0e3177e9'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.244,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.86041,,,,,,,,,,,,,,,d0709b2b-1b5c-4e18-afe8-bdc689d4c818,59,,"[13.4, 37.0]",69212,0,,,,,1.1764157,,Right Foot,,,,"[20.6, 54.3]",,Ground Pass,,18.738462,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Throw In,Víctor Valdés Arribas,20176.0,Goalkeeper,4,Barcelona,217,['05154a40-66d7-4342-b5a8-72284425cf3c'],53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.136,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.002577,,,,,,,,,,,,,,,9821a6bc-129d-4b11-94ba-4136e872e53f,62,,"[26.1, 56.7]",69212,0,,,,,0.72864103,,Right Foot,,,,"[44.7, 73.3]",,Ground Pass,,24.930304,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,4,Barcelona,217,['a86e9736-4e92-458a-8f5d-b6053a8fbd48'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.723,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.9128,,,,,,,,,,,,,,,768e5089-7ac1-4d4d-bd70-17f93ee8dc8b,65,,"[52.2, 73.2]",69212,1,,,,,-0.6478114,,Right Foot,,,,"[63.3, 64.8]",,Ground Pass,,13.92013,,Incomplete,Xavier Hernández Creus,20131.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Back,4,Barcelona,217,"['55cc56a7-55d3-4db9-8d85-c9bfe9abd48e', 'b76ade30-5f47-4919-a28b-648d2befdeee']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.200,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.864891,,,,,,,,,,,,,,,55cc56a7-55d3-4db9-8d85-c9bfe9abd48e,67,,"[57.7, 16.2]",69212,1,,,,,-0.5202672,,Right Foot,,,,"[67.3, 10.7]",,Ground Pass,,11.063906,,Incomplete,Luis Javier García Sanz,26391.0,,,,,,Recovery,1,From Throw In,Raúl García Escudero,6391.0,Left Center Midfield,4,Barcelona,217,"['768e5089-7ac1-4d4d-bd70-17f93ee8dc8b', '830ad72c-c92f-44db-b61d-6cb541768972', 'fa469546-0645-4d37-b4d5-c7b7afca9171']",4,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:01:04.113,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.785429,,,,,,,,,,,,,,,830ad72c-c92f-44db-b61d-6cb541768972,69,,"[53.7, 70.3]",69212,1,,,,,-0.8960554,,Left Foot,,,,"[59.7, 62.8]",,Ground Pass,,9.604687,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Back,4,Barcelona,217,"['55cc56a7-55d3-4db9-8d85-c9bfe9abd48e', '649173f7-952b-444b-8971-4d1812c912b6']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.978,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.916586,,,,,,,,,,,,,,,e05a75c5-e7e9-4741-8edb-bcab37d0c45f,72,,"[56.4, 44.5]",69212,1,,,,,-1.4445826,,Right Foot,,,,"[60.6, 11.4]",,Ground Pass,,33.365402,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,['c5d22e45-ae88-4165-8f98-d5d7a1ea911a'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.071,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.316119,,,,,,,,,,,,,,,13638b54-75f5-4879-8fdc-9755cb6da366,78,,"[75.1, 15.3]",69212,1,,,,,0.18347995,,Left Foot,,,,"[94.5, 18.9]",,Ground Pass,,19.731194,,,Andrés Iniesta Luján,5216.0,,,,Through Ball,True,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,4,Barcelona,217,['d7d0ce7e-c62f-4b61-b725-b1d4587ce2b2'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.104,Pass,,2008/2009
