bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,"[48.8, 33.3]",,,,,,,,,,,,0.23764,,,,,,,,,,,,,b991e785-95b5-4f89-98ca-3a7b656ab599,1749,,"[48.8, 33.3]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Javier Fuego Martínez,6751.0,Center Defensive Midfield,109,Rayo Vallecano,360,"['1198c9dd-e4e5-45aa-9d84-6c6857a024f6', '9e1c8ad8-1b58-4c57-907b-90c0e1e797eb']",24,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:45:24.860,Carry,,2012/2013
,,,,,"[56.5, 33.0]",,,,,,,,,,,,3.9353,,,,,,,,,,,,,0f0b65cc-0dec-45c0-ae2c-20f330bd6d38,1752,,"[39.9, 28.4]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergio Rodríguez García,26409.0,Left Center Back,109,Rayo Vallecano,360,"['b5c838c1-b342-42d7-8fa4-78551b435cac', 'b6a23bed-b65f-4a98-9c61-21b6e7b1fff9']",25,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:45:25.961,Carry,,2012/2013
,,,,,"[15.9, 61.9]",,,,,,,,,,,,1.727232,,,,,,,,,,,,,33df7e07-aaf9-4a58-bf22-33fca51be0e0,1757,,"[16.4, 65.6]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Right Center Back,110,Barcelona,217,"['33e04a8d-ba34-47a6-b789-4dbd6566018f', 'de81da2c-938d-4716-859e-653432838e7e']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:45:40.089,Carry,,2012/2013
,,,,,"[23.4, 51.4]",,,,,,,,,,,,1.4427,,,,,,,,,,,,,63928ea8-cec0-46f7-b8c5-27dec3f66715,1761,,"[20.0, 50.5]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rubén Iván Martínez Andrade,6730.0,Goalkeeper,111,Rayo Vallecano,360,"['227be157-29dc-45c7-b5f0-a459d5455a20', '9655bcd0-7763-49f8-b2c3-959323fcb1b8']",48,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:45:48.119,Carry,,2012/2013
,,,,,"[29.5, 43.8]",,,,,,,,,,,,1.227177,,,,,,,,,,,,,8d3a0370-720c-4249-ac10-7081c30942a5,1764,,"[30.2, 44.0]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Rodríguez García,26409.0,Left Center Back,111,Rayo Vallecano,360,"['7ca09cf2-dd75-4ee2-9ffa-6cd371a1cdcc', 'e808e5fb-4571-46c2-a57b-44f3ae803166']",50,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:45:50.123,Carry,,2012/2013
,,,,,"[40.0, 67.9]",,,,,,,,,,,,3.692,,,,,,,,,,,,,c9704472-b3f4-4221-968a-40de162db65c,1767,,"[29.7, 64.6]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Román Triguero,6914.0,Right Back,111,Rayo Vallecano,360,"['21fb449c-0527-4530-a2f5-3adc2316b762', '6509d73f-68a3-4ec0-b7c9-b508060209c8']",53,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:45:53.109,Carry,,2012/2013
,,,,,"[34.9, 55.5]",,,,,,,,,,,,1.265935,,,,,,,,,,,,,28b0f629-58df-4e07-8906-8077c582151e,1770,,"[34.0, 54.5]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Rodríguez García,26409.0,Left Center Back,111,Rayo Vallecano,360,"['87f8ef23-f898-4db0-a54e-3afbaa201cd2', '971b2714-85e4-4a01-948b-5a3e4ecc6173']",57,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:45:57.915,Carry,,2012/2013
,,,,,"[55.6, 43.5]",,,,,,,,,,,,0.8261,,,,,,,,,,,,,77484f5b-0af1-40d0-bd9e-bce3e2b55e8a,1773,,"[55.5, 44.3]",70276,46,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alejandro Damián Domínguez,26646.0,Left Center Midfield,111,Rayo Vallecano,360,"['789fad7a-97c9-4d0f-aed1-39515a87dd53', 'cb9225c1-71a5-4f05-a316-9d26d6f6fa45']",0,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:46:00.132,Carry,,2012/2013
,,,,,"[60.0, 36.3]",,,,,,,,,,,,0.04,,,,,,,,,,,,,f06dc1b5-3dd2-44ca-9dee-5738cabfee37,1782,,"[60.0, 36.7]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,112,Barcelona,217,"['27678ddc-d38d-4e28-9011-ab88cd3f8b1c', 'c1047d8f-bd30-46d1-a9ff-43c3e958b27b']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.130,Carry,,2012/2013
,,,,,"[50.8, 33.6]",,,,,,,,,,,,0.039976,,,,,,,,,,,,,ab6565ce-dc98-40cc-80d8-3fc17f216a79,1785,,"[50.8, 33.6]",70276,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Alexandre Dimitri Song-Billong,27053.0,Center Defensive Midfield,112,Barcelona,217,"['0cfbff91-7bad-4f3a-9e0c-d07b0cfd5e29', 'e5322c42-0a21-48a0-b959-a35c321b81e2']",2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.598,Carry,,2012/2013
