bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.7747,,,,,,,,,,,,,6af2ce29-f08f-4d1f-9851-c26c4721e502,2516,,"[73.7, 55.0]",69277,66,,,,,-2.0287943,,Left Foot,,"[66.7, 40.8]",,Low Pass,,15.831614,,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,153,Barcelona,217,['aeb2b806-47aa-463d-89dd-d22bb8e14c49'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:21:42.916,Pass,,2009/2010
,,,,,,,,,,,,,,,0.8853,,,,,,,,,,,,,e1c169c6-4422-414c-b514-d36cc979f8ca,2520,,"[71.4, 47.8]",69277,66,,,,,-0.15084536,,Right Foot,,"[83.9, 45.9]",,Ground Pass,,12.643576,,,,,Xavier Hernández Creus,20131.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,153,Barcelona,217,"['563d9567-7c2d-43c0-bc3e-33a34c64e90d', 'f7d9b42f-687c-4027-b783-753a305907fd']",45,,,,,,,,,,,,,,,,,Barcelona,217,00:21:45.649,Pass,True,2009/2010
,,,,,,,,,,,,,,,1.056,,,,,,,,,,,,,2b394632-40ed-4e35-acda-321ecae180c0,2524,,"[83.9, 46.5]",69277,66,,,,,0.8058035,,Right Foot,,"[91.1, 54.0]",,Ground Pass,,10.396634,,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,153,Barcelona,217,"['0377c4e7-9cff-417d-819d-7c051f884474', '97e6bf58-b943-45fc-9d4e-23db22d0e6bf', 'f13146a8-15c7-4c28-b75d-8c62ec3dd0f9']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:21:46.575,Pass,True,2009/2010
,,,,,,,,,,,,,,,2.649526,,,,,,,,,,,,,0377c4e7-9cff-417d-819d-7c051f884474,2526,,"[29.9, 27.0]",69277,66,,,,,0.40580922,,Left Foot,,"[56.2, 38.3]",,High Pass,,28.624815,,,,,Carlos Reina Aranda,26522.0,,,,,,Recovery,2,Regular Play,Ignacio Monreal Eraso,3498.0,Left Back,154,Osasuna,422,"['2b394632-40ed-4e35-acda-321ecae180c0', '6e493996-0099-42ac-9e42-c615deba36b8']",47,,,,,,,,,,,,,,,,,Osasuna,422,00:21:47.631,Pass,,2009/2010
,,,,,,,,,,,,,,,0.942106,,,,,,,,,,,,,30b57c89-fccc-45e8-a447-84b58d456e4b,2530,,"[56.9, 45.0]",69277,66,,,,,-2.0911517,,Left Foot,,"[51.8, 36.1]",,Ground Pass,,10.25768,,,,,Javad Nekounam,26002.0,,,,,,,2,Regular Play,Carlos Reina Aranda,26522.0,Center Forward,154,Osasuna,422,['05b849a7-0feb-48ba-9263-0e778d646544'],52,,,,,,,,,,,,,,,,,Osasuna,422,00:21:52.535,Pass,,2009/2010
,,,,,,,,,,,,,,,1.7628,,,,,,,,,,,,,c9ddb61f-feb5-4fc0-90fc-4886e46da332,2533,,"[55.9, 36.9]",69277,66,,,,,-1.1263771,,Right Foot,,"[71.9, 3.3]",,Ground Pass,,37.21505,,,,,Javier Camuñas Gallego,26169.0,,,,,,,2,Regular Play,Javad Nekounam,26002.0,Left Center Midfield,154,Osasuna,422,['e3bb2d32-c6d0-405f-ab34-b21eac122036'],54,,,,,,,,,,,,,,,,,Osasuna,422,00:21:54.093,Pass,,2009/2010
,,,,,,,,,,,,,,,0.856115,,,,,,,,,,,,,7c7f7720-05f2-47fd-b4c9-e57b511d241d,2536,,"[71.1, 22.6]",69277,66,,,,,0.124354996,,Right Foot,,"[79.1, 23.6]",,Ground Pass,,8.062258,,,,,Walter Gerardo Pandiani Urquiza,26516.0,,,,,,,2,Regular Play,Javier Camuñas Gallego,26169.0,Left Wing,154,Osasuna,422,['644d6259-4b98-4ed9-a815-4aaa11cc5dac'],59,,,,,,,,,,,,,,,,,Osasuna,422,00:21:59.244,Pass,,2009/2010
,,,,,,,,,,,,,,,1.278081,,,,,,,,,,,,,a6c6922d-546d-4067-a41d-ce86a1902ddf,2539,,"[79.1, 23.6]",69277,67,,,,,1.8720219,,Left Foot,,"[75.9, 33.9]",,Ground Pass,,10.785639,,,,,Javier Camuñas Gallego,26169.0,,,,,,,2,Regular Play,Walter Gerardo Pandiani Urquiza,26516.0,Center Attacking Midfield,154,Osasuna,422,['d12bdf4d-0111-4a92-b40a-abc53ae6aa08'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:22:00.140,Pass,,2009/2010
,,,,,,,,,,,,,,,1.4144,,,,,,,,,,,,,c2ad15fe-3202-444d-8117-e1597e54e5a4,2542,,"[81.3, 33.9]",69277,67,,,,,0.4255135,,Right Foot,,"[101.6, 43.1]",,Ground Pass,,22.287441,,,Incomplete,,Juan Francisco Torres Belén,6375.0,,,,Through Ball,True,,2,Regular Play,Javier Camuñas Gallego,26169.0,Left Wing,154,Osasuna,422,"['c0d4d4f2-d427-42df-b8e5-933008a423f6', 'ebdb59f3-6d6f-4565-9ae7-da8c98ff2a3e']",2,,,,,,,,,,,,,,,,,Osasuna,422,00:22:02.546,Pass,,2009/2010
,,,,,,,,,,,,,,,1.234,,,,,,,,,,,,,4ad2a4f5-1282-481b-bbf5-bd8dcb8d71e2,2545,,"[74.1, 14.2]",69277,67,,,,,1.6247978,,Right Foot,,"[73.1, 32.7]",,Ground Pass,,18.527008,,,,,Javier Camuñas Gallego,26169.0,,,,,,Recovery,2,Regular Play,Javad Nekounam,26002.0,Left Center Midfield,154,Osasuna,422,['d7c637ae-61a0-4ce0-9e73-7e167f64a3e8'],6,,,,,,,,,,,,,,,,,Osasuna,422,00:22:06.443,Pass,,2009/2010
