50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.115115,,,,,,,,,,,,,4b1aab8d-2a30-4b5c-9a8e-75a51a74e395,32,,"[45.9, 27.9]",267192,0,,,,,-1.0527278,,Right Foot,,,,"[51.6, 17.9]",,Ground Pass,,11.51043,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['69cc5ac3-dda9-48f0-91ce-9e3ecff4ce27'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.154,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.197776,,,,,,,,,,,,,26691dca-c0e4-4283-87b7-a614df126bbf,35,,"[53.0, 15.8]",267192,0,,,,,-0.47646743,,Right Foot,,,,"[71.6, 6.2]",,Ground Pass,,20.931316,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['88d5d7a5-14f2-4e7b-8d33-258e5b8896a5'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.671,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.843,,,,,,,,,,,,,523308d0-39b9-4cd8-8708-0694452b7ec3,39,,"[77.0, 7.4]",267192,0,,,,,1.8905588,,Right Foot,,,,"[72.0, 22.5]",,Ground Pass,,15.906288,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,2,Barcelona,217,"['a38c952e-d060-4e2e-8759-b2e22154ad73', 'c43c7c9a-371a-4c46-8fa7-f524ca874ded']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.008,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.021989,,,,,,,,,,,,,9f048ef3-7e2b-44b6-a7e1-39b90b61a1d3,42,,"[71.0, 21.4]",267192,0,,,,,-2.946907,,Right Foot,,,,"[56.8, 18.6]",,Ground Pass,,14.473424,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['853ab80b-dc75-4bc1-b009-30d8104bdc0a'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.005,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.343904,,,,,,,,,,,,,eb110274-8bd0-4dfa-bbde-66ced7100ada,45,,"[56.9, 18.3]",267192,0,,,,,1.6796086,,Right Foot,,,,"[53.0, 54.0]",,Ground Pass,,35.91239,,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['faeb07d4-4dd6-4449-8e22-5c788ec98683'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.399,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.909117,,,,,,,,,,,,,a1b20c58-0cec-404e-b05f-ac4e40d645f2,48,,"[57.7, 57.3]",267192,0,,,,,-0.2547583,,Right Foot,,,,"[67.3, 54.8]",,Ground Pass,,9.920181,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Marc Bartra Aregall,7068.0,Left Center Back,2,Barcelona,217,['672c77c7-c31c-4501-9fe6-9ebafc17fc67'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:00:35.304,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.927429,,,,,,,,,,,,,68281459-d7e8-4a1e-95b0-ebd6b5d17fce,54,,"[65.0, 52.8]",267192,0,,True,,,0.049604665,,Right Foot,,,,"[93.2, 54.2]",,Low Pass,,28.23473,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['5ba59fa6-d608-49e2-b530-963844dee410'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.080,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.341032,,,,,,,,,,,,,5ba59fa6-d608-49e2-b530-963844dee410,55,,"[27.8, 26.8]",267192,0,,,,,-0.5476883,,Right Foot,,,,"[41.9, 18.2]",,Low Pass,,16.51575,,,,Manuel Agudo Durán,6724.0,,,,,,Recovery,1,From Free Kick,Andreu Fontàs Prat,6890.0,Left Center Back,3,Barcelona,217,"['68281459-d7e8-4a1e-95b0-ebd6b5d17fce', '76d7afa7-cc58-4bf0-8e46-12e517769d7d']",51,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:51.008,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.5303,,,,,,,,,,,,,9ef2c86f-6a4b-4437-b745-da45d0f85bf1,61,,"[44.3, 20.3]",267192,1,,,,,0.061085984,,Left Foot,,,,"[77.0, 22.3]",,High Pass,,32.761105,,Incomplete,,Charles Días Barbosa de Oliveira,6707.0,,,,,,Free Kick,1,From Free Kick,Andreu Fontàs Prat,6890.0,Left Center Back,4,Celta Vigo,209,"['0261d208-4dbb-4e86-85fb-0e592b91bc8b', 'ace05a8c-6596-414d-96a4-747cd9d00af7']",12,,,,,,,,,,,,,,,,,Celta Vigo,209,00:01:12.632,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.3314,,,,,,,,,,,,,f614ecec-47ba-4cb9-87ca-6a2c4d74ff79,65,,"[48.3, 55.0]",267192,1,,,,,1.6337054,,Left Foot,,,,"[47.5, 67.7]",,High Pass,,12.725172,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,5,Barcelona,217,['2042d397-74f4-49ef-be94-0a8bf058612d'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.793,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.7877,,,,,,,,,,,,,b4c167f2-ed9c-4a91-a8b7-d3e3b840efef,67,,"[45.6, 62.0]",267192,1,,,,,0.14743717,,Head,,,,"[55.7, 63.5]",,High Pass,,10.210778,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['559aea77-3d6c-4f19-a663-f9ef4ce5a5ab'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.204,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.558342,,,,,,,,,,,,,6ebb0f94-e889-46bb-90af-e71f8d8438c7,70,,"[55.7, 65.6]",267192,1,,,,,-1.5707964,,Other,,,,"[55.7, 58.1]",,Low Pass,,7.5,,,,Alexandre Dimitri Song-Billong,27053.0,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,5,Barcelona,217,['1b96e94b-0964-4d77-8090-13ce2b5b0036'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.032,Pass,,2013/2014
,,,,,,,,,,,,,,,,2.648205,,,,,,,,,,,,,1771fe09-b897-4fd9-bb04-740c93054fc2,74,,"[55.0, 63.4]",267192,1,,,,,2.9677694,,Left Foot,,,,"[21.4, 69.3]",,Low Pass,,34.114075,,,,Marc Bartra Aregall,7068.0,,,,,,,1,Regular Play,Alexandre Dimitri Song-Billong,27053.0,Left Center Midfield,5,Barcelona,217,['67751e9b-736b-4e81-908a-908c0546eeea'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.819,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.769519,,,,,,,,,,,,,60636bb3-50a9-4f99-86ee-6a241dc7bd2f,77,,"[22.4, 63.4]",267192,1,,,,,-1.3815973,,Right Foot,,,,"[26.9, 39.9]",,Ground Pass,,23.926971,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,5,Barcelona,217,['6653dba0-3551-4757-844d-50fc521f02e2'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.011,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.37632,,,,,,,,,,,,,edaf1468-804d-4542-b6f1-aa6dcc59dfaf,80,,"[36.7, 35.9]",267192,1,,,,,-0.84055686,,Right Foot,,,,"[44.4, 27.3]",,Ground Pass,,11.543396,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['59db1fae-2f1a-4fe4-96b7-d1fc9eb15802'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.477,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.8095,,,,,,,,,,,,,2b6b6a76-ea57-48ba-a1d8-6752e9e6476c,83,,"[47.3, 26.9]",267192,1,,,,,-0.2618224,,Right Foot,,,,"[62.6, 22.8]",,Ground Pass,,15.839823,,,,Pedro Eliezer Rodríguez Ledesma,3958.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,5,Barcelona,217,['4ad526e2-8ce5-4af2-9527-f1a932fb9497'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.058,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.950578,,,,,,,,,,,,,3ae6030a-5ab8-4607-bb38-bb53e042abb7,87,,"[64.2, 22.8]",267192,1,,,,,3.038731,,Left Foot,,,,"[48.7, 24.4]",,Ground Pass,,15.582362,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing,5,Barcelona,217,"['a5ed30da-ba80-464f-b6d6-05ea7573b15d', 'f340a1f8-3c5a-4b6a-9df6-40420cc2b94d']",35,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.947,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.598721,,,,,,,,,,,,,47a00a8f-bdbc-49cc-a7d3-eb5e80f21089,90,,"[48.7, 24.4]",267192,1,,,,,2.0418696,,Right Foot,,,,"[40.5, 40.5]",,Ground Pass,,18.067928,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Right Center Midfield,5,Barcelona,217,['79a19d31-b7c0-48ed-821a-3ab1c6085cfb'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.015,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.939059,,,,,,,,,,,,,ea920f23-5670-48c2-81f2-3b2253658d08,93,,"[38.1, 44.0]",267192,1,,,,,1.2225368,,Right Foot,,,,"[43.8, 59.7]",,Ground Pass,,16.702694,,,,Marc Bartra Aregall,7068.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['81a07f61-7237-484f-af77-ee3e9223e9b9'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.289,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.506912,,,,,,,,,,,,,f28eb0d8-50b2-4f87-9e4c-bf30f805cc9e,96,,"[56.9, 60.5]",267192,1,,,,,-1.9344072,,Right Foot,,,,"[48.3, 37.9]",,Ground Pass,,24.180984,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,5,Barcelona,217,['5e0b0e67-9321-4b1c-bd8b-d6f0937651ca'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.808,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.416329,,,,,,,,,,,,,139930d2-41ff-48d3-b0cf-e0bed4138779,99,,"[47.5, 34.0]",267192,1,,,,,-1.1887515,,Right Foot,,,,"[56.5, 11.6]",,Ground Pass,,24.140423,,,,Adriano Correia Claro,22102.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['4e321635-4e46-4a2c-97ca-2acde360d9d7'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:01:46.736,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.894766,,,,,,,,,,,,,ca9c4d3c-a6f3-40fa-b0c7-2f01b0216d94,103,,"[54.2, 22.6]",267192,1,,,,,2.534605,,Left Foot,,,,"[43.4, 30.1]",,Ground Pass,,13.148765,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,5,Barcelona,217,"['39c02655-aec6-4537-9cdf-9e8e2b0b03c5', '6ade2e55-2d72-412f-beb8-a31dafec0ba6']",50,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.447,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.9863,,,,,,,,,,,,,757e8d7b-bb04-4296-ac01-12f95d3437e1,107,,"[41.0, 33.8]",267192,1,,,,,-2.962094,,Left Foot,,,,"[16.2, 29.3]",,Ground Pass,,25.20496,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,"['69b9e27e-7b9d-45d7-a5e6-32d0a6c97dcd', '8055f9fa-4d98-4e75-9738-d7d7c83c9458']",52,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.234,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.595121,,,,,,,,,,,,,98c0979b-c9d8-4762-a113-d19edc20164a,110,,"[16.0, 29.1]",267192,1,,,,,-0.6061353,,Right Foot,,,,"[33.6, 16.9]",,Ground Pass,,21.414948,,,,Adriano Correia Claro,22102.0,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['1dcca9f8-c9f4-497f-89ff-94c55fd16dc6'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:01:54.715,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.7362,,,,,,,,,,,,,129887e4-7dc5-4158-8263-c383e19c6e13,114,,"[21.6, 3.8]",267192,1,,,,,2.2655346,,Right Foot,,,,"[7.1, 21.2]",,Ground Pass,,22.649725,,,,Víctor Valdés Arribas,20176.0,,,,,,,1,Regular Play,Adriano Correia Claro,22102.0,Left Back,5,Barcelona,217,"['5638c063-16dc-4373-8f51-b1a8040cec96', '9d895bd5-d7f3-455a-9bff-2d0e7874765c']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:01:59.312,Pass,True,2013/2014
,,,,,,,,,,,,,,,,2.059058,,,,,,,,,,,,,596970b5-27aa-4066-a3b8-e85d64e51008,118,,"[6.0, 21.8]",267192,2,,,,,-1.4207139,,Left Foot,,,,"[9.1, 1.3]",,High Pass,,20.733065,,Out,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['79032e86-16d2-48ea-833e-414850a0c336'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.129,Pass,True,2013/2014
