bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.9355,,,,,,,,,,,,,,,47c2addf-2804-4304-9ad4-5f229e36708b,50,,"[78.0, 4.0]",16205,0,,,,,0.67474097,,Left Foot,,,"[88.0, 12.0]",,Ground Pass,,12.806249,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['0b97b55c-dbf5-487d-a425-4c8ccf69efb2'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.224,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.936815,,,,,,,,,,,,,,,6ed6bc5f-a376-4ef5-b966-5c79d182a6a2,53,,"[89.0, 12.0]",16205,0,,,,,-2.9229238,,Right Foot,,,"[80.0, 10.0]",,Ground Pass,,9.219544,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['0ccc8e6e-fb87-4629-8305-999fc7eb8764'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.160,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.701972,,,,,,,,,,,,,,,35927afb-ae8d-46a0-858d-5199b795faec,56,,"[80.0, 10.0]",16205,0,,,,,-0.69473827,,Right Foot,,,"[86.0, 5.0]",,Ground Pass,,7.81025,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['b3f8243f-9269-47c4-a3a6-58769b88245d'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.136,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.5018,,,,,,,,,,,,,,,b3fe0f31-9d0c-401d-ba31-37f62090fec2,62,,"[95.0, 3.0]",16205,1,,,,,1.0824624,,Left Foot,True,,"[112.0, 35.0]",,High Pass,,36.23534,,,Incomplete,,Arturo Erasmo Vidal Pardo,8206.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['1f89e655-2d1a-4e40-b034-e4e39bafccff', '23f22977-02c3-4661-9c6f-1ddc2b01ba33']",22,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.276,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.220632,,,,,,,,,,,,,,,54ae9098-7b36-4ec4-9c58-fe8f667e4229,66,,"[85.0, 1.0]",16205,1,,,,,0.30587888,,,,,"[104.0, 7.0]",,Low Pass,,19.924858,,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['15cdb00f-c1e5-49a0-a700-b3a74873b94a'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.152,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.706906,,,,,,,,,,,,,,,98ab8eb2-03a1-467c-873d-7597c67f7f34,72,,"[120.0, 1.0]",16205,2,,,,,2.5308666,,Right Foot,,,"[100.0, 15.0]",,Ground Pass,,24.41311,,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,Corner,1,From Corner,Philippe Coutinho Correia,3501.0,Left Wing,5,Barcelona,217,['1b0b8eab-d6a5-43e4-ad84-506e046255b5'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.474,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.379298,,,,,,,,,,,,,,,3374dd43-7945-4a6d-a337-b855c87b2b57,80,,"[17.0, 78.0]",16205,2,,,,,-0.26060238,,Left Foot,,,"[32.0, 74.0]",,Ground Pass,,15.524175,,,Incomplete,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Corner,Álvaro García Rivera,12192.0,Left Wing,5,Barcelona,217,"['147c9e4e-9620-4623-8ed3-9c91df177f9e', '5c7aa55d-8cd0-4c66-b018-a576ae0bd4b8', 'e7361ca4-cd3f-4cb8-8af7-c1e70f9aaadc']",15,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:02:15.248,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.831851,,,,,,,,,,,,,,,e7361ca4-cd3f-4cb8-8af7-c1e70f9aaadc,83,,"[89.0, 7.0]",16205,2,,,,,-0.4636476,,Left Foot,,,"[99.0, 2.0]",,Ground Pass,,11.18034,,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Corner,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,"['3374dd43-7945-4a6d-a337-b855c87b2b57', '3581f985-b9d2-46e7-b2d2-c83cdd157a07', 'c200b78a-2116-49cc-9142-a7928bda5ffd']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:02:16.628,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.176398,,,,,,,,,,,,,,,d5699a8d-d46d-4857-8023-f5f52bcdf295,87,,"[99.0, 3.0]",16205,2,,,,,3.070285,,Right Foot,,,"[71.0, 5.0]",,Ground Pass,,28.071337,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Corner,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,"['39c68594-e001-4262-aac7-5cf158b30877', '8beee8de-d029-4c09-84e5-7a15756318e4']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.923,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.538002,,,,,,,,,,,,,,,a9d91df9-6288-40be-b294-7d354c7948ed,91,,"[68.0, 3.0]",16205,2,,,,,1.4288993,,Right Foot,,,"[71.0, 24.0]",,Ground Pass,,21.213203,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Corner,Jordi Alba Ramos,5211.0,Left Back,5,Barcelona,217,"['07763bc7-8ea3-494d-bc7f-469ec0ca1cb8', 'b68a7d45-489b-4db2-82ae-3c9fc24c19b5']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:02:19.631,Pass,True,2018/2019
