ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.6585,,,,,,,,,,,,,613b6ff5-3c87-4943-bf13-44895250a2a8,47,,"[23.6, 7.0]",69219,1,,,,,0.1045734,,Left Foot,,,"[57.9, 10.6]",,High Pass,,34.488403,,,,Ayoze García Pérez,26628.0,,,,,,1,Regular Play,Pablo Sicilia Roig,26630.0,Left Center Back,9,Tenerife,627,"['bbd3b067-c671-4d10-8f48-7178082a744a', 'f44c2947-b4e8-4c1c-b10e-56c3158235a1']",44,,,,,,,,,,,,,,,,,,,Tenerife,627,00:01:44.201,Pass,True,2009/2010
,,,,,,,,,,,,,1.5749,,,,,,,,,,,,,126f1d30-8e57-4f8e-b7f9-062aeea418bf,50,,"[57.9, 10.6]",69219,1,,,,True,-2.6113768,,,,,"[49.2, 5.5]",,Low Pass,,10.084641,,,,Carlos Bellvís Llorens,23793.0,,,,,,1,Regular Play,Ayoze García Pérez,26628.0,Right Wing,9,Tenerife,627,"['53e21732-6296-48d2-a576-fe95da9c9460', 'd2c39657-d9ff-43e6-b7be-30f2d7aa7b58']",45,,,,,,,,,,,,,,,,,,,Tenerife,627,00:01:45.860,Pass,True,2009/2010
,,,,,,,,,,,,,3.3501,,,,,,,,,,,,,703b8cba-e102-465b-8140-119c58fa1412,53,,"[49.6, 2.8]",69219,1,,,,,0.36675408,,Left Foot,,,"[97.5, 21.2]",,High Pass,,51.312473,,Incomplete,,Juan Francisco Martínez Modesto,24166.0,,,,,,1,Regular Play,Carlos Bellvís Llorens,23793.0,Left Back,9,Tenerife,627,"['819e6e45-4d8f-4ac6-b006-8bef6107121b', 'cfff932b-957f-44bc-ae47-02b90336203f']",49,,,,,,,,,,,,,,,,,,,Tenerife,627,00:01:49.388,Pass,,2009/2010
,,,,,,,,,,,,,2.531285,,,,,,,,,,,,,cfff932b-957f-44bc-ae47-02b90336203f,55,,"[23.5, 59.8]",69219,1,,,,,-2.5945156,,Head,,,"[12.5, 53.1]",,Low Pass,,12.879829,,,,Víctor Valdés Arribas,20176.0,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,10,Barcelona,217,"['703b8cba-e102-465b-8140-119c58fa1412', 'ee659c7f-6253-43aa-b5f3-ee1c358e3034']",52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.738,Pass,,2009/2010
,,,,,,,,,,,,,1.22579,,,,,,,,,,,,,0939cfaa-b56c-430c-b07f-b359529b1235,58,,"[12.2, 43.4]",69219,2,,,,,0.1308274,,Right Foot,,,"[27.4, 45.4]",,Ground Pass,,15.331015,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,10,Barcelona,217,['c2e68e92-34e8-40e3-98f4-487cf2377652'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.542,Pass,,2009/2010
,,,,,,,,,,,,,1.289813,,,,,,,,,,,,,5ccd7a68-7e45-44a6-8a74-a99d2cfa1e51,61,,"[27.6, 45.1]",69219,2,,,,,-3.0955725,,Right Foot,,,"[12.4, 44.4]",,Ground Pass,,15.21611,,,,Víctor Valdés Arribas,20176.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,10,Barcelona,217,['bcf54c84-f7d8-4087-b700-5c62410c69e5'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:01.965,Pass,,2009/2010
,,,,,,,,,,,,,1.20779,,,,,,,,,,,,,9ae6ae17-f1ed-455f-b858-622ebecb4011,64,,"[9.4, 31.1]",69219,2,,,,,-1.4554569,,Right Foot,,,"[11.3, 14.7]",,Ground Pass,,16.509695,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,10,Barcelona,217,['99020a3d-d6be-454c-84f7-528c6e922dec'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:04.262,Pass,,2009/2010
,,,,,,,,,,,,,2.222,,,,,,,,,,,,,d2de1e1d-a33a-45c9-b255-0217280dd52e,67,,"[9.8, 3.9]",69219,2,,,,,-0.00995983,,Left Foot,,,"[60.0, 3.4]",,High Pass,,50.20249,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,10,Barcelona,217,['1d33b217-523a-4333-8746-217749dd4d7f'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:07.282,Pass,,2009/2010
,,,,,,,,,,,,,1.8778,,,,,,,,,,,,,82a95491-3f23-461b-a475-758a176c421d,69,,"[56.2, 3.9]",69219,2,,,,,0.7011536,,Head,,,"[68.4, 14.2]",,High Pass,,15.966528,,Incomplete,,,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,10,Barcelona,217,['80f1e1f9-8738-415b-915d-9b3b635ec6d6'],9,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:09.584,Pass,,2009/2010
,,,,,,,,,,,,,1.3537,,,,,,,,,,,,,80f1e1f9-8738-415b-915d-9b3b635ec6d6,70,,"[52.6, 66.8]",69219,2,,,,,0.21621947,,Head,,,"[69.9, 70.6]",,High Pass,,17.712425,,Incomplete,,"Daniel Armand N""Gom Komé",26126.0,,,,,Recovery,1,Regular Play,Ezequiel Luna,26631.0,Right Center Back,10,Barcelona,217,"['2d8dfcb7-01e4-471a-9e71-6f228f1a85e5', '82a95491-3f23-461b-a475-758a176c421d', 'dad1fb0b-9b86-42ae-82d7-809fc240e9bd']",11,,,,,,,,,,,,,,,,,,,Tenerife,627,00:02:11.462,Pass,,2009/2010
,,,,,,,,,,,,,1.107541,,,,,,,,,,,,,2d8dfcb7-01e4-471a-9e71-6f228f1a85e5,72,,"[51.1, 10.4]",69219,2,,,,,-0.9453113,,Head,,,"[55.0, 5.0]",,Low Pass,,6.661081,,,,Thierry Henry,15516.0,,,,,Recovery,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,10,Barcelona,217,"['80f1e1f9-8738-415b-915d-9b3b635ec6d6', 'ff20c6c9-b29c-4465-a729-da3f8f55bb15']",12,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:12.816,Pass,,2009/2010
,,,,,,,,,,,,,0.962133,,,,,,,,,,,,,20fa08ac-11ba-4cb4-9bcf-dc4ce951a4bd,75,,"[53.5, 5.0]",69219,2,,,,,2.0386455,,Right Foot,,,"[48.7, 14.5]",,Low Pass,,10.643778,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,10,Barcelona,217,['fc51619e-ee55-4f01-8333-6584280be8a3'],14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:14.043,Pass,,2009/2010
,,,,,,,,,,,,,1.283888,,,,,,,,,,,,,60d886ad-6120-4a48-8e12-ca4196368cf2,78,,"[48.9, 16.7]",69219,2,,,,,0.19739556,,Right Foot,,,"[63.4, 19.6]",,Low Pass,,14.787157,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,10,Barcelona,217,['b045c987-8613-400d-ae3a-3d26aaeb2134'],15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.512,Pass,,2009/2010
,,,,,,,,,,,,,2.57072,,,,,,,,,,,,,559f9bab-7f50-4e16-8ac2-45d3e6ec338b,84,,"[52.3, 58.1]",69219,2,,,,,-2.8280387,,Left Foot,,,"[15.6, 46.2]",,Ground Pass,,38.581085,,,,Sergio Aragoneses Almeida,26627.0,,,,,,1,Regular Play,Ricardo León Brito,26626.0,Left Defensive Midfield,11,Tenerife,627,['ea8a3c57-d97f-4a00-836d-cd8395bb129a'],18,,,,,,,,,,,,,,,,,,,Tenerife,627,00:02:18.861,Pass,,2009/2010
,,,,,,,,,,,,,1.218387,,,,,,,,,,,,,03003998-cb0f-43b4-bf64-46002ab6a1f1,87,,"[15.6, 46.2]",69219,2,,,,,-1.0600139,,Right Foot,,,"[27.2, 25.5]",,Ground Pass,,23.728674,,,,Ezequiel Luna,26631.0,,,,,,1,Regular Play,Sergio Aragoneses Almeida,26627.0,Goalkeeper,11,Tenerife,627,['3a63230a-87f0-465e-aa4b-443a454ac477'],24,,,,,,,,,,,,,,,,,,,Tenerife,627,00:02:24.127,Pass,,2009/2010
,,,,,,,,,,,,,2.7062,,,,,,,,,,,,,ef94a5a1-47a3-49a5-ae8f-71ca5c8f52b5,90,,"[37.1, 35.7]",69219,2,,,,,0.9585731,,Right Foot,,,"[65.4, 76.0]",,High Pass,,49.244087,,,,"Daniel Armand N""Gom Komé",26126.0,,True,,,,1,Regular Play,Ezequiel Luna,26631.0,Right Center Back,11,Tenerife,627,['41608594-fc01-482d-9258-4351a12a6113'],27,,,,,,,,,,,,,,,,,,,Tenerife,627,00:02:27.563,Pass,,2009/2010
,,,,,,,,,,,,,0.748288,,,,,,,,,,,,,71babff4-7cb1-45fe-8263-509c4e9df352,92,,"[65.4, 76.0]",69219,2,,,,,-0.02608104,,Head,,,"[76.9, 75.7]",,Low Pass,,11.503912,,Incomplete,,Juan Francisco Martínez Modesto,24166.0,,,,,,1,Regular Play,"Daniel Armand N""Gom Komé",26126.0,Left Wing,11,Tenerife,627,"['1d58884e-b3e4-4cd0-a551-4b58013d7121', '3547ef9e-1738-49b2-8855-168f5ea86997']",30,,,,,,,,,,,,,,,,,,,Tenerife,627,00:02:30.269,Pass,,2009/2010
,,,,,,,,,,,,,0.880231,,,,,,,,,,,,,8d7e2b88-49dd-4580-b532-008add438ad5,96,,"[51.8, 6.8]",69219,2,,,,,-0.5307735,,Left Foot,,,"[56.4, 4.1]",,Ground Pass,,5.333854,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,12,Barcelona,217,['bb057303-bf0e-4c7f-abb9-5e5bb59d6baa'],33,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:33.194,Pass,,2009/2010
