ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.130497,,,,,,,,,,,,49468fc7-c1c5-4df0-aa8c-231bf31f2ee2,44,,,"[76.4, 78.5]",303725,0,,,,-0.20176235,,Right Foot,,"[80.8, 77.6]",,Low Pass,,4.491102,,,Incomplete,,Gerard Moreno Balaguero,6766.0,,,,,,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,3,Villarreal,222,"['7dddc387-e2a4-49e8-9599-d745a22003cd', '85c4ceb5-1f71-4137-832f-60cc592d2491']",43,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:43.420,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.195155,,,,,,,,,,,,3b19fe54-a3af-40c7-8ec0-30d1ecae4898,47,,,"[80.8, 80.0]",303725,1,,,,-1.5083776,,,,"[81.4, 70.4]",,Low Pass,,9.6187315,,,,,Samuel Chimerenka Chukwueze,16335.0,,,,,Throw-in,1,From Throw In,Mario Gaspar Pérez Martínez,6772.0,Right Back,4,Villarreal,222,['4061ae70-9108-4cc8-8645-da67bd91142d'],3,,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:03.819,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.634692,,,,,,,,,,,,f752c788-04cb-4d5f-809a-5827fab4fd95,58,,,"[77.5, 64.0]",303725,1,True,,,0.7094027,,Left Foot,,"[88.1, 73.1]",,Ground Pass,,13.970325,,,,,Samuel Chimerenka Chukwueze,16335.0,,,,,Free Kick,1,From Free Kick,André-Frank Zambo Anguissa,3141.0,Right Defensive Midfield,5,Villarreal,222,['761f9505-48b0-4e0e-8efc-8b04cdf566cd'],19,,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:19.312,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.322489,,,,,,,,,,,,c6d4f1d8-ff92-4a75-8a2a-298772faf93d,60,,,"[90.1, 61.2]",303725,1,,,,-1.2409596,,Left Foot,,"[101.5, 27.9]",,High Pass,,35.1973,,,Incomplete,,Santiago Cazorla González,11386.0,,,,,,1,From Free Kick,Samuel Chimerenka Chukwueze,16335.0,Right Midfield,5,Villarreal,222,"['6cb6ef35-0b6e-44d6-933a-6e298ecb37aa', 'f58ce060-0c51-4a66-8ab3-be5b748010a8']",22,,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:22.507,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.370289,,,,,,,,,,,,632be229-4519-4cbd-8ab3-3fea37896473,67,,,"[47.8, 80.0]",303725,1,True,,,-2.491574,,,,"[30.7, 67.0]",,High Pass,,21.480455,,,,,Gerard Piqué Bernabéu,5213.0,,,,,Throw-in,1,From Throw In,Nélson Cabral Semedo,6374.0,Right Back,7,Barcelona,217,['ea27be89-4902-4a15-9c26-f31e4b00bc9f'],35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.808,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.334822,,,,,,,,,,,,cc645912-6f6c-4544-8b43-736de5117f9c,69,,,"[17.3, 50.6]",303725,1,,,,-1.380808,,Right Foot,,"[21.8, 27.2]",,Ground Pass,,23.828764,,,,,Clément Lenglet,6826.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['1c1f2a7f-6c98-4c7a-8a36-69af6ecd1195'],42,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:42.700,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.032984,,,,,,,,,,,,e8c75604-bdb9-49f2-b2cd-b04c7698f934,72,,,"[36.7, 24.9]",303725,1,,,,-1.4523064,,Left Foot,,"[39.2, 3.9]",,Ground Pass,,21.148287,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,7,Barcelona,217,['8bed406e-8c6e-4042-a8d8-2d932272084b'],50,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.017,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.384312,,,,,,,,,,,,a92401fa-6af9-496c-bbf0-ed74b7baad1a,75,,,"[38.2, 3.8]",303725,1,,,,2.302193,,Right Foot,,"[24.2, 19.4]",,Ground Pass,,20.960917,,,,,Clément Lenglet,6826.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['ef4edd09-9ef7-4262-ba1a-3aa27e555010'],52,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:52.698,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.229054,,,,,,,,,,,,919cbadf-e8fc-4688-ad1d-21804a34928e,78,,,"[25.7, 21.9]",303725,1,,,,0.9619445,,Left Foot,,"[43.2, 47.0]",,Ground Pass,,30.598366,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,7,Barcelona,217,['dd174be3-4ebe-45b5-8e84-903c1ab12039'],56,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:56.280,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.58509,,,,,,,,,,,,ad45dcd2-2f85-4c68-b304-817aabdc5abf,81,,,"[43.2, 47.0]",303725,1,,,,-1.7475052,,Right Foot,,"[41.2, 35.8]",,Low Pass,,11.377171,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,7,Barcelona,217,['aeef0eec-d757-4dd1-b0e4-a9e6f9707248'],57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.759,Pass,,2019/2020
