ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,1.610201,,,,,,,,,,,,,eb42db25-897c-47d0-83d8-6b7ce243a3bb,78,,"[53.5, 75.6]",68333,1,,,,,-1.5253731,,Head,,,,"[54.2, 60.2]",,High Pass,,15.415901,,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Throw In,Ludovic Giuly,25878.0,Right Wing,6,Barcelona,217,['b98fa927-755f-4285-b572-e15296923941'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.516,Pass,,2006/2007
,,,,,,,,,,,,,,2.497965,,,,,,,,,,,,,551deea8-42d3-420a-a2e4-69c8f12a4491,82,,"[53.9, 58.8]",68333,1,,,,,-2.1264527,,Right Foot,,,,"[44.4, 43.5]",,High Pass,,18.009441,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,From Throw In,Samuel Eto''o Fils,19298.0,Center Forward,6,Barcelona,217,"['841e91c8-f960-4059-8f9c-4aded55a860a', '895dce09-7e18-47fa-bc70-07b1db052b9f']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.113,Pass,True,2006/2007
,,,,,,,,,,,,,,0.082468,,,,,,,,,,,,,09f12ada-d656-46a3-9bd8-ae5186102f87,85,,"[43.9, 42.3]",68333,1,,,,,-0.38050637,,Head,,,,"[45.9, 41.5]",,Low Pass,,2.1540658,,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,6,Barcelona,217,['0b94b30f-2430-42ac-9890-68b1ea8eb6e3'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.220,Pass,,2006/2007
,,,,,,,,,,,,,,1.4651,,,,,,,,,,,,,6c03d591-b990-481c-9924-da4c3aadf977,87,,"[45.9, 41.5]",68333,1,,,,,-3.034095,,Right Foot,,,,"[32.0, 40.0]",,Ground Pass,,13.980701,,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,6,Barcelona,217,['c3b4d5ba-d0a4-4817-b46b-9dcc61434b3d'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.302,Pass,,2006/2007
,,,,,,,,,,,,,,1.925921,,,,,,,,,,,,,7751e5ae-9be5-4ace-9e19-bb41e2835a58,90,,"[30.3, 34.6]",68333,1,,,,,-1.3977203,,Right Foot,,,,"[35.3, 6.0]",,Ground Pass,,29.033773,,,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Left Center Back,6,Barcelona,217,['c76d0e61-c9e5-4300-8e17-da21ad92209c'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.877,Pass,,2006/2007
,,,,,,,,,,,,,,1.6026,,,,,,,,,,,,,f5ee8b60-798c-49d8-9ee1-2a17ddbc2563,93,,"[35.3, 6.0]",68333,1,,,,,-0.037836824,,Left Foot,,,,"[67.0, 4.8]",,Ground Pass,,31.722704,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,,1,From Throw In,Giovanni van Bronckhorst,17797.0,Left Back,6,Barcelona,217,['03f32bf1-06c8-4c3e-977d-7a4c66259268'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.291,Pass,,2006/2007
,,,,,,,,,,,,,,3.950257,,,,,,,,,,,,,3f1de031-32fe-4cd5-a276-f05beeb00a36,100,,"[66.3, 8.8]",68333,1,,,,,0.86324227,,Right Foot,,,,"[118.9, 70.3]",,High Pass,,80.92596,,,Out,,,,,,True,,,Free Kick,1,From Free Kick,Ronaldo de Assis Moreira,25879.0,Left Wing,7,Barcelona,217,,56,,,,,,,,,,,,,,,,,Barcelona,217,00:01:56.070,Pass,,2006/2007
,,,,,,,,,,,,,,3.739024,,,,,,,,,,,,,4815cbdd-daf7-46a7-84e7-cdcb06c2eaf7,101,,"[7.0, 37.0]",68333,2,,,,,0.14527161,,Right Foot,,,,"[69.2, 46.1]",,High Pass,,62.862152,,,Incomplete,,Ismael Urzáiz Aranda,15608.0,,,,,,Goal Kick,1,From Goal Kick,Daniel Aranzubia Aguado,26029.0,Goalkeeper,8,Athletic Club,215,"['bdbaeb25-c9f6-435d-abc9-7dee3ef74d99', 'd2231c66-c872-44d4-956c-305e246996e1']",28,,,,,,,,,,,,,,,,,Athletic Club,215,00:02:28.124,Pass,,2006/2007
,,,,,,,,,,,,,,1.7148,,,,,,,,,,,,,bdbaeb25-c9f6-435d-abc9-7dee3ef74d99,104,,"[51.8, 34.9]",68333,2,,,,True,0.72165483,,,,,,"[56.8, 39.3]",,High Pass,,6.6603303,,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,Recovery,1,From Goal Kick,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,8,Athletic Club,215,"['4815cbdd-daf7-46a7-84e7-cdcb06c2eaf7', '58366a65-d6f6-4ab7-8435-4c593f4055a5', '7a2a8874-270d-45a2-9d75-bd0f0653245c', '927fbc66-1906-494d-babd-d6551308c317']",31,,,,,,,,,,,,,,,,,Barcelona,217,00:02:31.863,Pass,True,2006/2007
,,,,,,,,,,,,,,0.8495,,,,,,,,,,,,,927fbc66-1906-494d-babd-d6551308c317,106,,"[64.2, 41.7]",68333,2,,,,,-0.7501187,,Head,,,,"[68.6, 37.6]",,Low Pass,,6.01415,,,Incomplete,,Francisco Javier Yeste Navarro,26035.0,,,,,,Recovery,1,From Goal Kick,Ander Murillo García,26030.0,Right Defensive Midfield,8,Athletic Club,215,"['b7c56c89-34cc-4e2a-8e16-159459626fe6', 'bbd90dc7-b451-49ce-a8db-a87c12e719a1', 'bdbaeb25-c9f6-435d-abc9-7dee3ef74d99']",33,,,,,,,,,,,,,,,,,Athletic Club,215,00:02:33.577,Pass,,2006/2007
,,,,,,,,,,,,,,0.7212,,,,,,,,,,,,,502be8d5-c8ef-4c85-9121-93a358a60091,110,,"[53.5, 44.9]",68333,2,,,,,-1.3961241,,Right Foot,,,,"[55.0, 36.4]",,Ground Pass,,8.631338,,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Goal Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,8,Athletic Club,215,['7410efb1-c0c2-434f-8cbd-20863bfda620'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:02:34.928,Pass,,2006/2007
,,,,,,,,,,,,,,0.940572,,,,,,,,,,,,,f8572f8d-b052-4b30-9a57-b2616f257477,118,,"[62.5, 47.1]",68333,2,,,,,1.1550825,,Left Foot,,,,"[67.4, 58.2]",,Ground Pass,,12.133425,,,,,Ander Murillo García,26030.0,,,,,,,1,From Goal Kick,Francisco Javier Yeste Navarro,26035.0,Center Attacking Midfield,8,Athletic Club,215,"['0138b380-1e65-428c-91cd-f2c617bfc05b', '4b195b68-0fb0-4b42-bbb3-e8bab32063d2']",44,,,,,,,,,,,,,,,,,Athletic Club,215,00:02:44.358,Pass,True,2006/2007
,,,,,,,,,,,,,,0.793563,,,,,,,,,,,,,f999b714-6b6e-4a3d-8ee7-80d675f95a81,122,,"[75.1, 58.9]",68333,2,,,,,0.8304128,,Right Foot,,,,"[85.7, 70.5]",,Ground Pass,,15.713688,,,,,Javier Martínez Aginaga,9399.0,,,,,,,1,From Goal Kick,Ander Murillo García,26030.0,Right Defensive Midfield,8,Athletic Club,215,['34012344-92c8-4a15-8600-c56f55d61cf6'],47,,,,,,,,,,,,,,,,,Athletic Club,215,00:02:47.983,Pass,,2006/2007
,,,,,,,,,,,,,,1.1529,,,,,,,,,,,,,1438e1a1-b89a-4983-ad79-fad19c6ec124,125,,"[93.2, 69.4]",68333,2,,,,,-1.0022718,,Right Foot,,,,"[104.7, 51.4]",,High Pass,,21.36001,,,Incomplete,,,,,,,,,,1,From Goal Kick,Javier Martínez Aginaga,9399.0,Right Midfield,8,Athletic Club,215,['686a1de4-3830-441d-aaf2-64befce1b099'],51,,,,,,,,,,,,,,,,,Athletic Club,215,00:02:51.189,Pass,,2006/2007
,,,,,,,,,,,,,,1.312665,,,,,,,,,,,,,615246d6-cec8-4e70-aa88-69c15210e4a0,127,,"[31.7, 35.6]",68333,2,,,,,1.19029,,Right Foot,,,,"[35.9, 46.1]",,Ground Pass,,11.308846,,,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,9,Barcelona,217,['48aaecd4-b10d-470e-b3f3-408f6a05dcdd'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:02:54.075,Pass,,2006/2007
,,,,,,,,,,,,,,2.721507,,,,,,,,,,,,,26f2c78d-7ebb-4746-a82b-9e4d5d279f59,131,,"[40.8, 44.3]",68333,2,,,,,0.88915,,Right Foot,,,,"[63.6, 72.4]",,Ground Pass,,36.186325,,,,,Ludovic Giuly,25878.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,9,Barcelona,217,"['436fc9a4-5577-409b-b7f1-3d3d10ac69ce', 'daac8677-e053-4ddf-9a29-a65a5360bc48']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:02:56.823,Pass,True,2006/2007
