bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f74140f4-907f-4adc-b08c-b9a925ebb774,3914,,"[72.6, 13.9]",9636,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Aquilani,6920.0,,Left Defensive Midfield,175,Las Palmas,208,['7e503e3d-9a6f-4d1a-bdb5-f32c9476742f'],51,,,,,,,,,,,,,,,,,,Las Palmas,208,00:43:51.686,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcd0dc9e-df73-410e-b560-362c0f4cfc49,3917,,"[70.4, 30.4]",9636,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Vicente Gómez Umpiérrez,6929.0,,Right Defensive Midfield,175,Las Palmas,208,['b8170875-c5bb-425b-9c10-56ceb4140682'],54,,,,,,,,,,,,,,,,,,Las Palmas,208,00:43:54.006,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595a828c-cbd2-41a4-8bc8-01cbb557e5dd,3920,,"[57.4, 15.4]",9636,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Joaquín Navarro Jiménez,6923.0,,Left Center Back,175,Las Palmas,208,['0a5f457f-5261-4ae3-bb4b-2685b5ca050a'],55,,,,,,,,,,,,,,,,,,Las Palmas,208,00:43:55.686,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a78b8352-175c-48a2-9d5a-fd86b4af8853,3923,,"[67.7, 3.5]",9636,88,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Borja Herrera González,8204.0,,Left Back,175,Las Palmas,208,['e592ddf4-517d-4ad9-a101-b516f87cd856'],58,,,,,,,,,,,,,,,,,,Las Palmas,208,00:43:58.366,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b06618c7-d124-40f7-96cc-a912cf66cf71,3927,,"[62.0, 25.1]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Aquilani,6920.0,,Left Defensive Midfield,175,Las Palmas,208,['79abb723-4c4f-47dc-a398-4e6262ee2cca'],2,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:02.366,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,efdad3f2-f9c9-49a6-b7f3-fb0d96c58474,3931,,"[55.8, 55.1]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Míchel Macedo Rocha Machado,6922.0,,Right Back,175,Las Palmas,208,['68262bb1-059c-4588-9606-c3e0f623eb2a'],6,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:06.111,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732a981b-c9cf-4e12-b5ac-a1d858501622,3934,,"[90.0, 69.4]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Oussama Tannane,4265.0,,Right Wing,175,Las Palmas,208,['9eb9a41c-4244-475f-b1ae-d21ac27ff241'],10,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:10.591,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2a5833ad-e304-4820-8624-49a66521f53b,3937,,"[112.6, 18.5]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Hernán Darío Toledo,8099.0,,Left Wing,175,Las Palmas,208,['514ac78f-ba13-4176-af99-8a140d8ea75a'],16,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:16.191,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8d16f94f-5c9d-4744-a54a-5cbfc3d9d222,3945,,"[86.9, 18.3]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alberto Aquilani,6920.0,,Left Defensive Midfield,175,Las Palmas,208,['794a547f-1739-4f8d-8c0a-f0cf7d0e17ec'],28,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:28.220,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb210c91-1a90-4e04-94eb-0a4662cf31bc,3948,,"[109.4, 67.1]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Míchel Macedo Rocha Machado,6922.0,,Right Back,175,Las Palmas,208,['f1e6021b-a439-42d3-a60a-1aebcc2442ba'],33,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:33.358,Ball Receipt*,,2017/2018
