ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.586477,,,,,,,,,,,,,,,8607959a-df25-43a4-807f-dae074fd6b6c,1461,,"[56.7, 14.6]",303400,30,,,,,1.5480729,,Right Foot,,,"[56.9, 23.4]",,Ground Pass,8.802273,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,44,Barcelona,217,['03f5b150-2457-46c3-b563-b41c761f00fc'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:30:38.142,Pass,,2019/2020
,,,,,,,,,,,,,,,1.150216,,,,,,,,,,,,,,,27b692f2-9020-4aab-b736-15dd27508ae4,1465,,"[61.8, 26.1]",303400,30,,,,,-2.2933404,,Right Foot,,,"[55.1, 18.5]",,Ground Pass,10.131634,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Arthur Henrique Ramos de Oliveira Melo,11392.0,Left Center Midfield,45,Barcelona,217,['97b71bbe-a49c-4090-9c17-9d7cf63453da'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:30:41.785,Pass,,2019/2020
,,,,,,,,,,,,,,,1.152746,,,,,,,,,,,,,,,7c0d39bf-bb9d-457d-82ca-d91ce08810c2,1467,,"[54.6, 18.5]",303400,30,,,,,2.6516354,,Right Foot,,,"[41.1, 25.7]",,Ground Pass,15.3,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Wing Back,46,Barcelona,217,['8203b238-39d1-41f5-a897-914d9d3370a8'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:30:42.935,Pass,,2019/2020
,,,,,,,,,,,,,,,1.125194,,,,,,,,,,,,,,,c2e180f6-2c38-4c64-bd12-9a8d08f59951,1470,,"[42.4, 28.6]",303400,30,,,,,1.8594707,,Left Foot,,,"[37.5, 45.1]",,Ground Pass,17.212206,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,47,Barcelona,217,['3f1ea0ea-90a1-4f2a-bec1-6b877dcd8c48'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:30:45.529,Pass,,2019/2020
,,,,,,,,,,,,,,,1.121711,,,,,,,,,,,,,,,d1c19d36-327c-43eb-bafa-b7f0e17f5443,1473,,"[42.2, 48.7]",303400,30,,,,,1.1189824,,Right Foot,,,"[48.8, 62.3]",,Ground Pass,15.116878,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,48,Barcelona,217,['a3530425-6d60-434a-8a03-ccda104528c9'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:30:49.226,Pass,,2019/2020
,,,,,,,,,,,,,,,1.438342,,,,,,,,,,,,,,,282903b2-5c83-4701-a836-2978f00c10f2,1476,,"[51.4, 68.9]",303400,30,,,,,0.58016574,,Right Foot,,,"[66.2, 78.6]",,Ground Pass,17.69548,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Back,49,Barcelona,217,['ebd63bb8-5fc5-482f-aa55-f1474f386a8d'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:30:51.573,Pass,,2019/2020
,,,,,,,,,,,,,,,1.062228,,,,,,,,,,,,,,,ede651fd-7315-4a57-90c2-56a9469280c6,1479,,"[70.6, 78.3]",303400,30,,,,,-2.3251486,,Right Foot,,,"[62.8, 70.0]",,Ground Pass,11.389908,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,50,Barcelona,217,['14b21c82-c53f-4204-b804-c93d8d02356f'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:30:55.983,Pass,,2019/2020
,,,,,,,,,,,,,,,1.133681,,,,,,,,,,,,,,,1a1e7aa1-d0c5-4fc2-8fb4-767b758a2bce,1482,,"[63.9, 68.6]",303400,30,,,,,0.9126144,,Left Foot,,,"[71.4, 78.3]",,Ground Pass,12.261321,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Back,51,Barcelona,217,['4830a5e9-2762-4b1d-91cd-e9fa57224132'],58,,,,,,,,,,,,,,,,,Barcelona,217,00:30:58.566,Pass,,2019/2020
,,,,,,,,,,,,,,,0.977893,,,,,,,,,,,,,,,ced0f2d7-4156-4c4a-b9b1-becfc756cb6c,1484,,"[71.3, 78.3]",303400,30,,,,,-2.5308666,,Left Foot,,,"[64.3, 73.4]",,Ground Pass,8.544589,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,52,Barcelona,217,['d98bfa77-b084-4008-9b6c-3900aff9bafc'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:30:59.700,Pass,,2019/2020
,,,,,,,,,,,,,,,0.620283,,,,,,,,,,,,,,,9da6d241-f14e-4553-bf8a-c9f559b1aacf,1487,,"[74.9, 68.0]",303400,31,,,,,-0.337735,,Right Foot,,,"[91.7, 62.1]",,Ground Pass,17.805899,,,,Anssumane Fati,30756.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Center Back,53,Barcelona,217,['bb9707c3-433c-49c1-819f-5538460262b3'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:31:04.953,Pass,,2019/2020
,,,,,,,,,,,,,,,1.369197,,,,,,,,,,,,,,,550a2d44-7298-4143-893c-19d997cfdecd,1492,,"[32.7, 17.1]",303400,31,,,,,-2.4552073,,Right Foot,,,"[24.4, 10.3]",,Ground Pass,10.729865,,,,José Luis Gayà Peña,6596.0,,,,,Recovery,1,Regular Play,Francis Joseph Coquelin,3437.0,Right Center Midfield,54,Valencia,207,['2ecf4ef7-b3dc-4d39-8e2e-0f9280802543'],7,,,,,,,,,,,,,,,,,Valencia,207,00:31:07.285,Pass,,2019/2020
,,,,,,,,,,,,,,,2.105348,,,,,,,,,,,,,,,7f2f74cc-38a6-402f-9fa0-2865356b0347,1496,,"[32.7, 0.4]",303400,31,,,,,0.056543436,,Left Foot,,,"[69.8, 2.5]",,High Pass,37.159386,,,,Maximiliano Gómez González,6297.0,,,,,,1,Regular Play,José Luis Gayà Peña,6596.0,Left Back,54,Valencia,207,"['25d22efa-927f-46d8-9cf7-fcf306958c2c', 'b48357a0-db7c-464b-bafe-f34828981e72']",10,,,,,,,,,,,,,,,,,Valencia,207,00:31:10.621,Pass,True,2019/2020
,,,,,,,,,,,,,,,0.157483,,,,,,,,,,,,,,,2b8b11b4-0e9e-41b3-ada4-bd7efb465f5a,1500,,"[69.3, 0.4]",303400,31,,,,,-3.0118902,,Right Foot,,,"[67.0, 0.1]",,Low Pass,2.3194828,,Incomplete,,,,,,,,,1,Regular Play,Maximiliano Gómez González,6297.0,Left Center Forward,54,Valencia,207,"['1472636b-d7be-4c28-8bfb-af752a14f4c4', '99294250-e80a-4c8c-9a8e-accd84b0e848']",14,,,,,,,,,,,,,,,,,Valencia,207,00:31:14.938,Pass,True,2019/2020
