50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.182514,,,,,,,,,,,,,80f256f9-1180-4cac-b017-8978364355d9,22,,"[47.0, 37.0]",16196,0,,,,-2.6779451,,Right Foot,,,,"[33.0, 30.0]",,Ground Pass,,15.652476,,,Sergio Ramos García,5201.0,,,,,,,1,Regular Play,Toni Kroos,5574.0,Left Center Midfield,3,Real Madrid,220,['9a6a35fb-0ce6-4d81-bbea-d07f84bf8e24'],6,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:06.509,Pass,,2018/2019
,,,,,,,,,,,,,,,,5.407,,,,,,,,,,,,,6956f9d0-4f66-4d01-9ef6-6dc938c22cef,26,,"[34.0, 30.0]",16196,0,,,,0.0,,Right Foot,,,,"[97.0, 30.0]",,High Pass,,63.0,Incomplete,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,,1,Regular Play,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,"['103ba945-1f55-4e7c-8fde-41b09480e1b1', 'd5297344-58e8-4327-8f9e-c4143f266bac', 'e68cbc7a-1832-42cc-8fdf-2b1dd987f00f']",7,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:07.731,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.5638,,,,,,,,,,,,,e1fc1455-41ea-47a3-b32d-ef029f30bfb7,30,,"[25.0, 50.0]",16196,0,,,,-1.6262949,,Right Foot,,,,"[24.0, 32.0]",,Ground Pass,,18.027756,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,4,Barcelona,217,['cf7422d6-d185-4327-90f2-29d3a2f7d06c'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.740,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.1292,,,,,,,,,,,,,5e10f306-a5e4-4fca-8fdd-8ad9a11b5793,33,,"[29.0, 32.0]",16196,0,,,,0.57133746,,Left Foot,,,,"[43.0, 41.0]",,Ground Pass,,16.643316,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,4,Barcelona,217,['95556930-515d-4fec-9311-0b3559aaf7c1'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.338,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.4231,,,,,,,,,,,,,352d0131-ef86-4dc7-8caf-149d88cb8b80,37,,"[41.0, 39.0]",16196,0,,,,-2.3561945,,Left Foot,,,,"[27.0, 25.0]",,Ground Pass,,19.79899,,,Clément Lenglet,6826.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,"['8c203755-ff9a-4495-aefb-b05ba670694e', '996dfcee-a4c9-4bf7-9b62-d2c6fb81fec4']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.507,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.0885,,,,,,,,,,,,,655b3c6c-2795-4d29-9537-07fa86cb3092,41,,"[28.0, 11.0]",16196,0,,,,2.2348425,,Right Foot,,,,"[10.0, 34.0]",,Ground Pass,,29.206163,,,Marc-André ter Stegen,20055.0,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,4,Barcelona,217,['d2fe7c6a-015e-441b-b10e-1b546886f05e'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.085,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.3331,,,,,,,,,,,,,83ccf0ae-c8ba-40a5-a65e-ae42048a76ef,44,,"[10.0, 34.0]",16196,0,,,,1.4464413,,Right Foot,,,,"[12.0, 50.0]",,Ground Pass,,16.124516,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,4,Barcelona,217,['6655022c-f4d5-4366-b735-fcf27fd6301f'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.456,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.977,,,,,,,,,,,,,90de2599-f13e-4c0b-9f72-3fb5c97f425b,47,,"[13.0, 49.0]",16196,0,,,,-0.688145,,Right Foot,,,,"[58.0, 12.0]",,High Pass,,58.258045,Incomplete,,Ousmane Dembélé,5477.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,"['98d06e83-775c-4480-abfb-09a45697132f', 'e5fd5d2f-7a7d-41c2-b3d9-f07ccad88b44']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.724,Pass,,2018/2019
,,,,,,,,,,,,,,,,3.2803,,,,,,,,,,,,,e5fd5d2f-7a7d-41c2-b3d9-f07ccad88b44,50,,"[63.0, 69.0]",16196,0,,,True,-3.0584514,,,,,,"[51.0, 68.0]",,High Pass,,12.0415945,,,Raphaël Varane,5485.0,,,,,,Recovery,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,5,Real Madrid,220,"['7f80dd75-da94-4448-b875-9a920c9d1ec3', '90de2599-f13e-4c0b-9f72-3fb5c97f425b', 'c3d160af-68ed-48d1-95da-9a7c822a4a8e']",32,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:32.701,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.6964,,,,,,,,,,,,,4086587b-2435-49d1-908a-6aa819871111,52,,"[51.0, 68.0]",16196,0,,,,0.4048918,,Head,,,,"[58.0, 71.0]",,Low Pass,,7.615773,Incomplete,,Daniel Carvajal Ramos,5721.0,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,5,Real Madrid,220,"['5668c285-9610-451e-8b8f-716967506970', '8cd3d289-834d-45d5-8960-304b14a0d7be']",36,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:36.131,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.194337,,,,,,,,,,,,,8cd3d289-834d-45d5-8960-304b14a0d7be,54,,"[63.0, 10.0]",16196,0,,,,-0.4048918,,Head,,,,"[70.0, 7.0]",,High Pass,,7.615773,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,Recovery,1,Regular Play,Ousmane Dembélé,5477.0,Left Wing,5,Real Madrid,220,"['1a18865c-c69e-4ef7-99ee-26027f5c2f77', '4086587b-2435-49d1-908a-6aa819871111', 'e127770d-3b95-4ef7-ba69-3a89bb7e0feb']",36,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:36.827,Pass,,2018/2019
,,,,,,,,,,,,,,,,4.20175,,,,,,,,,,,,,0ffbbeee-16bb-4602-8761-ebbc5d282707,59,,"[49.0, 74.0]",16196,0,,,,-2.6779451,,Right Foot,,,,"[9.0, 54.0]",,Ground Pass,,44.72136,,,Thibaut Courtois,3509.0,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,5,Real Madrid,220,"['051b0656-5c00-48d8-bdb7-6ec93ca80a11', 'a20632e0-f2a8-4435-98e4-27b335a7a1cc']",38,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:38.954,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.957939,,,,,,,,,,,,,3e06291b-709e-4767-897d-a43b92a3c9c0,62,,"[9.0, 54.0]",16196,0,,,,1.2341216,,Left Foot,,,,"[16.0, 74.0]",,Ground Pass,,21.189621,,,Raphaël Varane,5485.0,,,,,,,1,Regular Play,Thibaut Courtois,3509.0,Goalkeeper,5,Real Madrid,220,['d4396d22-4bc5-43de-b625-3369979a861b'],43,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:43.616,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.852025,,,,,,,,,,,,,d7d88330-1674-4790-8e8e-f4f5bf29748f,66,,"[16.0, 70.0]",16196,0,,,,-0.7853982,,Left Foot,,,,"[24.0, 62.0]",,Ground Pass,,11.313708,,,Carlos Henrique Casimiro,5539.0,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,5,Real Madrid,220,"['3a0a2c7c-6b95-4b42-b1ce-37bdcbc96a26', 'e7130196-c2af-46dc-be56-89a5d59e73e7']",46,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:46.744,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.156843,,,,,,,,,,,,,be45cc3b-818a-417d-9fd8-af55c9ed893b,69,,"[26.0, 63.0]",16196,0,,,,1.3045443,,Right Foot,,,,"[29.0, 74.0]",,Ground Pass,,11.401754,,,Daniel Carvajal Ramos,5721.0,,,,,,,1,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,5,Real Madrid,220,['99fcc59c-e7b6-4b8c-8018-07c4de0063c5'],48,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:48.602,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.237993,,,,,,,,,,,,,81fb2432-0dc4-43a0-991e-305053201db9,73,,"[26.0, 61.0]",16196,0,,,,-2.3561945,,Right Foot,,,,"[3.0, 38.0]",,Ground Pass,,32.526913,,,Thibaut Courtois,3509.0,,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,5,Real Madrid,220,"['00f54ffb-e1e1-4f96-8231-e68aa7ac3ee4', 'b8a3af7a-e2fd-4176-8224-a99f0baff7eb']",54,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:54.318,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.537119,,,,,,,,,,,,,9f94dcb5-2fba-4ba8-b6f8-4bb9bfa5bc52,77,,"[5.0, 40.0]",16196,0,,,,0.5880026,,Right Foot,,,,"[41.0, 64.0]",,High Pass,,43.266617,,,Luka Modrić,5463.0,,,,,,,1,Regular Play,Thibaut Courtois,3509.0,Goalkeeper,5,Real Madrid,220,"['4b58837a-5e3c-4cee-930d-db596d408b12', 'e5d179f2-987f-4755-a96a-0320acd760ab']",58,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:58.221,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.741561,,,,,,,,,,,,,8585d2e0-332d-4a3d-ba44-35faa5ba48f4,81,,"[34.0, 64.0]",16196,1,,,,2.2655346,,Right Foot,,,,"[29.0, 70.0]",,Ground Pass,,7.81025,,,Daniel Carvajal Ramos,5721.0,,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,5,Real Madrid,220,"['12a066a2-77cf-4dc7-8c8b-39bb970e9e07', '5f75e200-baf5-40bc-b7a6-9fd34e86aac2']",2,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:02.304,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.886004,,,,,,,,,,,,,cee0f59c-9cd0-4668-8c88-6d436caf8e6c,84,,"[28.0, 69.0]",16196,1,,,,-1.4711276,,Right Foot,,,,"[29.0, 59.0]",,Ground Pass,,10.049875,,,Raphaël Varane,5485.0,,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,5,Real Madrid,220,['a0d4b6e1-6efc-40bf-aa9a-d2c66e2aea03'],4,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:04.142,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.1192,,,,,,,,,,,,,d392ffce-4ae6-4d06-b4d8-b8fc3f553138,87,,"[29.0, 59.0]",16196,1,,,,-0.5880026,,Right Foot,,,,"[41.0, 51.0]",,High Pass,,14.422205,Incomplete,,Toni Kroos,5574.0,,,,,,,1,Regular Play,Raphaël Varane,5485.0,Right Center Back,5,Real Madrid,220,"['21faf7e5-e552-4ce4-9087-2e44650a29b1', '766fad15-7b1c-4bce-8ba2-c570f3b136d1']",5,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:05.148,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.2276,,,,,,,,,,,,,65c6d432-b8ad-4357-bdc7-1cec7abdbe66,102,,"[71.0, 43.0]",16196,1,,,,0.0,,Left Foot,,,,"[72.0, 43.0]",,Ground Pass,,1.0,Incomplete,,Vinícius José Paixão de Oliveira Júnior,18395.0,,,,,,,1,Regular Play,Gareth Frank Bale,6399.0,Right Wing,5,Real Madrid,220,"['0fd8b7a0-008f-461d-ab6d-42340cf433a2', '2857d6c9-824b-46fd-9f68-0630fa65f293']",13,,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:13.066,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.0063,,,,,,,,,,,,,4ecbce8f-7286-4f56-931b-025af2eaf870,105,,"[43.0, 27.0]",16196,1,,,,-1.6614562,,Left Foot,,,,"[42.0, 16.0]",,Ground Pass,,11.045361,,,Jordi Alba Ramos,5211.0,,,,,,Recovery,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,6,Barcelona,217,['84912b23-f311-480b-b5d1-aabfa13a052c'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.738,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.116,,,,,,,,,,,,,742e6e6a-62b8-490d-9977-3b281c9344bc,109,,"[42.0, 17.0]",16196,1,,,,0.7853982,,Left Foot,,,,"[51.0, 26.0]",,Ground Pass,,12.727922,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,"['66133f65-ae04-4276-bf4c-82205affeae8', '95ecfac3-8a9f-4814-8981-0b8e686df987']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.785,Pass,True,2018/2019
,,,,,,,,,,,,,,,,0.697405,,,,,,,,,,,,,c539def4-dfe2-43d3-bd19-bf7a1488fcde,123,,"[7.0, 37.0]",16196,2,True,,,-1.5707964,,Right Foot,,,,"[7.0, 16.0]",,Ground Pass,,21.0,,,Clément Lenglet,6826.0,,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,9,Barcelona,217,['f79be9e8-5165-4a95-b2dc-9db5fd24c8c3'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:48.160,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.7322,,,,,,,,,,,,,db5f0fcb-de3f-4239-86c2-e0114e443255,126,,"[22.0, 24.0]",16196,2,,,,0.08550529,,Right Foot,,,,"[57.0, 27.0]",,Low Pass,,35.128338,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,,1,From Goal Kick,Clément Lenglet,6826.0,Left Center Back,9,Barcelona,217,"['71f73186-486e-4808-a134-c08b8d9c39ca', '745bc130-cbcd-46f0-a624-4ee454913d7a', 'c0c9b59c-f34f-42dd-a6dc-d3dfc0af06e3']",51,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:51.544,Pass,True,2018/2019
,,,,,,,,,,,,,,,,1.6051,,,,,,,,,,,,,c0c9b59c-f34f-42dd-a6dc-d3dfc0af06e3,128,,"[64.0, 54.0]",16196,2,,,,0.5880026,,Right Foot,,,,"[76.0, 62.0]",,Low Pass,,14.422205,,,Daniel Carvajal Ramos,5721.0,,,,,,Recovery,1,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,10,Real Madrid,220,"['940a357d-ba93-4204-a008-a349a6d0a834', 'db5f0fcb-de3f-4239-86c2-e0114e443255']",53,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:53.276,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.5447,,,,,,,,,,,,,ca6e282a-e478-4890-8a4f-7e1b469111fe,131,,"[76.0, 62.0]",16196,2,,,,-2.1293957,,Right Foot,,,,"[71.0, 54.0]",,Ground Pass,,9.433981,,,Carlos Henrique Casimiro,5539.0,,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,10,Real Madrid,220,['1711250f-14a7-4588-a430-bff8b8692088'],54,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:54.922,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.7128,,,,,,,,,,,,,7df8ac60-891e-4838-8d46-f3177ab36554,134,,"[70.0, 52.0]",16196,2,,,,-0.7853982,,Right Foot,,,,"[75.0, 47.0]",,Ground Pass,,7.071068,,,Toni Kroos,5574.0,,,,,,,1,Regular Play,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,10,Real Madrid,220,['d6d13052-4d3a-41af-83d1-ca2721133981'],55,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:55.935,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.209714,,,,,,,,,,,,,fd9125c3-7d9c-45df-8863-04836e08b78d,138,,"[69.0, 52.0]",16196,2,,,,1.418147,,Right Foot,,,,"[71.0, 65.0]",,Ground Pass,,13.152946,,,Daniel Carvajal Ramos,5721.0,,,,,,,1,Regular Play,Toni Kroos,5574.0,Left Center Midfield,10,Real Madrid,220,['ca6ce3a1-c4a9-4eef-88a3-058dc350daa1'],59,,,,,,,,,,,,,,,,,,Real Madrid,220,00:02:59.035,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.9201,,,,,,,,,,,,,7ac8214c-c76e-422a-82e1-f071c49fbfec,141,,"[71.0, 65.0]",16196,3,,,,-2.3561945,,Right Foot,,,,"[64.0, 58.0]",,Ground Pass,,9.899495,,,Toni Kroos,5574.0,,,,,,,1,Regular Play,Daniel Carvajal Ramos,5721.0,Right Back,10,Real Madrid,220,['3ba8bfdc-8172-497e-a108-2aabc6123e5a'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:03:00.325,Pass,,2018/2019
