50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.1335,,,,,,,,,,,,,,,,ba7d8cad-6d9d-400a-a171-ae2efd3a779c,3029,,"[54.8, 34.3]",266498,75,,,,,-0.5810823,,Right Foot,,,,"[61.5, 29.9]",,Ground Pass,,8.01561,,,,Moisés Gómez Bordonado,11675.0,,,,,Recovery,2,Regular Play,Juan Antonio Rodríguez Villamuela,25881.0,Right Center Midfield,135,Getafe,216,['a2d51c3e-1306-4bd1-a9c4-146f19af1526'],12,,,,,,,,,,,,,,,,,Getafe,216,00:30:12.496,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.954046,,,,,,,,,,,,,,,,89271d6d-990f-4b1c-8e98-5229a00393c0,3033,,"[63.5, 40.4]",266498,75,,,,,2.340067,,Right Foot,,,,"[57.4, 46.7]",,Ground Pass,,8.769264,,,,Víctor Rodríguez Romero,15893.0,,,,,,2,Regular Play,Moisés Gómez Bordonado,11675.0,Right Midfield,135,Getafe,216,['64a00576-be41-4ba1-a09c-4be5df915583'],15,,,,,,,,,,,,,,,,,Getafe,216,00:30:15.703,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.213616,,,,,,,,,,,,,,,,51746c6b-e9f3-4512-b8d4-9e439729e9c8,3036,,"[58.0, 37.3]",266498,75,,,,,-1.3384619,,Right Foot,,,,"[63.3, 14.9]",,Ground Pass,,23.01847,,,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,,2,Regular Play,Víctor Rodríguez Romero,15893.0,Left Midfield,135,Getafe,216,['aeba44ab-cbcf-437b-8784-5a5b23d951d2'],19,,,,,,,,,,,,,,,,,Getafe,216,00:30:19.143,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.9197,,,,,,,,,,,,,,,,f8adfcc2-0e2c-4b43-aa42-ccb9010abd13,3039,,"[63.3, 14.9]",266498,75,,,,,2.1243298,,Right Foot,,,,"[57.8, 23.8]",,Ground Pass,,10.462314,,,,Víctor Rodríguez Romero,15893.0,,,,,,2,Regular Play,Juan Antonio Rodríguez Villamuela,25881.0,Right Center Midfield,135,Getafe,216,['27cffe0d-bb96-4bab-a068-c4d13f7c105a'],22,,,,,,,,,,,,,,,,,Getafe,216,00:30:22.190,Pass,,2015/2016
,,,,,,,,,,,,,,,,,0.927238,,,,,,,,,,,,,,,,a1b839e5-d7e6-450c-b47e-3f9bfb9ef1f2,3042,,"[64.1, 24.1]",266498,75,,,,,1.9818609,,Right Foot,,,,"[62.4, 28.0]",,Ground Pass,,4.2544093,,,,Moisés Gómez Bordonado,11675.0,,,,,,2,Regular Play,Víctor Rodríguez Romero,15893.0,Left Midfield,135,Getafe,216,['d746f9af-27ee-4495-bce8-2a2e7abe6099'],24,,,,,,,,,,,,,,,,,Getafe,216,00:30:24.733,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.384,,,,,,,,,,,,,,,,73e3277d-7ae4-4430-983c-f17b7a092135,3045,,"[64.1, 17.1]",266498,75,,,,,-1.784165,,Right Foot,,,,"[61.5, 5.1]",,Ground Pass,,12.278437,,,,Álvaro Daniel Pereira Barragán,27402.0,,,,,,2,Regular Play,Moisés Gómez Bordonado,11675.0,Right Midfield,135,Getafe,216,['72d3b16a-fe34-4ad5-b115-40674641b1b1'],27,,,,,,,,,,,,,,,,,Getafe,216,00:30:27.323,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.021849,,,,,,,,,,,,,,,,97677e81-2048-4447-ac59-8a2010bd6ad3,3048,,"[61.5, 5.1]",266498,75,,,,,1.9995743,,Left Foot,,,,"[56.7, 15.6]",,Ground Pass,,11.545129,,,,Juan Antonio Rodríguez Villamuela,25881.0,,,,,,2,Regular Play,Álvaro Daniel Pereira Barragán,27402.0,Left Back,135,Getafe,216,['c7394edc-3478-43fc-bcca-a78fab9127b4'],29,,,,,,,,,,,,,,,,,Getafe,216,00:30:29.518,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.00792,,,,,,,,,,,,,,,,c3007d09-1110-486c-bdeb-c8f18736b2db,3051,,"[53.7, 26.4]",266498,75,,,,,1.8189956,,Right Foot,,,,"[46.3, 55.6]",,Ground Pass,,30.123081,,,,Álvaro Medrán Just,6736.0,,,,,,2,Regular Play,Juan Antonio Rodríguez Villamuela,25881.0,Right Center Midfield,135,Getafe,216,['2556b948-fa81-4604-b9de-3867fc3be948'],34,,,,,,,,,,,,,,,,,Getafe,216,00:30:34.482,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.750604,,,,,,,,,,,,,,,,78d36dcf-ffe0-42f7-b7c2-97b0d493e51d,3055,,"[54.1, 59.8]",266498,75,,,,,-2.4305668,,Right Foot,,,,"[40.4, 48.0]",,Ground Pass,,18.081205,,,,Santiago Vergini,27403.0,,,,,,2,Regular Play,Álvaro Medrán Just,6736.0,Left Center Midfield,135,Getafe,216,"['4cda763a-eadc-4681-be7a-492f39878f2f', 'd123bb32-2a2b-4f63-aae8-2c90a1711a9d']",39,,,,,,,,,,,,,,,,,Getafe,216,00:30:39.106,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,1.778094,,,,,,,,,,,,,,,,36374f73-fc23-4ae0-bcf6-86169ae8a4bd,3058,,"[40.4, 48.0]",266498,75,,,,,-0.26625204,,Right Foot,,,,"[45.9, 46.5]",,Ground Pass,,5.700877,,,,Álvaro Medrán Just,6736.0,,,,,,2,Regular Play,Santiago Vergini,27403.0,Right Center Back,135,Getafe,216,['0c92da15-6e4d-45c0-be40-826047c12d18'],41,,,,,,,,,,,,,,,,,Getafe,216,00:30:41.316,Pass,,2015/2016
