ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.966,,,,,,,,,,,,0bddc53c-3318-4a71-8b30-a3180ed5627a,50,,"[30.0, 19.0]",9928,0,,,,-0.94200003,,Left Foot,,,"[38.0, 8.0]",,Ground Pass,,13.601471,,,,Lucas Digne,6849.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,5,Barcelona,217,['b546e2ab-2376-4fbd-a2e4-a8d9bc0499ff'],53,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.932,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.096,,,,,,,,,,,,fda3118a-8016-4c8a-b208-bbbb44ad0883,54,,"[35.0, 8.0]",9928,0,,,,-0.21866895,,Left Foot,,,"[44.0, 6.0]",,Ground Pass,,9.219544,,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Lucas Digne,6849.0,Left Back,5,Barcelona,217,['c441e1a2-ebea-4df5-9370-fbf643599844'],55,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:55.783,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.421,,,,,,,,,,,,ec912d67-7492-4407-ae41-0954b9732b29,59,,"[44.0, 8.0]",9928,0,,,,1.7681919,,Right Foot,,,"[42.0, 18.0]",,Ground Pass,,10.198039,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Left Wing,5,Barcelona,217,"['9951da8d-0f4f-44dc-9cd1-979103cb1fbb', 'b0e8a29a-5034-4a4c-954c-5eeb6da728d2']",58,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.216,Pass,True,2017/2018
,,,,,,,,,,,,,,,,1.248,,,,,,,,,,,,dafac6c2-9752-4753-a741-8aa73c70c8c8,61,,"[42.0, 18.0]",9928,0,,,,-0.7853982,,Right Foot,,,"[48.0, 12.0]",,Ground Pass,,8.485281,,Incomplete,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Center Midfield,5,Barcelona,217,"['98bc694f-2d6a-44f3-a950-fb6118ab81c1', 'e2141995-73b6-44c6-bdf5-fa4e209d8f5d']",58,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.637,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.981,,,,,,,,,,,,98bc694f-2d6a-44f3-a950-fb6118ab81c1,63,,"[73.0, 69.0]",9928,0,,,,3.0172377,,Left Foot,,,"[57.0, 71.0]",,Ground Pass,,16.124516,,,,Álvaro González Soberón,6762.0,,,,,Recovery,1,Regular Play,Mario Gaspar Pérez Martínez,6772.0,Right Back,6,Villarreal,222,"['0babac5a-0a66-490f-b61e-f83e4ffae55c', 'dafac6c2-9752-4753-a741-8aa73c70c8c8']",59,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:59.885,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.876,,,,,,,,,,,,d36103ab-65c8-4fa0-8b23-2c151ab949f5,66,,"[53.0, 72.0]",9928,1,,,,-0.5123895,,Right Foot,,,"[69.0, 63.0]",,Ground Pass,,18.35756,,,,Manuel Trigueros Muñoz,6771.0,,,,,,1,Regular Play,Álvaro González Soberón,6762.0,Right Center Back,6,Villarreal,222,['1927ca78-060a-45fd-9497-2a383b797e6b'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:00.906,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.659,,,,,,,,,,,,ec93fdb6-cbb6-49e2-b685-116b2fed2b56,70,,"[66.0, 54.0]",9928,1,,,,-0.48995733,,Left Foot,,,"[96.0, 38.0]",,High Pass,,34.0,,Incomplete,,Denis Cheryshev,5186.0,,,,,,1,Regular Play,Manuel Trigueros Muñoz,6771.0,Left Center Midfield,6,Villarreal,222,"['1a354ed2-19a9-4e61-a966-506047c2ce25', 'b2c7c62b-0044-4dfb-914f-09dcd3d0963d']",4,,,,,,,,,,,,,,,,,,,Villarreal,222,00:01:04.049,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.625,,,,,,,,,,,,de8abb09-609f-4523-b5ab-00ddbcd2f486,74,,"[28.0, 43.0]",9928,1,,,,1.2627436,,Right Foot,,,"[35.0, 65.0]",,Ground Pass,,23.086792,,,,Nélson Cabral Semedo,6374.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['171c4bd5-dbe3-4a90-8212-daf50c8eb5e9'],8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.432,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.468,,,,,,,,,,,,89379012-9a76-4e45-97c0-4c7a7f46f232,83,,"[41.0, 75.0]",9928,1,,,,-2.9304993,,Right Foot,,,"[27.0, 72.0]",,Ground Pass,,14.3178215,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Nélson Cabral Semedo,6374.0,Right Back,7,Barcelona,217,['f5f9aa1b-2d4c-4550-9eb7-a22c99b805d2'],16,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.010,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.835,,,,,,,,,,,,af66d3fa-121e-4263-aff5-395d25e0546b,86,,"[24.0, 69.0]",9928,1,,,,-0.66104317,,Right Foot,,,"[33.0, 62.0]",,Ground Pass,,11.401754,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['b5459bca-cdc6-49fb-9895-f9223447c31b'],18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.478,Pass,,2017/2018
