ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.800438,,,,,,,,,,,,aad3ed90-580e-4e71-ab9a-16b18fb41266,3311,,"[95.7, 11.0]",266166,75,,,,2.3561945,,Left Foot,,,,"[86.8, 19.9]",,Ground Pass,,12.586501,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,2,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,145,Barcelona,217,['f89784e4-6283-4e3d-a9b9-1eeeb4bf0400'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:03.579,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.149215,,,,,,,,,,,,d0e9b321-1fd7-4131-9061-304466765a60,3314,,"[86.3, 27.3]",266166,75,,,,2.067219,,Left Foot,,,,"[81.1, 36.9]",,Ground Pass,,10.917875,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Goal Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,145,Barcelona,217,['5cc01855-9fab-4b85-b7bb-54fadbf64efd'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:06.442,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.655259,,,,,,,,,,,,4eb3452f-04ed-4e4a-9854-a1adb96bb231,3317,,"[80.9, 41.7]",266166,75,,,,1.3860753,,Right Foot,,,,"[86.3, 70.6]",,Ground Pass,,29.40017,,,,Sergi Roberto Carnicer,6379.0,,,,,,,2,From Goal Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,145,Barcelona,217,['a9ef3b5b-b99d-4b20-b549-b219f4b98585'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:08.635,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.227034,,,,,,,,,,,,99959b64-ada7-4575-b91e-2eef0c69874b,3320,,"[87.7, 63.5]",266166,75,,,,-2.070143,,Right Foot,,,,"[83.5, 55.8]",,Ground Pass,,8.770975,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,2,From Goal Kick,Sergi Roberto Carnicer,6379.0,Right Back,145,Barcelona,217,['609d295c-4aff-4794-bec5-08b3cadd4702'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:11.725,Pass,,2015/2016
,,,,,,,,,,,,,,,,,3.098322,,,,,,,,,,,,d7854ef8-c4e3-4d5e-acae-e84bce2a33c3,3323,,"[80.7, 55.8]",266166,75,,,,-0.8741538,,Left Foot,,,,"[110.9, 19.7]",,High Pass,,47.06644,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,,2,From Goal Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,145,Barcelona,217,"['0ca575a1-9e4c-4375-97e7-a26fd6c2bd1a', '800f18e5-e7ea-4601-b81e-ef2fc60e4b05']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:14.325,Pass,,2015/2016
,,,,,,,,,,,,,,,,,2.132638,,,,,,,,,,,,7e57a481-bee1-4545-b7b6-89cf42139e0c,3326,,"[86.1, 0.1]",266166,75,True,,,2.479651,,,,,,"[70.7, 12.1]",,High Pass,,19.52332,,,,Jérémy Mathieu,10609.0,,,,,,Throw-in,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,146,Barcelona,217,['2573bbdf-cde3-4432-9bc1-9238a7f76b3e'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:29.638,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.704636,,,,,,,,,,,,afdcda69-f867-4c7f-9738-810f700ab858,3329,,"[65.2, 25.6]",266166,75,,,,1.9801495,,Right Foot,,,,"[57.0, 44.5]",,Ground Pass,,20.602184,,,,Javier Alejandro Mascherano,5506.0,,,,,,,2,From Throw In,Jérémy Mathieu,10609.0,Left Center Back,146,Barcelona,217,['77caf65c-7c02-4588-802e-423621787718'],33,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:33.455,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.090584,,,,,,,,,,,,f4ddcde6-2593-4149-9123-73d98280151e,3332,,"[56.1, 49.3]",266166,75,,,,0.025635408,,Right Foot,,,,"[63.9, 49.5]",,Ground Pass,,7.8025637,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,2,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,146,Barcelona,217,['c4fcc574-db7a-4eb0-91b2-50cd716b19df'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:35.906,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.561437,,,,,,,,,,,,335bac24-9ce1-446d-bab6-efd5a689bd54,3335,,"[79.4, 22.7]",266166,75,,,,-1.1090645,,Left Foot,,,,"[89.8, 1.8]",,Ground Pass,,23.344593,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,2,From Throw In,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,146,Barcelona,217,['72e29465-1b0e-4658-b6fc-cbc27fe02d31'],42,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:42.419,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.188572,,,,,,,,,,,,5ca0953f-2ba5-483a-8adc-05e40ad12523,3339,,"[96.6, 4.2]",266166,75,,,,2.8466556,,Right Foot,,,,"[88.7, 6.6]",,Ground Pass,,8.256513,,,,Jordi Alba Ramos,5211.0,,,,,,,2,From Throw In,Neymar da Silva Santos Junior,4320.0,Left Wing,146,Barcelona,217,"['a67dc84a-d264-4174-b393-3e88310ce5f0', 'b02023ed-072a-4ff7-94c1-f1f336920df0']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:47.194,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,1.031988,,,,,,,,,,,,8028ced1-55f6-47a0-a43b-a0feae9be978,3342,,"[92.0, 11.9]",266166,75,,,,2.4791663,,Left Foot,,,,"[82.0, 19.7]",,Ground Pass,,12.682271,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Jordi Alba Ramos,5211.0,Left Back,146,Barcelona,217,['3a40d99b-d8b3-402a-89eb-095562cf0be8'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:51.100,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.147054,,,,,,,,,,,,a790d614-d1dd-44cc-acec-bf5f7e4e4adf,3346,,"[81.1, 21.2]",266166,75,,,,1.9586178,,Right Foot,,,,"[71.5, 44.7]",,Ground Pass,,25.385231,,,,Javier Alejandro Mascherano,5506.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,146,Barcelona,217,"['42fa3d4c-1f07-4d01-b876-940952d05912', 'c274efc1-ac51-488f-8660-dc5d16be17aa']",53,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:53.257,Pass,True,2015/2016
,,,,,,,,,,,,,,,,,1.303606,,,,,,,,,,,,8afa3eea-b490-4ab0-b1c5-b830cac496e7,3349,,"[77.0, 47.8]",266166,75,,,,1.0864722,,Right Foot,,,,"[91.1, 74.6]",,Ground Pass,,30.282833,,,,Sergi Roberto Carnicer,6379.0,,,,,,,2,From Throw In,Javier Alejandro Mascherano,5506.0,Right Center Back,146,Barcelona,217,['037bded6-d697-4c3e-ad50-7111e89ae2a3'],58,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:58.192,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.147804,,,,,,,,,,,,e5f5534b-95b6-4672-8372-caab8b81aa8d,3352,,"[100.1, 73.3]",266166,76,,,,-2.6779451,,Right Foot,,,,"[88.3, 67.4]",,Ground Pass,,13.192801,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,2,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,146,Barcelona,217,['5dc2a16d-d206-40e9-bd9a-0b55f00b39dc'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:03.501,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.936019,,,,,,,,,,,,1fc7ac57-87c5-43c6-9f3d-f539f2e2e068,3355,,"[86.3, 63.5]",266166,76,,,,-1.7731981,,Left Foot,,,,"[80.0, 32.8]",,Ground Pass,,31.33975,,,,Sergio Busquets i Burgos,5203.0,,,,,,,2,From Throw In,Rafael Alcântara do Nascimento,6998.0,Right Center Midfield,146,Barcelona,217,['c0f3b227-fb9b-4191-b7e4-2500f3256209'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:06.040,Pass,,2015/2016
,,,,,,,,,,,,,,,,,1.103656,,,,,,,,,,,,5b38dd18-98d4-4f29-b358-1d1e92bf5f5c,3358,,"[80.7, 38.4]",266166,76,,,,1.21581,,Right Foot,,,,"[85.0, 50.0]",,Ground Pass,,12.371338,,,,Rafael Alcântara do Nascimento,6998.0,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,146,Barcelona,217,['4dd0bb7a-30f4-4bc8-b297-e318472a8ca4'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:10.563,Pass,,2015/2016
