50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,885ca1e6-63d9-4d6e-a196-34f519acc0e5,2247,,"[89.9, 47.2]",69334,51,,,,-1.7033478,,Right Foot,,,"[88.5, 36.7]",,Ground Pass,,10.592922,,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,123,Barcelona,217,"['0be9221c-773e-4789-b0f8-95037ada9775', '49006c0f-49ff-46e6-ade1-42bcd4965eeb']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:50.756,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,,0.688136,,,,,,,,,,,,,7d36051e-980d-4cb7-a2dd-53422d0cefba,2250,,"[88.5, 36.4]",69334,51,,,,0.8983178,,Right Foot,,,"[97.1, 47.2]",,Ground Pass,,13.805796,,,,Xavier Hernández Creus,20131.0,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,123,Barcelona,217,['f8d7139c-3638-4085-a28a-6188bd47b6c5'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:52.212,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.686715,,,,,,,,,,,,,84c37231-2fb6-477a-b1a9-8e34c179e42d,2253,,"[97.6, 47.2]",69334,51,,,,-1.6722982,,Right Foot,,,"[96.5, 36.4]",,Ground Pass,,10.855874,,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Throw In,Xavier Hernández Creus,20131.0,Left Center Midfield,123,Barcelona,217,['acff86aa-d571-42a8-b402-f12aa896d3cf'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:53.071,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.125145,,,,,,,,,,,,,e80c76ce-9f58-450f-83af-d6645f523b62,2258,,"[104.5, 1.0]",69334,52,,,,0.43662715,,,,,"[115.0, 5.9]",,Low Pass,,11.587062,,,,Francesc Fàbregas i Soler,3478.0,,,,,Throw-in,2,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,124,Barcelona,217,['240bf67f-3cca-4e4d-a48c-a890d2949686'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:09.818,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.870645,,,,,,,,,,,,,5453d3c5-ea3d-406d-8de1-8889a298f84b,2262,,"[113.9, 4.5]",69334,52,,,,-2.8679333,,Right Foot,,,"[108.2, 2.9]",,Low Pass,,5.920304,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,2,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Forward,124,Barcelona,217,['c44c6534-96b1-4003-a275-2687c7a6fcd1'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:11.271,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.717823,,,,,,,,,,,,,0fcc55c3-58e3-461b-bf9d-b3e83be1d5cb,2265,,"[111.9, 1.1]",69334,52,,,,2.10157,,Left Foot,,,"[109.2, 5.7]",,Ground Pass,,5.333854,,,,Francesc Fàbregas i Soler,3478.0,,,,,,2,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,124,Barcelona,217,['7c85706e-1ab7-4e53-adf5-465e87198650'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:12.952,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,1.289456,,,,,,,,,,,,,5e3971cf-1dd0-47d0-b0a8-1a07dce21462,2269,,"[107.8, 1.8]",69334,52,,,,2.1231527,,Right Foot,,,"[98.0, 17.7]",,Ground Pass,,18.677526,,,,Andrés Iniesta Luján,5216.0,,,,,,2,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Forward,124,Barcelona,217,"['c24f0c5a-af45-4e44-a1f9-19bd8f8c1df4', 'f322c03a-844a-4359-bba7-7a10dd60d47f']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:14.763,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,,,0.783758,,,,,,,,,,,,,9afbbe95-e6bf-453d-8a6e-a405df2134b2,2272,,"[97.4, 16.3]",69334,52,,,,1.0149255,,Right Foot,,,"[101.5, 22.9]",,Ground Pass,,7.7698135,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,2,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,124,Barcelona,217,['399b1a66-8319-4de7-8723-4568085d992c'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:16.483,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.7879,,,,,,,,,,,,,12f9e3a1-3fd9-42b6-8f57-6cff764d6404,2275,,"[101.5, 23.7]",69334,52,,,,-0.29544082,,Right Foot,,,"[106.1, 22.3]",,Ground Pass,,4.8083262,,Incomplete,,Francesc Fàbregas i Soler,3478.0,,,,,,2,From Throw In,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,124,Barcelona,217,"['3efd6df6-6d86-413f-8901-5abb53ec35d8', '4a525d55-0b4a-4a16-be57-1f060d0af1f9']",17,,,,,,,,,,,,,,,,,,Barcelona,217,00:07:17.387,Pass,,2011/2012
,,,,,,,,,,,,,,,,,,,0.6251,,,,,,,,,,,,,d96461a6-a011-4c7d-bbda-f63062d9ad4b,2282,,"[61.0, 41.0]",69334,53,,,,1.0191413,,Left Foot,,,"[61.8, 42.3]",,Ground Pass,,1.5264337,,,,Karim Benzema,19677.0,,,,,Kick Off,2,From Kick Off,Mesut Özil,3496.0,Center Attacking Midfield,126,Real Madrid,220,['26d47285-0d98-48df-bd32-cf8204651fca'],18,,,,,,,,,,,,,,,,,,Real Madrid,220,00:08:18.645,Pass,,2011/2012
