50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.657648,,,,,,,,,,,,,,,,11884380-2978-4fc2-8abb-a744d8af787a,57,,"[48.5, 30.6]",267343,3,,,,,-1.517412,,Right Foot,,,"[49.2, 17.5]",,Ground Pass,13.118689,,,Jérémy Mathieu,10609.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,6,Barcelona,217,['799ea9db-bf51-435e-9c09-dd8166e96add'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:03.192,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.882609,,,,,,,,,,,,,,,,4ba0185f-2fd3-4561-9ec8-84d8ed0af20d,60,,"[53.0, 14.0]",267343,3,,,,,1.693703,,Left Foot,,,"[50.9, 31.0]",,Ground Pass,17.129215,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,['49ee6724-c7d7-4bd9-9223-056ee199cf76'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:05.749,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.942124,,,,,,,,,,,,,,,,d8784a76-2ebc-4fec-9b3c-3036b7bacfa0,62,,"[50.6, 32.5]",267343,3,,True,,,1.6268778,,Right Foot,,,"[49.0, 61.0]",,Ground Pass,28.544876,,,Ivan Rakitić,5470.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,6,Barcelona,217,['244fee34-4c3e-4da7-ab14-d27fff026f6a'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:09.485,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.915409,,,,,,,,,,,,,,,,69ff46ab-b23f-4ba0-a26f-c73e9d3d952c,64,,"[60.3, 67.3]",267343,3,,,,,-2.830313,,Left Foot,,,"[48.8, 63.6]",,Ground Pass,12.080563,,,Marc Bartra Aregall,7068.0,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,6,Barcelona,217,['6d81d725-bbe6-4250-8c61-d0cbebc4caf1'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:10.932,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,2.403146,,,,,,,,,,,,,,,,cd0fc5df-c3e5-4c3a-91e2-d6c7c71071d6,67,,"[51.7, 59.4]",267343,3,,,,,-1.6310906,,Right Foot,,,"[49.4, 21.3]",,Ground Pass,38.16936,,,Jérémy Mathieu,10609.0,,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,6,Barcelona,217,['ef8c6a39-39ee-4294-8fbe-b7441dc177cd'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:14.170,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.331907,,,,,,,,,,,,,,,,5183f6b8-b6aa-48cd-b2e3-d80d73726db0,70,,"[50.0, 15.4]",267343,3,,,,,-0.98279375,,Right Foot,,,"[57.8, 3.7]",,Ground Pass,14.06165,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,['0d00cde4-f242-41d2-b969-29c8a97d37d7'],17,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:17.611,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.8666,,,,,,,,,,,,,,,,5bb27f67-1c12-43c4-9a68-c6e968c8f8d8,73,,"[57.8, 3.9]",267343,3,,,,,1.3236198,,Left Foot,,,"[60.5, 14.6]",,Ground Pass,11.035398,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['62b48bdc-7844-4672-929c-3fd416e3e8c4'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:19.534,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.981418,,,,,,,,,,,,,,,,69676ade-502f-4fee-b8f2-ff8b277dea08,75,,"[61.2, 14.6]",267343,3,,,,,-3.072578,,Right Foot,,,"[39.5, 13.1]",,Ground Pass,21.751781,,,Jérémy Mathieu,10609.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,6,Barcelona,217,['f9dd01cb-4e04-4ef3-b7b8-2b92dd658f91'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:20.401,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.83934,,,,,,,,,,,,,,,,dc9d7896-a011-40bd-a6c8-30ab691c6d50,78,,"[40.6, 16.9]",267343,3,,,,,1.6455467,,Left Foot,,,"[37.2, 62.3]",,Ground Pass,45.527134,,,Marc Bartra Aregall,7068.0,,,True,,,,1,From Free Kick,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,['fa7d0de7-f569-4d00-8024-c0e536dcfe26'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:24.240,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.252647,,,,,,,,,,,,,,,,cc9eaa1d-f457-46c3-95ac-76f1bcfb094f,81,,"[50.9, 63.4]",267343,3,,,,,-2.0729737,,Right Foot,,,"[41.4, 46.1]",,Ground Pass,19.736767,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Marc Bartra Aregall,7068.0,Right Center Back,6,Barcelona,217,['cb84110e-298b-4608-980f-9c5ea5ec9d00'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:30.113,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,2.116574,,,,,,,,,,,,,,,,6a7208aa-0439-4fc2-ad44-a61294367101,84,,"[49.6, 44.0]",267343,3,,,,,-1.3719105,,Right Foot,,,"[54.8, 18.2]",,Ground Pass,26.318815,,,Jérémy Mathieu,10609.0,,,,,,,1,From Free Kick,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,6,Barcelona,217,['c2ccaf93-01a4-4f62-81d6-4a7df4c57073'],34,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:34.514,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.8044,,,,,,,,,,,,,,,,fdb7c9e9-508b-4b3c-bfd1-846fb2d5a95a,87,,"[62.0, 16.9]",267343,3,,,,,-0.6977571,,Left Foot,,,"[75.0, 6.0]",,Ground Pass,16.964964,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Free Kick,Jérémy Mathieu,10609.0,Left Center Back,6,Barcelona,217,['afe02ba5-7028-45d8-863d-43a391d59fd2'],38,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:38.854,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.4811,,,,,,,,,,,,,,,,d85cbf7b-d213-4298-92b6-e0e2c59380af,89,,"[76.7, 4.9]",267343,3,,,,,2.8598208,,Left Foot,,,"[72.9, 6.0]",,Ground Pass,3.9560082,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Neymar da Silva Santos Junior,4320.0,Left Wing,6,Barcelona,217,"['2f95f282-08f5-454b-9dd1-2b3b46006007', '3498408a-fc83-40f3-b5fd-a31cb4e059d2']",39,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:39.658,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.6168,,,,,,,,,,,,,,,,b7cfd628-feeb-4bc1-9df7-140cc5e32630,96,,"[60.7, 17.3]",267343,3,,,,,1.0789871,,Right Foot,,,"[62.2, 20.1]",,Ground Pass,3.176476,,,Neymar da Silva Santos Junior,4320.0,,,,,,Recovery,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,6,Barcelona,217,['9b7b233e-e911-47bd-b4b9-c10f2f404bf7'],43,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:43.711,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.989,,,,,,,,,,,,,,,,caa4e883-94a6-4674-8dba-4f17560e1440,105,,"[63.7, 4.1]",267343,3,,,,,0.74256724,,Head,,,"[71.0, 10.8]",,High Pass,9.908582,,,Xavier Hernández Creus,20131.0,,,,,,Recovery,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['f12125e7-d0bc-47dd-b70c-18134bb2cdde'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:51.727,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,1.466194,,,,,,,,,,,,,,,,0d679e4c-06e4-4c91-9ba9-bb76d51dd8d5,107,,"[72.7, 10.2]",267343,3,,,,,-2.6855206,,Head,,,"[62.1, 5.0]",,Low Pass,11.806778,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,6,Barcelona,217,['a3c1bfaf-de6d-41fe-b11b-5d7346d5e90f'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:52.774,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.796532,,,,,,,,,,,,,,,,11098dc5-e625-4648-aaa3-287775ee1a32,111,,"[56.7, 3.9]",267343,3,,,,,1.5291537,,Right Foot,,,"[57.2, 15.9]",,Ground Pass,12.010412,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['be24d7b9-9d50-49e6-b2c8-559b4c72aa53'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:56.932,Pass,,2014/2015
,,,,,,,,,,,,,,,,,,0.969942,,,,,,,,,,,,,,,,0fe7575e-43bf-4281-b076-faacd73c7faa,115,,"[57.8, 13.3]",267343,3,,,,,2.490516,,Right Foot,,,"[47.3, 21.3]",,Ground Pass,13.200378,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,6,Barcelona,217,"['6a99742b-9ed2-4feb-8237-746cae9becba', 'd7e73830-8003-446b-a6d1-d7333bcce494']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:58.635,Pass,True,2014/2015
