50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.527,,,,,,,,,,,,,0650be01-32ff-45aa-bc1a-9ddf0c28d17e,58,,,"[51.0, 35.0]",9754,0,,,-1.152572,,Left Foot,,,,"[63.0, 8.0]",,Ground Pass,,29.546574,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,4,Barcelona,217,['7f74a9fd-7f0a-4d53-8bef-8f2d4130a83a'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.138,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.575,,,,,,,,,,,,,dc686f65-f381-48d2-b914-2f6f2a78034d,61,,,"[67.0, 8.0]",9754,1,,,1.2924967,,Left Foot,,,,"[69.0, 15.0]",,Ground Pass,,7.28011,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['ab3c0248-c759-48fa-88ab-f4e216d02801'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.807,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.449,,,,,,,,,,,,,eabbd43a-cfff-4217-bf88-e255d16f2e9e,64,,,"[69.0, 15.0]",9754,1,,,-2.8049178,,Right Foot,,,,"[49.0, 8.0]",,Ground Pass,,21.189621,,,,Thomas Vermaelen,6332.0,,,,,,1,From Free Kick,André Filipe Tavares Gomes,10802.0,Left Wing,4,Barcelona,217,['b7bcf6d3-ce54-4447-be26-43c6b349bf56'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.422,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.642,,,,,,,,,,,,,ad6e9ef9-0ff3-4791-9864-e588548d6616,67,,,"[45.0, 14.0]",9754,1,,,2.0812848,,Left Foot,,,,"[31.0, 39.0]",,Ground Pass,,28.653097,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Thomas Vermaelen,6332.0,Left Center Back,4,Barcelona,217,['545f08d0-89c4-4748-ae3f-c0e0346422a4'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.385,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.823,,,,,,,,,,,,,d67b6536-37e8-4a6c-ad20-c575353ea6d2,71,,,"[36.0, 60.0]",9754,1,,,0.26299474,,Right Foot,,,,"[62.0, 67.0]",,Ground Pass,,26.925823,,,,José Paulo Bezzera Maciel Júnior,5542.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['56fe7f3d-f62d-436b-bf75-7b0a30effbe4'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.575,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.905,,,,,,,,,,,,,96ebfb84-e423-4151-9f90-bb92772bc415,74,,,"[62.0, 66.0]",9754,1,,,-1.1071488,,Right Foot,,,,"[67.0, 56.0]",,Ground Pass,,11.18034,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Free Kick,José Paulo Bezzera Maciel Júnior,5542.0,Right Wing,4,Barcelona,217,"['3050ada8-dd35-4962-b59c-cc1be941b53c', 'bcdc1cc3-4f15-4424-9edb-ee6d560849a8']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.428,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.038,,,,,,,,,,,,,3050ada8-dd35-4962-b59c-cc1be941b53c,76,,,"[54.0, 25.0]",9754,1,,,-0.5880026,,Right Foot,,,,"[66.0, 17.0]",,Ground Pass,,14.422205,,,,David Zurutuza Veillet,6669.0,,,,,Recovery,1,Regular Play,Raúl Rodríguez Navas,6693.0,Left Center Back,5,Real Sociedad,210,"['96ebfb84-e423-4151-9f90-bb92772bc415', 'a8776bde-a35a-42af-b4d1-a8bd866a8208']",11,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:11.333,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.626,,,,,,,,,,,,,4f5342d0-2d2c-4280-8469-369f8cce7a4e,80,,,"[66.0, 19.0]",9754,1,,,2.5930433,,Right Foot,,,,"[48.0, 30.0]",,Ground Pass,,21.095022,,,,Raúl Rodríguez Navas,6693.0,,,,,,1,Regular Play,David Zurutuza Veillet,6669.0,Left Center Midfield,5,Real Sociedad,210,"['3f121da6-eeb9-4dc0-8a17-94170e4abd75', '96aa699c-b588-4574-be5f-2de060ad7508']",12,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:12.571,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,ba062be1-4215-4340-9692-bcc9868eb279,83,,,"[47.0, 29.0]",9754,1,,,0.124354996,,Left Foot,,,,"[71.0, 32.0]",,High Pass,,24.186773,,Incomplete,,,,,,,,,1,Regular Play,Raúl Rodríguez Navas,6693.0,Left Center Back,5,Real Sociedad,210,['f3cbed5c-3c86-4b0a-b17f-fe359f9810db'],14,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:14.247,Pass,,2017/2018
,,,,,,,,,,,,,,,,,2.413,,,,,,,,,,,,,f3cbed5c-3c86-4b0a-b17f-fe359f9810db,84,,,"[50.0, 49.0]",9754,1,,,-0.8176451,,Head,,,,"[65.0, 33.0]",,High Pass,,21.931713,,,,André Filipe Tavares Gomes,10802.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Center Midfield,6,Barcelona,217,"['2f49c1f3-0993-4734-8ffb-5969a511bc7b', 'ba062be1-4215-4340-9692-bcc9868eb279']",14,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.967,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.019,,,,,,,,,,,,,d577a161-c409-4d40-ad14-045c805c656e,88,,,"[73.0, 13.0]",9754,1,,,-2.3561945,,Left Foot,,,,"[65.0, 5.0]",,Ground Pass,,11.313708,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Wing,6,Barcelona,217,['fb9b91c5-3af0-4e1c-afa4-d0d82a07897b'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.840,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.828,,,,,,,,,,,,,5fba2c3f-3e5f-40d6-a45c-746af827c488,91,,,"[70.0, 5.0]",9754,1,,,0.16514868,,Left Foot,,,,"[88.0, 8.0]",,Ground Pass,,18.248287,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,6,Barcelona,217,['9b13a91d-b366-4cb2-99d4-b543c0284239'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.847,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.297,,,,,,,,,,,,,ffc771a0-7870-40e7-93a7-9f063427f36d,94,,,"[85.0, 8.0]",9754,1,,,2.8357139,,Right Foot,,,,"[66.0, 14.0]",,Ground Pass,,19.924858,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,6,Barcelona,217,['25c553a1-f1a4-43ad-9b8a-3d5cfc9eb026'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.716,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.265,,,,,,,,,,,,,3a548f33-89d1-403b-8635-2f190d8f40ac,97,,,"[66.0, 14.0]",9754,1,,,2.55359,,Right Foot,,,,"[51.0, 24.0]",,Ground Pass,,18.027756,,,,Thomas Vermaelen,6332.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Wing,6,Barcelona,217,['f158a7b4-77e1-4efc-89bb-6798962632fc'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.451,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.817,,,,,,,,,,,,,0fb5c914-5b32-48c9-a5e4-8b747c8b6946,100,,,"[51.0, 24.0]",9754,1,,,0.4636476,,Left Foot,,,,"[65.0, 31.0]",,Ground Pass,,15.652476,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Thomas Vermaelen,6332.0,Left Center Back,6,Barcelona,217,['834da96d-05b3-483a-98ba-52839b542206'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.217,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.824,,,,,,,,,,,,,f354ab63-463c-4563-beaf-df7415aaa4fc,104,,,"[67.0, 32.0]",9754,1,,,-1.1659045,,Right Foot,,,,"[73.0, 18.0]",,Ground Pass,,15.231546,,,,André Filipe Tavares Gomes,10802.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Center Midfield,6,Barcelona,217,"['29d6d137-1ac4-41f3-9660-ad609fca779b', '2f640e73-d7ce-40ab-9989-b31070f187b5']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.931,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,0.516,,,,,,,,,,,,,33f93264-98bc-4d20-bd88-62adbe295498,106,,,"[73.0, 18.0]",9754,1,,,0.32175055,,Right Foot,,,,"[85.0, 22.0]",,Ground Pass,,12.649111,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,André Filipe Tavares Gomes,10802.0,Left Wing,6,Barcelona,217,['b6d1fb57-be59-4af9-a18e-dcda1c9fcd9b'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.755,Pass,,2017/2018
,,,,,,,,,,,,,,,,,1.236,,,,,,,,,,,,,0191bd15-720e-4481-9d39-b1ecadd2b1e7,109,,,"[79.0, 11.0]",9754,1,,,-0.52807444,,Left Foot,,,,"[91.0, 4.0]",,Ground Pass,,13.892444,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,6,Barcelona,217,['f5af05f9-5e01-4e3c-9cdb-035719f56661'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:35.177,Pass,,2017/2018
,,,,,,,,,,,,,,,,,0.861,,,,,,,,,,,,,0306f4a7-8a5b-44ab-ba6b-15d0a68f88d8,112,,,"[86.0, 2.0]",9754,1,,,2.55359,,Left Foot,,,,"[74.0, 10.0]",,Ground Pass,,14.422205,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['ac5454b2-6411-4990-8620-e57a872794d0'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.674,Pass,,2017/2018
