50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.257105,,,,,,,,,,,,37c11d07-48ef-47de-8290-6c00921a4e3a,1065,,"[84.1, 45.0]",9799,25,,,,-1.5943214,,Right Foot,,,"[83.7, 28.0]",,Ground Pass,17.004705,,,,Daniel García Carrillo,6775.0,,,,,,1,Regular Play,Papa Kouly Diop,6867.0,Left Defensive Midfield,60,Eibar,322,['87866d92-635d-49ed-9250-fcdb5cb53093'],22,,,,,,,,,,,,,,,,,Eibar,322,00:25:22.055,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.823212,,,,,,,,,,,,80b1ab3c-5bfe-4a6a-ba8e-dd2b5bd173cc,1068,,"[89.6, 25.4]",9799,25,,,,-1.3223773,,Left Foot,,,"[94.8, 4.9]",,Ground Pass,21.149231,,,,José Ángel Valdés Díaz,6705.0,,,,,,1,Regular Play,Daniel García Carrillo,6775.0,Right Defensive Midfield,60,Eibar,322,['d7b9fa71-ea20-4c23-9ea4-4a5866c89cea'],27,,,,,,,,,,,,,,,,,Eibar,322,00:25:27.049,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.809052,,,,,,,,,,,,27038785-2f61-4f47-86e4-3b407ff46a6a,1071,,"[89.6, 8.1]",9799,25,,,,2.5645285,,Left Foot,,,"[64.1, 24.7]",,Ground Pass,30.427126,,,,Anaitz Arbilla Zabala,6709.0,,,,,,1,Regular Play,José Ángel Valdés Díaz,6705.0,Left Back,60,Eibar,322,['5b774d9a-beef-4d24-be9f-6c67d208fdf8'],29,,,,,,,,,,,,,,,,,Eibar,322,00:25:29.987,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.226594,,,,,,,,,,,,517db4b6-2efd-4e5a-92af-be2de8aa767c,1074,,"[64.9, 29.1]",9799,25,,,,1.9605875,,Right Foot,,,"[57.3, 47.6]",,Ground Pass,20.00025,,,,Iván Ramis Barrios,6778.0,,,,,,1,Regular Play,Anaitz Arbilla Zabala,6709.0,Left Center Back,60,Eibar,322,['b8bd4282-7bc8-4ee9-94d8-a2536caeb8d5'],33,,,,,,,,,,,,,,,,,Eibar,322,00:25:33.551,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.026079,,,,,,,,,,,,3a42540a-acbf-46bb-8f1c-19bbf3eb965c,1078,,"[54.7, 43.0]",9799,25,,,,-1.3167886,,Right Foot,,,"[62.8, 11.8]",,Ground Pass,32.2343,,,,Daniel García Carrillo,6775.0,,,,,,1,Regular Play,Iván Ramis Barrios,6778.0,Right Center Back,60,Eibar,322,['6e7379ae-8c4a-4223-9c9f-e449a6e2ed5a'],36,,,,,,,,,,,,,,,,,Eibar,322,00:25:36.958,Pass,,2017/2018
,,,,,,,,,,,,,,,,3.654401,,,,,,,,,,,,3240e3d1-5a70-46d2-b705-1c4d9607b9e7,1082,,"[60.6, 17.3]",9799,25,,,,-0.18485703,,Right Foot,,,"[109.8, 8.1]",,High Pass,50.052773,,,,Enrique García Martínez,6711.0,,,,,,1,Regular Play,Daniel García Carrillo,6775.0,Right Defensive Midfield,60,Eibar,322,['4fdbf9fc-75ea-4238-a32c-7e0c17b3f08c'],39,,,,,,,,,,,,,,,,,Eibar,322,00:25:39.808,Pass,,2017/2018
,,,,,,,,,,,,,,,,11.149274,,,,,,,,,,,,6b093f2a-8858-4922-bb98-12b3169e113d,1087,,"[6.0, 44.0]",9799,26,True,,,-0.34547493,,Right Foot,,,"[49.9, 28.2]",,High Pass,46.656727,,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,61,Barcelona,217,['2e9192e3-2a0d-41a3-9a15-8f3a53f05643'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:26:02.379,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.691452,,,,,,,,,,,,1ef5d08d-8d66-4bf5-8c8b-a32f3f9d4552,1089,,"[69.1, 53.2]",9799,26,,,,1.2592494,,Right Foot,,,"[76.7, 76.8]",,Ground Pass,24.793547,,,,Rubén Peña Jiménez,6710.0,,,,,,1,Regular Play,Papa Kouly Diop,6867.0,Left Defensive Midfield,62,Eibar,322,['672e92b4-0e61-41d9-a61a-098134dfb9c7'],15,,,,,,,,,,,,,,,,,Eibar,322,00:26:15.465,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.801655,,,,,,,,,,,,100bdaf3-f235-4ae3-8428-93b192ee1698,1092,,"[91.5, 60.4]",9799,26,,,,-1.3769563,,Right Foot,,,"[100.0, 17.1]",,High Pass,44.126408,,,,Takashi Inui,5687.0,,True,,,,1,Regular Play,Rubén Peña Jiménez,6710.0,Right Back,62,Eibar,322,['8273fd4c-7ad8-4d8c-9858-b377739cb1cf'],21,,,,,,,,,,,,,,,,,Eibar,322,00:26:21.650,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.801244,,,,,,,,,,,,c075250c-8267-4562-b904-25e956b07cd2,1095,,"[96.5, 29.1]",9799,26,,,,2.4880776,79b9b9ec-e1a1-4221-833e-556732d44042,Right Foot,,,"[85.4, 37.6]",,Ground Pass,13.980701,,,,Daniel García Carrillo,6775.0,True,,,,,1,Regular Play,Takashi Inui,5687.0,Left Wing,62,Eibar,322,['a0d454eb-2b76-4b0c-9f8d-61a38407884e'],27,,,,,,,,,,,,,,,,,Eibar,322,00:26:27.542,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.816845,,,,,,,,,,,,c789c0ac-26bf-4a9d-a514-6c9e7e08411c,1104,,"[85.0, 32.3]",9799,26,,,,-1.151762,,Right Foot,,,"[95.2, 9.4]",,Low Pass,25.068905,,,,José Ángel Valdés Díaz,6705.0,,,,,,1,Regular Play,Daniel García Carrillo,6775.0,Right Defensive Midfield,62,Eibar,322,['c6b7f241-8447-4a5a-aa35-a7806eb7a483'],32,,,,,,,,,,,,,,,,,Eibar,322,00:26:32.425,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.173892,,,,,,,,,,,,e2376416-e044-4f74-8cd2-c28e1a281d57,1107,,"[100.0, 9.0]",9799,26,,,,1.1983492,,Left Foot,True,,"[110.9, 36.9]",,High Pass,29.95363,,Incomplete,,,,,,,,,1,Regular Play,José Ángel Valdés Díaz,6705.0,Left Back,62,Eibar,322,['fefb1deb-9ba7-4435-9b3c-efeec3ad136a'],35,,,,,,,,,,,,,,,,,Eibar,322,00:26:35.692,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.024537,,,,,,,,,,,,7e7f9d18-b31f-48e6-b602-55c4dc78b5a7,1111,,"[18.3, 56.7]",9799,26,,,,2.4781666,,Right Foot,,,"[9.6, 63.5]",,Ground Pass,11.0421915,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,62,Eibar,322,['9f9f40b3-4847-4bf1-8248-aad77ce029d3'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:26:38.683,Pass,,2017/2018
,,,,,,,,,,,,,,,,2.296113,,,,,,,,,,,,1cae053c-3539-43fe-aa52-ae95bd63dfa0,1114,,"[9.0, 63.2]",9799,26,,,,-0.46662822,,Left Foot,,,"[35.8, 49.7]",,High Pass,30.008165,,Incomplete,,,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,62,Eibar,322,['e49b9426-04c8-44f1-8df5-87beb657f76d'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:26:42.633,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.261733,,,,,,,,,,,,87c9c823-7497-424f-8c0c-0fa7d7b983ed,1119,,"[87.0, 36.7]",9799,26,,,,-2.7509856,,Right Foot,,,"[78.5, 33.2]",,Ground Pass,9.192389,,,,Anaitz Arbilla Zabala,6709.0,,,,,,1,Regular Play,Papa Kouly Diop,6867.0,Left Defensive Midfield,62,Eibar,322,['8bc648e9-59bd-4e90-8a9d-bd3fa3808464'],47,,,,,,,,,,,,,,,,,Eibar,322,00:26:47.600,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.51477,,,,,,,,,,,,7ec28c53-e1f3-441c-868a-524f261ef3c1,1122,,"[78.5, 33.2]",9799,26,,,,1.6038725,,Right Foot,,,"[77.6, 60.4]",,Ground Pass,27.214886,,,,Rubén Peña Jiménez,6710.0,,,,,,1,Regular Play,Anaitz Arbilla Zabala,6709.0,Left Center Back,62,Eibar,322,['3e490bb1-80ea-4725-ad79-4b7abda5307e'],48,,,,,,,,,,,,,,,,,Eibar,322,00:26:48.951,Pass,,2017/2018
,,,,,,,,,,,,,,,,1.120854,,,,,,,,,,,,76160bbf-c6cb-4a52-8e6c-bc323815f1c7,1125,,"[77.1, 63.7]",9799,26,,,,1.0699166,,Right Foot,,,"[84.6, 77.4]",,Ground Pass,15.618579,,,,Fabián Ariel Orellana Valenzuela,7105.0,,,,,,1,Regular Play,Rubén Peña Jiménez,6710.0,Right Back,62,Eibar,322,['e9774bc9-164d-4129-9565-7d631d859b39'],51,,,,,,,,,,,,,,,,,Eibar,322,00:26:51.545,Pass,,2017/2018
,,,,,,,,,,,,,,,,0.276504,,,,,,,,,,,,4413ccb2-4732-465c-a58c-90ce0a2795ce,1129,,"[84.6, 77.6]",9799,26,,,,0.18998829,,Right Foot,,,"[87.2, 78.1]",,Ground Pass,2.6476405,,Incomplete,,,,,,,,,1,Regular Play,Fabián Ariel Orellana Valenzuela,7105.0,Right Wing,62,Eibar,322,"['527e2fd8-0c6d-411c-81d1-ee109aee07ec', 'd5f51e9d-5b89-4a86-a3cb-7b201a734a5b']",53,,,,,,,,,,,,,,,,,Eibar,322,00:26:53.049,Pass,True,2017/2018
