50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.9298,,,,,,,,,,,,07725cbc-effd-4984-9258-6b60070b0faf,52,,"[28.2, 4.0]",266885,0,,,,2.3798122,,Left Foot,,,,"[8.7, 22.6]",,Ground Pass,,26.948284,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,3,Barcelona,217,"['127dfa79-b34d-49d8-aa58-3fd6bf06306d', '923f5282-3c46-4b16-b226-9cc2ff4e78ff']",47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.515,Pass,True,2015/2016
,,,,,,,,,,,,,,,,2.4483,,,,,,,,,,,,57f740de-8661-4e69-807e-24ea7ec2846f,56,,"[9.1, 24.0]",266885,0,,,,0.9790659,,Right Foot,,,,"[42.3, 73.4]",,High Pass,,59.519745,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Throw In,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,3,Barcelona,217,['4da8100f-9fd3-4c7e-a02a-d0acedf36e3f'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.179,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.1685,,,,,,,,,,,,9a45822c-1ead-4304-9522-340ae1312026,60,,"[32.7, 64.8]",266885,0,,,,0.99172205,,Left Foot,,,,"[39.5, 75.2]",,Ground Pass,,12.425779,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['06d5c5fb-96a3-410d-8799-d5686d37b6c3'],57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.199,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.115299,,,,,,,,,,,,5b5fb696-f6e6-4b4c-be5e-1b8f038329c5,64,,"[37.7, 74.2]",266885,0,,,,-2.3561945,,Left Foot,,,,"[36.3, 72.8]",,Ground Pass,,1.9798989,,Incomplete,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,"['64585e2a-8819-4e1f-9c3f-31f0b6758ec0', 'fe544c60-6b54-46ff-899e-37e3884368c4']",59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.631,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.1126,,,,,,,,,,,,56bedd5c-f7d0-418f-b916-e2b61e577573,67,,"[35.0, 80.0]",266885,1,,,,-2.2178435,,,,,,"[28.2, 71.0]",,Low Pass,,11.280071,,,,Ivan Rakitić,5470.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['17fc656e-0233-42f1-959c-620efbd3b07c'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.153,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.349461,,,,,,,,,,,,76ca99f6-5946-474e-ac96-6ce243ace4ca,71,,"[27.4, 69.9]",266885,1,,,,-2.9198656,,Right Foot,,,,"[10.1, 66.0]",,Ground Pass,,17.734148,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,['7ff4742b-1ee6-4b5f-aa28-14a132b7fbdf'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.026,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.562578,,,,,,,,,,,,2e135ef4-f7e8-4221-9c9c-9cf983659bfd,75,,"[11.3, 65.5]",266885,1,,,,-1.8911637,,Right Foot,,,,"[4.1, 43.8]",,Ground Pass,,22.863289,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,"['57ba26af-ef92-4d15-a0be-235db69a6e0f', '63b5c71a-6eda-4986-a36a-f7f37f319dfa']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.289,Pass,True,2015/2016
,,,,,,,,,,,,,,,,2.178184,,,,,,,,,,,,faea833b-3ebd-45c9-b2f0-b27cef6be83d,78,,"[4.5, 42.4]",266885,1,,,,-1.3425497,,Right Foot,,,,"[12.7, 7.1]",,Low Pass,,36.239895,,,,Jérémy Mathieu,10609.0,,,,,,1,From Throw In,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,4,Barcelona,217,['a7ddf088-a214-472c-8874-0aba1d125643'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.130,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.771959,,,,,,,,,,,,732aa506-8372-41b9-9b74-dcba02fdf850,82,,"[13.1, 6.7]",266885,1,,,,0.2028451,,Left Foot,,,,"[27.2, 9.6]",,Ground Pass,,14.395138,,Incomplete,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Jérémy Mathieu,10609.0,Left Back,4,Barcelona,217,"['b9768067-891c-4bfc-8365-8277bf24f8a4', 'd02db847-11e9-4a76-bb7d-90952a0734c1']",19,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:19.491,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.3132,,,,,,,,,,,,d0b474d1-38a0-45b3-96eb-915a03a781d2,86,,"[109.2, 77.3]",266885,1,,,,-1.5707964,,Right Foot,True,,,"[109.2, 30.6]",,High Pass,,46.7,,Incomplete,,,,,True,,,,1,From Throw In,Rubén Pardo Gutiérrez,6899.0,Right Center Midfield,4,Barcelona,217,['c4fff211-c6ba-4048-b8f5-3c957f4ef87d'],23,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:23.122,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.5826,,,,,,,,,,,,c931f111-4229-47d1-bc9b-c4dd4676840d,90,,"[10.1, 51.6]",266885,1,,,,-2.2597208,,Right Foot,,,,"[4.5, 44.8]",,Ground Pass,,8.809086,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['0d7a34b3-5eae-4825-8447-731b07fb72e4', '867dc151-32e2-48e4-ad79-74c492678107']",26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.810,Pass,True,2015/2016
,,,,,,,,,,,,,,,,3.308,,,,,,,,,,,,a2b1b2e3-0435-45c4-9e86-ed479cb9f57b,93,,"[3.7, 48.7]",266885,1,,,,1.2959758,,Right Foot,,,,"[11.2, 75.3]",,High Pass,,27.637114,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,4,Barcelona,217,['1e8f90ba-d3dc-473d-b108-8675c2b0c44e'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.628,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.0067,,,,,,,,,,,,5030d792-6b09-446f-8ef4-d1e2440c7ef6,95,,"[11.2, 75.3]",266885,1,,,,-0.13420945,,Right Foot,,,,"[34.9, 72.1]",,High Pass,,23.915058,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['356e5998-db9e-4988-ae46-d327e73db190', 'ae87308f-534b-43f1-a5b5-9406f5356c96']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.936,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.9183,,,,,,,,,,,,356e5998-db9e-4988-ae46-d327e73db190,97,,"[85.2, 8.0]",266885,1,,,,-0.25012442,,Head,,,,"[98.9, 4.5]",,High Pass,,14.140014,,,,Esteban Félix Granero Molina,6770.0,,,,,Recovery,1,Regular Play,Yuri Berchiche Izeta,3023.0,Left Back,5,Real Sociedad,210,"['5030d792-6b09-446f-8ef4-d1e2440c7ef6', 'ad679135-c047-4272-8b58-89505e253666']",33,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:33.942,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.92133,,,,,,,,,,,,b103d2af-7406-4066-9732-4e5d87d815bc,101,,"[21.4, 80.0]",266885,1,,,,-0.19458658,,,,,,"[48.8, 74.6]",,Low Pass,,27.927048,,Incomplete,,Luis Alberto Suárez Díaz,5246.0,,,,,Throw-in,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,"['4e048ae9-0047-47a1-a65a-972f8bb8b04c', 'afe11702-7851-4351-9d74-123b7ce67dc2']",43,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.923,Pass,,2015/2016
,,,,,,,,,,,,,,,,3.15897,,,,,,,,,,,,4e048ae9-0047-47a1-a65a-972f8bb8b04c,103,,"[71.3, 5.5]",266885,1,,,,0.72165483,,Left Foot,,,,"[86.3, 18.7]",,High Pass,,19.980991,,,,Carlos Alberto Vela Garrido,5560.0,,,,,Recovery,1,Regular Play,Íñigo Martínez Berridi,6665.0,Left Center Back,7,Real Sociedad,210,"['b103d2af-7406-4066-9732-4e5d87d815bc', 'b54b74ef-9fae-4af9-b960-6a0f13a0732c']",45,,,,,,,,,,,,,,,,,,Real Sociedad,210,00:01:45.844,Pass,,2015/2016
,,,,,,,,,,,,,,,,0.634887,,,,,,,,,,,,797efb2d-6bbe-42cc-bd31-65e2330c7b9b,108,,"[33.7, 67.6]",266885,1,,,,-1.9416876,,Head,,,,"[32.3, 64.0]",,Low Pass,,3.8626416,,Incomplete,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,Regular Play,Ivan Rakitić,5470.0,Right Center Midfield,7,Real Sociedad,210,"['08b449b9-876a-4cae-8562-d9e47338aec6', '42cf6591-ca65-4234-af50-ebc2bacad3a5']",50,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:50.240,Pass,,2015/2016
