ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.29,,,,,,,,,,,,,,,,b7976d83-49e2-48c2-9bb9-356a3bf4a728,60,,"[31.5, 49.4]",266724,1,,,,1.0033107,,Right Foot,,,,"[42.4, 66.5]",,Ground Pass,,20.27856,,,,David Villa Sánchez,12737.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['ce3da158-961c-49db-81e9-af39b23ce60a'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.633,Pass,,2012/2013
,,,,,,,,,,,,,,,0.9646,,,,,,,,,,,,,,,,b99e501c-e369-441a-b91f-d2009281fce5,64,,"[43.5, 67.1]",266724,1,,,,-2.7915478,,Right Foot,,,,"[30.9, 62.5]",,Ground Pass,,13.413426,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,6,Barcelona,217,"['209083fc-d21d-4c4a-8765-5cf54fcc1a01', '331f7759-911c-428d-8ffc-8f528e78e354']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.980,Pass,True,2012/2013
,,,,,,,,,,,,,,,0.6876,,,,,,,,,,,,,,,,1145b4f2-3e70-468e-be22-ce3f19c15b8a,67,,"[32.0, 62.0]",266724,1,,,,-0.67474097,,Right Foot,,,,"[39.0, 56.4]",,Ground Pass,,8.964374,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['898d4b0a-f55d-4bb2-8a86-33c009768920'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.031,Pass,,2012/2013
,,,,,,,,,,,,,,,0.836244,,,,,,,,,,,,,,,,487a9511-dc0c-444e-aecb-a0b9f921d216,70,,"[38.7, 56.4]",266724,1,,,,2.5718362,,Right Foot,,,,"[32.3, 60.5]",,Ground Pass,,7.600658,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,6,Barcelona,217,['41d124b4-edd7-41b3-ad38-8c63236c3404'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.758,Pass,,2012/2013
,,,,,,,,,,,,,,,0.7728,,,,,,,,,,,,,,,,01e67e3e-1851-41d0-b06b-32b2a1b72f19,73,,"[32.3, 60.5]",266724,1,,,,-2.0952055,,Right Foot,,,,"[26.4, 50.3]",,Ground Pass,,11.783463,,Incomplete,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,"['48e075e5-664f-4ce9-b7b1-ee99fe1f3ccd', '66bb6e27-4d47-41fb-94b5-a41a0b04c1ca']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.714,Pass,,2012/2013
,,,,,,,,,,,,,,,0.929075,,,,,,,,,,,,,,,,cdb3ab50-147b-405b-b78c-a19191bade77,80,,"[26.3, 46.7]",266724,1,,,,0.049342632,,Right Foot,,,,"[34.4, 47.1]",,Ground Pass,,8.109871,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,6,Barcelona,217,['5178e862-ec8b-479c-b9f8-02821f1f358f'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.993,Pass,,2012/2013
,,,,,,,,,,,,,,,1.7849,,,,,,,,,,,,,,,,508de39e-3c64-459e-b78f-d7d34bbdbf4b,84,,"[39.3, 44.7]",266724,1,,,,-1.48916,,Right Foot,,,,"[42.0, 11.7]",,Ground Pass,,33.11027,,,,Jordi Alba Ramos,5211.0,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,6,Barcelona,217,"['f252a46d-0a7e-4869-9006-81bf711e9fd1', 'f32b226e-7e0d-4db5-984a-9229bc6f768d']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.688,Pass,True,2012/2013
,,,,,,,,,,,,,,,1.034223,,,,,,,,,,,,,,,,5045949b-dd75-475a-8629-2f0de4c01856,87,,"[47.2, 11.2]",266724,1,,,,1.5427663,,Left Foot,,,,"[47.5, 21.9]",,Ground Pass,,10.704205,,,,Francesc Fàbregas i Soler,3478.0,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,6,Barcelona,217,['cbbf0bd9-336c-4340-8031-a1e39bbb0d66'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.822,Pass,,2012/2013
,,,,,,,,,,,,,,,1.781,,,,,,,,,,,,,,,,b5af0e47-9902-4ea2-bad5-ff19ddf18e77,90,,"[47.6, 21.8]",266724,1,,,,1.4708173,,Right Foot,,,,"[50.8, 53.7]",,Ground Pass,,32.0601,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Francesc Fàbregas i Soler,3478.0,Left Center Midfield,6,Barcelona,217,['8f3f4021-7488-4bf4-8d48-97824c59f0a0'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.335,Pass,,2012/2013
,,,,,,,,,,,,,,,1.6366,,,,,,,,,,,,,,,,8675fe05-d250-4088-8dbc-ab3884dbb5d1,93,,"[53.5, 55.9]",266724,1,,,,1.0017388,,Right Foot,,,,"[67.7, 78.1]",,Ground Pass,,26.35299,,,,David Villa Sánchez,12737.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['e776d383-8a7f-4b90-a57c-8358900fa8b3'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.535,Pass,,2012/2013
,,,,,,,,,,,,,,,1.3851,,,,,,,,,,,,,,,,c01e95a6-634d-40b5-8534-1e8dc33e755f,96,,"[67.7, 78.1]",266724,1,,,,-2.6415238,,Right Foot,,,,"[58.0, 72.8]",,Ground Pass,,11.053506,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,6,Barcelona,217,['3f109e5c-86e2-4676-9671-beb1137618fe'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.255,Pass,,2012/2013
,,,,,,,,,,,,,,,0.3508,,,,,,,,,,,,,,,,51d0c5dc-027b-4c50-9eb9-d639da3f16d3,99,,"[58.0, 72.8]",266724,1,,,,-1.1675937,,Right Foot,,,,"[64.1, 58.5]",,Ground Pass,,15.546704,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,6,Barcelona,217,['6d5b35f3-a281-4f4a-a5fe-eabafe43f4cb'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.037,Pass,,2012/2013
,,,,,,,,,,,,,,,1.0393,,,,,,,,,,,,,,,,2f04a552-692b-4681-88c8-e1935232b88f,102,,"[67.1, 59.7]",266724,1,,,,2.4949617,,Right Foot,,,,"[56.9, 67.4]",,Ground Pass,,12.780063,,,,Daniel Alves da Silva,4324.0,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,6,Barcelona,217,['0dba76ff-9078-43f9-a978-30f23037dd0a'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:01:31.883,Pass,,2012/2013
