50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,10bfcfaf-0cb6-4b0f-a7b7-fac769e4319c,2613,,,"[105.3, 10.0]",69287,64,,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sendoa Aguirre Basterretxea,26745.0,Left Wing,136,Barcelona,217,['c5b07ee9-1453-41b5-8758-11d3441ccd32'],12,,,,,,,,,,,,,,,,,Hércules,1218,00:19:12.022,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9eb9be6-a0cd-427d-b3b7-f75540dc41b5,2785,,,"[2.6, 65.3]",69287,68,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,David Cortés Caballero,25994.0,Right Back,142,Barcelona,217,['85281cc1-2a98-468f-a0ea-3e98da3f0505'],30,,,,,,,,,,,,,,,,,Hércules,1218,00:23:30.768,Block,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,b2917ddd-0b83-4651-a711-e24910bb0d75,2895,,,"[6.8, 5.9]",69287,71,,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,149,Hércules,1218,['2cef33ad-eae9-426a-b10d-c8526170c680'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:26:04.613,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,054ea7bd-db1b-4119-997e-226e5fc9972c,2968,,,"[23.4, 54.3]",69287,72,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Abel Enrique Aguilar Tapia,6192.0,Right Center Midfield,151,Barcelona,217,['0c52ae4d-7fe1-4287-9778-9e1ca3ddafc3'],56,,,,,,,,,,,,,,,,,Hércules,1218,00:27:56.179,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec911d00-de91-480d-b1e7-c0a01c1a6d59,2992,,,"[16.0, 56.7]",69287,73,,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,152,Hércules,1218,['afc31f1e-63a7-430b-ba15-53fee9049bb3'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:28:15.591,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,194b8ee2-c96c-4b6a-9d65-b8fc8e146a52,3006,,,"[3.3, 74.7]",69287,74,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,153,Hércules,1218,['3f9c6032-d858-4fc7-a2f5-ce722a57cf68'],9,,,,,,,,,,,,,,,,,Barcelona,217,00:29:09.807,Block,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,34e4d52f-3f87-4b2e-b872-6162601d6f41,3157,,,"[77.0, 76.2]",69287,77,,,True,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,160,Hércules,1218,['76dc727f-3ed4-40d7-ab0b-75b5e1469c36'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:32:40.964,Block,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6f02fbb8-b8f6-4f9a-acfe-99a0dc0804d9,3167,,,"[45.6, 5.3]",69287,78,,,True,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,David Sergio Trézéguet,19311.0,Center Forward,161,Hércules,1218,['f9d0e9ca-fe07-47f4-8f9f-2a82642882bd'],3,,,,,,,,,,,,,,,,,Hércules,1218,00:33:03.422,Block,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,c4a05e99-dc88-4df8-acc7-4e67e3777018,3502,,,"[83.1, 4.2]",69287,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sendoa Aguirre Basterretxea,26745.0,Left Wing,186,Hércules,1218,['a27ed77b-04be-49ee-aa5d-eccaa1e1dd6e'],55,,,,,,,,,,,,,,,,,Hércules,1218,00:42:55.797,Block,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,416b1337-d549-494f-99c6-6d9a29c3e56a,3506,,,"[94.6, 6.6]",69287,87,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sendoa Aguirre Basterretxea,26745.0,Left Wing,186,Hércules,1218,['8288cf67-e35d-4b4e-ac44-d136872910f7'],57,,,,,,,,,,,,,,,,,Hércules,1218,00:42:57.284,Block,,2010/2011
