50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.345413,,,,,,,,,,,,1a3901bc-4ee1-4b0d-b199-a4c96bba4e83,831,,"[85.1, 35.5]",68328,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Center Forward,37,Barcelona,217,"['9a0c3873-0c5c-43c1-9029-2a5c6f5d1c62', 'ee8211de-fcf2-404c-b518-4c3243230423']",45,,,,,,,,,,,,,,,,,Valencia,207,00:17:45.618,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.975385,,,,,,,,,,,,0d640e0b-6c3f-4362-bf06-9ce96c06ca5f,890,,"[99.9, 55.2]",68328,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,David Villa Sánchez,12737.0,Center Forward,41,Barcelona,217,"['05bca510-4273-418b-8eb0-bd7c2a79e8ca', '4cbea645-c1cf-49de-b1fe-76594813d46a']",47,,,,,,,,,,,,,,,,,Valencia,207,00:19:47.278,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,1.1025,,,,,,,,,,,,a1030957-2790-408a-ab69-a43add423c20,902,,"[47.1, 19.3]",68328,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giovanni van Bronckhorst,17797.0,Left Back,42,Valencia,207,"['24854af3-0062-4bfd-be4c-abc627fe6c21', '6d25097b-670c-4407-b021-77ecf7d07979', 'e334fbf1-e9b2-4f30-8354-5a3e1aa6304d']",57,,,,,,,,,,,,,,,,,Barcelona,217,00:19:57.017,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.2868,,,,,,,,,,,,bee5b23e-dba2-45f8-90f7-b9f81f99778a,914,,"[14.2, 55.2]",68328,20,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,42,Valencia,207,"['5897bdf4-f027-485d-ad49-6640fd344f80', '9e604dc9-26ea-4afc-b89a-85f387b30c48']",6,,,,,,,,,,,,,,,,,Barcelona,217,00:20:06.589,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,2.97456,,,,,,,,,,,,da959fa1-81f1-4cfa-bddb-dca3bd6c42e2,925,,"[70.6, 7.4]",68328,20,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emiliano Moretti,7476.0,Left Back,47,Barcelona,217,"['9dca86c5-63cc-4e22-8104-0ce7f89a07ed', 'c1932193-366a-4a64-9dcc-7cb8776b0b23']",18,,,,,,,,,,,,,,,,,Valencia,207,00:20:18.040,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.092815,,,,,,,,,,,,349445c2-ec23-4efa-9f99-1e67e32682e9,994,,"[52.9, 52.4]",68328,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Eduardo César Daude Gaspar,26014.0,Left Defensive Midfield,52,Barcelona,217,"['65753526-6c41-43e9-8009-f9e13e4d17a2', '96103386-4d6f-406e-8e56-adebc324c048', 'b94cd3d1-6af5-49d2-ac7a-9c8c070b687b']",0,,,,,,,,,,,,,,,,,Valencia,207,00:22:00.274,Pressure,,2006/2007
,,,,,,,,,,,,,,,,0.734034,,,,,,,,,,,,2d1b1b0f-9acf-40c8-8d3c-22285250b790,1000,,"[37.8, 47.3]",68328,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,David Albelda Aliqués,20128.0,Right Defensive Midfield,52,Barcelona,217,"['1ce5b8ac-a9e0-4dd8-8fbd-238f9c3e7ec9', '1f04a085-593b-41ad-aef3-2e0a87fae074']",3,,,,,,,,,,,,,,,,,Valencia,207,00:22:03.751,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,1.006201,,,,,,,,,,,,a2148e9a-a5e1-4452-9fc7-4cea665e55e2,1016,,"[59.5, 43.5]",68328,22,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,54,Barcelona,217,"['2b6bde53-9cac-484f-9340-5dc3785331c7', '9f886bb6-2dba-482e-b855-a3043e6b25b5', 'df7b7c33-42ac-4048-b1fe-d1471f4a99f9']",15,,,,,,,,,,,,,,,,,Valencia,207,00:22:15.332,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,1.331736,,,,,,,,,,,,0c132381-673f-4b9c-9a21-03aa9d7961fc,1026,,"[78.1, 42.8]",68328,22,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,55,Valencia,207,"['8e223425-df09-4780-b3cb-f8aa6a7e2a45', 'd807e1ec-1a67-4244-803a-7052f62e235d']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:22:18.750,Pressure,,2006/2007
,,,,,,,,,,,,,,,,0.430985,,,,,,,,,,,,1b83e24b-b4b8-47cc-84e7-a28130b26bc9,1038,,"[52.3, 27.0]",68328,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,David Albelda Aliqués,20128.0,Right Defensive Midfield,56,Barcelona,217,"['3e01e3a2-34b1-49eb-b50d-8540bd6215d1', 'b36512bd-d76c-421a-9031-5b89c83fa85b']",38,,,,,,,,,,,,,,,,,Valencia,207,00:22:38.100,Pressure,,2006/2007
,,,,,,,,,,,,,,,,0.931234,,,,,,,,,,,,0b80d4aa-bd8d-487f-8df9-06699d584b4d,1051,,"[78.1, 36.1]",68328,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Anderson Luís de Souza,19757.0,Left Center Midfield,56,Barcelona,217,['b91864ea-23ea-4ead-bbe4-419bce29342a'],46,,,,,,,,,,,,,,,,,Barcelona,217,00:22:46.586,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.468858,,,,,,,,,,,,cd8110a0-fb43-4b71-a287-e53bd577e16f,1066,,"[46.1, 45.1]",68328,23,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Albelda Aliqués,20128.0,Right Defensive Midfield,58,Barcelona,217,['caa71fb1-94d8-4be7-8674-d4a16451b22d'],15,,,,,,,,,,,,,,,,,Valencia,207,00:23:15.133,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,3.245457,,,,,,,,,,,,4c160e47-a4c8-40d2-bf99-46e73501c126,1109,,"[87.0, 61.6]",68328,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,60,Barcelona,217,"['c383239a-a77e-43dc-b324-9ca0d76136f8', 'e3efb323-ef2a-4718-a257-f8624075df12']",11,,,,,,,,,,,,,,,,,Barcelona,217,00:24:11.033,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.096365,,,,,,,,,,,,9c6e4784-9c2f-4cd8-99e6-6f5378a58456,1116,,"[61.6, 19.6]",68328,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Center Forward,60,Barcelona,217,"['2a9bc9e0-9c50-456e-ae1e-e4a60f9da3f5', '64403a70-96ae-47ca-8f6e-536626aa860b']",18,,,,,,,,,,,,,,,,,Valencia,207,00:24:18.146,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,0.905116,,,,,,,,,,,,64ca7082-fbc2-4797-876f-edf83764ab8e,1153,,"[87.3, 41.7]",68328,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,61,Valencia,207,"['291f6d87-ac17-4102-81f1-84a49c1e9740', 'eadc73ce-8593-4991-8305-f43d54f3baac']",46,,,,,,,,,,,,,,,,,Barcelona,217,00:24:46.872,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.622029,,,,,,,,,,,,cc68b31a-1872-40ee-a47c-54501ba5e9b0,1236,,"[44.7, 24.2]",68328,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Fabián Ayala,26016.0,Left Center Back,66,Barcelona,217,"['26f1eb40-a680-4b62-b2d8-1e727ababce3', '58d3798f-c769-4a36-a3a5-1e275873e16b']",22,,,,,,,,,,,,,,,,,Valencia,207,00:26:22.212,Pressure,,2006/2007
,,,,,,,,,,,,,,,,0.788669,,,,,,,,,,,,16359e35-14c8-4779-8fb7-7577ca1084b9,1243,,"[39.4, 34.1]",68328,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vicente Rodríguez Guillén,20124.0,Left Wing,66,Barcelona,217,['eba8d83f-0285-4387-996a-9fdb764be841'],28,,,,,,,,,,,,,,,,,Valencia,207,00:26:28.131,Pressure,,2006/2007
,,,,,,,,,,True,,,,,,1.058867,,,,,,,,,,,,54372a7a-e50e-4778-ab7b-5d4967962f91,1285,,"[58.1, 58.5]",68328,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,70,Barcelona,217,"['3caa876b-cde4-42a7-85ba-3b417021a2a3', '48ca2fac-5056-4809-b631-8bac3bd462ad']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:28:40.064,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.142176,,,,,,,,,,,,3750c7f8-4e32-488d-b545-4211ac9b7967,1298,,"[38.9, 52.4]",68328,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Right Wing,70,Barcelona,217,"['998c257c-cdea-46db-8654-e9777116f063', 'cb3388fa-dd8b-43f9-b946-1cf1f7369b06']",48,,,,,,,,,,,,,,,,,Valencia,207,00:28:48.451,Pressure,,2006/2007
,,,,,,,,,,,,,,,,0.689377,,,,,,,,,,,,a8ae0d17-6389-40e8-b944-1ffe3c4b91d2,1302,,"[24.3, 34.8]",68328,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roberto Fabián Ayala,26016.0,Left Center Back,70,Barcelona,217,['63e68509-0952-492e-b440-615b8d4081f3'],51,,,,,,,,,,,,,,,,,Valencia,207,00:28:51.164,Pressure,,2006/2007
,,,,,,,,,,,,,,,,1.979381,,,,,,,,,,,,b840b5d8-194f-4824-a2a3-df957f26609b,1314,,"[36.8, 72.1]",68328,29,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,71,Valencia,207,"['87b11844-948a-4c86-8c83-f8c3f9d68eb3', 'd30aabac-04e1-4824-88f7-dfa9f1c830b3']",1,,,,,,,,,,,,,,,,,Barcelona,217,00:29:01.532,Pressure,,2006/2007
,,,,,,,,,,,,,,,,0.478845,,,,,,,,,,,,11d0bb58-8031-43ad-90c9-885d6309a054,1337,,"[63.6, 20.4]",68328,30,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eduardo César Daude Gaspar,26014.0,Left Defensive Midfield,74,Barcelona,217,"['6397f340-e0a0-4543-84e7-49dfb8e18e3b', 'b8043e03-6967-473c-81b1-492bf4109ce8']",32,,,,,,,,,,,,,,,,,Valencia,207,00:30:32.174,Pressure,,2006/2007
