bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,3.134254,,,,,,,,,,,,,,ad8ff50e-5e16-4908-be99-8872292a38ac,51,,"[12.8, 7.8]",9924,1,,,,0.14129356,,Left Foot,,,,"[59.2, 14.4]",,High Pass,,46.867046,Incomplete,,Cristiano Ronaldo dos Santos Aveiro,5207.0,,,,,,1,From Free Kick,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,"['2e6163f2-539f-4cff-8aaf-5760eb78b83b', '7ffa3b5c-425d-4927-927b-ab8976e966db']",4,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:04.496,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.951153,,,,,,,,,,,,,,2e6163f2-539f-4cff-8aaf-5760eb78b83b,53,,"[60.9, 65.7]",9924,1,,,True,-0.032246884,,,,,,"[76.4, 65.2]",,High Pass,,15.508062,Incomplete,,Ivan Rakitić,5470.0,,,,,Recovery,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Real Madrid,220,"['812f163f-8b1f-4ea2-ada4-86089fe23469', 'ad8ff50e-5e16-4908-be99-8872292a38ac', 'c86988ea-4f21-4839-af45-e5ec8bce4824', 'd230fcde-163a-4c65-9b1d-d9181737cf17']",7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.630,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,1.278934,,,,,,,,,,,,,,812f163f-8b1f-4ea2-ada4-86089fe23469,57,,"[43.7, 14.9]",9924,1,,,True,0.16859694,,,,,,"[53.1, 16.5]",,High Pass,,9.535198,Incomplete,,,,,,,,Recovery,1,From Free Kick,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,3,Real Madrid,220,"['2e6163f2-539f-4cff-8aaf-5760eb78b83b', '7d6c4c96-b9b5-40d3-b412-58bdce023398', 'aa219a4d-5cfd-402d-9de5-c3f5f88feb67']",9,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:09.582,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,3.367,,,,,,,,,,,,,,7d6c4c96-b9b5-40d3-b412-58bdce023398,58,,"[67.0, 63.6]",9924,1,,,,-0.23530635,,Left Foot,,,,"[98.7, 56.0]",,High Pass,,32.598312,Incomplete,,,,,,,,Recovery,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,3,Real Madrid,220,"['812f163f-8b1f-4ea2-ada4-86089fe23469', 'f59693f7-8124-4e10-8442-968c16da07ec']",10,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.861,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.051531,,,,,,,,,,,,,,f59693f7-8124-4e10-8442-968c16da07ec,59,,"[21.4, 24.1]",9924,1,,,,0.9795043,,Head,,,,"[35.5, 45.1]",,High Pass,,25.294466,Incomplete,,Luka Modrić,5463.0,,,,,Recovery,1,From Free Kick,Sergio Ramos García,5201.0,Left Center Back,3,Real Madrid,220,"['7d6c4c96-b9b5-40d3-b412-58bdce023398', '84576c34-0779-4d8b-93bc-aa78955dc372', 'e288037f-fa06-4810-9ebf-a387aa6ef3e4']",14,,,,,,,,,,,,,,,,,Real Madrid,220,00:01:14.228,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.893364,,,,,,,,,,,,,,e288037f-fa06-4810-9ebf-a387aa6ef3e4,61,,"[84.6, 35.0]",9924,1,,,,1.971037,,Other,,,,"[81.3, 42.8]",,Low Pass,,8.469357,,,Ivan Rakitić,5470.0,,,,,Recovery,1,Regular Play,Andrés Iniesta Luján,5216.0,Left Midfield,4,Barcelona,217,"['6fce8d11-3aa2-499b-8894-4da1d95e6369', 'f59693f7-8124-4e10-8442-968c16da07ec']",16,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.279,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.902914,,,,,,,,,,,,,,a88b547c-7b0a-4f9e-bc3d-cbbc3d269871,64,,"[81.3, 42.8]",9924,1,,,,0.96850896,,Right Foot,,,,"[90.1, 55.6]",,Ground Pass,,15.533191,,,Philippe Coutinho Correia,3501.0,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Right Defensive Midfield,4,Barcelona,217,['a7b633c5-d27a-4c32-a85c-56200d64bc81'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.707,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.72494,,,,,,,,,,,,,,dda94ce3-9b87-4d42-91d3-48cd22487da8,66,,"[90.1, 55.8]",9924,1,,,,-2.9504082,,Left Foot,,,,"[77.7, 53.4]",,Ground Pass,,12.630123,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Philippe Coutinho Correia,3501.0,Right Midfield,4,Barcelona,217,['86717827-d81e-451e-82b5-8d66ffc124b6'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.610,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.112199,,,,,,,,,,,,,,e81b3877-aa4c-402f-b85a-dfacedf40ae1,69,,"[77.7, 53.4]",9924,1,,,,0.9843135,,Right Foot,,,,"[87.8, 68.6]",,Ground Pass,,18.249657,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Left Defensive Midfield,4,Barcelona,217,['c83cf314-77e9-479c-b1c5-b8da325bd30f'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.205,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.286981,,,,,,,,,,,,,,d0b57284-c09a-47c8-874e-ed166857e2c7,72,,"[87.8, 67.1]",9924,1,,,,0.7730531,,Left Foot,,,,"[96.0, 75.1]",,Ground Pass,,11.456003,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,4,Barcelona,217,['f2038e5e-5667-4b32-9620-d633ca71d6a5'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.047,Pass,,2017/2018
