50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,2.0486,,,,,,,,,,,,,,bb1d77d3-5c64-4d50-99c5-b480125e3050,75,,"[77.4, 18.6]",69195,2,,,,,0.42877802,,Right Foot,,,,"[105.4, 31.4]",,High Pass,,30.78701,,,,Marco Aurélio Brito Dos Prazeres,20023.0,,,,,,Free Kick,1,From Free Kick,Achille Emaná Edzimbi,26549.0,Center Attacking Midfield,8,Real Betis,218,['ee65a8b3-abc9-48e3-a2cb-183dde2ac504'],52,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:52.123,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.6697,,,,,,,,,,,,,,3199690a-d8bf-4ef0-a302-bc831c165d8d,78,,"[105.8, 32.1]",69195,2,,,,,-0.87471217,,Left Foot,,,,"[111.9, 24.8]",,Low Pass,,9.513149,,Pass Offside,,Juan Gutiérrez Moreno,20519.0,,,,,,,1,From Free Kick,Marco Aurélio Brito Dos Prazeres,20023.0,Left Center Midfield,8,Real Betis,218,['75aba666-c654-4652-b4ee-83e6736396d1'],54,,,,,,,,,,,,,,,,,,Real Betis,218,00:02:54.211,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.328954,,,,,,,,,,,,,,c77bbd05-7329-41d1-920f-378dd4307373,80,,"[8.3, 52.6]",69195,3,,True,,,0.12988561,,Right Foot,,,,"[55.0, 58.7]",,Ground Pass,,47.09671,,,,Gerard Piqué Bernabéu,5213.0,,,,,,Free Kick,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,9,Barcelona,217,['0f0e7c5d-9a19-4698-9d84-8ff8cd9cb4f7'],19,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:19.653,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,2.360362,,,,,,,,,,,,,,ca077b21-36e6-49ad-9f1e-a7c7052893ab,82,,"[52.2, 58.6]",69195,3,,,,,-1.8232702,,Right Foot,,,,"[42.5, 21.0]",,High Pass,,38.831043,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,9,Barcelona,217,['13148e85-8cd7-4e07-8064-9d7cf8f2c118'],23,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:23.482,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,0.9181,,,,,,,,,,,,,,d0aac4f7-2866-4f47-8e75-9d666a0449b2,85,,"[44.4, 20.5]",69195,3,,,,,-0.33912334,,Left Foot,,,,"[75.3, 9.6]",,Ground Pass,,32.76614,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,9,Barcelona,217,['479a39ad-5b3f-4f76-bb94-725b0803fd61'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:27.413,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,0.719098,,,,,,,,,,,,,,3dd34cd4-0470-4b08-83d6-c8dd01d0ae89,88,,"[75.3, 9.6]",69195,3,,,,,1.8692952,,Right Foot,,,,"[71.7, 21.3]",,Ground Pass,,12.241323,,Incomplete,,Seydou Kéita,20169.0,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing,9,Barcelona,217,"['47215e86-3703-4aa1-8bb2-cd8b4730f238', 'b3e4789b-1283-4bfd-9d50-baea6c364efc']",28,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:28.371,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.0824,,,,,,,,,,,,,,1c7f574a-de3b-4de5-9d84-d5b6b304dea5,94,,"[80.3, 4.3]",69195,3,,,,,1.456356,,Left Foot,,,,"[82.3, 21.7]",,Ground Pass,,17.514565,,,,Andrés Iniesta Luján,5216.0,,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,9,Barcelona,217,['7adc01a8-b0dd-4133-884b-7ef0190c1cd7'],32,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:32.287,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,0.607593,,,,,,,,,,,,,,7d61f65d-da2c-4f8c-85ac-500cbc78bb8a,97,,"[82.3, 21.7]",69195,3,,,,,1.932,,Right Foot,,,,"[78.9, 30.7]",,Ground Pass,,9.6208105,,Incomplete,,Seydou Kéita,20169.0,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing,9,Barcelona,217,"['0d1ed54e-40e0-4706-aee9-1bd4bcfffb24', 'e8eee8c7-ac56-4bc3-a1ef-93d9ad70f0b5']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:34.194,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.0192,,,,,,,,,,,,,,9540a7eb-800b-4d57-8c14-b90a6228e9ad,106,,"[79.1, 44.4]",69195,3,,,,,0.5506756,,Right Foot,,,,"[90.5, 51.4]",,Ground Pass,,13.377593,,,,Samuel Eto''o Fils,19298.0,,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,9,Barcelona,217,['367ad574-d6e9-49f8-83b5-c6554aaaeadb'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:37.766,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,,1.718836,,,,,,,,,,,,,,3cc0bb05-1c0f-4fbd-b219-249d04ae3f16,109,,"[91.4, 51.4]",69195,3,,,,,1.2395898,,Right Foot,,,,"[100.1, 76.7]",,Ground Pass,,26.754065,,,,Aliaksandr Hleb,18882.0,,,,,,,1,From Free Kick,Samuel Eto''o Fils,19298.0,Center Forward,9,Barcelona,217,['c537042e-9439-4150-89e1-be473013cd1d'],40,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:40.420,Pass,,2008/2009
