bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.0906,,,,,,,,,,,,,65cf3652-e8b5-4dec-b00e-6053d98fe7e9,65,,"[117.0, 25.0]",16248,0,,,,,2.0344439,,Left Foot,True,True,"[111.0, 37.0]",,Ground Pass,13.416408,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['a7b1fcf5-37e5-4ff6-87cf-30716f987f8e', 'b5fdbd19-10cc-4a49-be6e-a61b4e3ad770']",40,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.015,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.609247,,,,,,,,,,,,,6a2e5c6a-2657-4469-969c-078f3d677123,68,,"[107.0, 1.0]",16248,0,,,,,3.006065,,,,,"[85.0, 4.0]",,Low Pass,22.203604,,,,Clément Lenglet,6826.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['59a0e3ab-361a-4e7f-9464-f97fe06a8d74'],56,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.080,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.047217,,,,,,,,,,,,,7ba021f1-e42f-48e1-ba75-ce7d105b7936,71,,"[74.0, 5.0]",16248,0,,,,,1.9513026,,Left Foot,,,"[68.0, 20.0]",,Ground Pass,16.155495,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['9cdd38af-2d7b-4f44-9c88-2562c9df473c'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.067,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.813273,,,,,,,,,,,,,fdd4ccf5-2fcd-4de4-bff5-e1b62d49b058,74,,"[65.0, 25.0]",16248,1,,,,,1.8925469,,Right Foot,,,"[56.0, 52.0]",,Ground Pass,28.460499,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['037cd83e-85c1-4632-8068-d7bef418d8e2'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.338,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.205408,,,,,,,,,,,,,5a95f4d0-c1c0-4273-b749-f5e45aa25e78,78,,"[58.0, 54.0]",16248,1,,,,,1.076855,,Right Foot,,,"[65.0, 67.0]",,Ground Pass,14.764823,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['abdf3555-90a0-4726-a8bf-5f638c9f4952'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.377,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.940928,,,,,,,,,,,,,08e8f64f-ad67-49f3-9758-55c352137cd6,81,,"[65.0, 72.0]",16248,1,,,,,0.86217004,,Right Foot,,,"[71.0, 79.0]",,Ground Pass,9.219544,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,3,Barcelona,217,['c69d0b8f-7820-489e-9a45-9cdd113ce8d2'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.505,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.483511,,,,,,,,,,,,,2955547c-f7b0-483c-b5f3-5346740e066c,84,,"[71.0, 79.0]",16248,1,,,,,-2.429235,,Right Foot,,,"[49.0, 60.0]",,Low Pass,29.068884,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['0a5af2a7-50b8-412c-afb9-22d127fe8e25'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.486,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.074319,,,,,,,,,,,,,20581e63-ed76-4550-92f5-63d10df0a8fd,87,,"[49.0, 60.0]",16248,1,,,,,-1.2679114,,Right Foot,,,"[54.0, 44.0]",,Ground Pass,16.763054,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['ec31b76e-23a5-408a-8298-bd21becdc337'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.706,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.585363,,,,,,,,,,,,,581789d3-8cbe-4edc-a6db-2a2020e680f7,90,,"[54.0, 44.0]",16248,1,,,,,1.4601392,,Left Foot,,,"[56.0, 62.0]",,Ground Pass,18.110771,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['7d19f12b-ce54-4c95-9925-450fdd8d2623'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.301,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.020422,,,,,,,,,,,,,4c1c4410-8be5-4968-9a27-85421b90d86b,93,,"[71.0, 60.0]",16248,1,,,,,-0.24497867,,Right Foot,,,"[83.0, 57.0]",,Ground Pass,12.369317,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['1613708c-cb02-4e5b-a906-ce0d9629fe79'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.095,Pass,,2018/2019
