bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.309713,,,,,,,,,,,,,680047fa-f366-4229-a00d-8a9b8b92344d,17,,"[39.5, 25.7]",266986,0,,,,,-1.182852,,Right Foot,,,"[48.0, 4.9]",,Ground Pass,,22.469757,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['1ef196b7-398e-468e-ac9a-e8267e0cb0d8'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.433,Pass,,2015/2016
,,,,,,,,,,,,,1.813045,,,,,,,,,,,,,20d07580-a862-4d82-b66b-2142964d0181,20,,"[48.2, 9.4]",266986,0,,,,,2.5435617,,Left Foot,,,"[32.2, 20.3]",,Ground Pass,,19.36001,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['34d01993-c69b-4193-9618-0e9991151beb'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.267,Pass,,2015/2016
,,,,,,,,,,,,,1.418543,,,,,,,,,,,,,764c9885-e764-4754-81b9-5857bf99bd02,23,,"[34.1, 21.8]",266986,0,,,,,1.6820991,,Left Foot,,,"[30.3, 55.8]",,Ground Pass,,34.211693,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['01c19754-48e1-4bca-b9f3-e1f2ec2626e3'],17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.882,Pass,,2015/2016
,,,,,,,,,,,,,2.315344,,,,,,,,,,,,,e692db46-689a-41f9-8079-06c76fed328e,26,,"[36.0, 56.3]",266986,0,,,,,-1.3236198,,Right Foot,,,"[44.1, 24.2]",,Ground Pass,,33.106194,,,,,Claudio Andrés Bravo Muñoz,4691.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['3405cb7a-f371-429e-a8db-80e489bdd456'],22,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.861,Pass,,2015/2016
,,,,,,,,,,,,,2.126327,,,,,,,,,,,,,a9e21158-4391-46c1-a0e2-adea180a696a,29,,"[47.9, 31.1]",266986,0,,,,,1.5601206,,Right Foot,,,"[48.2, 59.2]",,Ground Pass,,28.1016,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Claudio Andrés Bravo Muñoz,4691.0,Goalkeeper,2,Barcelona,217,['c9f0b6d1-e0b5-4e59-9937-a56daa2d51c6'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:00:28.376,Pass,,2015/2016
,,,,,,,,,,,,,1.262588,,,,,,,,,,,,,0ddd2919-bce4-42af-a8de-082945aed4c4,32,,"[49.6, 63.7]",266986,0,,,,,0.52903044,,Right Foot,,,"[69.1, 75.1]",,Ground Pass,,22.587828,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['e92a2e4a-a2bb-4023-a5ce-fd9cdef8f6aa'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.371,Pass,,2015/2016
,,,,,,,,,,,,,0.6283,,,,,,,,,,,,,02e15f14-d298-40bd-aa3d-f4efe1b0b581,40,,"[51.0, 10.0]",266986,0,,,,,0.5506756,,Right Foot,,,"[56.7, 13.5]",,Ground Pass,,6.6887965,,,,,Rubén Castro Martín,6832.0,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Left Back,3,Real Betis,218,['d9ee4fd3-3e52-4acd-b819-e3a7cb63979e'],36,,,,,,,,,,,,,,,,,Real Betis,218,00:00:36.730,Pass,,2015/2016
,,,,,,,,,,,,,0.6897,,,,,,,,,,,,,7acb2979-2b3d-4f23-9a58-3c593c1166cc,43,,"[56.7, 13.5]",266986,0,,,,,1.6869379,,Right Foot,,,"[55.3, 25.5]",,Ground Pass,,12.08139,,,,,Joaquín Sánchez Rodríguez,6651.0,,,,,,1,Regular Play,Rubén Castro Martín,6832.0,Center Forward,3,Real Betis,218,['7427534a-4236-4253-9d5b-2d66f7cbcc1f'],37,,,,,,,,,,,,,,,,,Real Betis,218,00:00:37.438,Pass,,2015/2016
,,,,,,,,,,,,,0.9858,,,,,,,,,,,,,09b00521-ff54-4a90-bf55-4e4632440755,47,,"[55.0, 24.5]",266986,0,,,,,-2.4827867,,Right Foot,,,"[48.8, 19.7]",,Ground Pass,,7.8409185,,,,,Martín Montoya Torralbo,6593.0,,,,,,1,Regular Play,Joaquín Sánchez Rodríguez,6651.0,Center Attacking Midfield,3,Real Betis,218,"['38f70b93-34f1-4b99-b49a-2f8da11eb8ac', 'c6cc4363-fc99-47e9-922e-82f15c853117']",38,,,,,,,,,,,,,,,,,Real Betis,218,00:00:38.168,Pass,True,2015/2016
,,,,,,,,,,,,,1.7163,,,,,,,,,,,,,986a6cb7-e37d-46b6-b70b-f51c8c926500,50,,"[48.8, 19.7]",266986,0,,,,,1.7098923,,Right Foot,,,"[46.7, 34.7]",,Ground Pass,,15.146287,,,,,Petros Matheus dos Santos Araújo,27346.0,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Left Back,3,Real Betis,218,['3284bbbc-475e-4672-82df-8f1466cc236f'],39,,,,,,,,,,,,,,,,,Real Betis,218,00:00:39.193,Pass,,2015/2016
,,,,,,,,,,,,,2.553532,,,,,,,,,,,,,a80fd685-f679-4478-bdba-417a17305c54,54,,"[45.7, 35.2]",266986,0,,,,,2.7145884,,Right Foot,,,"[25.7, 44.3]",,Ground Pass,,21.972939,,,,,Germán Alejandro Pezzella,7161.0,,,,,,1,Regular Play,Petros Matheus dos Santos Araújo,27346.0,Right Defensive Midfield,3,Real Betis,218,['b1edd244-8776-4dc8-afc3-e4f42eb3171e'],41,,,,,,,,,,,,,,,,,Real Betis,218,00:00:41.188,Pass,,2015/2016
,,,,,,,,,,,,,1.1963,,,,,,,,,,,,,1701457a-dfb2-4fe6-b937-780b32f3db8c,58,,"[22.4, 47.8]",266986,0,,,,,1.6620251,,Right Foot,,,"[19.5, 79.5]",,High Pass,,31.832373,,,Out,,Bruno González Cabrera,6872.0,,,,,,1,Regular Play,Germán Alejandro Pezzella,7161.0,Right Center Back,3,Real Betis,218,['5b9ff3a7-12aa-4dfd-a7f4-e44f8914ed0f'],44,,,,,,,,,,,,,,,,,Real Betis,218,00:00:44.215,Pass,,2015/2016
,,,,,,,,,,,,,1.3691,,,,,,,,,,,,,be74afcf-6cc2-41e8-85c1-047c269e1596,60,,"[97.0, 0.1]",266986,0,,,,,2.6320004,,,,,"[83.4, 7.7]",,Low Pass,,15.5794735,,,,,Andrés Iniesta Luján,5216.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['1b105a02-a9f9-47ed-8e6f-c48dca7094d5'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.894,Pass,,2015/2016
,,,,,,,,,,,,,0.971,,,,,,,,,,,,,59282de1-8e20-48e7-a7d1-9d387455f377,63,,"[82.7, 6.5]",266986,0,,,,,0.17103963,,Right Foot,,,"[93.7, 8.4]",,Low Pass,,11.162885,,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,"['5180857d-6607-441f-8265-06e657c2d12f', '55587971-360f-41d2-9dec-d9f90741a48f', '72a04810-8fb7-4804-b212-84a049c28df1']",56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.263,Pass,True,2015/2016
,,,,,,,,,,,,,2.2018,,,,,,,,,,,,,5180857d-6607-441f-8265-06e657c2d12f,65,,"[26.4, 71.7]",266986,0,,,,,0.0,,Right Foot,,,"[56.2, 71.7]",,Low Pass,,29.8,,,Incomplete,,Joaquín Sánchez Rodríguez,6651.0,,,,,Recovery,1,From Throw In,Bruno González Cabrera,6872.0,Right Back,4,Barcelona,217,"['59282de1-8e20-48e7-a7d1-9d387455f377', '86dd8371-cec4-42f5-a918-fc1a6af55006', 'b65e90fe-77d6-4271-bbe1-63a56c047bff']",57,,,,,,,,,,,,,,,,,Real Betis,218,00:00:57.234,Pass,,2015/2016
,,,,,,,,,,,,,0.838981,,,,,,,,,,,,,b65e90fe-77d6-4271-bbe1-63a56c047bff,67,,"[63.9, 8.4]",266986,0,,,,,-0.61253756,,Right Foot,,,"[71.3, 3.2]",,Low Pass,,9.044335,,,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,"['5180857d-6607-441f-8265-06e657c2d12f', '64aa66b6-e4ac-48c6-8ee7-7ea8fe39b60c']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.436,Pass,,2015/2016
,,,,,,,,,,,,,0.768899,,,,,,,,,,,,,c1db172b-669e-4764-995c-aff29d7730fc,70,,"[68.7, 3.2]",266986,1,,,,,1.3402745,,Right Foot,,,"[71.0, 13.0]",,Ground Pass,,10.06628,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['b809ae64-84f9-4211-bfba-ba2501a5946b'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.521,Pass,,2015/2016
,,,,,,,,,,,,,1.545826,,,,,,,,,,,,,dcb946b2-a374-455f-a725-f0209e15bee5,73,,"[71.0, 13.0]",266986,1,,,,,-3.0478091,,Right Foot,,,"[50.8, 11.1]",,Ground Pass,,20.28916,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['4d9cc24f-6d1f-47bf-b37c-7a622fbb1e99'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.330,Pass,,2015/2016
,,,,,,,,,,,,,1.446822,,,,,,,,,,,,,24140af5-54c6-45a8-9d4f-ed6f215d783c,76,,"[48.6, 22.2]",266986,1,,,,,1.6894668,,Right Foot,,,"[45.5, 48.2]",,Ground Pass,,26.184156,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['f99ecab9-2900-46ed-9951-85f8ed0031d9'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.867,Pass,,2015/2016
,,,,,,,,,,,,,1.665863,,,,,,,,,,,,,6e59e826-a1dd-4f0e-8614-bb444348a8c6,79,,"[51.5, 48.9]",266986,1,,,,,-1.4470303,,Right Foot,,,"[54.1, 28.0]",,Ground Pass,,21.061102,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,4,Barcelona,217,['c6ef9f4b-4683-468d-8ba2-f6742054194c'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.298,Pass,,2015/2016
,,,,,,,,,,,,,1.347546,,,,,,,,,,,,,721a9fa9-4a55-4a0d-af0e-3e587c538913,82,,"[50.5, 30.8]",266986,1,,,,,-1.3247993,,Right Foot,,,"[56.3, 7.7]",,Ground Pass,,23.81701,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['25724dfe-ba11-4882-bc15-0764ca14d80c'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.449,Pass,,2015/2016
,,,,,,,,,,,,,0.8198,,,,,,,,,,,,,f9691512-4431-47ea-8386-077400fe9159,85,,"[57.5, 8.0]",266986,1,,,,,0.929432,,Left Foot,,,"[68.7, 23.0]",,Ground Pass,,18.720043,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['2b121eab-4012-4a75-afd6-ffb504100692'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.664,Pass,,2015/2016
,,,,,,,,,,,,,1.140528,,,,,,,,,,,,,19ff2061-14a8-4f31-b708-187ae2dbc63a,88,,"[68.7, 23.0]",266986,1,,,,,-2.0665615,,Left Foot,,,"[63.4, 13.2]",,Ground Pass,,11.141364,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,4,Barcelona,217,['a285a61a-10fb-48e5-b915-3f21cf66cfb1'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.564,Pass,,2015/2016
,,,,,,,,,,,,,1.118242,,,,,,,,,,,,,e52a6697-02ff-47d2-a297-5b2ee5080112,91,,"[65.1, 8.9]",266986,1,,,,,-0.4133304,,Left Foot,,,"[76.5, 3.9]",,Ground Pass,,12.448293,,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['a8da6dfd-2425-4769-95f0-2b18668de79f'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.128,Pass,,2015/2016
,,,,,,,,,,,,,0.575039,,,,,,,,,,,,,e07c2a8a-3b24-4e2a-a1f6-c23a8b6d9909,95,,"[74.8, 2.9]",266986,1,,,,,2.566704,,Right Foot,,,"[67.7, 7.5]",,Ground Pass,,8.459906,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Left Center Midfield,4,Barcelona,217,"['0ac9c95a-b59b-4b85-8366-daffd5982677', 'ca7f38d6-d4ff-4a47-a0a5-849fb709df51']",28,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.771,Pass,True,2015/2016
,,,,,,,,,,,,,0.768516,,,,,,,,,,,,,615ef75d-9f25-44f4-b55b-8f498da16979,98,,"[67.7, 7.7]",266986,1,,,,,2.1071398,,Left Foot,,,"[54.8, 29.4]",,Ground Pass,,25.2448,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,4,Barcelona,217,['4b509b8c-e7be-4c2e-9a5c-f7525fb7bbf4'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.999,Pass,,2015/2016
,,,,,,,,,,,,,2.9572,,,,,,,,,,,,,6bc88362-948c-4bcf-8482-a7063bf8a38c,101,,"[58.4, 32.0]",266986,1,,,,,1.1594819,,Right Foot,,,"[77.2, 75.1]",,High Pass,,47.021805,,,,,Daniel Alves da Silva,4324.0,,True,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Left Center Back,4,Barcelona,217,['d2fa4b64-3fe4-44d0-91ed-fb4576a69ba0'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.135,Pass,,2015/2016
,,,,,,,,,,,,,1.000852,,,,,,,,,,,,,93dcbf5f-6527-41a5-992a-09972e07f5ab,105,,"[80.1, 72.3]",266986,1,,,,,-2.6731374,,Right Foot,,,"[71.8, 68.1]",,Low Pass,,9.302151,,,,,Ivan Rakitić,5470.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['8cf8ebc1-c24d-4a1c-a4e9-534841bfa1d7', '986f52d9-5432-4899-b652-65e6d36a6335']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.212,Pass,True,2015/2016
,,,,,,,,,,,,,1.090475,,,,,,,,,,,,,67584d92-d4a5-405c-b565-29716308f2b0,108,,"[71.8, 68.1]",266986,1,,,,,1.8882551,,Right Foot,,,"[69.5, 75.1]",,Ground Pass,,7.368175,,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,4,Barcelona,217,['1342419b-3ac6-4f70-8fc8-7977a3c0e20f'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:01:37.638,Pass,,2015/2016
,,,,,,,,,,,,,0.702121,,,,,,,,,,,,,2f4b2f5b-f438-4bd3-a631-80b4e9616a75,111,,"[69.5, 75.1]",266986,1,,,,,-1.357529,,Left Foot,,,"[72.9, 59.4]",,Ground Pass,,16.063934,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,['0023f5d3-e29d-41c1-b551-553e93d33169'],38,,,,,,,,,,,,,,,,,Barcelona,217,00:01:38.804,Pass,,2015/2016
,,,,,,,,,,,,,1.216312,,,,,,,,,,,,,69d69a35-280d-4042-beb9-9b2d64850fb3,131,,"[27.7, 62.2]",266986,1,,,,,0.6000502,,Right Foot,,,"[41.0, 71.3]",,Ground Pass,,16.11521,,,,,Álvaro Cejudo Carmona,26723.0,,,,,,1,From Throw In,Bruno González Cabrera,6872.0,Right Back,4,Barcelona,217,['bc763994-2130-48d6-a060-d549febbcbf7'],49,,,,,,,,,,,,,,,,,Real Betis,218,00:01:49.449,Pass,,2015/2016
,,,,,,,,,,,,,0.103374,,,,,,,,,,,,,3455bec5-ee13-43e2-b318-b1652e167414,134,,"[47.6, 77.1]",266986,1,,,,,-0.26836622,,Right Foot,,,"[51.6, 76.0]",,Ground Pass,,4.148494,,,Incomplete,,Bruno González Cabrera,6872.0,,,,,,1,From Throw In,Álvaro Cejudo Carmona,26723.0,Right Wing,4,Barcelona,217,"['3f00ca27-cccb-4dd7-a8d0-6d54905c24d7', 'a55143ba-3679-4b78-b807-677b94f98de1']",53,,,,,,,,,,,,,,,,,Real Betis,218,00:01:53.529,Pass,,2015/2016
