50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.7855,,,,,,,,,,,,,,,4f126a6f-72e3-4038-b6c0-339127ee3248,819,,,"[73.5, 34.7]",69322,18,,,,-2.0765877,,Right Foot,,,"[69.9, 28.2]",,Low Pass,,7.430343,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,35,Barcelona,217,"['836f63dd-78a3-4a03-ae20-edc883a4e5d1', 'bab60a73-b0cf-4a9d-a154-db43d6e35b61']",23,,,,,,,,,,,,,,,,Barcelona,217,00:18:23.324,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,0.8941,,,,,,,,,,,,,,,8d89c05d-ebc4-4867-9743-b71b2d512398,823,,,"[70.7, 29.5]",69322,18,,,,-2.7547169,,Right Foot,,,"[62.6, 26.2]",,Ground Pass,,8.746428,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,35,Barcelona,217,['095c22d3-5d33-4f2f-9cb0-ac2fa637adee'],24,,,,,,,,,,,,,,,,Barcelona,217,00:18:24.265,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.635545,,,,,,,,,,,,,,,3061ff10-9f1f-49da-be30-544b7884f426,826,,,"[72.1, 30.8]",69322,18,,,,1.6233793,,Left Foot,,,"[71.8, 36.5]",,Ground Pass,,5.707889,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,35,Barcelona,217,['036256b9-4a57-4704-8a09-6b8d9c42e3bc'],28,,,,,,,,,,,,,,,,Barcelona,217,00:18:28.355,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.109863,,,,,,,,,,,,,,,b4d0e020-29a2-4f48-8d8e-5ca6549d217c,829,,,"[78.2, 47.5]",69322,18,,,,1.0346951,,Right Foot,,,"[92.4, 71.4]",,Ground Pass,,27.80018,,,,Juan Isaac Cuenca López,26776.0,,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,35,Barcelona,217,['451d3866-d306-4d3b-9792-b41d4ed7c475'],31,,,,,,,,,,,,,,,,Barcelona,217,00:18:31.712,Pass,,2011/2012
,,,,,,,,,,,,,,,,,1.2509,,,,,,,,,,,,,,,5c297a25-43e0-4a36-95fd-31172955a49c,832,,,"[92.4, 71.9]",69322,18,,,,-2.5331326,,Right Foot,,,"[83.5, 65.7]",,Ground Pass,,10.846659,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Throw In,Juan Isaac Cuenca López,26776.0,Right Wing Back,35,Barcelona,217,['0cf9654d-9a86-416f-b3e9-5ad17c8ecd05'],35,,,,,,,,,,,,,,,,Barcelona,217,00:18:35.103,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.9178,,,,,,,,,,,,,,,776c0b4c-bbd6-42b5-8a05-27740a4985a2,835,,,"[87.8, 61.5]",69322,18,,,,-0.6932231,,Right Foot,,,"[100.8, 50.7]",,Ground Pass,,16.900888,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Center Back,35,Barcelona,217,['8728a1ad-9511-49f8-9f9b-4918716d4345'],38,,,,,,,,,,,,,,,,Barcelona,217,00:18:38.650,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.9703,,,,,,,,,,,,,,,1cfb2a9d-2908-4568-8b4d-71cf4aafddd2,841,,,"[107.7, 59.6]",69322,18,,,,3.0258334,,Right Foot,,,"[103.4, 60.1]",,Ground Pass,,4.3289723,,,,Francesc Fàbregas i Soler,3478.0,,,,,,Recovery,1,From Throw In,Xavier Hernández Creus,20131.0,Right Center Midfield,35,Barcelona,217,['da8c1f24-9d88-4989-8343-16854a7aea73'],42,,,,,,,,,,,,,,,,Barcelona,217,00:18:42.042,Pass,,2011/2012
,,,,,,,,,,,,,,,,,0.4852,,,,,,,,,,,,,,,de12dec5-0c4a-48c0-a008-cd77ceb8909b,845,,,"[97.8, 57.2]",69322,18,,,,-0.69044644,,Left Foot,,,"[100.1, 55.3]",,High Pass,,2.9832869,,Incomplete,,,,,,,,,,1,From Throw In,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,35,Barcelona,217,['fee4ae05-c3d4-4c50-a434-c63dc9776ad3'],45,,,,,,,,,,,,,,,,Barcelona,217,00:18:45.439,Pass,,2011/2012
,,,,,,,,,,,,,,,,,2.9895,,,,,,,,,,,,,,,29f4b953-6a97-4f4a-b890-f296f7ec472a,848,,,"[20.2, 23.1]",69322,18,,,,-0.25676173,,Left Foot,,,"[64.0, 11.6]",,High Pass,,45.284546,,Incomplete,,Khouma El Hadji Babacar,7125.0,,,,,,Recovery,1,From Throw In,Domingo Cisma González,26238.0,Left Back,35,Barcelona,217,"['445a8670-bcd8-4950-97fe-8b0f92a3f8f8', '7b7c9a84-5d03-4819-9561-09578178f5ec', 'a44e6cc1-94b1-47ec-a256-25ce0ad010f4']",47,,,,,,,,,,,,,,,,Racing Santander,1217,00:18:47.537,Pass,True,2011/2012
,,,,,,,,,,,,,,,,,2.263,,,,,,,,,,,,,,,445a8670-bcd8-4950-97fe-8b0f92a3f8f8,850,,,"[57.0, 69.4]",69322,18,,,,-0.11379201,,Head,,,"[64.0, 68.6]",,Low Pass,,7.045566,,,,Daniel Alves da Silva,4324.0,,,,,,Recovery,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Back,35,Barcelona,217,"['29f4b953-6a97-4f4a-b890-f296f7ec472a', '593280b7-b24c-488b-9d66-40321dd0d841']",50,,,,,,,,,,,,,,,,Barcelona,217,00:18:50.527,Pass,,2011/2012
