50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.908,,,,,,,,,,,,,52414d71-f984-4196-9580-5843a0e67016,22,,"[63.8, 10.3]",69139,0,,,,,-0.8296171,,Left Foot,,,"[69.2, 4.4]",,Ground Pass,,7.9981246,,,,Anderson Luis de Carvalho,25764.0,,,,,,1,Regular Play,David García De La Cruz,26138.0,Left Back,4,Espanyol,214,['7613efa9-0481-4faa-9394-e38b5e6b5d07'],23,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:23.822,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.3052,,,,,,,,,,,,,c1c3bf68-7c1f-446b-9c06-5c8a939b4577,27,,"[70.6, 1.0]",69139,0,,,,,0.74944246,,,,,"[77.8, 7.7]",,Low Pass,,9.835141,,,,Anderson Luis de Carvalho,25764.0,,,,,Throw-in,1,From Throw In,David García De La Cruz,26138.0,Left Back,5,Espanyol,214,['b4730cc3-8046-4819-a26b-e665ed8570fa'],34,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:34.916,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.535845,,,,,,,,,,,,,c12a2b44-ab43-43fd-a983-69dd06b439f4,31,,"[77.6, 7.7]",69139,0,,,,,2.004602,,Left Foot,,,"[71.3, 21.3]",,Ground Pass,,14.988329,,,,Moisés Hurtado Pérez,26162.0,,,,,,1,From Throw In,Anderson Luis de Carvalho,25764.0,Left Midfield,5,Espanyol,214,['17133c78-22fc-4039-83bc-b9441a82fd1c'],38,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:38.137,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.710203,,,,,,,,,,,,,bdce4616-5754-4331-9412-ba7909d16eb3,35,,"[75.9, 25.8]",69139,0,,,,,0.21153107,,Right Foot,,,"[107.1, 32.5]",,High Pass,,31.911283,,Incomplete,,Iván Daniel Alonso Vallejo,26243.0,,,,,,1,From Throw In,Moisés Hurtado Pérez,26162.0,Center Defensive Midfield,5,Espanyol,214,"['334ac354-7266-4aaf-8417-b28b0385ab25', '587d88ab-5161-47e6-a842-b40b5cc5151c', '5bccf7f6-f978-49d6-a6f1-ad7488ac955d']",40,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:40.846,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,1.414069,,,,,,,,,,,,,3799fc79-caee-42e0-8d2e-2c575bd1d3f2,42,,"[18.1, 73.9]",69139,0,,,,,0.3705839,,Right Foot,,,"[33.8, 80.0]",,High Pass,,16.843397,,Out,,,,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Back,5,Espanyol,214,,45,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.514,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.842031,,,,,,,,,,,,,7befc9be-aa4e-464c-834f-470e35e84c19,43,,"[84.6, 1.0]",69139,0,,,,,1.2511599,,,,,"[89.3, 15.2]",,Low Pass,,14.957606,,,,Anderson Luis de Carvalho,25764.0,,,,,Throw-in,1,From Throw In,David García De La Cruz,26138.0,Left Back,6,Espanyol,214,['497a63ba-1521-43ea-9049-7efc9a593411'],53,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:53.226,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.6599,,,,,,,,,,,,,d000dcf3-f0cd-4172-b7ab-92f9d66f4122,46,,"[89.3, 15.8]",69139,0,,,,,1.1207225,,Right Foot,True,,"[106.5, 51.4]",,High Pass,,39.537323,,Incomplete,,Iván Daniel Alonso Vallejo,26243.0,,,,,,1,From Throw In,Anderson Luis de Carvalho,25764.0,Left Midfield,6,Espanyol,214,"['25e0ea4a-27e8-48c2-9a8f-aa8923fff6f2', '625ff7a8-38bb-4368-9e24-b05c0c31e8f0']",55,,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:55.495,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.631286,,,,,,,,,,,,,8f1ec040-75b8-4aa4-b32a-1cb3c57eb0fd,51,,"[39.5, 22.2]",69139,1,,,,,-1.9180888,,Right Foot,,,"[33.6, 5.9]",,Ground Pass,,17.334936,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,7,Barcelona,217,['40ca4c92-fd2d-4e5c-892b-6c8739a7eeff'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.714,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.957886,,,,,,,,,,,,,97566e7a-5110-4f8a-8c59-53682c59bc9f,55,,"[33.6, 4.1]",69139,1,,,,,-0.17246307,,Left Foot,,,"[49.1, 1.4]",,Ground Pass,,15.733404,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,7,Barcelona,217,['ef929164-5572-456c-9013-7c15c8fab7aa'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.689,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.543766,,,,,,,,,,,,,6afe35d7-be7e-439d-aabf-0a26cca913fd,61,,"[43.3, 12.5]",69139,1,,,,,2.4630654,,Right Foot,,,"[14.4, 35.8]",,Ground Pass,,37.12277,,,,Víctor Valdés Arribas,20176.0,,,,,Free Kick,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Left Center Back,8,Barcelona,217,['4b381398-073c-449b-b8c8-33c0c1ae6635'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.817,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.868157,,,,,,,,,,,,,56fa4194-3619-4c52-8d53-634cb516a8d8,64,,"[15.6, 38.1]",69139,1,,,,,1.1866269,,Right Foot,,,"[27.0, 66.3]",,Ground Pass,,30.4171,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,8,Barcelona,217,['075a3808-c47f-48ec-9cd4-8dc78211c643'],26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.828,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.955554,,,,,,,,,,,,,16852e99-d38d-49ab-9776-f9fd7d164151,67,,"[27.0, 66.2]",69139,1,,,,,-2.2194388,,Right Foot,,,"[12.9, 47.6]",,Ground Pass,,23.34031,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,8,Barcelona,217,['3cff2325-6105-40af-bd96-fd49cc1a7714'],30,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:30.789,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.395006,,,,,,,,,,,,,41b036b7-6291-4290-873b-96990215517d,70,,"[13.9, 46.1]",69139,1,,,,,-1.200336,,Right Foot,,,"[22.6, 23.7]",,Ground Pass,,24.03019,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,8,Barcelona,217,['d0c7bd06-2832-4b6d-a70c-74c83a6c19a5'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.397,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.100706,,,,,,,,,,,,,2c662502-caa2-4f09-aa37-f0e21a01fd85,73,,"[38.6, 23.0]",69139,1,,,,,-1.5707964,,Right Foot,,,"[38.6, 6.6]",,Ground Pass,,16.4,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Free Kick,Rafael Márquez Álvarez,5558.0,Left Center Back,8,Barcelona,217,['c7f09dd0-339d-4183-ad72-07878efd09d6'],40,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.204,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.051311,,,,,,,,,,,,,08a3abdc-2450-40d0-a47f-177218699438,76,,"[40.5, 8.5]",69139,1,,,,,2.3179836,,Left Foot,,,"[16.6, 34.3]",,Ground Pass,,35.168877,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,8,Barcelona,217,['a7c63b6b-796c-4936-bfc2-31f88d57a5c9'],43,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:43.938,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.883589,,,,,,,,,,,,,3981be99-14ef-4a77-8d88-676f89f29683,79,,"[18.8, 40.6]",69139,1,,,,,1.3728336,,Right Foot,,,"[25.6, 74.5]",,Ground Pass,,34.57528,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,8,Barcelona,217,['8ef23c3f-75fa-45da-b7f9-09d41b7a055c'],47,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:47.208,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.204766,,,,,,,,,,,,,f766f11d-f049-424c-bf96-84c94e1ebc94,82,,"[66.4, 68.5]",69139,1,,,,,-0.6794138,,Right Foot,,,"[79.4, 58.0]",,Ground Pass,,16.710775,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,8,Barcelona,217,['2486db71-42e9-4d44-9896-f3aaf27794a5'],57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:57.092,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.589588,,,,,,,,,,,,,29657518-e000-46b3-b93a-a299e545df10,85,,"[80.0, 56.8]",69139,2,,,,,-1.0607196,,Left Foot,,,"[100.7, 19.8]",,Ground Pass,,42.396816,,,,Thierry Henry,15516.0,,,,,,1,From Free Kick,Xavier Hernández Creus,20131.0,Right Center Midfield,8,Barcelona,217,['e5a7e716-ae33-491c-afdf-c492a82bc935'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:00.129,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.9778,,,,,,,,,,,,,620e14d9-7e61-4980-afa9-8218ff2131f7,88,,"[107.4, 20.1]",69139,2,,,,,1.2252407,,Left Foot,True,,"[113.7, 37.6]",,High Pass,,18.599463,,Incomplete,,Samuel Eto''o Fils,19298.0,,,,,,1,From Free Kick,Thierry Henry,15516.0,Left Wing,8,Barcelona,217,"['8669a87c-031f-4dc7-8b0c-a1ab571cc108', 'aece7332-670e-4d98-b464-adbd055653f2']",3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:03.913,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.7342,,,,,,,,,,,,,6b8a7d75-4f45-47bd-84cb-5ff352a4cbe3,91,,"[10.9, 59.3]",69139,2,,,,,-0.09691763,,Right Foot,,,"[18.1, 58.6]",,Low Pass,,7.2339478,,,,Luis García Fernández,23916.0,,,,,Recovery,1,Regular Play,Sergio Sánchez Ortega,6904.0,Right Back,9,Espanyol,214,['83ba74db-12fa-499d-bad7-ca07c2364410'],6,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:06.063,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.099267,,,,,,,,,,,,,b90a8bc7-9cfb-4816-bd39-7a78317d195f,94,,"[17.4, 61.6]",69139,2,,,,,1.7585583,,Right Foot,,,"[15.5, 71.6]",,Ground Pass,,10.1789,,,,Sergio Sánchez Ortega,6904.0,,,,,,1,Regular Play,Luis García Fernández,23916.0,Right Midfield,9,Espanyol,214,['b10b9983-4ed5-4515-aee8-7829df41763a'],7,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:07.973,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.387262,,,,,,,,,,,,,12a1d391-decf-4939-9ad1-13f406e90586,97,,"[31.6, 73.6]",69139,2,,,,,0.025968187,,Right Foot,,,"[54.7, 74.2]",,Ground Pass,,23.10779,,,,Ángel Martínez Cervera,26160.0,,,,,,1,Regular Play,Sergio Sánchez Ortega,6904.0,Right Back,9,Espanyol,214,['f12d410a-c73d-4360-9600-611a78e4fc1f'],10,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:10.373,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.225146,,,,,,,,,,,,,f42d14b1-2b61-4d8c-be46-17850835824c,101,,"[52.2, 75.1]",69139,2,,,,,3.0274415,,Left Foot,,,"[36.5, 76.9]",,Ground Pass,,15.802848,,,,Sergio Sánchez Ortega,6904.0,,,,,,1,Regular Play,Ángel Martínez Cervera,26160.0,Right Center Midfield,9,Espanyol,214,['bc1efc29-3cde-4d73-8b6f-0dc1aaf874cb'],15,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:15.244,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.675774,,,,,,,,,,,,,0e918be6-eefb-4113-9c48-bae22d5c63b1,104,,"[39.5, 58.0]",69139,2,,,,,0.22178097,,Right Foot,,,"[49.7, 60.3]",,Ground Pass,,10.456099,,,,Moisés Hurtado Pérez,26162.0,,,,,,1,Regular Play,Sergio Sánchez Ortega,6904.0,Right Back,9,Espanyol,214,['bd038c42-59ad-462d-8c65-07eb93062a84'],20,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:20.754,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.321341,,,,,,,,,,,,,ba1dccef-b6ba-41f5-87e0-292ce32f2ba3,107,,"[49.7, 60.3]",69139,2,,,,,1.0589405,,Left Foot,,,"[54.7, 69.2]",,Ground Pass,,10.20833,,,,Luis García Fernández,23916.0,,,,,,1,Regular Play,Moisés Hurtado Pérez,26162.0,Center Defensive Midfield,9,Espanyol,214,['c8f9a293-69c1-4649-a593-111bdc21af48'],22,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:22.165,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,0.961941,,,,,,,,,,,,,a779eba2-5f57-418e-8b6c-f63d1a28fd81,110,,"[54.5, 68.4]",69139,2,,,,,-0.9272952,,Left Foot,,,"[61.7, 58.8]",,Ground Pass,,12.0,,,,Ángel Martínez Cervera,26160.0,,,,,,1,Regular Play,Luis García Fernández,23916.0,Right Midfield,9,Espanyol,214,['e27e3809-be29-46ab-87ae-473c1927e92d'],23,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:23.526,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.377336,,,,,,,,,,,,,e0a7c100-2165-4018-9fc7-79c0204bce87,114,,"[57.5, 62.4]",69139,2,,,,,-2.0616481,,Right Foot,,,"[51.3, 50.8]",,High Pass,,13.152946,,,,Moisés Hurtado Pérez,26162.0,,,,,,1,Regular Play,Ángel Martínez Cervera,26160.0,Right Center Midfield,9,Espanyol,214,"['8516a462-6a20-4d71-8be6-0feca46bc3a4', 'b3764dc5-88a7-4937-a7a3-586bc3539192']",25,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:25.455,Pass,True,2008/2009
,,,,,,,,,,,,,,,,,,1.474236,,,,,,,,,,,,,4aa87753-574a-42d6-818e-44ec5d3f7ef2,117,,"[51.3, 50.8]",69139,2,,,,,-2.150916,,Right Foot,,,"[37.8, 30.2]",,Ground Pass,,24.629454,,,,Daniel Jarque Gonzalez,26110.0,,,,,,1,Regular Play,Moisés Hurtado Pérez,26162.0,Center Defensive Midfield,9,Espanyol,214,['e4fa691f-a211-4d64-a29e-f7a5bc9103a0'],28,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:28.644,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.568971,,,,,,,,,,,,,a6998b05-a7cb-48d8-ae05-133506a8efe9,120,,"[42.6, 15.3]",69139,2,,,,,-0.85425466,,Left Foot,,,"[50.7, 6.0]",,Ground Pass,,12.332883,,,,David García De La Cruz,26138.0,,,,,,1,Regular Play,Daniel Jarque Gonzalez,26110.0,Left Center Back,9,Espanyol,214,['e3c865e9-dd92-4841-9057-5b359eae4e50'],31,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:31.078,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,1.2465,,,,,,,,,,,,,275efa01-00b0-446b-bf94-066a27848594,124,,"[48.8, 6.7]",69139,2,,,,,2.4565754,,Left Foot,,,"[33.5, 19.2]",,Ground Pass,,19.757025,,,,Daniel Jarque Gonzalez,26110.0,,,,,,1,Regular Play,David García De La Cruz,26138.0,Left Back,9,Espanyol,214,['fa5820fa-9089-4409-ae02-d6981d2ec3e3'],33,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:33.748,Pass,,2008/2009
,,,,,,,,,,,,,,,,,,2.335546,,,,,,,,,,,,,0d163542-66a2-4594-9e86-3fd25a7ea497,128,,"[34.1, 8.5]",69139,2,,,,,0.24777782,,Left Foot,,,"[67.7, 17.0]",,High Pass,,34.658478,,Incomplete,,,,,,,,,1,Regular Play,Daniel Jarque Gonzalez,26110.0,Left Center Back,9,Espanyol,214,"['0ee82093-5f23-46ac-a14f-e6f07023c116', '9603edf6-04ed-4285-8d62-1f2e6434b3ef']",36,,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:36.397,Pass,True,2008/2009
