50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.775154,,,,,,,,,,,d48386fb-753b-4021-8533-a312e1c737a7,53,,,"[55.3, 74.8]",16173,1,,,,,-2.8988562,,Right Foot,,,"[34.3, 69.6]",Ground Pass,,21.634232,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,7,Barcelona,217,['5608afdf-0772-4fa0-8789-6b54332acfc6'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.309,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.136371,,,,,,,,,,,ba51944f-128b-4748-bb9d-e979fd416fb1,56,,,"[34.3, 69.0]",16173,1,,,,,-1.8858469,,Right Foot,,,"[22.6, 33.1]",Low Pass,,37.758442,,,,Clément Lenglet,6826.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['5be3a107-9919-4e9e-8671-80f03fc3280c'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.737,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.10218,,,,,,,,,,,b0838366-37c9-4751-b0f7-567fcc1956b7,59,,,"[35.4, 23.5]",16173,1,,,,,2.0227258,,Left Foot,,,"[30.4, 33.8]",Ground Pass,,11.449454,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Clément Lenglet,6826.0,Left Center Back,7,Barcelona,217,['7250e3bf-26c4-4b30-b080-7a706f8c9635'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.840,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.007533,,,,,,,,,,,da8bc133-7a45-4f9f-b3a8-0d405cb2902d,62,,,"[30.4, 33.3]",16173,1,,,,,0.6149745,,Right Foot,,,"[43.0, 42.2]",Ground Pass,,15.426276,,,,Ivan Rakitić,5470.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,['f0884326-d333-40a3-b441-b4abfedfd5d0'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.960,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.179332,,,,,,,,,,,6dff948e-279c-4d4b-a83f-3a3e100424ed,65,,,"[43.0, 42.2]",16173,1,,,,,2.0639493,,Right Foot,,,"[30.8, 64.9]",Ground Pass,,25.77072,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,7,Barcelona,217,['a28a3b34-1908-4c2e-9130-1b0520e56471'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.166,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.323978,,,,,,,,,,,45b0da17-2647-403f-b434-16f3ad0b6391,68,,,"[28.7, 74.0]",16173,1,,,,,0.18234882,,Right Foot,,,"[42.8, 76.6]",Ground Pass,,14.337712,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['28b749af-dc93-4553-899f-f2e982144108'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.673,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.685421,,,,,,,,,,,94e08a1a-e0ad-4911-bd62-900452b550bc,71,,,"[42.8, 76.6]",16173,1,,,,,-2.9001288,,Right Foot,,,"[29.4, 73.3]",Ground Pass,,13.800363,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,7,Barcelona,217,['19a2faa8-f807-46cf-8ab3-b60b615789b1'],27,,,,,,,,,,,,,,,,,Barcelona,217,00:01:27.211,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,1.940167,,,,,,,,,,,5c3519b1-0fb7-4120-ab05-ca9efd22b551,74,,,"[32.8, 71.7]",16173,1,,,,,-1.9173352,,Right Foot,,,"[26.3, 53.7]",Ground Pass,,19.13766,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,7,Barcelona,217,['3cbe11eb-fa15-4270-9039-c9db46e89eef'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.730,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.752511,,,,,,,,,,,47214df9-7960-4474-a0e5-e4c1644bdb69,77,,,"[28.7, 49.4]",16173,1,,,,,-0.94965076,,Right Foot,,,"[58.9, 7.2]",High Pass,,51.892967,,Incomplete,,Nélson Cabral Semedo,6374.0,,True,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,7,Barcelona,217,"['ba5559fc-d0b5-4e57-bdfb-45859c0218d4', 'd9ec2789-44b5-4d1e-a793-429a6058b7eb']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.808,Pass,,2018/2019
,,,,,,,,,,,,,,,,,,2.315974,,,,,,,,,,,d9ec2789-44b5-4d1e-a793-429a6058b7eb,79,,,"[61.2, 72.9]",16173,1,,,,,0.30364388,,Head,,,"[76.2, 77.6]",Low Pass,,15.719097,,,,Markel Susaeta Laskurain,6390.0,,,,,Recovery,1,Regular Play,Óscar de Marcos Arana,6649.0,Right Back,8,Athletic Club,215,"['47214df9-7960-4474-a0e5-e4c1644bdb69', 'caf94583-ba38-4349-b5eb-61ddb623d2c7']",35,,,,,,,,,,,,,,,,,Athletic Club,215,00:01:35.560,Pass,,2018/2019
