50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.956364,,,,,,,,,,,,,,e80ef6c3-8eeb-4157-81f9-5d404d4e6c96,875,,"[55.8, 60.3]",69332,20,,,,,-1.694134,,Right Foot,,,"[54.3, 48.2]",,Ground Pass,,12.19262,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,54,Barcelona,217,"['b2013a13-4a89-4708-86ec-37ed1e68e0f1', 'f1adc0f1-5639-468c-b886-c838918a39dc']",24,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:24.141,Pass,True,2011/2012
,,,,,,,,,,,,,,,,0.668881,,,,,,,,,,,,,,9f8b7cb9-fbfd-4c64-ae09-6d8d22fb5e25,878,,"[55.1, 41.9]",69332,20,,,,,-1.487655,,Left Foot,,,"[56.0, 31.1]",,Ground Pass,,10.837435,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,54,Barcelona,217,['33aded6f-cfdb-4c40-b59c-4d2ee11288ec'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:26.552,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.827367,,,,,,,,,,,,,,28c2c235-ae2d-4f3a-ab7e-91f6d62e0032,881,,"[57.4, 25.8]",69332,20,,,,,-0.39732435,,Right Foot,,,"[68.6, 21.1]",,Ground Pass,,12.146193,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,54,Barcelona,217,['c825fde5-412a-4dcb-b16b-17f4057f5121'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:27.927,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.639201,,,,,,,,,,,,,,e9ad4243-3886-4fee-8c86-5ee12c7c89e6,885,,"[80.7, 23.9]",69332,20,,,,,-0.66442317,,Right Foot,,,"[95.0, 12.7]",,Ground Pass,,18.163975,,,,David Villa Sánchez,12737.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,54,Barcelona,217,"['086eeda2-48b2-4c5b-9c89-6c0d4a398d78', '9db0dcce-6864-47b0-b95d-ab1dcb4231b5']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:31.207,Pass,True,2011/2012
,,,,,,,,,,,,,,,,2.336867,,,,,,,,,,,,,,79dbbd78-fa7e-45e1-be13-587362dc70b2,889,,"[98.6, 22.1]",69332,20,,,,,0.30883878,,Right Foot,,,"[119.6, 28.8]",,Ground Pass,,22.042913,,Out,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,David Villa Sánchez,12737.0,Left Wing,54,Barcelona,217,['3580897a-bb4c-449f-9c34-9e4c64fe1156'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:36.584,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.577032,,,,,,,,,,,,,,f9a00106-4b87-4994-b8da-3839cddc559f,891,,"[7.0, 45.0]",69332,21,,,,,0.1262038,,Right Foot,,,"[66.9, 52.6]",,High Pass,,60.38021,,,,Miguel Pérez Cuesta,26804.0,,,,,Goal Kick,1,From Goal Kick,David Cobeño Iglesias,26438.0,Goalkeeper,55,Rayo Vallecano,360,['1647b75a-82b5-4514-bdef-85f24cd5af19'],3,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:21:03.261,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.6158,,,,,,,,,,,,,,01052b74-19f5-4453-b2c7-a69a01b66c7f,894,,"[66.9, 52.6]",69332,21,,,,True,-0.06340695,,,,,"[79.5, 51.8]",,High Pass,,12.625371,,,,Alhassane Bangoura,23761.0,,,,,,1,From Goal Kick,Miguel Pérez Cuesta,26804.0,Center Attacking Midfield,55,Rayo Vallecano,360,"['634f28fe-878c-4e16-9987-58fc23aa73b5', 'f0bca767-2e3e-4b08-a0d9-904939e13a4a']",5,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:21:05.878,Pass,True,2011/2012
,,,,,,,,,,,,,,,,0.475093,,,,,,,,,,,,,,7e1ef131-8af0-4864-b6e7-b4d259d2f7bd,902,,"[16.0, 10.9]",69332,21,,,,,-2.0344439,,Right Foot,,,"[13.1, 5.1]",,Ground Pass,,6.484597,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,Regular Play,Javier Alejandro Mascherano,5506.0,Right Center Back,56,Barcelona,217,['a44f6cf4-0be6-48ec-aa43-d3af9b1e0a21'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:12.492,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.435393,,,,,,,,,,,,,,68a613a2-c9a8-4b97-8e6d-3cecd6d4c9d2,905,,"[13.1, 5.1]",69332,21,,,,,1.592532,,Left Foot,,,"[12.7, 23.5]",,Ground Pass,,18.404346,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,56,Barcelona,217,['49cfd177-99b0-44d2-a705-d9e8100583ad'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:13.064,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.392275,,,,,,,,,,,,,,3c4e26cc-f93d-48f3-a74e-bb65add23929,909,,"[11.1, 18.8]",69332,21,,,,,-0.1212769,,Left Foot,,,"[43.1, 14.9]",,Ground Pass,,32.236782,,Incomplete,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Left Center Back,56,Barcelona,217,"['335f919c-c365-4386-b1c2-7ddf3c9d990a', 'ba379586-c9ff-46fa-905b-6ac9e1ee7193']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:21:16.345,Pass,True,2011/2012
