50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.185909,,,,,,,,,,,,02d4b0dd-baa2-4356-8d77-08985a025fb3,51,,"[116.1, 66.6]",69180,0,,,,,-1.4487998,,Right Foot,True,,,"[119.3, 40.5]",High Pass,,26.295437,,Out,,Pedro Manuel Munitis Álvarez,19577.0,,,,,,1,From Throw In,Iván Bolado Palacios,26491.0,Right Center Forward,4,Racing Santander,1217,"['9be1138c-1582-4fbd-a9ac-a2be9d9f7aa1', 'abdaef55-f9c0-492e-8be7-ed4104c39f8a']",46,,,,,,,,,,,,,,,Racing Santander,1217,00:00:46.852,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,4.672683,,,,,,,,,,,,d1a9237b-cc1e-4eef-aa14-95625899050e,53,,"[7.0, 45.0]",69180,0,,True,,,-0.87559205,,Right Foot,,,,"[24.6, 23.9]",Ground Pass,,27.476717,,,,Oleguer Presas Renom,25873.0,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,5,Barcelona,217,['964ab0d3-d0bd-43d6-845f-809eb1f0b35a'],56,,,,,,,,,,,,,,,Barcelona,217,00:00:56.605,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.358729,,,,,,,,,,,,bdb5415a-5f5b-417b-baf0-7d4e61ef68ac,55,,"[24.6, 23.9]",69180,1,,,,,-0.7669953,,Right Foot,,,,"[41.2, 7.9]",Ground Pass,,23.055586,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Goal Kick,Oleguer Presas Renom,25873.0,Left Center Back,5,Barcelona,217,['d98e32c2-d5f4-4d40-9a63-2bd16e29b0c1'],2,,,,,,,,,,,,,,,Barcelona,217,00:01:02.366,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.2573,,,,,,,,,,,,75918bda-a0ba-4a02-8d52-27890b8baba4,58,,"[41.5, 7.9]",69180,1,,,,,0.0,,Left Foot,,,,"[48.8, 7.9]",Ground Pass,,7.3,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Goal Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['62ec93cc-2984-4168-aab5-867b4e495f28'],4,,,,,,,,,,,,,,,Barcelona,217,00:01:04.280,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.872126,,,,,,,,,,,,0ac17aa1-2ec8-4ea4-8835-7a870d4e341e,61,,"[50.1, 14.2]",69180,1,,,,,1.5576823,,Right Foot,,,,"[50.9, 75.2]",High Pass,,61.005245,,,,Gianluca Zambrotta,15774.0,,True,,,,1,From Goal Kick,Ronaldo de Assis Moreira,25879.0,Left Wing,5,Barcelona,217,['731ad4f5-ac3f-467c-a7ec-84f9ec563a86'],7,,,,,,,,,,,,,,,Barcelona,217,00:01:07.347,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.1417,,,,,,,,,,,,19839a5a-6d74-4c19-85c3-102f9a099ae2,64,,"[50.9, 75.2]",69180,1,,,,,-1.465047,,Right Foot,,,,"[52.8, 57.3]",Ground Pass,,18.000555,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Goal Kick,Gianluca Zambrotta,15774.0,Right Back,5,Barcelona,217,['12abbea9-c61c-4aad-85fb-c7652173a3ca'],11,,,,,,,,,,,,,,,Barcelona,217,00:01:11.719,Pass,,2007/2008
,,,,,,,,,,,,,,,,,3.41653,,,,,,,,,,,,80e90329-7782-4cc5-ae08-b9f4f99aef68,66,,"[54.4, 58.3]",69180,1,,,,,1.7547398,,Right Foot,,,,"[50.4, 79.8]",Ground Pass,,21.868927,,Out,,Gianluca Zambrotta,15774.0,,,,,,1,From Goal Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,5,Barcelona,217,['c4bf9e0d-80a4-42d2-89cb-bd485c90179d'],12,,,,,,,,,,,,,,,Barcelona,217,00:01:12.861,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.8669,,,,,,,,,,,,1f0bc763-d848-49fe-96ff-ee8ed0411a62,68,,"[73.4, 1.0]",69180,1,,,,,0.20401798,,,,,,"[114.0, 9.4]",High Pass,,41.45986,,Incomplete,,Óscar Serrano Rodriguez,26137.0,,,,,Throw-in,1,From Throw In,Luis Fernández Gutiérrez,26069.0,Left Back,6,Racing Santander,1217,"['54e9dcf7-3d97-46a6-b30c-ca5a6ccc85f7', 'df1d3d25-1468-4d72-8b96-f5cb645bbe7f']",21,,,,,,,,,,,,,,,Racing Santander,1217,00:01:21.894,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.9664,,,,,,,,,,,,8bc5eafc-5218-4647-82f1-b1009bc4bc78,72,,"[107.5, 1.0]",69180,1,,,,,1.4261819,,,,,,"[109.0, 11.3]",High Pass,,10.40865,,,,Pedro Manuel Munitis Álvarez,19577.0,,,,,Throw-in,1,From Throw In,Luis Fernández Gutiérrez,26069.0,Left Back,7,Racing Santander,1217,"['2468915e-4a2e-4b4c-864c-8d962900d089', '5e4db602-095b-43ac-8e13-35ad691682d2']",35,,,,,,,,,,,,,,,Racing Santander,1217,00:01:35.955,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,0.8479,,,,,,,,,,,,6359ee1a-a55a-4244-b03d-d111444d3825,75,,"[108.8, 10.9]",69180,1,,,,,-1.5232133,,Left Foot,,,,"[109.2, 2.5]",Low Pass,,8.409518,,,,Luis Fernández Gutiérrez,26069.0,,,,,,1,From Throw In,Pedro Manuel Munitis Álvarez,19577.0,Left Center Forward,7,Racing Santander,1217,"['2468915e-4a2e-4b4c-864c-8d962900d089', 'cb623c4f-0fb8-4260-a56c-17ccb3be06ea']",37,,,,,,,,,,,,,,,Racing Santander,1217,00:01:37.143,Pass,True,2007/2008
