bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,3.1373,,,,,,,,,,,,54af0bc4-a5b8-4ccf-af74-fd001e5dcdf0,65,,,"[7.0, 37.0]",69255,1,,,,,-0.63185436,,Right Foot,,,,"[45.8, 8.6]",,High Pass,,48.08326,,,,Seydou Kéita,20169.0,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['ad696fc4-2a9f-48b9-876a-9ec604f64e3d'],7,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.970,Pass,,2009/2010
,,,,,,,,,,,,,,,0.4712,,,,,,,,,,,,01a0c4a5-2311-41ad-bd94-30a2999334fb,70,,,"[71.8, 67.1]",69255,1,,,,,0.03612885,,Right Foot,,,,"[80.1, 67.4]",,Low Pass,,8.30542,,,,Fernando Miguel Fernández Escribano,26249.0,,,,,Recovery,1,Regular Play,Xavier Torres Buigues,24162.0,Left Defensive Midfield,4,Málaga,223,['f032f815-9a92-4d37-870d-eee24ebf9114'],12,,,,,,,,,,,,,,,,Málaga,223,00:01:12.173,Pass,,2009/2010
,,,,,,,,,,,,,,,0.6211,,,,,,,,,,,,fb3711d3-6086-4638-98c3-b838d4702e05,73,,,"[78.7, 67.3]",69255,1,,,,,2.8083484,,Right Foot,,,,"[73.5, 69.1]",,Low Pass,,5.5027266,,,,Xavier Torres Buigues,24162.0,,,,,,1,Regular Play,Fernando Miguel Fernández Escribano,26249.0,Right Wing,4,Málaga,223,['652316fb-9815-4bd2-9070-ddfad29fb75b'],12,,,,,,,,,,,,,,,,Málaga,223,00:01:12.871,Pass,,2009/2010
,,,,,,,,,,,,,,,1.0622,,,,,,,,,,,,01c69afb-ba8e-4d5d-ae68-7cb74cd6251d,77,,,"[75.7, 54.8]",69255,1,,,,,-0.52651864,,Right Foot,,,,"[91.7, 45.5]",,Ground Pass,,18.506485,,,,Victor Obinna Nsofor,26678.0,,,,,,1,Regular Play,Xavier Torres Buigues,24162.0,Left Defensive Midfield,4,Málaga,223,['6aa70bf1-365e-44f8-bfae-5d62c4479773'],16,,,,,,,,,,,,,,,,Málaga,223,00:01:16.327,Pass,,2009/2010
,,,,,,,,,,,,,,,1.1184,,,,,,,,,,,,9527df84-348e-4745-a010-b07893eb67bc,81,,,"[90.9, 45.2]",69255,1,,,,,0.9303209,,Right Foot,,,,"[98.8, 55.8]",,Ground Pass,,13.22006,,Incomplete,,Nabil Baha,26670.0,,,,,,1,Regular Play,Victor Obinna Nsofor,26678.0,Center Forward,4,Málaga,223,"['6d4b3eb1-7db5-4ae7-a09a-faf1f565dc68', '85c393c4-076c-44bd-962a-436d9b614ba1', 'ea49b5ab-029a-4cf9-958b-cd1b607fc9d8']",17,,,,,,,,,,,,,,,,Málaga,223,00:01:17.429,Pass,True,2009/2010
,,,,,,,,,,,,,,,1.6164,,,,,,,,,,,,3b045848-427b-45e1-81fd-586f0e5a5fcb,85,,,"[12.8, 40.7]",69255,1,,,,,1.1744626,,Right Foot,,,,"[20.5, 59.1]",,Ground Pass,,19.946178,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Eric-Sylvain Bilal Abidal,20177.0,Left Back,5,Barcelona,217,['7b0e2ce7-c801-4b57-a4e2-a83e70a92884'],20,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.936,Pass,,2009/2010
,,,,,,,,,,,,,,,1.1584,,,,,,,,,,,,40bb0e2c-8b6b-4c8a-b1cf-148ee84b1f6c,89,,,"[20.7, 58.8]",69255,1,,,,,-0.27416745,,Right Foot,,,,"[33.5, 55.2]",,Ground Pass,,13.296617,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['5ecfe2ec-da51-4098-938e-91ded1e8a1ff'],23,,,,,,,,,,,,,,,,Barcelona,217,00:01:23.073,Pass,,2009/2010
,,,,,,,,,,,,,,,0.659417,,,,,,,,,,,,7eead162-da18-4759-b67d-4e801c041c35,93,,,"[29.9, 55.8]",69255,1,,,,,2.5424173,,Right Foot,,,,"[21.7, 61.4]",,Ground Pass,,9.929753,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,5,Barcelona,217,['306669ed-945d-4f30-ba50-6b04d1d222ba'],24,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.425,Pass,,2009/2010
,,,,,,,,,,,,,,,0.8344,,,,,,,,,,,,2dffa0ca-33aa-4dab-9c17-68f810398fbe,96,,,"[22.8, 61.9]",69255,1,,,,,-0.8097836,,Right Foot,,,,"[32.8, 51.4]",,Low Pass,,14.5,,,,Gnégnéri Yaya Touré,3087.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,5,Barcelona,217,['4cb52723-1951-43a2-88d0-c461645c52f9'],25,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.274,Pass,,2009/2010
,,,,,,,,,,,,,,,1.1093,,,,,,,,,,,,a82bef84-faa2-44df-a9a4-8c8c3671dee8,99,,,"[32.8, 51.4]",69255,1,,,,,-0.16433369,,Left Foot,,,,"[52.7, 48.1]",,Low Pass,,20.171762,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,5,Barcelona,217,['5c6fa288-7f88-468a-8a3b-b5d6944c855f'],26,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.249,Pass,,2009/2010
