50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,1.096584,,,,,,,,,,,,,,61c9b13d-1bd5-4c72-a944-1c8bb24e6a6b,56,,,"[45.0, 31.2]",9811,0,,,,0.54616654,,Right Foot,,,"[55.2, 37.4]",,Ground Pass,,11.936499,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,,Right Center Back,2,Barcelona,217,['41a8bb5b-4b39-4273-9dcc-eed773d8eb39'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.063,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.895736,,,,,,,,,,,,,,78e6c577-ade7-420c-8d04-21926085f189,59,,,"[58.2, 32.0]",9811,0,,,,0.14415438,,Right Foot,,,"[64.4, 32.9]",,Ground Pass,,6.264982,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Barcelona,217,['d589b9a5-2b24-4758-b009-e6896aff7725'],50,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.680,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.640082,,,,,,,,,,,,,,f01e6883-dbd3-463e-9751-35d89edc752c,62,,,"[64.4, 32.9]",9811,0,,,,-1.7290367,,Left Foot,,,"[62.9, 23.5]",,Ground Pass,,9.518929,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,,Right Center Forward,2,Barcelona,217,['29f18822-0f9a-4c4b-b7be-c502b076cc8e'],51,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.695,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.960491,,,,,,,,,,,,,,2cc4ca1a-e4ee-4560-bb7e-c6050c302fc7,65,,,"[62.9, 23.5]",9811,0,,,,-0.36339313,,Right Foot,,,"[77.1, 18.1]",,Ground Pass,,15.192103,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Barcelona,217,['b52d4c82-bb00-45dc-824f-2d20b7ddaf3f'],52,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.535,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,1.251118,,,,,,,,,,,,,,4d2e0b7f-f7ba-44f1-b253-9cd67f60507e,68,,,"[77.1, 18.1]",9811,0,,,,-1.851634,,Right Foot,,,"[72.6, 2.5]",,Ground Pass,,16.23607,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,,Left Midfield,2,Barcelona,217,['2966eb6b-ede3-4869-baa9-d22883031da7'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.536,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.831891,,,,,,,,,,,,,,b58250a6-bf5e-4345-b2f3-4c3bd33f0bc7,72,,,"[71.1, 10.6]",9811,0,,,,1.4402303,,Right Foot,,,"[72.4, 20.5]",,Ground Pass,,9.984989,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,,Left Back,2,Barcelona,217,"['6ab98ac5-5691-4890-9f4e-54d637a8334c', 'eff8c0a5-5346-4367-a4a5-65194645e447']",58,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:58.107,Pass,True,2017/2018
,,,,,,,,,,,,,,,,,,0.750163,,,,,,,,,,,,,,eb5eaddf-34cd-4f64-8a87-f50418db6f74,75,,,"[72.4, 20.5]",9811,0,,,,-0.4685737,,Left Foot,,,"[80.5, 16.4]",,Low Pass,,9.078547,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,,Right Center Forward,2,Barcelona,217,['a41ce6f1-2aed-48ba-9836-8505333a143b'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.099,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.928485,,,,,,,,,,,,,,5fc20b2d-ef5d-4d20-80bc-aa5126a25854,77,,,"[80.5, 16.4]",9811,0,,,,1.9655875,,Right Foot,,,"[79.0, 20.0]",,Low Pass,,3.9,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,2,Barcelona,217,['608ae7cd-6735-4e9a-bac5-cadbcd4dc623'],59,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.849,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,2.394278,,,,,,,,,,,,,,40f01a0d-24d2-4bb3-96e1-4b6ea0c13bc5,80,,,"[79.6, 20.5]",9811,1,,,,-0.4396642,,Right Foot,,,"[106.6, 7.8]",,Ground Pass,,29.837729,,,,Philippe Coutinho Correia,3501.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,,Right Center Forward,2,Barcelona,217,['91c82b91-f814-4d1c-afb5-5400b541530f'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.978,Pass,,2017/2018
,,,,,,,,,,,,,,,,,,0.928873,,,,,,,,,,,,,,3b77d7b1-b916-41bd-847b-4f40d18b9c7e,83,,,"[108.1, 18.8]",9811,1,,,,2.472686,,Right Foot,,,"[97.6, 27.1]",,Ground Pass,,13.384319,,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Philippe Coutinho Correia,3501.0,,Left Midfield,2,Barcelona,217,['c0c4d975-1b31-4096-861d-7ddd663d91f4'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.852,Pass,,2017/2018
