ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.4211,,,,,,,,,,,,,26592abf-3184-4d5e-87ae-b5beb9a43899,49,,"[81.0, 76.2]",70283,1,,,,,-2.9969783,,Right Foot,,,"[70.7, 74.7]",,Low Pass,10.40865,,,,Daniel Alves da Silva,4324.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,4,Barcelona,217,['f01a547a-24ba-49b6-8db7-caca25a5e865'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:02.484,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.1222,,,,,,,,,,,,,149083fb-b917-464b-b8ed-20902d68df2e,53,,"[69.2, 73.1]",70283,1,,,,,-0.34421867,,Right Foot,,,"[79.8, 69.3]",,High Pass,11.2605505,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,4,Barcelona,217,"['6198bce8-402d-40a0-84d2-6b043a638c72', '7755b075-8e14-49e9-8946-9204f0319f70']",4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.052,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.0668,,,,,,,,,,,,,c35975d2-00fa-4219-8b6a-075f7910b940,56,,"[79.8, 69.3]",70283,1,,,,,1.8215055,,Left Foot,,,"[77.7, 77.5]",,Ground Pass,8.464632,,,,Alexis Alejandro Sánchez Sánchez,3385.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Barcelona,217,['9949b7e4-af88-4ad0-8891-a58e75ba8b35'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.385,Pass,,2013/2014
,,,,,,,,,,,,,,,,1.1211,,,,,,,,,,,,,98240d9e-10a0-42e8-8f5a-2afe3f454d06,60,,"[78.5, 77.7]",70283,1,,,,,-2.7564352,,Right Foot,,,"[71.1, 74.7]",,Ground Pass,7.984986,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Right Wing,4,Barcelona,217,"['b0f7ec1d-83c6-41ec-be0d-ecba508d680d', 'b52f606e-d392-49ec-be5c-501cee3a8d8a']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.948,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.056,,,,,,,,,,,,,f2a57106-a60e-479b-8766-0408c730167a,64,,"[70.9, 72.9]",70283,1,,,,,-0.7042122,,Left Foot,,,"[91.5, 55.4]",,High Pass,27.029799,,Incomplete,,Andrés Iniesta Luján,5216.0,,,Through Ball,True,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,4,Barcelona,217,"['cd40f573-9a4e-4d31-bf24-a98b2b5be2bf', 'e1bee867-4e81-4793-9fc2-840856d0e2e1', 'e4109222-f24a-4bc0-bfbd-d34e02044687']",9,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.231,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.237,,,,,,,,,,,,,e1bee867-4e81-4793-9fc2-840856d0e2e1,66,,"[29.5, 25.6]",70283,1,,,,,0.047583103,,Head,,,"[46.3, 26.4]",,Low Pass,16.819036,,Incomplete,,,,,,,,Recovery,1,Regular Play,Sidnei Rechel da Silva Júnior,6777.0,Right Center Back,4,Barcelona,217,"['bbc0c13d-d770-404c-82dc-b26a7aa2ba1c', 'f2a57106-a60e-479b-8766-0408c730167a']",10,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:10.287,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.6028,,,,,,,,,,,,,bbc0c13d-d770-404c-82dc-b26a7aa2ba1c,67,,"[74.7, 54.6]",70283,1,,,,,-1.1399238,,Right Foot,,,"[80.4, 42.2]",,Low Pass,13.647344,,Incomplete,,Neymar da Silva Santos Junior,4320.0,,,,,Recovery,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,4,Barcelona,217,"['3dcefad5-140d-4d46-a374-5f70f3e6f0aa', 'd8a8c975-0af6-45e9-8a6f-eb38f35c2996', 'e1bee867-4e81-4793-9fc2-840856d0e2e1']",11,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.524,Pass,,2013/2014
,,,,,,,,,,,,,,,,0.7372,,,,,,,,,,,,,6a276085-6cc5-4abe-a4a6-ab08a8d8fb8d,74,,"[51.5, 55.0]",70283,1,,,,,-2.5453935,,Left Foot,,,"[43.1, 49.3]",,Ground Pass,10.151355,,,,Abraham González Casanova,27148.0,,,,,,1,Regular Play,Thievy Guivane Bifouma Koulossa,26775.0,Right Wing,5,Espanyol,214,"['2ead8918-6a6d-419e-b192-ca4109a63c10', '33e1f480-2685-472e-85c5-8eed66bae148']",15,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:15.042,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.627666,,,,,,,,,,,,,8969c943-a20f-4c83-a024-a7b0bac467da,78,,"[41.9, 53.1]",70283,1,,,,,1.1824776,,Right Foot,,,"[48.2, 68.5]",,Ground Pass,16.63881,,,,Raúl Rodríguez Navarro,26667.0,,,,,,1,Regular Play,Abraham González Casanova,27148.0,Right Center Midfield,5,Espanyol,214,"['5cb30b56-3aa4-45bc-9919-6019cf101784', '8d710849-4268-4d90-a563-ba9487569155']",17,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:17.682,Pass,True,2013/2014
,,,,,,,,,,,,,,,,1.1355,,,,,,,,,,,,,f4650b78-e77d-40e0-a87c-31f2ac4cbc58,81,,"[48.2, 68.5]",70283,1,,,,,-0.66150767,,Right Foot,,,"[63.1, 56.9]",,Ground Pass,18.88306,,,,Sergio García De La Fuente,6767.0,,,,,,1,Regular Play,Raúl Rodríguez Navarro,26667.0,Right Back,5,Espanyol,214,['533f6175-20db-4460-a6ec-abd0673ccb58'],19,,,,,,,,,,,,,,,,,,Espanyol,214,00:01:19.538,Pass,,2013/2014
