bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,f6e105b7-0357-4c76-b546-b021368d88b5,47,,"[37.6, 52.3]",68351,0,,,,,-1.5800554,,Right Foot,,,"[37.4, 30.7]",,Ground Pass,,21.600925,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['c911128e-fb47-4694-9c64-4223dcc1f9e6'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.499,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,287a8f85-e9a4-4920-81f3-3a4e4727490c,51,,"[39.3, 24.2]",68351,0,,,,,1.927016,,Right Foot,,,"[32.9, 41.4]",,Ground Pass,,18.352112,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,"['5ba8243c-1f1f-4dcb-bee9-aac07818e3c4', 'ff726617-ae15-47e2-9a8b-00f927e0aaf2']",54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.779,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.443095,,,,,,,,,,,,,fa64a371-81cc-4342-abdf-af50268d490f,54,,"[32.3, 45.4]",68351,0,,,,,-1.337328,,Right Foot,,,"[36.2, 29.0]",,Ground Pass,,16.857342,,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['de228415-7248-4822-88c2-faf7281838f2'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.679,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.8938,,,,,,,,,,,,,d2e340c6-51bd-4693-9439-9aeb16c9cf3d,57,,"[46.4, 28.4]",68351,1,,,,,-0.66881216,,Right Foot,,,"[77.4, 3.9]",,High Pass,,39.512657,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['215102df-d63e-423c-9650-b53a45adeb8d'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.595,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.8847,,,,,,,,,,,,,fe39bb52-a118-4df0-9187-f7ad9d4d4541,60,,"[77.4, 3.9]",68351,1,,,,,2.5782764,,Right Foot,,,"[69.8, 8.7]",,Low Pass,,8.988882,,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['45ac24b2-fa94-4ce5-b462-fc70496cd222'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:01:06.569,Pass,,2005/2006
,,,,,,,,,,,,,,,,0.5641,,,,,,,,,,,,,8db72d7d-3f31-4edf-98f8-8d5515d47b3a,64,,"[71.7, 8.5]",68351,1,,,,,1.7681919,,Left Foot,,,"[70.9, 12.5]",,Low Pass,,4.0792155,,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,"['0a81030f-56a9-493f-9a05-19c0820f2495', '29ac32e7-b789-4c4b-9433-ad35e39a8b77']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:01:08.533,Pass,True,2005/2006
,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,ca4e1552-db31-4b20-b89c-7e95418a551f,67,,"[70.9, 12.4]",68351,1,,,,,-2.714012,,Left Foot,,,"[63.0, 8.8]",,Ground Pass,,8.68159,,,,,Thiago Motta,4325.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,"['0a81030f-56a9-493f-9a05-19c0820f2495', 'b78271fb-1fae-4b0e-bc5c-92c45e5d7468']",9,,,,,,,,,,,,,,,,,Barcelona,217,00:01:09.177,Pass,True,2005/2006
,,,,,,,,,,,,,,,,2.421328,,,,,,,,,,,,,f404afd2-00ae-4191-9a36-669b932b2507,70,,"[66.4, 11.3]",68351,1,,,,,1.9612815,,Left Foot,,,"[49.4, 52.6]",,Ground Pass,,44.661953,,,,,Rafael Márquez Álvarez,5558.0,,True,,,,1,From Kick Off,Thiago Motta,4325.0,Left Center Midfield,2,Barcelona,217,['3121d41a-441f-46c1-bc2a-444320f0ef26'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:01:11.568,Pass,,2005/2006
,,,,,,,,,,,,,,,,3.3559,,,,,,,,,,,,,941701d7-1e1b-4a23-9936-37d421256560,73,,"[54.2, 49.4]",68351,1,,,,,-0.6713909,,Right Foot,,,"[105.3, 8.8]",,High Pass,,65.26538,,,Incomplete,,Ronaldo de Assis Moreira,25879.0,,True,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,"['2f7fbf67-0206-4bf5-ba0e-92e704e14c14', 'ce434e2f-a43c-420e-b97d-4f0d91280918']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.039,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.592808,,,,,,,,,,,,,81f7e137-c32f-464d-b42c-9a5a48863984,76,,"[93.7, 1.0]",68351,1,,True,,,2.491289,,,,,"[82.0, 9.9]",,Low Pass,,14.70034,,,,,Thiago Motta,4325.0,,,,,Throw-in,1,From Throw In,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['dcc9e62a-0729-4395-b8f8-908a62eba810'],25,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.373,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.553326,,,,,,,,,,,,,cdd79c16-9559-4f44-8b7a-26693afe7e2f,78,,"[80.8, 7.4]",68351,1,,,,,1.610775,,Left Foot,,,"[80.4, 17.4]",,Ground Pass,,10.007997,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,From Throw In,Thiago Motta,4325.0,Left Center Midfield,3,Barcelona,217,['25b3b5be-107c-4308-9e14-63453f2ea01e'],28,,,,,,,,,,,,,,,,,Barcelona,217,00:01:28.871,Pass,,2005/2006
