bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.9012,,,,,,,,,,,,,bf8d506d-5726-46b9-846e-3ef56336c953,47,,,"[55.2, 53.7]",69338,1,,,,0.60188043,,Right Foot,,,,"[86.5, 75.2]",Ground Pass,,37.972885,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Center Back,5,Barcelona,217,['546be287-27dc-48f0-83d0-eb504e8f9ba8'],10,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.067,Pass,,2011/2012
,,,,,,,,,,,,,,,,0.549,,,,,,,,,,,,,619a53e4-d409-4212-b026-48d6862eac06,58,,,"[77.4, 72.6]",69338,1,,,,-2.238462,,Right Foot,,,,"[69.2, 62.2]",Ground Pass,,13.243867,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing Back,5,Barcelona,217,"['a0011399-0c09-4662-bfee-fe984e33efc7', 'e42ebcbd-d83a-4c40-bdde-ec0f05c4eda0']",13,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.866,Pass,True,2011/2012
,,,,,,,,,,,,,,,,0.7512,,,,,,,,,,,,,eafd0612-2483-4b77-ac02-9870d2a6a328,62,,,"[68.3, 62.3]",69338,1,,,,-0.57058275,,Right Foot,,,,"[75.0, 58.0]",Ground Pass,,7.961156,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Center Attacking Midfield,5,Barcelona,217,"['80f59d87-9b1b-49f9-9e8e-67fc34114214', '97afa920-507f-4aa2-be8b-dbccef30b2e3']",14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:14.989,Pass,True,2011/2012
,,,,,,,,,,,,,,,,0.7852,,,,,,,,,,,,,52beb22c-7f87-4d88-a5ee-b22e8a5393d0,65,,,"[77.1, 58.6]",69338,1,,,,2.3326695,,Right Foot,,,,"[68.8, 67.3]",Ground Pass,,12.024142,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Throw In,Daniel Alves da Silva,4324.0,Right Wing Back,5,Barcelona,217,"['129e22bf-0d64-42c4-8d3e-5b7bc8a6d994', 'd4543acb-c649-4454-b704-9517ed243ffd']",15,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.740,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.2483,,,,,,,,,,,,,d340b0fb-618f-4227-a873-057066fe2c92,69,,,"[61.9, 62.1]",69338,1,,,,1.4090999,,Right Foot,,,,"[64.2, 76.2]",Ground Pass,,14.286357,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Throw In,Xavier Hernández Creus,20131.0,Center Attacking Midfield,5,Barcelona,217,"['6b3c1da1-9b09-4d16-b13a-7f6fa6307ae6', '823fc118-916e-4541-9eed-693d8c2d118b']",18,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.987,Pass,True,2011/2012
,,,,,,,,,,,,,,,,1.0125,,,,,,,,,,,,,708b264a-04ef-4784-912f-dafe86d1f4a1,71,,,"[64.2, 76.0]",69338,1,,,,0.027964735,,Right Foot,,,,"[78.5, 76.4]",Ground Pass,,14.3055935,,,,Daniel Alves da Silva,4324.0,,,,,,1,From Throw In,Carles Puyol i Saforcada,20125.0,Right Center Back,5,Barcelona,217,['43b8e813-1c0a-487a-a5cd-9886d3b065f2'],20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:20.235,Pass,,2011/2012
,,,,,,,,,,,,,,,,2.1955,,,,,,,,,,,,,4e27834a-6bfd-4662-9237-a96bff2a8dc1,76,,,"[78.5, 77.7]",69338,1,True,,,-2.8711565,,Right Foot,,,,"[48.2, 69.3]",Ground Pass,,31.442804,,,,Carles Puyol i Saforcada,20125.0,,,,,Free Kick,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Right Center Midfield,6,Barcelona,217,['0f3efc14-e261-40bb-8c4b-5b7ee59cf87c'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:34.308,Pass,,2011/2012
,,,,,,,,,,,,,,,,4.360714,,,,,,,,,,,,,03542782-52f5-433f-afbc-b820c7bf9fae,78,,,"[50.8, 68.4]",69338,1,,,,-2.1317453,,Right Foot,,,,"[26.8, 30.2]",Low Pass,,45.113636,,,,Víctor Valdés Arribas,20176.0,,,,,,1,From Free Kick,Carles Puyol i Saforcada,20125.0,Right Center Back,6,Barcelona,217,['4d0c299a-e7a0-45c7-a41f-a5e3c57ef0b3'],36,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.504,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.19597,,,,,,,,,,,,,f5ffa179-aac8-4081-9d06-46586a883a0b,81,,,"[26.8, 30.2]",69338,1,,,,-0.82537687,,Right Foot,,,,"[38.8, 17.2]",Ground Pass,,17.691807,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Free Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,6,Barcelona,217,['48c30d66-378a-4d9f-9ae0-be3ceed5247b'],40,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:40.925,Pass,,2011/2012
,,,,,,,,,,,,,,,,1.4238,,,,,,,,,,,,,e710687a-0730-40fa-9be5-62b9a639e535,84,,,"[45.1, 20.1]",69338,1,,,,-0.7246621,,Right Foot,,,,"[60.8, 6.2]",Ground Pass,,20.969025,,,,Francesc Fàbregas i Soler,3478.0,,,,,,1,From Free Kick,Eric-Sylvain Bilal Abidal,20177.0,Left Center Back,6,Barcelona,217,['92fecd27-d7a0-4d45-b6cd-067b48736653'],44,,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:44.702,Pass,,2011/2012
