ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.0512,,,,,,,,,,,bfff408a-307c-4cf4-91bc-5080dc8895f3,54,,"[26.0, 21.0]",15998,0,,,,,1.7126933,,Left Foot,,"[25.0, 28.0]",,Ground Pass,,7.071068,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['e835e084-a92f-4732-825f-fad9ab16ee80'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.946,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.7654,,,,,,,,,,,32fb7795-5d06-4ba8-a4cb-7aa8c990d891,58,,"[23.0, 27.0]",15998,0,,,,,1.439969,,Right Foot,,"[28.0, 65.0]",,Ground Pass,,38.327538,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,['8f6404bc-25da-47a0-bd29-d2167d910e65'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:00:43.974,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.2057,,,,,,,,,,,b19582e2-f8ea-46d7-8433-89243327a2c9,62,,"[43.0, 69.0]",15998,0,,,,,-2.83354,,Right Foot,,"[21.0, 62.0]",,Ground Pass,,23.086792,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['63afa220-8154-4758-b131-7fef2f1c2b81'],51,,,,,,,,,,,,,,,,,Barcelona,217,00:00:51.245,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.9203,,,,,,,,,,,047f36c1-0667-42f4-af61-119feb177fb4,65,,"[24.0, 56.0]",15998,0,,,,,-1.5395565,,Right Foot,,"[25.0, 24.0]",,Ground Pass,,32.01562,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['d0420c64-245b-4d1c-899c-86a04cf6fcc4'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.860,Pass,,2018/2019
,,,,,,,,,,,,,,,,2.2852,,,,,,,,,,,1c4e9cdb-b386-43c1-8625-499ca44ac545,68,,"[33.0, 24.0]",15998,1,,,,,1.5707964,,Left Foot,,"[33.0, 45.0]",,Ground Pass,,21.0,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['57602343-a3ce-47be-808f-5183e16b872a'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:01:01.130,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.7499,,,,,,,,,,,00179b7a-8733-4b3d-a431-d43c12f918b9,71,,"[45.0, 46.0]",15998,1,,,,,-1.5273454,,Right Foot,,"[46.0, 23.0]",,Ground Pass,,23.021729,,,,Samuel Yves Umtiti,5492.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['3c7234a8-b67a-4b2a-ae94-802484b95c06'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.056,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.4409,,,,,,,,,,,66d374ce-9144-4bdb-8147-a04c2db67cbf,74,,"[55.0, 25.0]",15998,1,,,,,1.6447353,,Left Foot,,"[53.0, 52.0]",,Ground Pass,,27.073973,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,3,Barcelona,217,['12b499f9-6cd9-476a-b593-1dbb131dc590'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:01:13.250,Pass,,2018/2019
,,,,,,,,,,,,,,,,1.4944,,,,,,,,,,,b6937c56-dbce-454d-b0bb-c9f95701615c,77,,"[53.0, 52.0]",15998,1,,,,,1.0460006,,Right Foot,,"[64.0, 71.0]",,Ground Pass,,21.954498,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['b62e33c8-56c9-4a07-8cd0-86a6d9159f43'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.689,Pass,,2018/2019
,,,,,,,,,,,,,,,,0.886,,,,,,,,,,,5a240003-35fa-4d97-871e-ed4adbab4cf5,81,,"[65.0, 72.0]",15998,1,,,,,0.5880026,,Right Foot,,"[71.0, 76.0]",,Ground Pass,,7.2111025,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,"['04b26f00-d767-4909-b5e7-119ddbedcce0', '20e913f4-2664-4053-9b7d-fb70327d3deb']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:01:17.541,Pass,True,2018/2019
,,,,,,,,,,,,,,,,2.3222,,,,,,,,,,,0f6d1284-c31c-4daf-a389-c5721c6575c5,85,,"[70.0, 74.0]",15998,1,,,,,-2.5269296,,Left Foot,,"[53.0, 62.0]",,Ground Pass,,20.808653,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,3,Barcelona,217,"['05b2bae6-fabb-4dcc-8067-83b943dde08a', '6803683f-872e-434c-88db-3a09511f6124']",21,,,,,,,,,,,,,,,,,Barcelona,217,00:01:21.109,Pass,True,2018/2019
