ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,1.567178,,,,,,,,,,,,,0e338b70-69db-4a45-b3ea-e3ae3a28e91f,51,,,"[57.4, 18.0]",303652,0,,,,,-1.0968132,,Right Foot,,,,"[65.3, 2.6]",,Ground Pass,,17.30809,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['3e137e3e-ef71-4952-8e21-627da0b64537'],45,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.335,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.891956,,,,,,,,,,,,,6a9a881e-b550-437a-a190-3dd31e0a1e67,54,,,"[65.3, 2.6]",303652,0,,,,,0.008620476,,Left Foot,,,,"[76.9, 2.7]",,Ground Pass,,11.600431,,,,Luis Alberto Suárez Díaz,5246.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['2e00501b-7cac-4ceb-8799-57d4ddd7ceee'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:47.501,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.704327,,,,,,,,,,,,,44ee9872-84c9-453a-a3f7-2fca8c44c89a,58,,,"[76.2, 3.5]",303652,0,,,,,1.2277724,,Right Foot,,,,"[79.2, 11.9]",,Ground Pass,,8.9196415,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['524c1e7d-3d4c-4678-b3b9-1018c052a5cb'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.451,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.01809,,,,,,,,,,,,,e49e3b87-8ee4-469e-989d-afd71cce8505,68,,,"[42.8, 72.2]",303652,0,,,,,0.10706565,,Right Foot,,,,"[64.2, 74.5]",,Ground Pass,,21.523243,,Incomplete,,Jonathan Calleri,6930.0,,,,,,1,From Kick Off,Javier López Rodríguez,6791.0,Right Back,2,Barcelona,217,"['12bedc14-55fb-4c4f-899c-98f2f24e0c4c', 'b48faa84-8b94-46ea-8d72-0fbed3104979']",55,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:55.753,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.49796,,,,,,,,,,,,,b48faa84-8b94-46ea-8d72-0fbed3104979,70,,,"[55.9, 5.6]",303652,0,,,,,-0.07982998,,Left Foot,,,,"[58.4, 5.4]",,Ground Pass,,2.5079873,,,,Sergio Busquets i Burgos,5203.0,,,,,Recovery,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['e49e3b87-8ee4-469e-989d-afd71cce8505', 'edb3697b-f655-49d6-81e2-3f50ce7a0cc0']",57,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:57.772,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.276323,,,,,,,,,,,,,cd37bbce-eed2-4a22-bc6d-da8869e4b35e,73,,,"[56.9, 10.0]",303652,1,,,,,1.7061145,,Right Foot,,,,"[51.1, 52.6]",,High Pass,,42.993023,,,,Sergi Roberto Carnicer,6379.0,,True,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['945baa4d-dde3-45fa-ab69-35f3aaa914e1'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:00.772,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.600779,,,,,,,,,,,,,205d0e95-88ef-4f62-aae8-46fc3cc30eac,76,,,"[51.5, 52.9]",303652,1,,,,,-0.66104317,,Right Foot,,,,"[63.2, 43.8]",,High Pass,,14.822281,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['53e45d1c-ece4-41e4-8c5b-afa55bfa8984', 'e2e3d587-3941-4f3b-ac89-2cd027ba5249']",3,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:03.048,Pass,True,2019/2020
,,,,,,,,,,,,,,,,0.659782,,,,,,,,,,,,,8af854f8-740b-456f-8b70-e3b67e8cba0f,78,,,"[63.2, 43.8]",303652,1,,,,,-2.6779451,,Head,,,,"[55.0, 39.7]",,Low Pass,,9.167879,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['cabf23ae-cd38-45e8-b16e-83979f6c8df4'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:04.729,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.614128,,,,,,,,,,,,,245d9e05-60b0-4bb6-b4e9-34ee8caa7f08,81,,,"[55.0, 39.7]",303652,1,,,,,-0.06746502,,Right Foot,,,,"[62.4, 39.2]",,Ground Pass,,7.4168725,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['d42a9e35-d4c2-41b5-a684-29415aec7191'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:05.429,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.245018,,,,,,,,,,,,,6f22dfea-01ac-4e89-9b26-fa4a2a84d1d3,85,,,"[61.6, 34.8]",303652,1,,,,,-1.2534803,,Left Foot,,,,"[70.5, 7.7]",,Ground Pass,,28.524025,,Incomplete,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,"['002f8165-c1af-4b2b-bbce-801ae3daf4e3', '1de92202-aed7-4f0e-ace5-2309a23ef774', '1e7ee6f5-d25b-4a56-bc2c-938dfb9c2c4b']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:07.086,Pass,True,2019/2020
