bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.90504,,,,,,,,,,,,,3c1da793-bfb5-4b41-b32d-24133a76ff4b,63,,"[30.1, 20.5]",303377,1,,True,,,1.1020336,,Left Foot,,,,"[38.0, 36.1]",,Ground Pass,,17.48628,,,Sergio Busquets i Burgos,5203.0,,,,,Free Kick,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,5,Barcelona,217,['f312f245-d08e-4bef-a168-e7ed52dc5503'],33,,,,,,,,,,,,,,,,Barcelona,217,00:01:33.619,Pass,,2019/2020
,,,,,,,,,,,,,,,1.048161,,,,,,,,,,,,,7e682125-00ff-46ef-bcdf-5b7ea4248ed8,65,,"[37.3, 36.3]",303377,1,,,,,1.19029,,Right Foot,,,,"[40.7, 44.8]",,Ground Pass,,9.15478,Incomplete,,Frenkie de Jong,8118.0,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,5,Barcelona,217,"['ae7e6ff0-0ec0-4185-a2f1-0f75d41ad7c6', 'fd32566b-78f0-45c7-a221-a389b5970876']",36,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.335,Pass,,2019/2020
,,,,,,,,,True,,,,,,0.738436,,,,,,,,,,,,,ae7e6ff0-0ec0-4185-a2f1-0f75d41ad7c6,67,,"[79.4, 35.3]",303377,1,,,,,-0.08145204,,Right Foot,,,,"[89.2, 34.5]",,Ground Pass,,9.832599,,,Jaime Mata Arnaiz,11550.0,,,,,Interception,1,Regular Play,Nemanja Maksimović,6901.0,Left Defensive Midfield,6,Getafe,216,"['7e682125-00ff-46ef-bcdf-5b7ea4248ed8', '975e0311-bfb1-46ad-afdb-7e5f692b9017']",37,,,,,,,,,,,,,,,,Getafe,216,00:01:37.383,Pass,,2019/2020
,,,,,,,,,,,,,,,0.331255,,,,,,,,,,,,,0c60f202-c077-4b38-8b8b-5a8a794428d2,70,,"[90.4, 35.3]",303377,1,,,,,0.98279375,,Right Foot,,,,"[92.4, 38.3]",,Ground Pass,,3.6055512,Incomplete,,Jorge Molina Vidal,6630.0,,,,,,1,Regular Play,Jaime Mata Arnaiz,11550.0,Left Center Forward,6,Getafe,216,"['c517200e-8390-41a9-a0a1-f675fd88873e', 'd5fdca87-f862-4031-90bf-33ceca0a4abb']",38,,,,,,,,,,,,,,,,Getafe,216,00:01:38.807,Pass,,2019/2020
,,,,,,,,,,,,,,,2.803671,,,,,,,,,,,,,00292df0-9007-4a59-a9c0-6f15615f57cc,75,,"[92.6, 25.9]",303377,1,,,,,-0.20727992,,Left Foot,,,,"[115.9, 21.0]",,Ground Pass,,23.809662,,,Jaime Mata Arnaiz,11550.0,,,,,,1,Regular Play,Marc Cucurella Saseta,17620.0,Left Midfield,6,Getafe,216,['0e7409f5-c2d3-44c5-95e6-4ef624f6d2a0'],41,,,,,,,,,,,,,,,,Getafe,216,00:01:41.542,Pass,,2019/2020
,,,,,,,,,,,,,,,1.219103,,,,,,,,,,,,,5c1a9529-4639-41f9-bfe3-9529eac4c48c,80,,"[7.0, 36.1]",303377,2,,,,,2.0061495,,Left Foot,,,,"[5.0, 40.4]",,Ground Pass,,4.7423625,,,Marc-André ter Stegen,20055.0,,,,,Goal Kick,1,From Goal Kick,Samuel Yves Umtiti,5492.0,Left Center Back,7,Barcelona,217,['69b2e750-2252-46e7-8c07-65ec84762bd6'],17,,,,,,,,,,,,,,,,Barcelona,217,00:02:17.348,Pass,,2019/2020
,,,,,,,,,,,,,,,1.890955,,,,,,,,,,,,,eb117252-15cf-45fd-b363-eb03bcd5828e,83,,"[15.2, 42.8]",303377,2,,,,,-0.06241881,,Right Foot,,,,"[53.6, 40.4]",,Low Pass,,38.474926,,,Antoine Griezmann,5487.0,,,,,,1,From Goal Kick,Marc-André ter Stegen,20055.0,Goalkeeper,7,Barcelona,217,['d30f996d-4cd7-4726-93c8-db7955cd4d32'],23,,,,,,,,,,,,,,,,Barcelona,217,00:02:23.401,Pass,,2019/2020
,,,,,,,,,,,,,,,1.533373,,,,,,,,,,,,,c40f7a88-5276-4423-8c71-a560156943bb,87,,"[50.0, 32.7]",303377,2,,,,,-0.93980944,,Left Foot,,,,"[69.8, 5.6]",,Low Pass,,33.56263,,,Anssumane Fati,30756.0,,,,,,1,From Goal Kick,Antoine Griezmann,5487.0,Center Forward,7,Barcelona,217,"['e99029fc-acec-4f67-832b-48b8c90fac5f', 'eb36d2a7-ee0b-4559-a369-891dcac21e42']",27,,,,,,,,,,,,,,,,Barcelona,217,00:02:27.939,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.511385,,,,,,,,,,,,,76a75e4e-6a12-47ab-af02-99af91593d8f,91,,"[84.7, 5.4]",303377,2,,,,,3.1088176,,Right Foot,,,,"[72.5, 5.8]",,Ground Pass,,12.206555,,,Jordi Alba Ramos,5211.0,,,,,,1,From Goal Kick,Anssumane Fati,30756.0,Left Wing,7,Barcelona,217,"['b923ca08-d64e-4c7a-b57f-66eb3c8bb9d9', 'e7928e32-f579-47bb-99a7-9d091dd3c238']",33,,,,,,,,,,,,,,,,Barcelona,217,00:02:33.847,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.032669,,,,,,,,,,,,,3018127f-b5bb-4bc6-9bda-af6b64347fc4,94,,"[72.9, 6.2]",303377,2,,,,,1.0366137,,Left Foot,,,,"[77.1, 13.3]",,Ground Pass,,8.249243,,,Anssumane Fati,30756.0,,,,,,1,From Goal Kick,Jordi Alba Ramos,5211.0,Left Back,7,Barcelona,217,['2080bf10-6016-463e-abf5-e075cf086159'],35,,,,,,,,,,,,,,,,Barcelona,217,00:02:35.684,Pass,,2019/2020
