ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.695458,,,,,,,,,,,,,,c8f51af3-47fb-4b8d-a97c-73b5776c637d,42,,,"[55.1, 60.4]",3773661,0,,,,-2.2960262,,Right Foot,,,,"[43.4, 47.2]",,Ground Pass,,17.638878,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['35b1ae61-0e01-4dc3-882d-602a82bfd201'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.409,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.570217,,,,,,,,,,,,,,a4a74bfb-8397-4f6f-9d99-5602eb3e35c8,45,,,"[43.1, 44.1]",3773661,0,,,,-1.4231604,,Right Foot,,,,"[46.0, 24.6]",,Ground Pass,,19.714462,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['fd58d7a2-5b5b-413b-8293-e8f6d466c8f6'],33,,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.729,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.521108,,,,,,,,,,,,,,c455cabd-2918-4ba1-9d1b-643a059be562,48,,,"[50.2, 21.2]",3773661,0,,,,1.8992357,,Left Foot,,,,"[44.1, 39.1]",,Ground Pass,,18.910843,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['eb199447-b73d-475e-a698-4aaec3051a37'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.454,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.735281,,,,,,,,,,,,,,709f878f-4b2a-4387-960f-a88330c23460,51,,,"[46.7, 47.6]",3773661,0,,,,1.1307664,,Right Foot,,,,"[58.8, 73.3]",,Ground Pass,,28.405985,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['0e668a68-35d9-4030-a482-f8bffa33f07a'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.275,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.425855,,,,,,,,,,,,,,de99db56-088f-4244-9709-bc487228c631,53,,,"[59.5, 73.3]",3773661,0,,,,-2.7187388,,Right Foot,,,,"[47.5, 67.9]",,Ground Pass,,13.159027,,,Óscar Mingueza García,43728.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Wing Back,3,Barcelona,217,['28892558-dae3-46fa-9a2c-7ef5a865d93a'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:00:42.010,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.864696,,,,,,,,,,,,,,556c1dbc-3758-49c7-8b91-9605763effdf,56,,,"[46.4, 67.4]",3773661,0,,,,-0.37298772,,Right Foot,,,,"[55.6, 63.8]",,Ground Pass,,9.8792715,,,Frenkie de Jong,8118.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['b4f3bb91-0ebe-4f7f-bc83-75278f2eb05e'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:00:44.438,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.958346,,,,,,,,,,,,,,96c28312-9fe1-4bcd-9eda-7ac48fa8a9de,59,,,"[55.8, 63.8]",3773661,0,,,,1.5535567,,Right Foot,,,,"[56.0, 75.4]",,Ground Pass,,11.601724,,,Sergi Roberto Carnicer,6379.0,,,,,,1,Regular Play,Frenkie de Jong,8118.0,Right Center Midfield,3,Barcelona,217,['b7696063-e883-4b63-9004-e3f34ebaca4d'],45,,,,,,,,,,,,,,,,,Barcelona,217,00:00:45.462,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.883375,,,,,,,,,,,,,,5b55ef86-c246-4f22-815d-df963a025b57,62,,,"[63.5, 73.3]",3773661,0,,,,-2.780525,,Right Foot,,,,"[49.2, 67.9]",,Ground Pass,,15.285614,,,Óscar Mingueza García,43728.0,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Wing Back,3,Barcelona,217,['37f9c44b-a0cc-401e-9305-02a5e3f99e63'],48,,,,,,,,,,,,,,,,,Barcelona,217,00:00:48.371,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.266954,,,,,,,,,,,,,,0aaff9ed-7cd0-4d08-ab69-9017920bd11e,65,,,"[49.6, 64.8]",3773661,0,,,,-2.109171,,Right Foot,,,,"[41.0, 50.4]",,Ground Pass,,16.772596,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,3,Barcelona,217,['d9fc2516-efb0-4c41-926c-f85f56b113fc'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:00:50.938,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.70835,,,,,,,,,,,,,,7fb4c811-0224-4f91-a6b7-f4c269da4072,68,,,"[47.5, 42.4]",3773661,0,,,,-1.4325094,,Right Foot,,,,"[50.2, 23.0]",,Ground Pass,,19.586985,,,Clément Lenglet,6826.0,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Center Back,3,Barcelona,217,['8aa41a8b-bdae-45d4-83d4-aec93c02d8a5'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.441,Pass,,2020/2021
