50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31a14363-9005-403f-b4a6-6e961995b34c,1202,,"[116.5, 46.8]",69237,26,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Zlatan Ibrahimović,3672.0,Center Forward,59,Barcelona,217,,15,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:15.605,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,27e3ee07-7790-45d2-ac87-2b0148134e49,1225,,"[84.0, 4.8]",69237,28,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Antonio López Guerrero,26118.0,Left Back,60,Atlético Madrid,212,,1,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:28:01.206,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b5b088b7-6720-4faf-a8e3-65bdd7623766,1278,,"[70.9, 33.8]",69237,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,66,Barcelona,217,['7a7ea128-f034-48da-9ccf-340c31d55634'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:18.470,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b55accd-5816-48d7-b3a2-b010df32415d,1295,,"[71.5, 66.6]",69237,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jeffren Isaac Suárez Bermúdez,26624.0,Right Back,66,Barcelona,217,,30,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:30.681,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5f33affa-d7cb-45ea-9db9-a5c6e10aa68e,1316,,"[100.9, 78.5]",69237,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro Eliezer Rodríguez Ledesma,3958.0,Left Wing,66,Barcelona,217,,53,,,,,,,,,,,,,,,,,,Barcelona,217,00:30:53.369,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d5e6d6d-bf0d-47f5-894e-a1fc5967c4f9,1321,,"[29.3, 16.3]",69237,30,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio López Guerrero,26118.0,Left Back,67,Atlético Madrid,212,['073ae9b3-177e-4f18-bfb5-f9683f302485'],56,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:30:56.769,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,47e9409f-b0f9-4424-97bb-e647f545777e,1337,,"[79.9, 67.4]",69237,31,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,68,Barcelona,217,['9d76167a-4fb4-493e-994a-f9bb247265be'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:03.277,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb5e5e55-6f96-4e8d-a048-da60b8aa2451,1346,,"[87.5, 50.8]",69237,31,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,68,Barcelona,217,['384f2a10-2245-45b9-8e3d-749ae620a905'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:31:06.647,Ball Recovery,True,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b786023d-a7a3-422a-a829-94b053ea1d3c,1373,,"[89.6, 3.5]",69237,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simão Pedro Fonseca Sabrosa,19765.0,Left Midfield,73,Atlético Madrid,212,,7,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:32:07.947,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c4cd832-52dc-405e-84f8-ca638fb6eb84,1464,,"[57.8, 63.0]",69237,33,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,84,Barcelona,217,['61b81311-25cf-4baa-9939-c487f0213103'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:33:53.082,Ball Recovery,,2009/2010
